AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
61.366001	-64.476997	1012.478027	-0.161875	-2.467500	-1.785000
56.486000	-54.046001	1017.663025	-1.478750	6.370000	-0.708750
63.013000	-80.459000	1004.364990	-2.209375	8.260000	-1.474375
50.569000	-80.031998	1009.733032	-1.093750	4.239375	-2.664375
46.237999	-73.139000	1013.637024	-0.393750	-0.573125	-3.425625
53.008999	-65.574997	1008.330017	-0.144375	-2.231250	-3.360000
47.396999	-69.540001	1009.062012	-0.481250	-0.091875	-2.091250
55.570999	-76.982002	1006.195007	-0.713125	3.591875	-0.201250
54.900002	-73.383003	1008.817993	-0.188125	1.063125	-0.358750
49.776001	-66.551003	1006.500000	0.144375	-1.207500	-0.201250
48.678001	-70.028000	1009.367004	0.118125	-0.770000	-0.266875
52.764999	-78.750999	1005.768005	-0.074375	0.616875	-0.175000
55.021999	-79.910004	1013.027039	-0.411250	1.478750	-0.275625
46.177002	-68.197998	1006.195007	-0.538125	2.226875	-0.122500
46.970001	-73.626999	1011.319031	-0.503125	2.030000	-0.196875
50.935001	-80.946999	1008.817993	-0.271250	0.896875	-0.249375
41.785000	-63.928001	987.955994	-0.113750	-0.310625	-0.297500
51.728001	-74.054001	1002.535034	-0.516250	1.233750	-0.258125
48.312000	-73.444000	1020.530029	-0.367500	1.303750	-0.385000
47.580002	-79.117004	1019.309998	-0.170625	0.161875	-0.332500
55.937000	-76.189003	1015.772034	-0.056875	-0.813750	-0.262500
50.630001	-73.809998	989.237000	0.170625	-0.218750	-0.354375
47.091999	-74.419998	1008.268982	-0.196875	1.575000	-0.323750
50.691002	-73.931999	1007.109985	-0.376250	1.413125	-0.140000
52.582001	-75.152000	1019.919983	0.000000	0.332500	-0.144375
45.323002	-78.933998	1012.539001	-0.087500	0.315000	-0.266875
53.862999	-73.626999	1010.465027	-0.135625	1.045625	-0.201250
45.750000	-72.346001	1030.107056	-0.424375	0.490000	-0.227500
49.471001	-66.184998	1008.757019	-0.210000	0.026250	-0.196875
52.277000	-72.895004	1006.377991	-0.371875	0.328125	-0.218750
59.109001	-77.714005	1018.455994	-0.223125	0.826875	-0.573125
49.593002	-73.871002	1008.879028	-0.096250	0.595000	-0.393750
50.507999	-72.834000	1010.403992	-0.096250	-0.756875	-0.148750
52.582001	-74.786003	1019.127014	0.008750	-0.551250	-0.262500
50.874001	-91.865997	1050.786011	-0.118125	0.660625	-0.135625
55.570999	-80.641998	1009.122986	-0.376250	0.940625	-0.245000
57.218002	-73.504997	988.200012	-0.258125	0.525000	-0.389375
52.459999	-71.736000	1001.497986	-0.332500	0.153125	-0.284375
51.728001	-71.613998	1009.489014	-0.249375	0.240625	-0.262500
48.190002	-77.409004	1008.085999	-0.280000	0.564375	-0.284375
55.937000	-81.129997	1010.465027	-0.236250	0.087500	-0.284375
48.494999	-69.784004	1012.112000	-0.166250	1.045625	-0.275625
50.751999	-74.054001	1009.306030	-0.385000	2.139375	-0.363125
52.826000	-76.615997	1009.794006	-0.481250	2.362500	-0.231875
49.776001	-73.504997	1009.062012	-0.371875	1.277500	-0.179375
52.399002	-74.542000	1010.281982	-0.179375	-0.529375	-0.280000
48.556000	-71.918999	1008.635010	-0.433125	1.155000	-0.214375
44.652000	-72.346001	1011.197021	-0.669375	1.872500	-0.179375
51.423000	-74.542000	1010.648010	-0.389375	0.315000	-0.332500
54.046001	-72.956001	1010.648010	-0.161875	-0.813750	-0.249375
56.181000	-73.566002	1014.613037	-0.048125	-0.183750	-0.284375
50.813000	-75.762001	1009.671997	-0.227500	1.303750	-0.301875
45.506001	-71.918999	1008.330017	-0.266875	1.325625	-0.266875
50.447002	-71.370003	1010.281982	-0.253750	0.577500	-0.288750
56.424999	-77.653000	1010.770020	-0.135625	-0.052500	-0.341250
50.751999	-72.956001	1010.038025	-0.262500	1.303750	-0.249375
50.630001	-76.860001	1014.125000	-0.306250	1.045625	-0.271250
48.068001	-72.895004	1010.770020	-0.258125	0.188125	-0.297500
48.678001	-75.639999	1013.880981	-0.157500	0.603750	-0.284375
57.035000	-81.679001	1004.609009	-0.284375	1.251250	-0.240625
53.192001	-76.311005	1016.992004	-0.231875	0.752500	-0.262500
51.605999	-71.796997	1009.489014	-0.070000	0.122500	-0.179375
46.726002	-75.884003	1006.500000	-0.065625	0.560000	-0.284375
50.325001	-75.396004	1009.062012	-0.109375	0.962500	-0.323750
47.702000	-72.956001	1015.833008	-0.214375	0.949375	-0.205625
49.897999	-77.104004	1011.624023	-0.135625	-0.380625	-0.306250
51.850002	-71.308998	1012.356018	-0.113750	0.205625	-0.402500
50.996002	-70.760002	1013.942017	-0.446250	0.953750	-0.315000
50.264000	-77.165001	1010.038025	-0.459375	1.185625	-0.271250
50.386002	-79.543999	1010.160034	-0.288750	0.385000	-0.201250
48.190002	-74.724998	1012.966003	-0.166250	-0.280000	-0.231875
54.595001	-72.651001	1008.940002	-0.122500	-0.188125	-0.280000
51.728001	-78.750999	1012.783020	-0.380625	0.385000	-0.258125
48.190002	-69.479004	1012.966003	-0.297500	0.866250	-0.271250
52.277000	-73.931999	1012.721985	-0.586250	1.929375	-0.319375
49.653999	-73.566002	1009.549988	-0.498750	1.618750	-0.336875
46.848000	-70.698997	1012.783020	-0.288750	0.218750	-0.323750
55.144001	-83.387001	1003.999023	0.883750	-2.240000	-0.323750
45.932999	-78.385002	1015.161987	-0.262500	0.472500	-0.231875
36.417000	-80.031998	1008.268982	-0.131250	0.306250	-0.411250
50.507999	-79.422005	1012.783020	-0.966875	-0.420000	-0.503125
51.484001	-85.827003	979.903992	-0.030625	1.290625	0.223125
44.103001	-78.018997	1005.768005	-3.045000	3.850000	0.735000
15.677000	-100.162003	1002.473999	1.032500	42.573124	35.139999
-33.428001	-98.820000	975.939026	-2.537500	15.325625	39.510624
25.742001	-74.481003	1026.812988	-2.870000	-27.041876	35.301876
48.250999	-77.835999	1015.223022	-0.476875	-18.659374	33.656876
41.174999	-79.178001	1011.257996	0.778750	24.412500	37.572498
-7.564000	-87.047005	1013.880981	-3.202500	27.203751	34.978127
-29.097000	-82.289001	1008.025024	-1.640625	3.710000	27.448750
-26.169001	-53.313999	945.012024	-0.818125	-19.464375	18.300625
10.309000	-92.659004	1023.092041	-0.336875	-17.071251	10.495625
-2.745000	-76.189003	1004.669983	-1.137500	1.701875	4.738125
-44.103001	-75.762001	1026.691040	-0.791875	8.413125	-2.340625
-15.250000	-101.565002	1049.016968	1.168125	-8.758750	-4.851875
1.464000	-103.211998	1042.795044	0.398125	-6.553750	-3.548125
-0.610000	-86.498001	1021.994019	-0.835625	6.068125	-1.833125
-25.071001	-71.736000	1010.830994	-0.253750	9.493750	-1.776250
-15.921000	-85.643997	1011.624023	-0.175000	-3.031875	-2.384375
-8.113000	-82.532997	1017.053040	-0.367500	-4.348750	-1.386875
-11.712000	-81.739998	1019.309998	0.030625	5.035625	-0.468125
-12.932000	-78.385002	1012.416992	-0.030625	2.257500	-0.603750
-13.481000	-79.910004	1010.587036	-0.166250	0.643125	-0.105000
-14.640000	-77.042999	1009.306030	-0.245000	2.795625	-0.371875
-11.407001	-79.543999	1008.452026	-0.385000	-0.984375	-0.358750
-6.893000	-76.555000	1010.770020	-0.411250	-0.091875	-0.218750
-15.067000	-77.470001	1008.940002	-0.131250	2.765000	-0.157500
-16.348000	-85.460999	1011.807007	-0.376250	0.140000	-0.065625
-7.625000	-85.155998	1013.575989	-0.336875	-1.483125	-0.153125
-4.331000	-78.995003	1011.867981	-0.170625	2.607500	0.568750
-16.409000	-69.357002	1012.234009	-0.218750	2.695000	1.666875
-2.135000	-92.903000	1038.036987	-0.717500	-3.206875	7.332500
-12.871000	-78.933998	1020.530029	-0.525000	6.895000	7.393750
-14.030000	-69.600998	1010.708984	-0.126875	3.946250	5.250000
-17.202000	-83.204002	1014.247009	-0.109375	-4.563125	3.053750
-8.845000	-86.986000	1011.624023	-0.056875	1.194375	0.455000
-6.405000	-89.059998	991.372009	-0.446250	4.493125	-0.354375
21.594000	-122.244003	1016.565002	-0.078750	-12.473125	10.456250
-71.370003	-76.127998	1019.127014	1.159375	15.920625	18.501875
-34.831001	-69.723000	1037.915039	-6.225625	21.503124	-1.277500
-36.478001	117.913002	1052.615967	13.055000	19.180000	1.745625
-29.463001	-41.358002	952.027039	4.029375	-10.106250	-3.465000
-63.562000	-65.819000	1007.903015	1.837500	-17.780001	-13.177500
-42.761002	-183.671005	1039.073975	0.288750	-12.035625	-1.400000
-21.410999	-65.086998	1043.039062	0.752500	-22.373751	13.212500
