AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-10.187000	-27.145000	1005.707031	0.883750	-2.226875	-3.088750
-26.962000	-12.200000	1041.697021	0.883750	-2.226875	0.000000
-13.420000	-28.182001	937.020996	-0.717500	0.678125	-23.261875
-20.557001	-21.655001	1051.334961	-1.561875	0.039375	-39.558750
7.076000	95.831001	1063.352051	-1.360625	0.704375	-27.781250
-10.492001	-0.732000	1016.626038	-0.275625	0.507500	-5.980625
-5.185000	2.135000	1014.186035	-0.056875	0.332500	-0.328125
-9.760000	-1.769000	1013.454041	-0.201250	0.350000	-0.192500
-2.013000	-5.246000	1020.591003	-0.210000	0.577500	-0.179375
-5.734000	-3.660000	1018.455994	-0.196875	0.542500	-0.240625
-7.076000	0.183000	1015.528015	-0.262500	0.621250	-0.262500
-3.843000	0.244000	1014.796021	-0.275625	0.590625	-0.319375
-6.344000	2.196000	1019.492981	-0.166250	0.420000	-0.275625
-11.590000	-1.098000	1018.455994	-0.258125	0.586250	-0.262500
-12.322001	-3.050000	1014.918030	-0.170625	0.555625	-0.223125
-7.869000	-1.708000	1017.785034	-0.315000	0.551250	-0.231875
-19.580999	7.503000	1035.170044	-0.315000	0.476875	-0.013125
-8.174000	-2.257000	1012.539001	-0.293125	0.428750	-0.240625
-11.956000	-0.854000	1013.820007	-0.284375	0.656250	-0.183750
-1.830000	4.453000	1010.770020	-0.437500	0.765625	-0.100625
-11.407001	-0.732000	1016.687012	-0.560000	0.630000	-0.306250
-6.649000	3.477000	1011.624023	-0.266875	0.665000	-0.341250
-4.758000	-1.220000	1012.966003	-0.153125	0.389375	-0.262500
-8.418000	-2.806000	1013.210022	-0.262500	0.402500	-0.367500
-12.322001	-0.488000	1012.234009	-0.376250	0.713125	-0.323750
-3.355000	3.416000	1012.600037	-0.196875	0.476875	-0.363125
-4.026000	2.318000	1019.127014	-0.214375	0.481250	-0.319375
-8.296000	-1.952000	1018.944031	-0.354375	0.564375	-0.245000
-11.224000	-2.806000	1017.480042	-0.341250	0.700000	-0.297500
-5.429000	-2.684000	1014.307983	-0.236250	0.481250	-0.280000
-5.490000	1.525000	1014.796021	-0.192500	0.581875	-0.341250
-9.150001	-3.660000	1016.809021	-0.328125	0.616875	-0.328125
-9.028000	-2.074000	1014.064026	-0.280000	0.630000	-0.363125
-13.664001	0.427000	1011.989990	-0.262500	0.345625	-0.258125
-0.915000	-1.220000	1014.429993	-0.179375	0.603750	-0.323750
-11.041000	-0.976000	1014.429993	-0.227500	0.533750	-0.275625
-5.429000	3.355000	1017.174988	-0.315000	0.393750	-0.280000
-7.320000	1.830000	1015.893982	-0.240625	0.424375	-0.367500
-10.248000	-0.976000	1017.846008	-0.293125	0.638750	-0.262500
-7.259000	0.122000	1016.260010	-0.424375	0.555625	-0.280000
-7.808000	4.331000	1016.260010	-0.380625	0.665000	-0.319375
-6.344000	2.440000	1014.674011	-0.126875	0.424375	-0.301875
-5.856000	1.708000	1013.697998	-0.078750	0.380625	-0.284375
-2.623000	-3.294000	1013.210022	-0.284375	0.494375	-0.231875
-8.784000	-6.527000	1015.528015	-0.284375	0.529375	-0.323750
-9.638000	1.037000	1018.028992	-0.157500	0.424375	-0.411250
-1.769000	2.562000	1017.601990	-0.218750	0.315000	-0.284375
-4.636000	3.660000	1007.903015	-0.336875	0.525000	-0.280000
-14.823000	1.098000	1018.090027	-0.437500	0.595000	-0.319375
-12.505000	-1.220000	1013.697998	-0.389375	0.761250	-0.236250
-0.854000	-5.490000	1018.273010	-0.385000	0.726250	-0.310625
-3.050000	2.257000	1015.528015	-0.236250	0.835625	-0.328125
-11.285000	4.392000	1016.138000	-0.113750	0.603750	-0.271250
-0.366000	-1.708000	1014.064026	-0.358750	0.538125	-0.205625
-5.490000	-8.723001	1017.296997	-0.420000	0.669375	-0.183750
-8.540000	4.880000	1015.406006	-0.402500	0.691250	-0.354375
-5.795000	0.488000	1014.918030	-0.218750	0.481250	-0.301875
-2.928000	-1.464000	1014.307983	-0.249375	0.328125	-0.175000
-6.100000	-3.294000	1015.161987	-0.240625	0.345625	-0.306250
-11.102000	-3.660000	1013.820007	-0.266875	0.358750	-0.293125
-5.063000	3.843000	1015.528015	-0.253750	0.455000	-0.293125
-10.492001	5.734000	1016.138000	-0.245000	0.376250	-0.245000
-3.050000	-0.671000	1014.918030	-0.398125	0.660625	-0.280000
-10.065001	-0.122000	1014.064026	-0.468125	0.870625	-0.275625
-12.810000	-2.074000	1013.332031	-0.214375	0.520625	-0.236250
-4.819000	3.843000	1013.210022	-0.118125	0.398125	-0.323750
-8.296000	4.880000	1011.624023	-0.131250	0.415625	-0.297500
-12.932000	1.220000	1012.478027	-0.205625	0.520625	-0.201250
-10.675000	-3.965000	1014.796021	-0.319375	0.660625	-0.258125
-10.858000	-1.159000	1018.395020	-0.367500	0.630000	-0.280000
-9.028000	-1.220000	1016.504028	-0.433125	0.678125	-0.319375
-5.490000	-1.952000	1019.492981	-0.494375	0.643125	-0.280000
-14.335000	-6.710000	1020.041992	-0.315000	0.468125	-0.363125
-11.285000	-3.355000	1017.723999	-0.341250	0.433125	-0.415625
-7.747000	7.442000	1017.236023	-0.424375	0.472500	-0.323750
-3.477000	8.784000	1016.015991	-0.205625	0.354375	-0.227500
-2.928000	-0.183000	1015.406006	-0.210000	0.402500	-0.223125
-11.651000	-7.625000	1019.005005	-0.179375	0.398125	-0.183750
-11.346000	-1.647000	1013.880981	-0.170625	0.433125	-0.297500
-6.527000	1.891000	1013.942017	-0.192500	0.437500	-0.358750
-4.758000	6.832000	1016.138000	-0.350000	0.634375	-0.214375
-13.603000	-2.257000	1016.260010	-0.393750	0.761250	-0.214375
-12.566000	3.721000	1010.587036	-0.468125	0.700000	-0.245000
-9.333000	-4.941000	1013.027039	-0.398125	0.621250	-0.293125
-3.843000	1.403000	1018.028992	-0.262500	0.656250	-0.371875
-5.612000	6.039000	1014.918030	-0.280000	0.643125	-0.310625
-8.052000	2.440000	1014.552002	-0.380625	0.686875	-0.140000
-13.054000	5.673000	1014.796021	-0.188125	0.441875	-0.275625
-15.494000	-7.259000	1018.273010	-0.153125	0.363125	-0.380625
-4.941000	8.357000	1013.637024	-0.284375	0.336875	-0.336875
-6.100000	5.490000	1016.931030	-0.398125	0.560000	-0.306250
-10.980000	-1.159000	1018.212036	-0.288750	0.608125	-0.315000
-11.224000	4.819000	1014.307983	-0.205625	0.481250	-0.271250
-9.638000	-5.429000	1014.796021	-0.341250	0.573125	-0.293125
-8.418000	1.281000	1016.260010	-0.118125	0.441875	-0.350000
-4.331000	3.538000	1016.138000	-0.214375	0.406875	-0.380625
-12.505000	2.928000	1011.135986	-0.100625	0.306250	-0.227500
-5.795000	0.000000	1016.687012	-0.030625	0.258125	-0.210000
-11.468000	1.464000	1012.600037	-0.188125	0.533750	-0.371875
-5.795000	6.527000	1016.687012	-0.144375	0.441875	-0.450625
-2.013000	7.076000	1017.846008	-0.227500	0.463750	-0.266875
-11.529000	3.416000	1016.504028	-0.262500	0.498750	-0.135625
-10.614000	-4.697000	1016.869995	-0.297500	0.704375	-0.293125
-7.625000	-4.148000	1017.601990	-0.144375	0.595000	-0.424375
-8.052000	6.222000	1015.406006	-0.345625	0.713125	-0.398125
-2.257000	4.880000	1019.859009	-0.420000	0.765625	-0.358750
-1.952000	1.830000	1017.723999	-0.328125	0.721875	-0.245000
-10.797000	-0.610000	1017.236023	-0.266875	0.735000	-0.371875
-6.161000	6.405000	1019.187988	-0.367500	0.621250	-0.406875
-7.320000	2.806000	1015.650024	-0.376250	0.590625	-0.332500
-5.368000	4.270000	1013.575989	-0.581875	0.800625	-0.196875
-14.213000	-3.721000	1018.639038	-0.573125	0.770000	-0.319375
-9.699000	-7.930000	1017.723999	-0.507500	0.791875	-0.310625
-6.161000	-0.427000	1015.772034	-0.319375	0.700000	-0.275625
-7.320000	-2.440000	1014.064026	-0.245000	0.577500	-0.288750
-7.564000	8.662000	1015.283997	-0.223125	0.691250	-0.271250
-8.418000	-4.941000	1019.614990	-0.030625	0.389375	-0.166250
-11.102000	-7.320000	1016.747986	-0.170625	0.476875	-0.258125
-12.688000	2.013000	1014.307983	-0.126875	0.306250	-0.323750
-7.503000	6.771000	1013.454041	-0.188125	0.424375	-0.393750
-4.453000	5.124000	1013.942017	-0.100625	0.310625	-0.341250
-3.538000	2.318000	1015.406006	-0.306250	0.468125	-0.144375
-15.921000	-9.455000	1016.992004	-0.354375	0.717500	-0.262500
-11.895000	0.915000	1015.772034	-0.450625	0.778750	-0.376250
-5.917000	6.039000	1018.882996	-0.389375	0.783125	-0.345625
-1.281000	6.710000	1012.783020	-0.227500	0.494375	-0.323750
-10.980000	-3.111000	1016.626038	-0.218750	0.371875	-0.218750
-13.420000	-1.952000	1016.992004	-0.301875	0.398125	-0.266875
-3.477000	1.159000	1017.114014	-0.341250	0.494375	-0.354375
-0.915000	4.575000	1015.650024	-0.319375	0.520625	-0.332500
-4.148000	2.074000	1012.600037	-0.231875	0.433125	-0.192500
-6.588000	-4.697000	1013.820007	-0.319375	0.433125	-0.280000
-11.651000	-3.904000	1013.942017	-0.275625	0.437500	-0.245000
-4.575000	0.183000	1015.650024	-0.249375	0.297500	-0.306250
-5.856000	1.586000	1016.015991	-0.253750	0.354375	-0.323750
-7.747000	-0.976000	1014.918030	-0.140000	0.293125	-0.223125
-8.296000	-8.357000	1016.015991	-0.288750	0.376250	-0.253750
-8.540000	-3.111000	1015.772034	-0.376250	0.560000	-0.350000
-4.941000	4.331000	1014.674011	-0.306250	0.551250	-0.332500
-4.636000	3.172000	1013.332031	-0.218750	0.459375	-0.258125
-11.895000	1.342000	1017.174988	-0.240625	0.332500	-0.218750
-7.137000	-4.453000	1014.552002	-0.376250	0.332500	-0.236250
-6.222000	-0.549000	1017.663025	-0.328125	0.433125	-0.266875
-6.710000	-0.488000	1015.283997	-0.144375	0.262500	-0.398125
-9.760000	1.220000	1012.600037	-0.363125	0.428750	-0.205625
-10.858000	-1.830000	1014.307983	-0.420000	0.450625	-0.275625
-12.810000	-5.612000	1016.260010	-0.411250	0.468125	-0.358750
-12.566000	3.721000	1016.015991	-0.424375	0.630000	-0.393750
-7.137000	4.758000	1018.455994	-0.441875	0.634375	-0.301875
-5.490000	2.074000	1015.406006	-0.126875	0.402500	-0.245000
-14.335000	-7.747000	1018.760986	-0.245000	0.660625	-0.205625
-11.529000	-1.525000	1014.674011	-0.210000	0.595000	-0.301875
-8.113000	2.379000	1013.210022	-0.301875	0.511875	-0.376250
-7.198000	2.440000	1017.601990	-0.113750	0.577500	-0.262500
-7.198000	-4.941000	1014.918030	-0.214375	0.599375	-0.293125
-11.346000	-3.660000	1014.307983	-0.262500	0.555625	-0.350000
-9.028000	-0.061000	1014.674011	-0.293125	0.481250	-0.376250
-6.954000	-3.294000	1015.040039	-0.214375	0.507500	-0.411250
-10.980000	1.891000	1014.307983	-0.026250	0.371875	-0.280000
-10.614000	5.795000	1016.809021	-0.179375	0.533750	-0.214375
-10.126000	1.952000	1016.260010	-0.218750	0.293125	-0.336875
-6.039000	6.527000	1014.429993	-0.078750	0.468125	-0.376250
-10.126000	3.660000	1015.040039	-0.113750	0.380625	-0.411250
-6.649000	-3.477000	1014.186035	-0.262500	0.323750	-0.227500
-9.394000	-3.294000	1015.040039	-0.113750	0.319375	-0.297500
-9.516000	5.795000	1016.138000	-0.183750	0.485625	-0.310625
-3.965000	2.928000	1019.005005	-0.367500	0.651875	-0.166250
-10.919000	5.246000	1013.393005	-0.275625	0.546875	-0.240625
-4.453000	1.464000	1021.200989	-0.122500	0.363125	-0.201250
-7.198000	-2.440000	1018.333984	-0.043750	0.293125	-0.319375
-10.980000	-0.854000	1015.040039	-0.214375	0.520625	-0.280000
-11.834001	7.137000	1016.015991	-0.415625	0.529375	-0.402500
-7.076000	0.488000	1013.088013	-0.323750	0.555625	-0.262500
-13.847000	-2.806000	1018.028992	-0.341250	0.577500	-0.227500
-6.527000	1.159000	1017.480042	-0.406875	0.573125	-0.275625
-11.346000	4.941000	1017.114014	-0.332500	0.682500	-0.363125
-6.893000	6.100000	1017.114014	-0.402500	0.647500	-0.424375
-12.627000	-6.039000	1016.992004	-0.424375	0.660625	-0.266875
-11.590000	-3.233000	1018.333984	-0.350000	0.743750	-0.284375
-8.784000	-0.305000	1015.772034	-0.371875	0.638750	-0.367500
-2.623000	-1.708000	1013.820007	-0.196875	0.507500	-0.341250
-7.442000	-2.501000	1015.528015	-0.205625	0.503125	-0.275625
-12.444000	-3.660000	1012.600037	-0.236250	0.630000	-0.280000
-9.882000	-5.002000	1015.467041	-0.227500	0.643125	-0.253750
-13.420000	2.745000	1011.135986	-0.249375	0.560000	-0.354375
-7.869000	0.976000	1016.199036	-0.380625	0.721875	-0.196875
-9.760000	-0.976000	1011.746033	-0.345625	0.787500	-0.231875
-4.453000	-8.479000	1014.002991	-0.271250	0.730625	-0.293125
-4.392000	0.549000	1014.796021	-0.271250	0.700000	-0.258125
-6.222000	3.965000	1013.942017	-0.271250	0.516250	-0.310625
-8.296000	-1.037000	1018.273010	-0.336875	0.770000	-0.297500
-13.603000	-5.246000	1014.064026	-0.354375	0.437500	-0.371875
-5.429000	2.257000	1019.492981	-0.236250	0.402500	-0.350000
-2.135000	6.893000	1016.260010	-0.179375	0.555625	-0.275625
-5.612000	7.198000	1014.796021	-0.153125	0.529375	-0.319375
-8.052000	1.037000	1017.296997	-0.148750	0.463750	-0.293125
-12.932000	-2.196000	1016.504028	-0.026250	0.551250	-0.275625
-9.455000	2.989000	1012.966003	-0.140000	0.634375	-0.315000
-10.736000	1.586000	1015.955017	-0.170625	0.271250	-0.367500
-9.760000	0.976000	1014.674011	-0.157500	0.323750	-0.288750
-11.102000	-0.854000	1013.454041	-0.310625	0.455000	-0.214375
-12.078000	-5.490000	1014.307983	-0.371875	0.573125	-0.406875
-8.845000	-0.671000	1013.942017	-0.459375	0.735000	-0.472500
-1.769000	-3.050000	1012.721985	-0.433125	0.840000	-0.371875
-7.503000	7.076000	1017.296997	-0.428750	0.638750	-0.310625
-6.344000	4.880000	1013.332031	-0.350000	0.441875	-0.231875
-9.638000	-5.917000	1017.785034	-0.280000	0.560000	-0.118125
-8.296000	-5.978000	1013.697998	-0.240625	0.415625	-0.293125
-6.466000	5.734000	1016.077026	-0.039375	0.389375	-0.389375
-2.013000	4.270000	1019.187988	-0.118125	0.441875	-0.301875
-6.954000	4.270000	1016.747986	-0.021875	0.402500	-0.188125
-12.627000	-3.111000	1017.723999	-0.157500	0.468125	-0.210000
-6.771000	-3.294000	1018.212036	-0.214375	0.590625	-0.398125
-2.745000	7.686000	1014.064026	-0.249375	0.441875	-0.450625
-3.904000	7.442000	1012.843994	-0.258125	0.402500	-0.323750
-10.797000	-2.135000	1014.674011	-0.126875	0.363125	-0.166250
-9.882000	-3.782000	1016.015991	-0.118125	0.367500	-0.179375
-14.274000	-7.686000	1018.700012	-0.131250	0.455000	-0.306250
-6.710000	2.440000	1016.504028	-0.258125	0.319375	-0.336875
-6.954000	1.342000	1015.528015	-0.061250	0.306250	-0.166250
-7.564000	-4.819000	1013.820007	-0.043750	0.319375	-0.196875
-10.126000	-5.002000	1016.931030	-0.205625	0.393750	-0.284375
-8.906000	3.965000	1013.210022	-0.306250	0.546875	-0.310625
-4.819000	7.503000	1013.088013	-0.293125	0.525000	-0.345625
-5.246000	6.954000	1016.809021	-0.183750	0.494375	-0.144375
-9.150001	-0.183000	1018.700012	-0.153125	0.533750	-0.231875
-6.527000	-0.488000	1010.830994	-0.210000	0.525000	-0.253750
-8.784000	-0.122000	1009.916016	-0.078750	0.463750	-0.288750
-4.453000	5.734000	1015.833008	-0.166250	0.700000	-0.210000
-8.540000	-2.501000	1017.480042	-0.253750	0.616875	-0.258125
-13.420000	1.403000	1016.382019	-0.030625	0.227500	-0.363125
-1.586000	-0.366000	1016.626038	-0.367500	0.433125	-0.332500
-3.050000	0.732000	1019.492981	-0.323750	0.494375	-0.328125
-7.686000	0.854000	1015.650024	-0.415625	0.546875	-0.420000
-5.490000	-2.928000	1018.151001	-0.411250	0.621250	-0.297500
-5.490000	3.843000	1015.893982	-0.345625	0.800625	-0.323750
-12.139000	-1.891000	1017.358032	-0.315000	0.721875	-0.415625
-0.427000	5.307000	1016.199036	-0.402500	0.441875	-0.201250
-4.148000	0.488000	1015.893982	-0.201250	0.354375	-0.262500
-9.028000	-3.538000	1014.429993	-0.161875	0.284375	-0.310625
-5.063000	1.037000	1011.380005	-0.385000	0.564375	-0.341250
-8.662000	-0.732000	1017.053040	-0.538125	0.735000	-0.310625
-3.355000	5.063000	1015.772034	-0.402500	0.647500	-0.280000
-6.344000	-1.037000	1016.626038	-0.376250	0.647500	-0.315000
-5.368000	2.013000	1016.747986	-0.336875	0.813750	-0.306250
-8.906000	-3.355000	1018.212036	-0.490000	0.853125	-0.205625
-5.429000	1.647000	1016.869995	-0.380625	0.656250	-0.214375
-10.004000	6.710000	1015.650024	-0.455000	0.704375	-0.258125
-9.516000	-1.525000	1015.772034	-0.529375	0.875000	-0.319375
-8.540000	0.610000	1017.480042	-0.577500	0.809375	-0.301875
-14.457000	4.087000	1015.161987	-0.455000	0.551250	-0.293125
-6.283000	4.148000	1017.906982	-0.323750	0.581875	-0.266875
-2.989000	0.732000	1017.358032	-0.271250	0.678125	-0.288750
-9.333000	2.562000	1016.504028	-0.100625	0.511875	-0.275625
-8.906000	-2.684000	1014.674011	-0.170625	0.450625	-0.245000
-9.394000	-4.270000	1014.796021	-0.153125	0.161875	-0.258125
-5.429000	-0.732000	1014.186035	-0.258125	0.455000	-0.210000
-8.540000	-1.220000	1014.674011	-0.385000	0.568750	-0.236250
-7.564000	0.244000	1015.650024	-0.332500	0.805000	-0.214375
-6.100000	0.244000	1012.600037	-0.468125	0.700000	-0.266875
-4.392000	-3.050000	1016.199036	-0.367500	0.621250	-0.310625
-7.320000	3.599000	1015.161987	-0.262500	0.533750	-0.227500
-10.614000	0.732000	1013.820007	-0.262500	0.616875	-0.249375
-6.039000	1.830000	1015.161987	-0.083125	0.227500	-0.223125
-9.150001	-3.904000	1016.626038	-0.105000	0.157500	-0.218750
-5.734000	-2.074000	1014.064026	-0.113750	0.315000	-0.297500
-6.466000	6.527000	1013.210022	-0.061250	0.266875	-0.253750
-6.466000	3.416000	1014.307983	-0.126875	0.402500	-0.297500
-11.773000	-3.477000	1018.151001	-0.135625	0.468125	-0.201250
-10.370000	-2.440000	1014.429993	-0.170625	0.546875	-0.315000
-10.492001	0.671000	1014.429993	-0.196875	0.476875	-0.253750
-3.843000	0.000000	1019.005005	-0.070000	0.398125	-0.166250
-3.782000	0.000000	1017.480042	-0.192500	0.511875	-0.258125
-6.832000	-4.026000	1016.260010	-0.271250	0.371875	-0.301875
-13.725000	-2.440000	1019.432007	-0.166250	0.271250	-0.376250
-6.466000	0.305000	1021.140015	-0.131250	0.494375	-0.306250
-6.222000	3.233000	1015.345032	-0.179375	0.389375	-0.223125
-10.370000	2.440000	1017.114014	-0.385000	0.634375	-0.236250
-7.930000	-4.575000	1014.552002	-0.354375	0.717500	-0.210000
-9.882000	-0.915000	1016.382019	-0.415625	0.875000	-0.253750
-8.662000	4.819000	1015.650024	-0.367500	0.765625	-0.315000
-7.198000	-0.549000	1013.088013	-0.363125	0.660625	-0.319375
-10.736000	2.379000	1017.296997	-0.385000	0.551250	-0.223125
-6.283000	-4.941000	1014.918030	-0.306250	0.231875	-0.271250
-11.956000	-1.525000	1012.966003	-0.450625	0.630000	-0.284375
-6.283000	1.037000	1014.064026	-0.280000	0.756875	-0.214375
-10.004000	0.854000	1015.772034	-0.358750	0.651875	-0.218750
-6.771000	1.098000	1014.796021	-0.214375	0.398125	-0.249375
-10.492001	-3.782000	1013.942017	-0.258125	0.411250	-0.271250
-11.712000	0.061000	1015.040039	-0.301875	0.446250	-0.253750
-8.723001	6.771000	1015.161987	-0.175000	0.468125	-0.297500
-7.564000	3.904000	1011.746033	-0.293125	0.665000	-0.240625
-4.697000	4.758000	1015.101013	-0.441875	0.625625	-0.315000
-7.625000	-1.342000	1015.040039	-0.341250	0.428750	-0.420000
-3.233000	1.281000	1017.114014	-0.227500	0.459375	-0.323750
-2.074000	3.843000	1016.869995	-0.078750	0.441875	-0.275625
-2.196000	-0.854000	1019.187988	-0.074375	0.406875	-0.350000
-10.065001	-3.416000	1018.578003	-0.231875	0.529375	-0.284375
-7.625000	0.793000	1014.186035	-0.126875	0.586250	-0.288750
-11.346000	-2.440000	1016.809021	-0.336875	0.520625	-0.415625
-8.235000	3.721000	1016.747986	-0.315000	0.713125	-0.393750
-9.882000	6.161000	1016.382019	-0.245000	0.463750	-0.297500
-8.662000	-2.867000	1014.552002	-0.262500	0.485625	-0.214375
-7.320000	1.769000	1014.918030	-0.319375	0.603750	-0.293125
-8.662000	-1.464000	1014.918030	-0.520625	0.765625	-0.245000
-5.185000	2.257000	1013.820007	-0.398125	0.656250	-0.350000
-8.418000	0.000000	1017.296997	-0.196875	0.490000	-0.350000
-9.638000	-3.294000	1016.869995	-0.315000	0.743750	-0.332500
-6.405000	3.843000	1014.918030	-0.280000	0.765625	-0.258125
-11.346000	-3.843000	1015.283997	-0.398125	0.717500	-0.315000
-5.673000	-0.915000	1015.772034	-0.358750	0.612500	-0.363125
-5.490000	6.283000	1015.161987	-0.385000	0.463750	-0.306250
-8.540000	-4.087000	1017.785034	-0.275625	0.525000	-0.153125
-8.418000	-2.074000	1016.382019	-0.310625	0.581875	-0.196875
