AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
72.101997	-48.556000	1019.005005	0.883750	-2.235625	-3.088750
19.703001	-35.624001	992.286987	0.883750	-2.235625	0.000000
82.959999	-29.585001	975.390015	-1.561875	-43.207500	-26.324375
121.817001	-33.672001	1010.953003	-23.760626	-59.460625	-33.560623
85.400002	-80.641998	902.434021	-12.267500	32.361874	-10.084375
-16.165001	-110.898003	1073.966064	15.281875	72.511253	12.171250
-0.610000	-19.153999	966.239990	37.375626	32.029373	19.289375
88.999001	8.967000	982.466003	-42.096249	9.301250	34.580002
-38.430000	-81.984001	1006.439026	-43.238125	28.139999	59.202499
-5.124000	-79.361000	1005.890015	-7.288750	26.547501	76.947502
-23.180000	-65.636002	1008.390991	27.334999	-0.205625	72.716873
-20.862000	42.456001	1035.414062	14.923125	-57.837502	51.082500
66.673004	-50.874001	1049.932007	2.782500	-76.947502	22.504999
115.960999	-58.621002	1007.903015	1.631875	-37.988125	-3.395000
106.567001	-31.964001	1009.549988	-6.772500	7.280000	-20.028749
76.250000	-38.491001	1013.880981	-18.908751	34.076874	-31.364374
38.247002	-45.811001	1031.021973	-25.952499	47.381248	-38.451874
45.079002	-46.177002	1023.335999	42.428749	10.259375	-30.913750
11.590000	-5.063000	1016.320984	27.330626	9.038750	-21.511875
28.914000	-6.954000	1004.731018	-7.625625	3.959375	-11.055625
27.816000	-26.108000	1018.822021	-28.721874	-4.580625	2.025625
24.521999	-71.492004	1035.901978	-10.132500	-2.961875	16.174376
7.808000	-26.108000	1018.212036	16.738750	-3.351250	25.186874
10.675000	-15.250000	1012.294983	11.090625	3.215625	25.103750
-14.945000	-79.300003	1010.526001	-9.209375	6.269375	17.753750
19.580999	-46.848000	1019.981018	-13.125000	-2.918125	8.225000
86.863998	139.873001	1005.707031	8.032500	-11.755625	-5.551875
-11.102000	-141.154007	1052.859985	5.061875	7.472500	-6.895000
106.201004	-74.847000	1075.613037	4.593750	37.095627	-0.122500
205.753006	-242.231003	1043.709961	11.379375	15.496250	-1.981875
307.744995	-61.243999	963.190002	23.428125	-29.736876	-68.293747
-56.669003	142.923004	998.143005	-3.023125	15.570625	-80.066872
-133.102005	82.472000	1012.843994	-14.087500	55.759377	-29.863750
7.808000	-89.181999	-351.360016	23.244375	32.278751	20.116249
-124.623001	-35.929001	943.975037	18.025000	-54.245625	-2.113125
-167.994003	-130.479004	928.541992	-15.251250	1.338750	-21.586250
62.586002	-23.668001	1042.428955	-13.632500	-10.364375	-29.977501
67.039001	124.013000	907.375000	4.825625	-12.748750	-32.309376
-53.131001	148.779007	1219.145996	-9.896250	-6.461875	-14.245000
-40.748001	47.153000	970.388000	8.452500	50.754375	-0.008750
-91.256004	110.898003	969.900024	18.340000	47.061874	7.726250
-160.979004	-5.551000	1169.979980	4.598125	23.515625	11.449375
-37.088001	74.054001	982.221985	10.058125	41.330624	4.007500
-129.930008	116.875999	1017.663025	19.280624	-31.276875	27.199375
-64.598999	162.138000	1454.789062	60.943748	-102.357498	67.834373
297.497009	77.958000	820.937988	49.682499	-39.983124	51.244373
97.966003	227.102997	1025.714966	19.302500	17.110624	30.524376
-0.305000	157.563004	1190.171021	-18.405624	10.968125	26.932501
271.755005	234.117996	918.111023	1.124375	-0.949375	6.921250
259.677002	297.436005	850.767029	-5.236875	-14.507500	1.706250
96.684998	165.737000	1021.018005	-55.081249	38.981251	5.376875
164.516998	137.494003	900.177002	-33.140625	6.593125	-3.556875
121.572998	189.649002	815.020996	-38.294376	-27.580000	11.156250
110.715004	81.129997	893.283997	-37.712502	11.716250	21.008751
63.562000	6.527000	855.890991	-24.412500	59.950626	12.871250
-29.036001	-42.090000	1002.413025	7.516250	49.433125	3.893750
-121.634003	-113.521004	1030.656006	-7.472500	84.354378	-8.185625
-196.664001	0.915000	950.989990	-1.719375	114.589996	-11.405625
-143.777008	41.846001	1183.765991	1.001875	52.206875	-4.873750
-270.108002	-57.645000	992.958008	0.437500	-0.651875	3.049375
