@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Y numeric
@attribute F9_VAR_on_ACC_Z numeric
@attribute F10_VAR_on_GY_X numeric
@attribute F11_VAR_on_GY_Y numeric
@attribute F12_VAR_on_GY_Z numeric
@attribute F13_PeakToPeak_on_ACC_X numeric
@attribute F14_PeakToPeak_on_ACC_Y numeric
@attribute F15_PeakToPeak_on_ACC_Z numeric
@attribute F16_PeakToPeak_on_GY_X numeric
@attribute F17_PeakToPeak_on_GY_Y numeric
@attribute F18_PeakToPeak_on_GY_Z numeric
@attribute F19_MIN_on_ACC_X numeric
@attribute F20_MIN_on_ACC_Y numeric
@attribute F21_MIN_on_ACC_Z numeric
@attribute F22_MIN_on_GY_X numeric
@attribute F23_MIN_on_GY_Y numeric
@attribute F24_MIN_on_GY_Z numeric
@attribute F25_MAX_on_ACC_X numeric
@attribute F26_MAX_on_ACC_Y numeric
@attribute F27_MAX_on_ACC_Z numeric
@attribute F28_MAX_on_GY_X numeric
@attribute F29_MAX_on_GY_Y numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.00396347, 0.0031929, 1.01465, 0.0144119, -0.0220032, -0.0999756, 0.00374031, 0.00131226, 0.000976563, 0.0284882, 0.0977173, 0.127563, 0.378906, 0.182373, 0.273926, 0.828613, 2.00781, 1.95313, -0.183838, -0.0698242, 0.852051, -0.303711, -1.09473, -1.58008, 0.195068, 0.112488, 1.12598, 0.524902, 0.911621, 0.372559, Circle
0.0606689, 0.0168152, 1.01172, 0.0075531, 0.0262909, 0.00327682, 0.00284195, 0.00115585, 0.00390625, 0.0192108, 0.0603027, 0.0406799, 0.220093, 0.156982, 0.114258, 0.680176, 1.05176, 0.879395, -0.0350647, -0.0672607, 0.952148, -0.388184, -0.437744, -0.333252, 0.185059, 0.0897217, 1.06641, 0.291992, 0.613281, 0.545898, Circle
0.0563965, 0.0678101, 1.02246, 0.0254517, -0.0167694, 0.141724, 0.00730896, 0.00568008, 0, 0.0220032, 0.0602112, 0.0501709, 0.266357, 0.375977, 0.316895, 0.722656, 1.20996, 0.864258, -0.0492554, -0.0869751, 0.833496, -0.361572, -0.631836, -0.101013, 0.217041, 0.289063, 1.15039, 0.36084, 0.577637, 0.763184, Circle
-0.0362854, 0.0428162, 0.973633, 0.139893, 0.129272, -0.0357666, 0.0450745, 0.0100632, 0.0229492, 0.0735474, 0.394287, 0.432129, 0.629883, 0.397949, 0.436523, 1.1084, 2.22656, 2.0957, -0.318848, -0.184937, 0.735352, -0.453613, -0.939941, -1.13574, 0.310791, 0.213013, 1.17188, 0.654297, 1.28516, 0.958496, Circle
-0.0608215, -0.0842896, 0.967773, 0.119019, -0.119141, -0.0649414, 0.0525818, 0.0109024, 0.0205078, 0.0779419, 0.397949, 0.353516, 0.769531, 0.419434, 0.53125, 1.07324, 2.18164, 2.13281, -0.432617, -0.300781, 0.655273, -0.566895, -1.00977, -1.08203, 0.336914, 0.118591, 1.18652, 0.505859, 1.1709, 1.0498, Circle
-0.0588074, -0.0750122, 0.960938, 0.183472, -0.133667, 0.0362854, 0.10321, 0.0154648, 0.0229492, 0.0431824, 0.524902, 0.333984, 0.980469, 0.424805, 0.577637, 0.762695, 2.66406, 1.89258, -0.562012, -0.241821, 0.635254, -0.170166, -1.21289, -0.913574, 0.418457, 0.182861, 1.21289, 0.592285, 1.4502, 0.979004, Circle
0.0740967, -0.110535, 0.986816, 0.0955811, 0.0412903, 0.0927734, 0.0561523, 0.00670624, 0.00244141, 0.0312195, 0.27124, 0.272217, 0.757813, 0.35376, 0.307129, 0.706543, 1.93066, 1.82129, -0.315186, -0.240112, 0.810059, -0.237671, -0.754883, -0.865723, 0.442383, 0.113464, 1.11719, 0.46875, 1.17578, 0.955566, Circle
-0.0126953, -0.0999756, 0.996094, 0.113342, 0.0794067, 0.106384, 0.0470581, 0.00971985, 0.015625, 0.028656, 0.339111, 0.303467, 0.683105, 0.359619, 0.479492, 0.764648, 2.36523, 1.75391, -0.379395, -0.290039, 0.685547, -0.310059, -0.791016, -0.794434, 0.303711, 0.0695801, 1.16504, 0.454346, 1.57324, 0.958984, Circle
-0.114685, -0.0830688, 0.945313, 0.203369, 0.0714722, -0.0492554, 0.0654907, 0.0139771, 0.0141602, 0.0670776, 0.408936, 0.26709, 0.728516, 0.375244, 0.461426, 1.02148, 2.11719, 1.89453, -0.475342, -0.276611, 0.660645, -0.244629, -0.915527, -1.03125, 0.253174, 0.0985107, 1.12207, 0.776367, 1.20117, 0.863281, Circle
-0.0703125, -0.0966187, 0.942871, 0.15625, -0.0523682, -0.10321, 0.0703735, 0.0256653, 0.0175781, 0.0464478, 0.293945, 0.315674, 0.833008, 0.51416, 0.438477, 0.927734, 2.29883, 1.83984, -0.505859, -0.363525, 0.726563, -0.447754, -1.2207, -0.96875, 0.327148, 0.150513, 1.16504, 0.479736, 1.07715, 0.870605, Circle
-0.0514221, -0.116333, 0.984863, 0.0375671, -0.108215, -0.039093, 0.0413818, 0.00770569, 0.0102539, 0.0654907, 0.30835, 0.230835, 0.702148, 0.417725, 0.397461, 1.0918, 1.84668, 1.79883, -0.437256, -0.33374, 0.772461, -0.553711, -0.838867, -0.894043, 0.264648, 0.0838623, 1.16992, 0.537598, 1.00781, 0.904297, Circle
