@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_VAR_on_ACC_X numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_GY_Z numeric
@attribute F9_ENERGY_on_ACC_X numeric
@attribute F10_ENERGY_on_ACC_Y numeric
@attribute F11_ENERGY_on_GY_Z numeric
@attribute F12_PeakToPeak_on_ACC_X numeric
@attribute F13_ZeroCross_on_ACC_X numeric
@attribute F14_ZeroCross_on_GY_Z numeric
@attribute F15_PositiveZeroCross_on_ACC_X numeric
@attribute F16_PositiveZeroCross_on_ACC_Y numeric
@attribute F17_PositiveZeroCross_on_ACC_Z numeric
@attribute F18_PositiveZeroCross_on_GY_X numeric
@attribute F19_PositiveZeroCross_on_GY_Y numeric
@attribute F20_PositiveZeroCross_on_GY_Z numeric
@attribute F21_PeaKDet_on_ACC_X numeric
@attribute F22_PeaKDet_on_ACC_Y numeric
@attribute F23_PeaKDet_on_ACC_Z numeric
@attribute F24_PeaKDet_on_GY_X numeric
@attribute F25_PeaKDet_on_GY_Y numeric
@attribute F26_PeaKDet_on_GY_Z numeric
@attribute F27_PosPeaKDet_on_ACC_X numeric
@attribute F28_PosPeaKDet_on_ACC_Y numeric
@attribute F29_PosPeaKDet_on_ACC_Z numeric
@attribute F30_PosPeaKDet_on_GY_X numeric
@attribute F31_PosPeaKDet_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
0.0509949, -0.0743408, 1.00488, -0.00516129, 0.0125198, 9.53674e-06, 0.00878906, 0.000114977, 0.211426, 0.449707, 0.0141373, 0.0265808, 0, 0, 0, 0, 0, 8, 24, 0, 49, 50, 58, 42, 35, 51, 24, 25, 29, 21, 26, Circle
-0.020813, -0.0679321, 1.00195, -0.00964355, 0.0951538, 0.0209808, 0.00292969, 0.0958252, 1.73535, 0.583984, 10.9375, 1.22656, 24, 28, 12, 28, 26, 32, 34, 14, 44, 46, 55, 44, 44, 40, 22, 23, 28, 22, 20, Circle
0.00343323, -0.00843811, 0.997559, 0.0241547, -0.0784302, 0.0131073, 0.00683594, 0.127808, 1.06348, 0.421875, 12.0156, 0.561035, 34, 12, 18, 26, 40, 20, 28, 6, 46, 49, 57, 37, 45, 42, 23, 25, 28, 18, 21, Circle
0.00576019, 0.0476685, 1.0293, 0.0150986, 0.11084, 0.00362968, 0.000976563, 0.0573425, 0.296875, 0.484619, 6.1875, 0.411133, 30, 2, 14, 4, 28, 30, 8, 2, 49, 43, 55, 39, 43, 38, 25, 21, 28, 20, 19, Circle
-0.170776, -0.0388794, 0.956055, 0.126343, -0.095459, 0.0277863, 0.0283203, 0.224854, 4.61719, 1.46973, 18.9688, 0.608887, 18, 10, 10, 6, 14, 14, 2, 6, 53, 50, 49, 46, 40, 40, 26, 25, 24, 23, 20, Circle
-0.0708008, 0.0202789, 1.00195, 0.0602722, 0.171021, 0.0386658, 0.0224609, 0.250732, 3.54102, 1.50586, 21.2656, 0.716797, 22, 14, 10, 4, 6, 16, 6, 6, 62, 49, 56, 43, 42, 40, 31, 25, 28, 21, 20, Circle
-0.10437, -0.0261841, 0.963867, 0.14209, -0.13916, 0.0410156, 0.0307617, 0.251465, 4.20703, 0.963379, 20.9688, 0.723633, 10, 14, 6, 14, 12, 18, 8, 8, 47, 51, 53, 42, 39, 39, 24, 25, 27, 21, 19, Circle
-0.0103683, 0.012352, 1.00781, 0.100159, -0.026825, 0.0496521, 0.0175781, 0.245239, 4.03516, 1.06445, 20.4688, 0.84668, 4, 4, 2, 16, 10, 12, 8, 2, 54, 49, 54, 46, 46, 44, 27, 25, 27, 23, 22, Circle
-0.00888062, 0.0374146, 1.00684, 0.0919189, 0.170166, 0.0314331, 0.0253906, 0.289795, 2.55469, 2.49219, 24.2969, 0.711426, 22, 14, 10, 6, 20, 24, 6, 6, 56, 47, 48, 38, 45, 39, 28, 23, 24, 19, 20, Circle
-0.113708, 0.00782776, 0.940918, 0.176636, -0.0160828, 0.0413208, 0.0371094, 0.355713, 4.39844, 1.80273, 30.3281, 0.739258, 20, 12, 10, 6, 10, 22, 12, 6, 59, 46, 50, 41, 44, 45, 29, 23, 25, 21, 22, Circle
-0.0172577, -0.000437498, 1.00195, 0.113708, -0.164429, 0.0565186, 0.0195313, 0.278809, 4.60547, 0.750488, 22.6719, 0.974609, 6, 6, 4, 16, 10, 22, 10, 4, 44, 47, 57, 42, 40, 35, 22, 24, 28, 21, 18, Circle
0.0930786, -0.00891113, 1.01758, 0.126221, 0.127686, 0.0471497, 0.0214844, 0.319824, 4.52344, 1.30859, 27.6094, 0.827637, 6, 8, 2, 10, 12, 14, 10, 4, 46, 39, 52, 37, 47, 38, 23, 19, 26, 18, 19, Circle
-0.0414124, -0.00919342, 0.949219, 0.13501, 0.0562744, 0.0481262, 0.0283203, 0.292969, 4.03906, 1.02637, 24.6406, 0.788574, 12, 10, 6, 14, 20, 16, 6, 4, 56, 45, 48, 40, 44, 37, 28, 23, 24, 20, 18, Circle
-0.0429993, -0.024704, 1.01367, 0.120789, -0.0825806, 0.0343323, 0.0195313, 0.411377, 2.93359, 1.44727, 33.4063, 0.690918, 36, 18, 18, 12, 16, 18, 16, 10, 54, 40, 54, 38, 51, 37, 27, 20, 27, 19, 19, Circle
-0.020462, 0.0156021, 1.00977, 0.0760498, 0.0360413, 0.041626, 0.0234375, 0.296143, 3.4082, 0.801758, 25.4688, 0.699707, 8, 12, 4, 18, 14, 16, 8, 6, 55, 45, 51, 40, 49, 41, 28, 22, 26, 20, 20, Circle
-0.103638, 0.0194244, 0.982422, 0.106506, 0.137939, 0.0327148, 0.0200195, 0.208984, 3.52148, 0.961914, 16.9375, 0.701172, 18, 18, 8, 8, 14, 18, 8, 8, 53, 49, 57, 48, 45, 44, 26, 25, 28, 24, 22, Circle
-0.0752563, -0.0216827, 0.97998, 0.150146, -0.139404, 0.0287323, 0.0244141, 0.31543, 2.78711, 0.626953, 26.2813, 0.647461, 18, 10, 10, 12, 8, 10, 6, 6, 56, 45, 53, 45, 45, 45, 28, 22, 27, 23, 23, Circle
-0.0588074, 0.0262451, 1.02441, 0.0792847, -0.0240173, 0.0324402, 0.0234375, 0.301758, 2.9082, 0.806152, 25.6563, 0.666016, 12, 4, 6, 14, 14, 16, 16, 2, 46, 52, 55, 41, 44, 38, 23, 26, 27, 20, 19, Circle
-0.10553, 0.0357666, 0.986816, 0.0960083, 0.178711, 0.0271912, 0.0283203, 0.313232, 3.10742, 1.43066, 25.8438, 0.606445, 22, 6, 10, 8, 16, 16, 6, 2, 56, 43, 55, 51, 47, 50, 28, 22, 28, 26, 25, Circle
-0.00484085, 0.00417328, 1.01563, 0.0131073, -0.0203857, 0.00746536, 0.00390625, 0.163574, 0.606934, 0.248413, 14.1484, 0.786621, 42, 26, 22, 28, 0, 34, 24, 14, 44, 47, 55, 46, 33, 33, 22, 24, 27, 23, 16, Circle
0.0624084, 0.0135651, 1.0127, 0.00736237, 0.026123, 0.00413895, 0.00390625, 0.0534363, 0.651367, 0.185181, 4.33984, 0.317383, 26, 32, 12, 20, 36, 24, 24, 16, 47, 49, 51, 38, 43, 39, 24, 24, 26, 19, 20, Circle
0.052002, 0.0671997, 1.0166, 0.0339355, -0.0315552, 0.00775528, 0.00585938, 0.0500488, 0.847656, 0.979004, 5.32031, 0.294678, 6, 34, 4, 16, 24, 20, 26, 18, 50, 39, 48, 37, 39, 33, 25, 20, 24, 19, 16, Circle
-0.0269318, 0.0450134, 0.981445, 0.125244, 0.144653, 0.047821, 0.0229492, 0.459229, 3.93555, 1.17285, 37.2188, 0.789551, 14, 10, 6, 16, 12, 14, 8, 4, 50, 49, 54, 37, 40, 39, 25, 24, 27, 18, 20, Circle
-0.0664673, -0.0799561, 0.964355, 0.122864, -0.103027, 0.0580444, 0.0219727, 0.395508, 5.0625, 1.55078, 32.625, 0.937012, 8, 14, 4, 10, 12, 14, 12, 8, 58, 45, 51, 39, 45, 33, 29, 23, 25, 20, 16, Circle
-0.0666504, -0.0772705, 0.958984, 0.182373, -0.154297, 0.102417, 0.0283203, 0.355225, 8.66406, 1.93457, 28.875, 1.07813, 10, 4, 6, 6, 12, 18, 8, 2, 57, 49, 46, 43, 39, 44, 28, 24, 23, 21, 22, Circle
0.0783691, -0.108215, 0.983887, 0.0977783, 0.046051, 0.0607605, 0.00390625, 0.294434, 5.42188, 1.60352, 24.6094, 0.860352, 8, 4, 4, 16, 8, 20, 16, 2, 53, 49, 43, 42, 44, 30, 27, 25, 22, 21, 15, Circle
-0.00556564, -0.102905, 1, 0.110962, 0.051178, 0.0515747, 0.0175781, 0.330811, 4.18359, 1.79492, 27.7188, 0.878906, 12, 16, 6, 12, 18, 30, 8, 8, 55, 53, 55, 42, 49, 47, 27, 26, 27, 21, 24, Circle
-0.109375, -0.0845947, 0.947754, 0.205078, 0.0929565, 0.0655518, 0.019043, 0.290039, 6.28516, 1.86328, 23.6094, 0.793457, 4, 10, 2, 10, 8, 12, 8, 4, 52, 48, 55, 41, 52, 33, 26, 24, 28, 21, 16, Circle
-0.0730591, -0.0939941, 0.938477, 0.160645, -0.0438843, 0.0762939, 0.0249023, 0.354492, 6.61328, 3.00586, 29.5313, 0.933105, 8, 20, 4, 8, 12, 22, 10, 10, 47, 50, 43, 41, 44, 33, 24, 25, 21, 20, 17, Circle
-0.0558472, -0.112305, 0.978516, 0.0386658, -0.10553, 0.0469971, 0.0185547, 0.260498, 4.0625, 1.74121, 21.25, 0.835449, 18, 20, 10, 20, 18, 20, 12, 10, 53, 53, 54, 36, 47, 40, 26, 27, 27, 18, 20, Circle
-0.0539856, -0.12915, 0.995605, 0.103516, -0.0623474, 0.0427551, 0.0175781, 0.22522, 3.70117, 2.80273, 18.2656, 0.765137, 14, 10, 8, 16, 14, 24, 16, 6, 55, 54, 51, 38, 46, 43, 28, 27, 26, 19, 21, Circle
-0.0358887, -0.0734253, 0.999512, 0.0803223, -0.0418091, 0.0466309, 0.015625, 0.233643, 3.88281, 1.13867, 19.0313, 0.762207, 16, 28, 8, 22, 16, 26, 8, 14, 52, 56, 54, 47, 42, 42, 26, 28, 27, 24, 21, Circle
-0.067627, -0.0777588, 0.982422, 0.10498, -0.0326538, 0.0570068, 0.0107422, 0.254395, 4.99219, 1.17285, 20.9219, 0.885254, 12, 20, 6, 20, 24, 20, 8, 10, 60, 54, 54, 46, 49, 44, 30, 27, 27, 23, 22, Circle
-0.0496826, -0.0646973, 0.996094, 0.0939331, 0.0343018, 0.0481262, 0.0146484, 0.243896, 4.10156, 1.29199, 20.0313, 0.79541, 20, 12, 10, 16, 16, 20, 14, 6, 55, 57, 57, 37, 43, 47, 27, 28, 28, 18, 24, Circle
-0.0969238, -0.0722046, 0.986816, 0.0604858, 0.0431824, 0.0438843, 0.015625, 0.172729, 4.32031, 1.1875, 14.2109, 0.765625, 14, 22, 6, 10, 6, 12, 6, 10, 61, 53, 51, 38, 49, 44, 31, 27, 26, 19, 22, Circle
-0.126587, -0.0786133, 0.95459, 0.165161, 0.0292816, 0.0474548, 0.0234375, 0.313477, 5.14453, 1.20801, 25.7188, 0.808594, 20, 12, 10, 16, 18, 10, 8, 6, 61, 46, 47, 41, 45, 48, 30, 23, 23, 21, 24, Circle
-0.118652, -0.0900879, 0.965332, 0.0916748, -0.115479, 0.0432739, 0.0200195, 0.287109, 4.64844, 1.66504, 23.5156, 0.719238, 14, 8, 8, 14, 10, 18, 14, 4, 54, 51, 58, 40, 47, 43, 27, 25, 29, 20, 21, Circle
-0.0841064, -0.140625, 0.993164, 0.0372009, -0.0535278, 0.0427551, 0.0195313, 0.214478, 4.03906, 2.61523, 17.3906, 0.802734, 12, 30, 6, 16, 10, 20, 12, 16, 50, 53, 54, 35, 47, 40, 25, 27, 27, 17, 20, Circle
-0.00396347, 0.0031929, 1.01465, 0.0144119, -0.0220032, 0.00374031, 0.000976563, 0.127563, 0.304443, 0.107239, 11.1563, 0.378906, 8, 18, 4, 6, 0, 18, 16, 10, 22, 46, 31, 31, 23, 17, 11, 23, 15, 15, 9, Circle
0.0606689, 0.0168152, 1.01172, 0.0075531, 0.0262909, 0.00284195, 0.00390625, 0.0406799, 0.528809, 0.116577, 3.29688, 0.220093, 6, 14, 2, 10, 14, 16, 14, 6, 26, 18, 33, 22, 20, 22, 13, 9, 17, 11, 11, Circle
0.0563965, 0.0678101, 1.02246, 0.0254517, -0.0167694, 0.00730896, 0, 0.0501709, 0.850586, 0.833008, 5.69531, 0.266357, 2, 26, 2, 8, 16, 10, 12, 14, 33, 27, 20, 19, 23, 19, 17, 14, 10, 10, 9, Circle
-0.0362854, 0.0428162, 0.973633, 0.139893, 0.129272, 0.0450745, 0.0229492, 0.432129, 3.75977, 0.963867, 35.125, 0.629883, 6, 6, 2, 6, 6, 8, 2, 2, 22, 30, 32, 21, 19, 13, 11, 15, 16, 10, 7, Circle
-0.0608215, -0.0842896, 0.967773, 0.119019, -0.119141, 0.0525818, 0.0205078, 0.353516, 4.5625, 1.45996, 29, 0.769531, 6, 6, 4, 2, 8, 6, 6, 4, 29, 23, 22, 23, 24, 15, 14, 11, 11, 12, 7, Circle
-0.0588074, -0.0750122, 0.960938, 0.183472, -0.133667, 0.10321, 0.0229492, 0.333984, 8.64844, 1.70898, 27.1719, 0.980469, 4, 4, 2, 4, 6, 6, 6, 2, 23, 28, 17, 26, 24, 22, 12, 14, 8, 13, 11, Circle
0.0740967, -0.110535, 0.986816, 0.0955811, 0.0412903, 0.0561523, 0.00244141, 0.272217, 4.99609, 1.53418, 22.75, 0.757813, 4, 4, 2, 4, 4, 6, 10, 2, 24, 29, 32, 31, 23, 26, 12, 15, 16, 15, 13, Circle
-0.0126953, -0.0999756, 0.996094, 0.113342, 0.0794067, 0.0470581, 0.015625, 0.303467, 3.82617, 1.59863, 25.5, 0.683105, 6, 8, 2, 6, 6, 10, 4, 4, 30, 25, 23, 33, 25, 25, 15, 12, 12, 17, 13, Circle
-0.114685, -0.0830688, 0.945313, 0.203369, 0.0714722, 0.0654907, 0.0141602, 0.26709, 6.37109, 1.69141, 21.8438, 0.728516, 4, 6, 2, 6, 4, 6, 4, 2, 24, 25, 26, 22, 16, 20, 12, 13, 13, 11, 10, Circle
-0.0703125, -0.0966187, 0.942871, 0.15625, -0.0523682, 0.0703735, 0.0175781, 0.315674, 6.10547, 2.83789, 26.4531, 0.833008, 4, 8, 2, 4, 4, 6, 8, 4, 25, 21, 27, 22, 20, 20, 12, 10, 13, 11, 10, Circle
-0.0514221, -0.116333, 0.984863, 0.0375671, -0.108215, 0.0413818, 0.0102539, 0.230835, 3.57031, 1.72168, 18.8438, 0.702148, 6, 4, 4, 8, 4, 10, 4, 2, 30, 33, 26, 17, 23, 20, 15, 17, 13, 8, 10, Circle
-0.0520325, -0.127563, 0.99707, 0.107849, -0.0574341, 0.0397949, 0.0107422, 0.196167, 3.44531, 2.55078, 15.9609, 0.654297, 6, 6, 4, 4, 2, 10, 6, 4, 33, 31, 29, 19, 20, 31, 17, 15, 15, 10, 15, Circle
-0.0329285, -0.0726318, 0.994629, 0.0812378, -0.0386658, 0.0431213, 0.0146484, 0.205811, 3.58398, 0.992676, 16.8125, 0.681152, 4, 8, 2, 10, 10, 14, 6, 4, 24, 32, 34, 24, 27, 19, 12, 16, 17, 12, 10, Circle
-0.0681152, -0.0761108, 0.982422, 0.105835, -0.0290375, 0.0533752, 0.0136719, 0.234497, 4.70313, 0.939941, 19.3281, 0.728027, 4, 4, 2, 4, 10, 10, 4, 2, 32, 34, 36, 29, 27, 22, 16, 17, 18, 14, 11, Circle
-0.053772, -0.0628052, 0.995605, 0.0953369, 0.0440063, 0.0438843, 0.0126953, 0.218994, 3.79297, 1.11914, 17.9844, 0.734863, 8, 4, 4, 6, 2, 10, 2, 2, 23, 28, 29, 26, 30, 22, 11, 14, 14, 13, 11, Circle
-0.098999, -0.0732422, 0.98291, 0.0600891, 0.0426636, 0.0410461, 0.0146484, 0.15271, 4.12109, 1.05176, 12.5, 0.666016, 6, 6, 2, 2, 4, 8, 4, 2, 34, 27, 27, 20, 17, 22, 17, 14, 14, 10, 11, Circle
-0.130737, -0.0795288, 0.953125, 0.162842, 0.00894928, 0.0440674, 0.0180664, 0.29541, 4.95703, 1.01563, 24.375, 0.625977, 8, 8, 4, 6, 4, 6, 4, 4, 30, 24, 31, 30, 28, 26, 15, 12, 15, 15, 13, Circle
-0.111816, -0.0922241, 0.968262, 0.0892944, -0.120789, 0.0389404, 0.0161133, 0.259766, 4.17188, 1.54688, 21.1719, 0.645508, 6, 4, 4, 6, 4, 6, 6, 2, 24, 33, 36, 30, 26, 19, 12, 16, 18, 15, 9, Circle
-0.081604, -0.139404, 0.992188, 0.0424805, -0.0434265, 0.0400085, 0.015625, 0.177734, 3.7832, 2.36328, 14.4375, 0.625488, 4, 14, 2, 6, 2, 10, 6, 8, 18, 26, 38, 25, 26, 23, 9, 13, 19, 13, 12, Circle
-0.0031662, 0.00286102, 1.01465, 0.0141449, -0.0249939, 0.00222969, 0, 0.0797729, 0.181519, 0.0692139, 7.3125, 0.240234, 8, 22, 4, 4, 0, 10, 10, 10, 24, 34, 25, 28, 32, 19, 12, 17, 12, 14, 10, Circle
0.0603943, 0.0204468, 1.01465, 0.00865936, 0.0283813, 0.00200653, 0, 0.0328369, 0.458252, 0.107239, 2.66406, 0.186035, 4, 12, 2, 10, 12, 10, 6, 6, 17, 20, 29, 20, 21, 17, 9, 10, 15, 10, 8, Circle
