@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Z numeric
@attribute F9_VAR_on_GY_Y numeric
@attribute F10_VAR_on_GY_Z numeric
@attribute F11_ENERGY_on_ACC_X numeric
@attribute F12_ENERGY_on_ACC_Y numeric
@attribute F13_ENERGY_on_ACC_Z numeric
@attribute F14_ENERGY_on_GY_X numeric
@attribute F15_ENERGY_on_GY_Y numeric
@attribute F16_ENERGY_on_GY_Z numeric
@attribute F17_PeakToPeak_on_ACC_X numeric
@attribute F18_ZeroCross_on_ACC_X numeric
@attribute F19_ZeroCross_on_ACC_Y numeric
@attribute F20_ZeroCross_on_ACC_Z numeric
@attribute F21_ZeroCross_on_GY_X numeric
@attribute F22_ZeroCross_on_GY_Y numeric
@attribute F23_ZeroCross_on_GY_Z numeric
@attribute F24_PeaKDet_on_ACC_X numeric
@attribute F25_PeaKDet_on_ACC_Y numeric
@attribute F26_PeaKDet_on_ACC_Z numeric
@attribute F27_PeaKDet_on_GY_X numeric
@attribute F28_PeaKDet_on_GY_Z numeric
@attribute F29_MIN_on_ACC_X numeric
@attribute F30_MIN_on_ACC_Z numeric
@attribute F31_MAX_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
0.0509949, -0.0743408, 1.00488, -0.00516129, 0.0125198, -0.0077095, 9.53674e-06, 0.00878906, 0.000694752, 0.000114977, 0.211426, 0.449707, 82.5625, 0.00518799, 0.0690308, 0.0141373, 0.0265808, 0, 0, 0, 16, 48, 0, 49, 50, 58, 42, 51, 0.0364075, 0.987793, -0.00213623, Circle
-0.020813, -0.0679321, 1.00195, -0.00964355, 0.0951538, 0.197754, 0.0209808, 0.00292969, 0.160156, 0.0958252, 1.73535, 0.583984, 81.625, 5.10938, 13.7188, 10.9375, 1.22656, 24, 54, 54, 64, 68, 28, 44, 46, 55, 44, 40, -0.435059, 0.319092, 1.66504, Circle
0.00343323, -0.00843811, 0.997559, 0.0241547, -0.0784302, -0.142944, 0.0131073, 0.00683594, 0.268799, 0.127808, 1.06348, 0.421875, 81.1875, 9.82031, 22.2813, 12.0156, 0.561035, 34, 52, 78, 38, 54, 12, 46, 49, 57, 37, 42, -0.356201, 0.708008, 1.23047, Circle
0.00576019, 0.0476685, 1.0293, 0.0150986, 0.11084, 0.137939, 0.00362968, 0.000976563, 0.0879517, 0.0573425, 0.296875, 0.484619, 86, 0.824219, 8.125, 6.1875, 0.411133, 30, 8, 60, 60, 16, 2, 49, 43, 55, 39, 38, -0.299316, 0.937012, 0.899414, Circle
-0.170776, -0.0388794, 0.956055, 0.126343, -0.095459, -0.0958252, 0.0277863, 0.0283203, 0.42041, 0.224854, 4.61719, 1.46973, 76.375, 5.49609, 34.8125, 18.9688, 0.608887, 18, 14, 26, 26, 6, 10, 53, 50, 49, 46, 40, -0.470459, 0.630371, 0.844727, Circle
-0.0708008, 0.0202789, 1.00195, 0.0602722, 0.171021, 0.107849, 0.0386658, 0.0224609, 0.472168, 0.250732, 3.54102, 1.50586, 83.1875, 3.87891, 40.6563, 21.2656, 0.716797, 22, 8, 14, 34, 10, 14, 62, 49, 56, 43, 40, -0.450684, 0.626953, 0.846191, Circle
-0.10437, -0.0261841, 0.963867, 0.14209, -0.13916, -0.0859985, 0.0410156, 0.0307617, 0.544434, 0.251465, 4.20703, 0.963379, 77.8125, 9.97656, 45.7188, 20.9688, 0.723633, 10, 28, 22, 36, 18, 14, 47, 51, 53, 42, 39, -0.501953, 0.603027, 0.700195, Circle
-0.0103683, 0.012352, 1.00781, 0.100159, -0.026825, 0.085022, 0.0496521, 0.0175781, 0.317383, 0.245239, 4.03516, 1.06445, 83.75, 5.75391, 25.7813, 20.4688, 0.84668, 4, 30, 20, 26, 14, 4, 54, 49, 54, 46, 44, -0.474365, 0.670898, 0.805176, Circle
-0.00888062, 0.0374146, 1.00684, 0.0919189, 0.170166, 0.100525, 0.0314331, 0.0253906, 0.39624, 0.289795, 2.55469, 2.49219, 84.1875, 5.23828, 34.4688, 24.2969, 0.711426, 22, 10, 40, 48, 12, 14, 56, 47, 48, 38, 39, -0.4021, 0.620605, 1.21289, Circle
-0.113708, 0.00782776, 0.940918, 0.176636, -0.0160828, -0.135986, 0.0413208, 0.0371094, 0.531738, 0.355713, 4.39844, 1.80273, 74.75, 11.5469, 43.1563, 30.3281, 0.739258, 20, 14, 20, 44, 26, 12, 59, 46, 50, 41, 45, -0.489014, 0.468018, 0.696289, Circle
