@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Y numeric
@attribute F9_VAR_on_ACC_Z numeric
@attribute F10_VAR_on_GY_X numeric
@attribute F11_VAR_on_GY_Y numeric
@attribute F12_VAR_on_GY_Z numeric
@attribute F13_PeakToPeak_on_ACC_X numeric
@attribute F14_PeakToPeak_on_ACC_Y numeric
@attribute F15_PeakToPeak_on_ACC_Z numeric
@attribute F16_PeakToPeak_on_GY_X numeric
@attribute F17_PeakToPeak_on_GY_Y numeric
@attribute F18_PeakToPeak_on_GY_Z numeric
@attribute F19_MIN_on_ACC_X numeric
@attribute F20_MIN_on_ACC_Y numeric
@attribute F21_MIN_on_ACC_Z numeric
@attribute F22_MIN_on_GY_X numeric
@attribute F23_MIN_on_GY_Y numeric
@attribute F24_MIN_on_GY_Z numeric
@attribute F25_MAX_on_ACC_X numeric
@attribute F26_MAX_on_ACC_Y numeric
@attribute F27_MAX_on_ACC_Z numeric
@attribute F28_MAX_on_GY_X numeric
@attribute F29_MAX_on_GY_Y numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
0.0509949, -0.0743408, 1.00488, -0.00516129, 0.0125198, -0.0077095, 9.53674e-06, 1.90735e-05, 0.00878906, 3.73721e-05, 0.000694752, 0.000114977, 0.0265808, 0.0378418, 0.0629883, 0.0539551, 0.187134, 0.0576477, 0.0364075, -0.0918579, 0.987793, -0.0385437, -0.0430603, -0.0597839, 0.0629883, -0.0540161, 1.05078, 0.015419, 0.144043, -0.00213623, Circle
-0.020813, -0.0679321, 1.00195, -0.00964355, 0.0951538, 0.197754, 0.0209808, 0.00259018, 0.00292969, 0.0629272, 0.160156, 0.0958252, 1.22656, 0.350586, 0.828613, 2.02539, 2.80078, 1.92969, -0.435059, -0.200073, 0.319092, -0.698242, -1.15527, -0.264893, 0.791016, 0.150391, 1.14746, 1.32617, 1.64551, 1.66504, Circle
0.00343323, -0.00843811, 0.997559, 0.0241547, -0.0784302, -0.142944, 0.0131073, 0.00513077, 0.00683594, 0.120544, 0.268799, 0.127808, 0.561035, 0.385986, 0.461914, 2.40039, 2.69727, 2.18164, -0.356201, -0.176636, 0.708008, -1.27441, -1.35645, -0.949707, 0.204712, 0.209351, 1.16992, 1.12598, 1.34082, 1.23047, Circle
0.00576019, 0.0476685, 1.0293, 0.0150986, 0.11084, 0.137939, 0.00362968, 0.00370598, 0.000976563, 0.0099411, 0.0879517, 0.0573425, 0.411133, 0.351074, 0.282715, 0.677246, 1.47461, 1.0332, -0.299316, -0.0795898, 0.937012, -0.346191, -0.362305, -0.133057, 0.111755, 0.271484, 1.21973, 0.330811, 1.1123, 0.899414, Circle
-0.170776, -0.0388794, 0.956055, 0.126343, -0.095459, -0.0958252, 0.0277863, 0.0166168, 0.0283203, 0.0518494, 0.42041, 0.224854, 0.608887, 0.498291, 0.654785, 0.914551, 2.0332, 1.59961, -0.470459, -0.286133, 0.630371, -0.285889, -1, -0.754883, 0.138306, 0.212158, 1.28516, 0.628418, 1.03223, 0.844727, Circle
-0.0708008, 0.0202789, 1.00195, 0.0602722, 0.171021, 0.107849, 0.0386658, 0.018158, 0.0224609, 0.04422, 0.472168, 0.250732, 0.716797, 0.557129, 0.638672, 0.989746, 2.58203, 1.74023, -0.450684, -0.287109, 0.626953, -0.413574, -1.33105, -0.894043, 0.266113, 0.269775, 1.26563, 0.576172, 1.25098, 0.846191, Circle
-0.10437, -0.0261841, 0.963867, 0.14209, -0.13916, -0.0859985, 0.0410156, 0.0112, 0.0307617, 0.102905, 0.544434, 0.251465, 0.723633, 0.478027, 0.638184, 1.38184, 3.01563, 1.74707, -0.501953, -0.265625, 0.603027, -0.484863, -1.54785, -1.04688, 0.221558, 0.212402, 1.24121, 0.896973, 1.46777, 0.700195, Circle
-0.0103683, 0.012352, 1.00781, 0.100159, -0.026825, 0.085022, 0.0496521, 0.0129776, 0.0175781, 0.0609436, 0.317383, 0.245239, 0.84668, 0.513672, 0.733398, 1.06152, 2.19141, 1.7168, -0.474365, -0.244629, 0.670898, -0.376953, -1.08301, -0.911133, 0.37207, 0.268799, 1.4043, 0.68457, 1.1084, 0.805176, Circle
-0.00888062, 0.0374146, 1.00684, 0.0919189, 0.170166, 0.100525, 0.0314331, 0.0293427, 0.0253906, 0.0561829, 0.39624, 0.289795, 0.711426, 0.69043, 0.897949, 1.29785, 2.58398, 2.24805, -0.4021, -0.299072, 0.620605, -0.39624, -1.20215, -1.03418, 0.309326, 0.391113, 1.51855, 0.900879, 1.38184, 1.21289, Circle
-0.113708, 0.00782776, 0.940918, 0.176636, -0.0160828, -0.135986, 0.0413208, 0.0221863, 0.0371094, 0.111267, 0.531738, 0.355713, 0.739258, 0.538574, 0.897461, 1.83301, 3.07813, 1.93262, -0.489014, -0.240112, 0.468018, -0.568359, -1.70898, -1.23633, 0.250244, 0.29834, 1.36523, 1.26465, 1.36914, 0.696289, Circle
-0.0172577, -0.000437498, 1.00195, 0.113708, -0.164429, 0.0298004, 0.0565186, 0.00926208, 0.0195313, 0.0588379, 0.490479, 0.278809, 0.974609, 0.378906, 0.583984, 1.27441, 2.54297, 1.83398, -0.492188, -0.205688, 0.688477, -0.355225, -1.54297, -1.11719, 0.482422, 0.173096, 1.27246, 0.918457, 1, 0.716797, Circle
0.0930786, -0.00891113, 1.01758, 0.126221, 0.127686, 0.143799, 0.0471497, 0.0160675, 0.0214844, 0.0549927, 0.384521, 0.319824, 0.827637, 0.54834, 0.660156, 1.24316, 2.47266, 2.12109, -0.405029, -0.27002, 0.611328, -0.457764, -1.05078, -1.34473, 0.422607, 0.27832, 1.27148, 0.785156, 1.42188, 0.775391, Circle
-0.0414124, -0.00919342, 0.949219, 0.13501, 0.0562744, -0.105225, 0.0481262, 0.0125809, 0.0283203, 0.0608826, 0.448975, 0.292969, 0.788574, 0.531738, 0.760742, 1.12598, 2.82422, 1.79492, -0.412598, -0.283936, 0.53125, -0.352539, -1.44629, -1.03223, 0.375732, 0.247681, 1.29199, 0.773438, 1.37695, 0.762207, Circle
-0.0429993, -0.024704, 1.01367, 0.120789, -0.0825806, 0.0257568, 0.0343323, 0.0172424, 0.0195313, 0.0884399, 0.311279, 0.411377, 0.690918, 0.489014, 0.883789, 1.35254, 2.30078, 2.47852, -0.422607, -0.304199, 0.466797, -0.622559, -1.13672, -1.48633, 0.268066, 0.184692, 1.35059, 0.72998, 1.16406, 0.990723, Circle
-0.020462, 0.0156021, 1.00977, 0.0760498, 0.0360413, 0.134888, 0.041626, 0.00964355, 0.0234375, 0.0655518, 0.314453, 0.296143, 0.699707, 0.534668, 0.661133, 1.10449, 2.3418, 2.16602, -0.406738, -0.224976, 0.643555, -0.441895, -1.21777, -1.08887, 0.292969, 0.30957, 1.30469, 0.662109, 1.12402, 1.07617, Circle
-0.103638, 0.0194244, 0.982422, 0.106506, 0.137939, 0.00596237, 0.0327148, 0.0114899, 0.0200195, 0.0465698, 0.309326, 0.208984, 0.701172, 0.437012, 0.499023, 1.11328, 2.09961, 1.87012, -0.422852, -0.163452, 0.739258, -0.566406, -0.793457, -0.82959, 0.278076, 0.273438, 1.23828, 0.546875, 1.30566, 1.04004, Circle
-0.0752563, -0.0216827, 0.97998, 0.150146, -0.139404, -0.0939331, 0.0287323, 0.007267, 0.0244141, 0.131104, 0.325439, 0.31543, 0.647461, 0.440918, 0.718262, 1.79395, 2.19141, 1.83594, -0.45166, -0.21167, 0.543457, -0.425293, -1.11133, -1.19824, 0.195801, 0.229248, 1.26172, 1.36816, 1.08008, 0.637695, Circle
-0.0588074, 0.0262451, 1.02441, 0.0792847, -0.0240173, 0.121277, 0.0324402, 0.00926208, 0.0234375, 0.0916138, 0.269531, 0.301758, 0.666016, 0.510254, 0.768066, 1.34473, 2.08594, 2.04492, -0.43335, -0.260986, 0.566895, -0.575195, -1.10938, -1.16992, 0.232544, 0.249268, 1.33496, 0.769531, 0.976563, 0.874023, Circle
-0.10553, 0.0357666, 0.986816, 0.0960083, 0.178711, 0.0742188, 0.0271912, 0.0163727, 0.0283203, 0.0916748, 0.346924, 0.313232, 0.606445, 0.585449, 0.617188, 1.34277, 2.375, 2.26172, -0.422119, -0.351074, 0.650391, -0.578125, -1.13672, -1.19336, 0.18396, 0.234131, 1.26758, 0.764648, 1.23828, 1.06836, Circle
