@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Y numeric
@attribute F9_VAR_on_ACC_Z numeric
@attribute F10_VAR_on_GY_X numeric
@attribute F11_VAR_on_GY_Y numeric
@attribute F12_VAR_on_GY_Z numeric
@attribute F13_PeakToPeak_on_ACC_X numeric
@attribute F14_PeakToPeak_on_ACC_Y numeric
@attribute F15_PeakToPeak_on_ACC_Z numeric
@attribute F16_PeakToPeak_on_GY_X numeric
@attribute F17_PeakToPeak_on_GY_Y numeric
@attribute F18_PeakToPeak_on_GY_Z numeric
@attribute F19_MIN_on_ACC_X numeric
@attribute F20_MIN_on_ACC_Y numeric
@attribute F21_MIN_on_ACC_Z numeric
@attribute F22_MIN_on_GY_X numeric
@attribute F23_MIN_on_GY_Y numeric
@attribute F24_MIN_on_GY_Z numeric
@attribute F25_MAX_on_ACC_X numeric
@attribute F26_MAX_on_ACC_Y numeric
@attribute F27_MAX_on_ACC_Z numeric
@attribute F28_MAX_on_GY_X numeric
@attribute F29_MAX_on_GY_Y numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.0031662, 0.00286102, 1.01465, 0.0141449, -0.0249939, -0.102173, 0.00222969, 0.000845909, 0, 0.012352, 0.0474548, 0.0797729, 0.240234, 0.143555, 0.183594, 0.529785, 1.16016, 1.35742, -0.100098, -0.0592957, 0.90332, -0.216064, -0.559082, -1.10547, 0.140137, 0.0842285, 1.08691, 0.313721, 0.600586, 0.251709, Circle
0.0603943, 0.0204468, 1.01465, 0.00865936, 0.0283813, 0.00503159, 0.00200653, 0.00090456, 0, 0.00790405, 0.0246429, 0.0328369, 0.186035, 0.153931, 0.0610352, 0.344238, 0.641602, 0.737305, -0.0183105, -0.0569763, 0.98584, -0.170898, -0.303955, -0.2771, 0.167725, 0.0968628, 1.04688, 0.173218, 0.337402, 0.459961, Circle
0.0591736, 0.0671387, 1.02441, 0.0167236, -0.000620365, 0.156372, 0.00714111, 0.00295639, 0, 0.0116501, 0.0490417, 0.0484314, 0.242798, 0.272949, 0.226074, 0.527832, 1.2207, 0.688477, -0.0406189, -0.0338745, 0.897949, -0.278564, -0.608887, -0.0466003, 0.202148, 0.239014, 1.12402, 0.249023, 0.611816, 0.64209, Circle
-0.0463867, 0.0405579, 0.966309, 0.156738, 0.102539, -0.0717773, 0.0424194, 0.00852203, 0.0209961, 0.0420837, 0.353027, 0.408203, 0.609375, 0.349609, 0.40625, 0.782715, 2.02148, 1.98828, -0.310303, -0.15332, 0.74707, -0.281494, -0.919434, -1.07422, 0.298828, 0.196167, 1.15332, 0.500977, 1.10059, 0.914063, Circle
-0.0515137, -0.0896606, 0.973145, 0.115479, -0.125244, -0.0328979, 0.0490417, 0.00994873, 0.0185547, 0.0489807, 0.36499, 0.316406, 0.682617, 0.365723, 0.466309, 0.775879, 2.02344, 1.77637, -0.410645, -0.260986, 0.686035, -0.380859, -0.924316, -0.879395, 0.271729, 0.104614, 1.15234, 0.394775, 1.09766, 0.896973, Circle
-0.0514526, -0.0717773, 0.957031, 0.181763, -0.123108, 0.0351257, 0.104858, 0.0134811, 0.0239258, 0.0298157, 0.484863, 0.314697, 0.966309, 0.379639, 0.481934, 0.683594, 2.39063, 1.70215, -0.537109, -0.223877, 0.666504, -0.153198, -1.16797, -0.802246, 0.429199, 0.155762, 1.14844, 0.530273, 1.22266, 0.899902, Circle
0.0683594, -0.111694, 0.986328, 0.097229, 0.0506897, 0.0988159, 0.051239, 0.00585175, 0.00585938, 0.021225, 0.245117, 0.257568, 0.744141, 0.278564, 0.277344, 0.542969, 1.85645, 1.54102, -0.303711, -0.208496, 0.826172, -0.208496, -0.725586, -0.834473, 0.440186, 0.0699463, 1.10352, 0.334473, 1.13086, 0.706543, Circle
-0.0241699, -0.0969238, 0.993164, 0.119995, 0.102844, 0.0931396, 0.0445862, 0.00882721, 0.00976563, 0.0197296, 0.329834, 0.275635, 0.637207, 0.303955, 0.400391, 0.591309, 2.06836, 1.56641, -0.354492, -0.247925, 0.727539, -0.182495, -0.725098, -0.722168, 0.282471, 0.0560303, 1.12793, 0.408691, 1.3418, 0.84375, Circle
-0.119629, -0.0825806, 0.939941, 0.20105, 0.043457, -0.0720215, 0.065918, 0.0127716, 0.0180664, 0.0472717, 0.358398, 0.253174, 0.699219, 0.359619, 0.412598, 0.869629, 2.03125, 1.55566, -0.455566, -0.268555, 0.700684, -0.195313, -0.909668, -0.831055, 0.243408, 0.0910034, 1.11328, 0.674316, 1.12012, 0.724121, Circle
-0.0647583, -0.0988159, 0.946777, 0.149658, -0.0650024, -0.0953369, 0.0643311, 0.0236511, 0.0112305, 0.0325317, 0.273682, 0.279053, 0.77002, 0.455322, 0.370605, 0.730957, 1.94238, 1.62988, -0.488281, -0.33667, 0.758301, -0.322754, -0.976074, -0.841309, 0.281494, 0.11853, 1.12891, 0.408203, 0.96582, 0.788574, Circle
-0.0447693, -0.121033, 0.988281, 0.0357971, -0.109009, -0.0391846, 0.0376587, 0.00694275, 0.0112305, 0.0370789, 0.277588, 0.214111, 0.610352, 0.364258, 0.310547, 0.742676, 1.76563, 1.53906, -0.36792, -0.314941, 0.786133, -0.327393, -0.799805, -0.716797, 0.242188, 0.0491943, 1.09668, 0.415283, 0.96582, 0.822266, Circle
-0.050354, -0.124695, 0.99707, 0.110962, -0.051239, 0.0422058, 0.038269, 0.013443, 0.00976563, 0.0545349, 0.187744, 0.170898, 0.599121, 0.366211, 0.347168, 0.98291, 1.42383, 1.4707, -0.387451, -0.285645, 0.77002, -0.469482, -0.619629, -0.654297, 0.211304, 0.0806274, 1.11719, 0.513184, 0.803711, 0.816406, Circle
-0.0294189, -0.0733643, 0.993652, 0.0808105, -0.0335388, 0.0474548, 0.0420227, 0.00636673, 0.0136719, 0.0267334, 0.211182, 0.191284, 0.597656, 0.279541, 0.387207, 0.690918, 1.8457, 1.52539, -0.363525, -0.190063, 0.763184, -0.274658, -0.77832, -0.785156, 0.234009, 0.0892944, 1.15039, 0.41626, 1.06738, 0.739746, Circle
-0.0696411, -0.072876, 0.982422, 0.105469, -0.0200195, 0.0618286, 0.0506592, 0.00467682, 0.0146484, 0.0347595, 0.21936, 0.219604, 0.676758, 0.234619, 0.373047, 0.674805, 1.45996, 1.37402, -0.443604, -0.175903, 0.745117, -0.221313, -0.625977, -0.675781, 0.23291, 0.0586853, 1.11816, 0.453369, 0.833984, 0.698242, Circle
-0.0593567, -0.061554, 0.994629, 0.0952148, 0.0591736, 0.0505371, 0.0405273, 0.00884247, 0.015625, 0.0500183, 0.225464, 0.199585, 0.663086, 0.29541, 0.291504, 0.797363, 1.55469, 1.44141, -0.384766, -0.230347, 0.817871, -0.345459, -0.744629, -0.683594, 0.278076, 0.0648804, 1.10938, 0.45166, 0.810059, 0.757324, Circle
-0.103516, -0.0748901, 0.979004, 0.0684204, 0.0385437, 0.0223694, 0.0397949, 0.0062027, 0.00830078, 0.0431519, 0.255127, 0.138428, 0.61377, 0.282471, 0.342285, 0.771973, 1.42871, 1.27051, -0.410645, -0.229614, 0.789551, -0.35791, -0.588867, -0.615723, 0.202881, 0.0528259, 1.13184, 0.413818, 0.839844, 0.654785, Circle
-0.13147, -0.0805054, 0.953613, 0.1604, -0.0209198, -0.0817871, 0.0422363, 0.00509262, 0.019043, 0.0485535, 0.219849, 0.287109, 0.575195, 0.244507, 0.388672, 0.808105, 1.7373, 1.6416, -0.397705, -0.235474, 0.772461, -0.202515, -0.65625, -0.722168, 0.177368, 0.00907135, 1.16113, 0.605469, 1.08105, 0.919434, Circle
-0.102173, -0.093811, 0.975586, 0.0811768, -0.117798, -0.0263367, 0.0364685, 0.00949097, 0.0126953, 0.0343933, 0.248535, 0.235596, 0.615234, 0.319824, 0.352539, 0.681152, 1.8418, 1.57617, -0.453857, -0.25, 0.771484, -0.211792, -0.881348, -0.740234, 0.161377, 0.0698853, 1.12402, 0.469238, 0.959961, 0.835449, Circle
-0.0784302, -0.139038, 0.992188, 0.043457, -0.0408325, 0.0350647, 0.0394592, 0.00811768, 0.0126953, 0.0406494, 0.187256, 0.153809, 0.622559, 0.357422, 0.357422, 0.725098, 1.4248, 1.46973, -0.419434, -0.345703, 0.787109, -0.383545, -0.665527, -0.740234, 0.202881, 0.0117264, 1.14453, 0.341309, 0.759277, 0.729492, Circle
-0.00786591, 0.00040102, 1.00977, -0.00513077, 0.00914001, -0.0155869, 1.96695e-06, 3.33786e-06, 0.0126953, 9.53674e-07, 3.51667e-06, 0.00186253, 0.00655746, 0.0124283, 0.0136719, 0.00643921, 0.0158539, 0.21521, -0.0111847, -0.00155544, 1.0127, -0.00998688, -0.00401688, -0.218506, -0.00462723, 0.0108719, 1.02637, -0.00354958, 0.0118256, -0.00333977, Idle
-0.008255, 0.000682354, 1.00977, -0.00463486, 0.0089035, -0.00523758, 1.13249e-06, 1.90735e-06, 0.00976563, 1.43051e-06, 2.44379e-06, 5.96046e-08, 0.00494003, 0.00542831, 0.00195313, 0.00489426, 0.00577927, 0.00162125, -0.0105591, -0.00214958, 1.01465, -0.00746155, 0.00686264, -0.00617218, -0.00561905, 0.00327873, 1.0166, -0.00256729, 0.0126419, -0.00455093, Idle
