@relation 'MLC'

@attribute F1_ENERGY_on_ACC_X numeric
@attribute F2_ENERGY_on_ACC_Y numeric
@attribute F3_ENERGY_on_ACC_Z numeric
@attribute F4_ENERGY_on_GY_X numeric
@attribute F5_ENERGY_on_GY_Y numeric
@attribute F6_ENERGY_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_ZeroCross_on_GY_X numeric
@attribute F11_ZeroCross_on_GY_Y numeric
@attribute F12_ZeroCross_on_GY_Z numeric
@attribute F13_PositiveZeroCross_on_ACC_X numeric
@attribute F14_PositiveZeroCross_on_ACC_Y numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_Y numeric
@attribute F21_NegativeZeroCross_on_ACC_Z numeric
@attribute F22_NegativeZeroCross_on_GY_X numeric
@attribute F23_NegativeZeroCross_on_GY_Y numeric
@attribute F24_NegativeZeroCross_on_GY_Z numeric
@attribute F25_PeaKDet_on_ACC_X numeric
@attribute F26_PeaKDet_on_ACC_Y numeric
@attribute F27_PeaKDet_on_ACC_Z numeric
@attribute F28_PeaKDet_on_GY_X numeric
@attribute F29_PeaKDet_on_GY_Y numeric
@attribute F30_PeaKDet_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
0.211426, 0.449707, 82.5625, 0.00518799, 0.0690308, 0.0141373, 0, 0, 0, 16, 48, 0, 0, 0, 0, 8, 24, 0, 0, 0, 0, 8, 24, 0, 49, 50, 58, 42, 35, 51, Circle
1.73535, 0.583984, 81.625, 5.10938, 13.7188, 10.9375, 24, 54, 54, 64, 68, 28, 12, 28, 26, 32, 34, 14, 12, 26, 28, 32, 34, 14, 44, 46, 55, 44, 44, 40, Circle
1.06348, 0.421875, 81.1875, 9.82031, 22.2813, 12.0156, 34, 52, 78, 38, 54, 12, 18, 26, 40, 20, 28, 6, 16, 26, 38, 18, 26, 6, 46, 49, 57, 37, 45, 42, Circle
0.296875, 0.484619, 86, 0.824219, 8.125, 6.1875, 30, 8, 60, 60, 16, 2, 14, 4, 28, 30, 8, 2, 16, 4, 32, 30, 8, 0, 49, 43, 55, 39, 43, 38, Circle
4.61719, 1.46973, 76.375, 5.49609, 34.8125, 18.9688, 18, 14, 26, 26, 6, 10, 10, 6, 14, 14, 2, 6, 8, 8, 12, 12, 4, 4, 53, 50, 49, 46, 40, 40, Circle
3.54102, 1.50586, 83.1875, 3.87891, 40.6563, 21.2656, 22, 8, 14, 34, 10, 14, 10, 4, 6, 16, 6, 6, 12, 4, 8, 18, 4, 8, 62, 49, 56, 43, 42, 40, Circle
4.20703, 0.963379, 77.8125, 9.97656, 45.7188, 20.9688, 10, 28, 22, 36, 18, 14, 6, 14, 12, 18, 8, 8, 4, 14, 10, 18, 10, 6, 47, 51, 53, 42, 39, 39, Circle
4.03516, 1.06445, 83.75, 5.75391, 25.7813, 20.4688, 4, 30, 20, 26, 14, 4, 2, 16, 10, 12, 8, 2, 2, 14, 10, 14, 6, 2, 54, 49, 54, 46, 46, 44, Circle
2.55469, 2.49219, 84.1875, 5.23828, 34.4688, 24.2969, 22, 10, 40, 48, 12, 14, 10, 6, 20, 24, 6, 6, 12, 4, 20, 24, 6, 8, 56, 47, 48, 38, 45, 39, Circle
4.39844, 1.80273, 74.75, 11.5469, 43.1563, 30.3281, 20, 14, 20, 44, 26, 12, 10, 6, 10, 22, 12, 6, 10, 8, 10, 22, 14, 6, 59, 46, 50, 41, 44, 45, Circle
