@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_MEAN_on_GY_X numeric
@attribute F6_MEAN_on_GY_Y numeric
@attribute F7_MEAN_on_GY_Z numeric
@attribute F8_MEAN_on_GY_V numeric
@attribute F9_VAR_on_ACC_X numeric
@attribute F10_VAR_on_ACC_Y numeric
@attribute F11_VAR_on_ACC_Z numeric
@attribute F12_VAR_on_ACC_V numeric
@attribute F13_VAR_on_GY_X numeric
@attribute F14_VAR_on_GY_Y numeric
@attribute F15_VAR_on_GY_Z numeric
@attribute F16_VAR_on_GY_V numeric
@attribute F17_ENERGY_on_ACC_X numeric
@attribute F18_ENERGY_on_ACC_Y numeric
@attribute F19_ENERGY_on_ACC_Z numeric
@attribute F20_ENERGY_on_ACC_V numeric
@attribute F21_ENERGY_on_GY_X numeric
@attribute F22_ENERGY_on_GY_Y numeric
@attribute F23_ENERGY_on_GY_Z numeric
@attribute F24_ENERGY_on_GY_V numeric
@attribute F25_PeakToPeak_on_ACC_X numeric
@attribute F26_PeakToPeak_on_ACC_Y numeric
@attribute F27_PeakToPeak_on_ACC_Z numeric
@attribute F28_PeakToPeak_on_ACC_V numeric
@attribute F29_PeakToPeak_on_GY_X numeric
@attribute F30_PeakToPeak_on_GY_Y numeric
@attribute F31_PeakToPeak_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
0.0509949, -0.0743408, 1.00488, 1.00879, -0.00516129, 0.0125198, -0.0077095, 0.0229797, 9.53674e-06, 1.90735e-05, 0.00878906, 0.0136719, 3.73721e-05, 0.000694752, 0.000114977, 0.000560284, 0.211426, 0.449707, 82.5625, 83.5625, 0.00518799, 0.0690308, 0.0141373, 0.0881958, 0.0265808, 0.0378418, 0.0629883, 0.0654297, 0.0539551, 0.187134, 0.0576477, Circle
-0.020813, -0.0679321, 1.00195, 1.0166, -0.00964355, 0.0951538, 0.197754, 0.449463, 0.0209808, 0.00259018, 0.00292969, 0.00585938, 0.0629272, 0.160156, 0.0958252, 0.165161, 1.73535, 0.583984, 81.625, 84.25, 5.10938, 13.7188, 10.9375, 29.7656, 1.22656, 0.350586, 0.828613, 1.02832, 2.02539, 2.80078, 1.92969, Circle
0.00343323, -0.00843811, 0.997559, 1.00781, 0.0241547, -0.0784302, -0.142944, 0.615234, 0.0131073, 0.00513077, 0.00683594, 0.00488281, 0.120544, 0.268799, 0.127808, 0.166504, 1.06348, 0.421875, 81.1875, 82.6875, 9.82031, 22.2813, 12.0156, 44.1875, 0.561035, 0.385986, 0.461914, 0.476563, 2.40039, 2.69727, 2.18164, Circle
0.00576019, 0.0476685, 1.0293, 1.03223, 0.0150986, 0.11084, 0.137939, 0.309082, 0.00362968, 0.00370598, 0.000976563, 0.0078125, 0.0099411, 0.0879517, 0.0573425, 0.0913696, 0.296875, 0.484619, 86, 87, 0.824219, 8.125, 6.1875, 15.1484, 0.411133, 0.351074, 0.282715, 0.28418, 0.677246, 1.47461, 1.0332, Circle
-0.170776, -0.0388794, 0.956055, 0.999512, 0.126343, -0.095459, -0.0958252, 0.841797, 0.0277863, 0.0166168, 0.0283203, 0.0175781, 0.0518494, 0.42041, 0.224854, 0.0209961, 4.61719, 1.46973, 76.375, 82.375, 5.49609, 34.8125, 18.9688, 59.125, 0.608887, 0.498291, 0.654785, 0.557617, 0.914551, 2.0332, 1.59961, Circle
-0.0708008, 0.0202789, 1.00195, 1.03613, 0.0602722, 0.171021, 0.107849, 0.86377, 0.0386658, 0.018158, 0.0224609, 0.0136719, 0.04422, 0.472168, 0.250732, 0.0673828, 3.54102, 1.50586, 83.1875, 88.125, 3.87891, 40.6563, 21.2656, 65.9375, 0.716797, 0.557129, 0.638672, 0.554199, 0.989746, 2.58203, 1.74023, Circle
-0.10437, -0.0261841, 0.963867, 1.00195, 0.14209, -0.13916, -0.0859985, 0.907715, 0.0410156, 0.0112, 0.0307617, 0.0214844, 0.102905, 0.544434, 0.251465, 0.123047, 4.20703, 0.963379, 77.8125, 83.125, 9.97656, 45.7188, 20.9688, 76.75, 0.723633, 0.478027, 0.638184, 0.566406, 1.38184, 3.01563, 1.74707, Circle
-0.0103683, 0.012352, 1.00781, 1.03906, 0.100159, -0.026825, 0.085022, 0.766602, 0.0496521, 0.0129776, 0.0175781, 0.0175781, 0.0609436, 0.317383, 0.245239, 0.0546875, 4.03516, 1.06445, 83.75, 89, 5.75391, 25.7813, 20.4688, 52.0938, 0.84668, 0.513672, 0.733398, 0.72168, 1.06152, 2.19141, 1.7168, Circle
-0.00888062, 0.0374146, 1.00684, 1.04102, 0.0919189, 0.170166, 0.100525, 0.82959, 0.0314331, 0.0293427, 0.0253906, 0.0166016, 0.0561829, 0.39624, 0.289795, 0.104004, 2.55469, 2.49219, 84.1875, 89.25, 5.23828, 34.4688, 24.2969, 64.1875, 0.711426, 0.69043, 0.897949, 0.842285, 1.29785, 2.58398, 2.24805, Circle
-0.113708, 0.00782776, 0.940918, 0.986328, 0.176636, -0.0160828, -0.135986, 0.949707, 0.0413208, 0.0221863, 0.0371094, 0.0268555, 0.111267, 0.531738, 0.355713, 0.147949, 4.39844, 1.80273, 74.75, 81, 11.5469, 43.1563, 30.3281, 85.0625, 0.739258, 0.538574, 0.897461, 0.797852, 1.83301, 3.07813, 1.93262, Circle
