@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_ENERGY_on_ACC_X numeric
@attribute F10_ENERGY_on_ACC_Y numeric
@attribute F11_ENERGY_on_ACC_Z numeric
@attribute F12_ENERGY_on_ACC_V numeric
@attribute F13_PeakToPeak_on_ACC_X numeric
@attribute F14_PeakToPeak_on_ACC_Y numeric
@attribute F15_PeakToPeak_on_ACC_Z numeric
@attribute F16_PeakToPeak_on_ACC_V numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
0.0509949, -0.0743408, 1.00488, 1.00879, 9.53674e-06, 1.90735e-05, 0.00878906, 0.0136719, 0.211426, 0.449707, 82.5625, 83.5625, 0.0265808, 0.0378418, 0.0629883, 0.0654297, Circle
-0.020813, -0.0679321, 1.00195, 1.0166, 0.0209808, 0.00259018, 0.00292969, 0.00585938, 1.73535, 0.583984, 81.625, 84.25, 1.22656, 0.350586, 0.828613, 1.02832, Circle
0.00343323, -0.00843811, 0.997559, 1.00781, 0.0131073, 0.00513077, 0.00683594, 0.00488281, 1.06348, 0.421875, 81.1875, 82.6875, 0.561035, 0.385986, 0.461914, 0.476563, Circle
0.00576019, 0.0476685, 1.0293, 1.03223, 0.00362968, 0.00370598, 0.000976563, 0.0078125, 0.296875, 0.484619, 86, 87, 0.411133, 0.351074, 0.282715, 0.28418, Circle
-0.170776, -0.0388794, 0.956055, 0.999512, 0.0277863, 0.0166168, 0.0283203, 0.0175781, 4.61719, 1.46973, 76.375, 82.375, 0.608887, 0.498291, 0.654785, 0.557617, Circle
-0.0708008, 0.0202789, 1.00195, 1.03613, 0.0386658, 0.018158, 0.0224609, 0.0136719, 3.54102, 1.50586, 83.1875, 88.125, 0.716797, 0.557129, 0.638672, 0.554199, Circle
-0.10437, -0.0261841, 0.963867, 1.00195, 0.0410156, 0.0112, 0.0307617, 0.0214844, 4.20703, 0.963379, 77.8125, 83.125, 0.723633, 0.478027, 0.638184, 0.566406, Circle
-0.0103683, 0.012352, 1.00781, 1.03906, 0.0496521, 0.0129776, 0.0175781, 0.0175781, 4.03516, 1.06445, 83.75, 89, 0.84668, 0.513672, 0.733398, 0.72168, Circle
-0.00888062, 0.0374146, 1.00684, 1.04102, 0.0314331, 0.0293427, 0.0253906, 0.0166016, 2.55469, 2.49219, 84.1875, 89.25, 0.711426, 0.69043, 0.897949, 0.842285, Circle
-0.113708, 0.00782776, 0.940918, 0.986328, 0.0413208, 0.0221863, 0.0371094, 0.0268555, 4.39844, 1.80273, 74.75, 81, 0.739258, 0.538574, 0.897461, 0.797852, Circle
-0.0172577, -0.000437498, 1.00195, 1.03809, 0.0565186, 0.00926208, 0.0195313, 0.0117188, 4.60547, 0.750488, 82.9375, 88.25, 0.974609, 0.378906, 0.583984, 0.575195, Circle
0.0930786, -0.00891113, 1.01758, 1.05371, 0.0471497, 0.0160675, 0.0214844, 0.0195313, 4.52344, 1.30859, 85.6875, 91.5625, 0.827637, 0.54834, 0.660156, 0.62793, Circle
-0.0414124, -0.00919342, 0.949219, 0.982422, 0.0481262, 0.0125809, 0.0283203, 0.0249023, 4.03906, 1.02637, 75.3125, 80.25, 0.788574, 0.531738, 0.760742, 0.717285, Circle
