A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
31.842001	-15.494000	1004.914001	0.905625	-0.293125	-0.953750
32.939999	-11.773000	1004.059998	0.818125	-0.227500	-0.936250
30.866001	-5.307000	1000.400024	0.669375	-0.166250	-0.966875
37.271000	-15.677000	1009.733032	0.551250	-0.262500	-0.962500
41.053001	-11.895000	1003.510986	0.752500	-0.179375	-1.023750
34.587002	-17.873001	1001.742004	0.568750	-0.030625	-1.023750
35.746002	-14.701000	1005.096985	0.560000	-0.188125	-0.936250
35.868000	-16.836000	1001.254028	0.708750	0.021875	-1.023750
30.561001	-12.627000	1008.025024	0.730625	-0.240625	-0.848750
32.208000	-16.592001	1006.134033	0.831250	-0.157500	-0.892500
35.196999	-14.091001	999.363037	0.953750	-0.179375	-0.923125
32.574001	-15.738000	1000.400024	0.616875	-0.039375	-0.875000
30.622000	-15.006001	1003.877014	0.616875	-0.035000	-0.910000
31.720001	-14.884000	1004.914001	0.988750	-0.035000	-0.910000
31.720001	-14.884000	1002.596008	1.067500	-0.026250	-0.927500
31.354000	-12.810000	1002.596008	0.857500	-0.310625	-0.936250
39.345001	-14.030000	1001.497986	0.888125	-0.301875	-0.875000
31.781000	-15.006001	1003.328003	1.067500	-0.166250	-0.918750
37.271000	-11.651000	999.911987	0.800625	-0.166250	-0.896875
40.809002	-9.760000	1003.389038	0.949375	-0.210000	-0.962500
38.917999	-14.396000	1001.986023	0.936250	-0.227500	-1.019375
34.647999	-10.309000	1001.132019	1.010625	-0.271250	-1.067500
27.511000	-15.677000	1005.829041	0.691250	-0.056875	-0.971250
31.659000	-9.089000	999.241028	0.901250	-0.105000	-1.036875
29.158001	-10.614000	1001.254028	0.896875	-0.065625	-0.953750
31.232000	-11.590000	1001.132019	0.778750	-0.245000	-0.910000
30.500000	-11.712000	1004.853027	0.813750	-0.118125	-0.883750
35.929001	-13.664001	1007.109985	0.866250	-0.083125	-0.888125
37.332001	-9.943000	1003.572021	0.840000	-0.262500	-0.927500
31.415001	-11.346000	1004.548035	0.993125	-0.245000	-1.032500
36.904999	-15.738000	1004.548035	0.958125	-0.122500	-0.993125
34.526001	-15.250000	1005.523987	0.896875	-0.052500	-0.901250
31.598000	-15.250000	999.851013	1.058750	-0.122500	-0.931875
34.221001	-15.494000	1003.999023	0.840000	-0.192500	-0.988750
32.085999	-22.264999	1006.561035	0.783125	-0.109375	-0.953750
35.806999	-13.481000	1005.645996	1.010625	-0.100625	-1.010625
30.805000	-5.795000	1003.450012	0.866250	-0.061250	-1.001875
31.354000	-17.019001	1003.937988	1.023750	-0.227500	-0.923125
34.587002	-7.747000	1003.083984	0.940625	-0.293125	-0.905625
35.624001	-14.823000	998.936035	1.185625	-0.109375	-0.975625
37.088001	-13.786000	1000.888000	0.988750	-0.210000	-0.966875
33.306000	-15.128000	1002.840027	0.949375	-0.258125	-1.023750
35.501999	-12.932000	1005.829041	0.730625	-0.179375	-0.984375
33.793999	-5.795000	1003.694031	0.901250	-0.323750	-0.984375
34.526001	-13.115000	1005.158020	0.752500	-0.161875	-0.949375
31.110001	-13.542000	1000.888000	0.822500	-0.166250	-1.028125
34.709000	-19.825001	1003.632996	0.787500	0.118125	-0.993125
34.403999	-14.213000	998.265015	0.901250	-0.056875	-0.975625
38.125000	-18.056000	1000.583008	1.089375	0.013125	-1.045625
30.439001	-11.895000	1001.376038	1.080625	-0.148750	-0.997500
