A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-2.928000	-6.405000	1000.643982	0.686875	-0.153125	-0.936250
-11.529000	-11.102000	1003.083984	0.669375	-0.188125	-0.971250
-6.283000	-10.736000	1001.742004	1.045625	-0.183750	-0.853125
-2.745000	-11.102000	1000.156006	0.673750	-0.179375	-0.857500
-3.294000	-5.917000	1004.487000	0.525000	-0.223125	-0.980000
-6.344000	-11.773000	1005.036011	0.708750	-0.280000	-1.102500
-14.945000	-9.882000	1003.328003	1.054375	-0.323750	-0.888125
-6.527000	-8.906000	1000.522034	0.910000	-0.192500	-0.988750
-3.843000	-12.200000	1003.389038	0.735000	-0.148750	-0.905625
-8.784000	-11.468000	1004.791992	0.822500	-0.043750	-1.019375
-9.638000	-7.625000	1002.230042	0.805000	-0.153125	-0.958125
-8.540000	-13.603000	1002.473999	0.726250	-0.170625	-0.958125
-4.575000	-7.137000	1007.903015	0.997500	-0.166250	-0.945000
-5.978000	-16.653000	1003.205994	0.835625	-0.205625	-0.971250
-6.710000	-11.285000	1004.669983	0.625625	-0.100625	-0.918750
-8.906000	-14.518001	1002.230042	0.708750	-0.157500	-0.975625
-7.076000	-10.431000	1005.829041	0.949375	-0.266875	-0.988750
-7.808000	-9.394000	1001.376038	0.638750	-0.266875	-0.971250
-10.858000	-9.638000	1005.463013	0.796250	-0.210000	-1.137500
-11.468000	-11.102000	1001.497986	1.019375	-0.240625	-1.058750
-10.004000	-21.410999	993.751038	1.098125	-0.205625	-1.111250
0.732000	-16.042999	1001.315002	1.076250	-0.214375	-0.923125
1.098000	-11.407001	1003.389038	1.045625	-0.140000	-1.010625
-6.771000	-9.882000	1001.986023	0.826875	-0.074375	-0.971250
-9.394000	-15.250000	1001.132019	0.831250	-0.056875	-0.896875
-6.954000	-7.259000	1000.765991	1.198750	-0.126875	-0.984375
-2.135000	-11.956000	1001.497986	0.905625	-0.192500	-1.010625
-5.734000	-8.357000	1002.840027	0.533750	-0.223125	-0.949375
-13.481000	-8.784000	1001.742004	0.498750	-0.236250	-0.940625
-5.551000	-10.004000	990.091003	0.647500	-0.157500	-1.032500
-6.710000	-9.150001	1001.254028	0.608125	-0.175000	-1.028125
-7.442000	-13.054000	1001.497986	0.896875	-0.262500	-0.931875
-6.710000	-11.956000	1000.522034	0.896875	-0.262500	-0.931875
-6.710000	-11.956000	1004.731018	0.892500	-0.297500	-0.931875
-7.808000	-10.614000	1004.731018	0.660625	-0.192500	-0.936250
-9.516000	-8.662000	1005.890015	0.875000	-0.188125	-0.888125
-9.150001	-12.444000	1002.230042	0.861875	-0.048125	-0.997500
-5.917000	-14.030000	1004.487000	1.036875	-0.105000	-1.036875
-4.392000	-11.163000	1004.669983	0.748125	-0.258125	-1.019375
-7.808000	-7.259000	1006.134033	0.905625	-0.205625	-0.980000
-8.540000	-18.117001	1001.254028	0.800625	-0.056875	-1.045625
-4.331000	-14.823000	1002.962036	1.146250	-0.122500	-0.949375
-5.978000	-10.187000	1004.914001	1.623125	-0.354375	-0.883750
-6.222000	-10.492001	1001.132019	0.831250	-0.109375	-0.905625
-11.224000	-13.542000	1000.888000	0.656250	-0.210000	-0.923125
-8.113000	-3.233000	1003.999023	0.791875	-0.389375	-0.966875
-3.477000	-8.174000	1000.400024	1.006250	-0.218750	-0.962500
-4.880000	-8.784000	1003.267029	1.063125	-0.192500	-0.984375
-6.710000	-11.834001	1006.012024	0.778750	-0.043750	-0.962500
-8.784000	-12.078000	1004.304016	0.853125	-0.258125	-1.120000
-4.087000	-9.760000	1005.036011	0.726250	-0.070000	-1.041250
-3.050000	-9.760000	1001.619995	1.015000	-0.026250	-0.966875
-5.856000	-10.004000	999.790039	0.923125	-0.021875	-0.997500
-12.139000	-12.688000	1004.487000	1.128750	-0.078750	-0.888125
-7.625000	-9.211000	1000.033997	1.036875	-0.380625	-0.936250
-4.331000	-10.736000	999.911987	1.211875	-0.389375	-0.927500
-5.246000	-12.566000	1003.510986	1.120000	0.109375	-0.931875
-6.588000	-7.503000	1001.986023	0.892500	-0.240625	-0.958125
-6.466000	-11.346000	1000.765991	1.146250	-0.485625	-0.931875
