A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
24.034000	-13.908000	1000.765991	0.984375	-0.192500	-1.071875
25.254000	-16.469999	1003.083984	0.805000	-0.218750	-1.076250
24.400000	-19.153999	1002.473999	0.713125	-0.043750	-0.993125
23.790001	-15.799000	1002.108032	0.840000	-0.083125	-0.875000
22.448000	-13.786000	1001.864014	1.006250	-0.175000	-0.910000
20.496000	-17.446001	1000.888000	0.931875	-0.297500	-1.054375
24.948999	-10.553000	1008.879028	0.857500	-0.100625	-1.006250
27.511000	-16.653000	1000.827026	0.857500	-0.043750	-1.054375
20.313000	-16.469999	1003.877014	0.840000	-0.078750	-1.058750
19.764000	-14.762000	1002.473999	0.905625	-0.144375	-1.032500
26.779001	-16.958000	1005.218994	0.993125	-0.218750	-1.015000
21.837999	-12.871000	1001.497986	0.853125	-0.240625	-1.120000
26.657000	-16.469999	1000.278015	0.800625	-0.087500	-1.071875
29.036001	-13.359000	1006.927002	1.080625	-0.231875	-0.962500
28.426001	-11.834001	999.606995	0.923125	-0.179375	-1.054375
27.450001	-15.738000	1004.242981	0.905625	-0.052500	-1.045625
24.278000	-17.934000	1004.182007	1.010625	-0.100625	-1.010625
25.132000	-18.544001	1004.548035	0.962500	-0.192500	-0.984375
25.010000	-12.871000	1000.643982	0.848750	-0.122500	-0.980000
23.790001	-20.313000	999.911987	0.861875	-0.043750	-0.984375
24.278000	-16.896999	1001.742004	0.844375	-0.105000	-0.927500
22.936001	-17.323999	1006.195007	0.826875	-0.140000	-0.927500
20.618000	-16.836000	1005.645996	0.840000	-0.166250	-1.001875
26.779001	-18.300001	1000.217041	0.787500	-0.135625	-1.036875
22.691999	-16.104000	1002.901001	0.879375	-0.227500	-1.067500
24.278000	-17.080000	1004.426025	0.726250	-0.201250	-0.931875
24.766001	-13.847000	999.424011	0.533750	-0.109375	-0.953750
21.716000	-17.202000	999.668030	0.603750	-0.113750	-0.984375
19.520000	-14.457000	1002.413025	0.835625	-0.240625	-1.032500
19.032000	-14.030000	1003.205994	1.111250	-0.249375	-0.958125
23.363001	-16.714001	1000.033997	1.015000	-0.188125	-1.015000
23.180000	-11.651000	998.447998	0.879375	-0.262500	-0.940625
27.389000	-16.469999	1004.364990	0.966875	-0.201250	-0.984375
29.158001	-16.226000	1007.536987	0.975625	-0.231875	-1.015000
23.363001	-12.017000	1002.962036	0.840000	-0.210000	-0.962500
24.278000	-17.323999	1002.840027	0.901250	-0.249375	-1.036875
23.546000	-19.886000	1003.450012	0.875000	-0.083125	-0.966875
21.594000	-16.653000	1001.619995	0.914375	-0.201250	-0.984375
21.472000	-16.226000	1002.718018	0.940625	-0.188125	-0.940625
21.837999	-15.982000	1002.840027	0.892500	-0.297500	-0.945000
25.437000	-10.797000	1000.522034	0.936250	-0.245000	-1.001875
27.084000	-13.054000	1001.864014	0.748125	-0.144375	-0.958125
26.962000	-17.323999	1000.522034	0.831250	-0.096250	-0.940625
25.254000	-18.300001	999.790039	1.041250	-0.214375	-0.910000
20.496000	-16.592001	1005.341003	0.783125	-0.201250	-1.010625
23.058001	-17.202000	1000.765991	0.800625	-0.135625	-0.966875
23.790001	-14.213000	1003.755005	0.560000	-0.083125	-1.006250
28.609001	-18.177999	1005.523987	0.870625	-0.323750	-0.971250
23.424000	-14.213000	1006.255981	0.756875	-0.153125	-1.071875
21.716000	-13.176001	1002.962036	0.980000	-0.135625	-1.067500
24.339001	-15.372000	1003.205994	0.826875	-0.096250	-0.993125
25.132000	-1.098000	1002.230042	0.988750	-0.161875	-1.133125
26.352001	-21.350000	1001.376038	1.102500	-0.258125	-1.050000
20.801001	-20.618000	1005.463013	1.001875	-0.183750	-1.045625
21.228001	-17.873001	1003.937988	0.958125	-0.161875	-1.023750
21.228001	-14.579000	1006.439026	0.761250	0.008750	-1.036875
21.837999	-13.786000	998.509033	0.783125	-0.078750	-1.036875
24.948999	-18.910000	1004.731018	0.700000	-0.096250	-0.997500
23.912001	-18.177999	1002.351990	0.651875	-0.004375	-0.971250
23.180000	-14.701000	999.057983	1.063125	-0.301875	-1.058750
19.032000	-14.884000	1004.975037	0.888125	-0.179375	-0.975625
21.410999	-18.666000	1006.500000	0.791875	-0.161875	-1.041250
23.180000	-13.847000	1001.070984	0.796250	-0.275625	-0.958125
22.082001	-11.163000	1003.389038	0.656250	-0.148750	-0.962500
24.948999	-14.396000	1007.658997	0.931875	-0.227500	-0.988750
25.375999	-16.104000	1005.402039	1.133125	-0.205625	-1.032500
29.097000	-15.860001	1006.622009	1.133125	-0.205625	-1.019375
29.097000	-18.544001	1001.619995	0.918750	-0.126875	-1.019375
28.548000	-18.544001	1001.619995	0.857500	-0.135625	-1.028125
24.400000	-15.189000	1004.059998	0.730625	-0.061250	-0.966875
22.814001	-15.494000	1004.426025	0.787500	-0.161875	-1.001875
24.034000	-11.895000	1005.402039	0.853125	-0.240625	-0.883750
27.632999	-15.372000	1001.742004	1.023750	-0.306250	-0.945000
28.426001	-16.958000	1003.572021	1.076250	-0.297500	-0.940625
17.750999	-15.616000	1006.134033	0.945000	-0.367500	-1.036875
23.851000	-18.666000	1001.742004	0.914375	-0.223125	-0.918750
25.742001	-13.481000	1001.742004	0.805000	-0.118125	-1.010625
24.521999	-17.690001	1008.513000	0.765625	-0.078750	-0.870625
21.472000	-19.153999	1001.681030	0.476875	0.061250	-0.971250
28.243000	-15.799000	1006.927002	0.643125	-0.017500	-1.001875
23.302000	-13.786000	1003.937988	0.905625	-0.052500	-0.971250
27.389000	-14.396000	1003.450012	1.190000	-0.122500	-0.923125
20.069000	-14.518001	1007.903015	1.050000	-0.275625	-1.006250
22.753000	-16.348000	1002.351990	0.918750	-0.218750	-0.988750
23.912001	-14.640000	1006.682983	0.901250	-0.183750	-0.923125
25.498001	-16.958000	1002.962036	0.695625	-0.196875	-1.041250
23.424000	-13.725000	1004.304016	0.721875	-0.070000	-1.050000
25.742001	-16.469999	1004.426025	0.616875	-0.017500	-0.905625
25.498001	-15.006001	1003.816040	0.826875	-0.021875	-0.936250
28.853001	-20.679001	1002.108032	0.870625	-0.021875	-1.019375
20.679001	-15.067000	1000.643982	0.953750	-0.275625	-0.931875
25.071001	-18.056000	1004.242981	0.975625	-0.380625	-0.927500
27.999001	-13.725000	1006.866028	0.892500	-0.170625	-1.050000
22.691999	-13.298000	999.606995	0.721875	-0.074375	-1.015000
20.374001	-18.422001	1001.864014	0.840000	-0.026250	-0.984375
24.948999	-16.348000	997.350037	0.892500	-0.087500	-0.940625
21.350000	-17.446001	1004.364990	0.896875	-0.205625	-0.923125
25.193001	-16.104000	1004.304016	0.923125	-0.240625	-0.896875
22.936001	-16.836000	1007.658997	0.796250	-0.196875	-1.023750
20.984001	-12.627000	1004.548035	0.861875	-0.319375	-1.093750
23.607000	-14.152000	1003.450012	0.870625	-0.336875	-1.137500
22.814001	-16.592001	1003.328003	1.141875	-0.245000	-1.146250
23.424000	-14.335000	1003.816040	0.826875	-0.061250	-1.063125
27.755001	-12.810000	1004.548035	0.813750	-0.083125	-1.093750
21.899000	-15.372000	1002.473999	1.093750	-0.175000	-1.019375
26.169001	-14.030000	1004.059998	1.001875	-0.048125	-0.936250
27.572001	-16.104000	1002.840027	0.735000	-0.122500	-0.980000
26.718000	-21.228001	1005.585022	0.914375	-0.196875	-0.940625
24.888000	-17.629000	1003.083984	0.756875	-0.157500	-0.975625
23.790001	-10.065001	1004.059998	0.796250	-0.061250	-1.023750
25.498001	-19.093000	1004.548035	0.717500	-0.039375	-1.067500
25.132000	-15.921000	1001.742004	0.717500	-0.126875	-0.988750
25.742001	-20.007999	1001.010010	0.621250	-0.091875	-1.019375
24.278000	-18.910000	1000.765991	0.743750	-0.035000	-1.006250
22.326000	-16.287001	1009.122986	0.853125	-0.144375	-0.940625
24.034000	-14.274000	1003.999023	0.879375	-0.140000	-0.905625
22.936001	-17.323999	1001.376038	1.019375	-0.166250	-0.966875
24.766001	-15.006001	1001.742004	0.883750	-0.157500	-0.988750
30.439001	-15.128000	1003.937988	1.168125	-0.113750	-0.940625
21.167000	-14.884000	999.668030	0.945000	-0.074375	-1.028125
25.193001	-13.054000	998.082031	0.910000	-0.140000	-1.028125
26.962000	-18.422001	1003.510986	0.914375	-0.166250	-0.988750
25.498001	-17.446001	1004.548035	0.945000	-0.175000	-1.001875
26.596001	-14.579000	1003.694031	0.945000	-0.271250	-0.988750
23.668001	-13.298000	1001.132019	0.971250	-0.205625	-0.927500
23.790001	-16.226000	1004.853027	0.940625	-0.157500	-0.940625
22.204000	-13.786000	1001.864014	0.861875	-0.161875	-0.971250
24.156000	-13.908000	1005.707031	0.682500	-0.227500	-0.936250
23.180000	-16.104000	1002.473999	0.800625	-0.135625	-1.041250
25.681000	-17.446001	1001.986023	1.093750	-0.201250	-0.984375
22.814001	-16.592001	1001.254028	1.010625	-0.358750	-0.988750
27.999001	-12.627000	1004.731018	1.010625	-0.306250	-0.914375
22.448000	-19.703001	1002.962036	0.892500	-0.218750	-0.975625
25.010000	-15.433001	1002.596008	0.660625	-0.078750	-1.041250
29.341000	-14.152000	1002.230042	0.870625	-0.078750	-1.023750
24.095001	-11.651000	1001.864014	0.805000	-0.065625	-0.993125
20.740000	-10.370000	1009.611023	0.888125	-0.271250	-0.883750
24.217001	-13.176001	1003.145020	1.128750	-0.231875	-0.813750
23.180000	-9.333000	1002.962036	0.993125	-0.100625	-0.914375
24.400000	-12.200000	1004.426025	0.866250	-0.161875	-1.023750
23.912001	-17.202000	1005.036011	0.927500	-0.196875	-0.953750
28.243000	-10.675000	1006.134033	0.840000	-0.192500	-1.036875
20.313000	-15.494000	1001.742004	0.861875	-0.061250	-0.980000
26.779001	-15.128000	1000.278015	0.739375	-0.048125	-0.945000
17.873001	-13.908000	1003.389038	0.848750	-0.148750	-0.949375
20.313000	-11.834001	999.790039	0.927500	-0.179375	-0.975625
24.217001	-16.836000	1005.463013	1.015000	-0.183750	-0.910000
27.145000	-17.690001	1002.840027	1.045625	-0.358750	-0.945000
22.326000	-18.666000	1005.585022	0.940625	-0.245000	-0.975625
21.472000	-14.579000	1001.497986	0.888125	-0.205625	-1.071875
21.837999	-17.934000	1002.230042	0.910000	-0.100625	-1.036875
23.912001	-12.627000	1002.840027	0.713125	-0.109375	-1.019375
20.862000	-17.446001	1005.950989	0.717500	-0.096250	-1.036875
24.339001	-14.213000	1004.426025	0.791875	-0.065625	-1.023750
22.326000	-15.738000	1003.328003	0.866250	-0.131250	-1.036875
24.521999	-18.910000	1003.694031	1.076250	-0.245000	-0.958125
20.252001	-13.115000	1001.497986	0.813750	-0.148750	-1.036875
25.802999	-15.860001	1004.853027	0.853125	-0.214375	-0.914375
28
