A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
40.625999	-59.597000	1022.481995	5.298125	-5.236875	-4.458125
40.504002	-63.318001	1001.192993	5.298125	-5.236875	0.000000
36.844002	-62.952000	1006.682983	0.581875	-0.004375	-0.888125
37.942001	-56.181000	1010.953003	0.940625	-0.135625	-2.957500
37.576000	-61.061001	1007.354004	0.866250	0.236250	-7.980000
58.987000	-76.127998	993.324036	0.791875	0.385000	-10.793125
45.688999	-86.193001	996.923035	1.295000	-0.065625	-4.501875
44.164001	-60.329002	992.348022	1.220625	-0.266875	-1.373750
48.983002	-66.429001	1010.221008	1.085000	0.056875	-0.857500
38.247002	-67.954002	1001.803040	0.905625	-0.078750	-0.818125
39.161999	-62.403000	997.960022	0.940625	-0.118125	-0.875000
39.894001	-71.308998	1000.156006	0.866250	-0.196875	-0.866250
45.323002	-61.061001	996.252014	0.910000	-0.236250	-0.870625
37.637001	-63.074001	1004.975037	0.914375	-0.196875	-0.927500
39.040001	-65.636002	1000.278015	0.752500	-0.210000	-0.971250
38.552002	-67.099998	1000.765991	0.901250	-0.196875	-0.949375
44.834999	-64.355003	1000.278015	0.927500	-0.135625	-0.962500
36.783001	-62.708000	1001.376038	0.875000	-0.170625	-0.923125
42.882999	-67.709999	1000.033997	0.756875	-0.061250	-0.962500
43.188000	-67.832001	1002.230042	0.813750	-0.385000	-0.896875
40.260002	-61.792999	1000.643982	0.905625	-0.148750	-0.940625
43.737000	-64.660004	1001.742004	0.905625	-0.201250	-0.923125
43.737000	-64.050003	1002.108032	0.945000	-0.201250	-0.923125
44.529999	-64.050003	1002.108032	0.949375	-0.223125	-0.896875
41.602001	-62.464001	1000.643982	0.700000	-0.043750	-0.896875
40.504002	-66.978004	1000.888000	0.739375	-0.223125	-0.958125
42.577999	-60.938999	1001.497986	0.805000	-0.354375	-0.923125
39.650002	-62.708000	1003.083984	0.910000	-0.315000	-0.883750
42.151001	-63.562000	1002.351990	0.923125	-0.126875	-0.940625
42.577999	-63.318001	1004.304016	0.857500	-0.280000	-0.923125
40.748001	-62.098000	1002.718018	0.848750	-0.332500	-1.036875
42.944000	-62.098000	1002.473999	0.931875	-0.310625	-0.879375
