A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
29.889999	-25.925001	980.757996	5.285000	-5.223750	-4.453750
15.250000	-34.098999	998.752991	5.285000	-5.223750	0.000000
12.444000	-40.809002	986.309021	8.894375	-2.935625	-0.783125
23.180000	-37.149002	1003.694031	7.157500	-1.977500	-1.001875
22.448000	-33.733002	1004.426025	4.974375	-1.303750	-1.058750
19.398001	-29.707001	1003.450012	13.956250	-3.854375	-1.124375
24.827000	26.779001	1003.816040	6.343750	-1.146250	-1.216250
21.350000	-27.511000	1012.173035	13.361250	-7.135625	-1.461250
18.177999	-22.143000	1009.306030	9.931250	-5.381250	-1.330000
21.167000	-19.215000	1009.549988	3.097500	-1.351875	-1.124375
29.951000	-20.007999	1011.135986	-0.586250	0.818125	-0.984375
22.264999	-9.943000	1004.731018	-1.960000	1.710625	-0.848750
25.925001	-19.580999	1001.376038	-1.732500	1.456875	-0.866250
29.951000	-10.187000	1004.853027	-0.638750	0.643125	-0.875000
28.914000	-12.932000	1001.864014	0.411250	0.056875	-0.945000
30.927000	-15.616000	1001.742004	1.233750	-0.223125	-1.001875
26.047001	-11.529000	1002.596008	1.321250	-0.284375	-1.006250
20.374001	-12.566000	1002.962036	1.155000	-0.306250	-1.001875
29.585001	-15.860001	1003.694031	1.281875	-0.262500	-0.993125
26.718000	-9.821000	1005.280029	1.102500	-0.183750	-0.997500
29.463001	-11.712000	1004.426025	0.840000	-0.310625	-0.971250
26.840000	-10.614000	1005.280029	0.704375	-0.306250	-0.940625
26.840000	-18.605000	1002.351990	0.660625	0.004375	-1.115625
21.045000	-13.969000	1004.182007	0.918750	-0.083125	-1.054375
20.740000	-12.688000	1007.171021	0.918750	-0.083125	-1.058750
20.740000	-12.688000	1013.637024	1.211875	-0.240625	-1.058750
19.764000	-22.264999	1013.637024	1.172500	-0.468125	-0.962500
24.827000	-13.725000	1006.439026	1.286250	-0.520625	-0.980000
24.156000	-19.032000	1008.940002	1.203125	-0.358750	-1.076250
27.267000	-19.642000	1005.768005	1.041250	-0.188125	-1.036875
23.668001	-11.407001	1001.376038	0.717500	-0.008750	-0.971250
24.156000	-16.896999	1009.976990	0.490000	0.105000	-1.001875
28.243000	-15.616000	1005.768005	0.266875	0.109375	-0.971250
26.962000	-14.518001	1002.351990	0.835625	-0.249375	-0.936250
23.058001	-10.797000	999.546021	0.984375	-0.380625	-0.958125
28.731001	-11.712000	1004.364990	1.120000	-0.266875	-1.006250
23.118999	-14.030000	1003.937988	1.137500	-0.223125	-0.945000
20.984001	-9.577000	1000.278015	0.892500	-0.144375	-1.001875
24.339001	-10.492001	1002.901001	0.686875	-0.065625	-1.023750
27.084000	-12.688000	1004.059998	0.756875	-0.056875	-0.931875
24.278000	-16.348000	999.302002	0.831250	-0.074375	-0.888125
25.620001	-16.226000	1003.755005	1.023750	-0.039375	-0.945000
28.059999	-12.017000	1002.718018	1.019375	-0.135625	-1.067500
24.766001	-14.884000	1002.962036	0.870625	-0.227500	-0.958125
25.742001	-11.895000	1004.669983	0.660625	-0.126875	-0.883750
28.365000	-10.126000	1001.619995	0.787500	-0.140000	-1.058750
22.753000	-10.614000	1003.083984	1.010625	-0.122500	-0.984375
25.559000	-11.102000	1003.572021	1.080625	-0.140000	-1.093750
28.487000	-12.810000	1004.791992	0.861875	0.030625	-1.076250
24.156000	-13.176001	1006.988037	0.796250	-0.091875	-0.971250
24.400000	-19.215000	1004.426025	1.085000	-0.223125	-1.001875
25.620001	-16.165001	1001.986023	0.892500	-0.183750	-0.988750
27.572001	-13.359000	1003.328003	0.739375	-0.109375	-0.875000
26.596001	-13.298000	1004.426025	1.045625	-0.210000	-0.896875
21.167000	-13.908000	998.997009	1.010625	-0.157500	-0.984375
21.228001	-9.699000	997.350037	0.962500	-0.196875	-0.953750
30.805000	-11.834001	1002.778992	0.805000	-0.253750	-1.032500
21.899000	-16.348000	1004.548035	0.822500	-0.140000	-1.076250
18.177999	-18.544001	1002.473999	0.966875	-0.035000	-0.962500
24.827000	-13.847000	998.447998	1.163750	-0.249375	-0.923125
25.254000	-15.616000	1003.267029	0.984375	-0.070000	-0.936250
27.328001	-14.274000	1004.059998	1.050000	-0.105000	-0.875000
26.718000	-21.410999	1001.376038	0.818125	-0.105000	-0.927500
24.888000	-16.165001	1007.781006	0.896875	-0.175000	-0.888125
24.644001	-12.871000	1002.291016	0.831250	-0.153125	-0.949375
25.620001	-12.078000	1003.450012	0.826875	-0.118125	-0.984375
24.278000	-10.126000	1006.195007	0.761250	-0.026250	-0.975625
28.487000	-18.726999	1002.962036	0.630000	-0.043750	-1.001875
26.718000	-10.187000	1004.182007	0.743750	-0.118125	-1.015000
25.254000	-10.248000	1004.548035	0.673750	-0.008750	-1.080625
33.611000	-16.896999	1004.669983	0.721875	0.013125	-1.028125
23.729000	-13.603000	1004.059998	1.076250	-0.048125	-0.984375
24.766001	-15.250000	1005.890015	0.958125	-0.096250	-1.032500
26.474001	-12.627000	1005.402039	0.796250	-0.183750	-0.975625
