A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
28.609001	-8.662000	1004.609009	1.111250	-0.249375	-1.006250
23.118999	-15.555000	1006.622009	0.783125	-0.061250	-0.936250
25.437000	-12.017000	1002.230042	0.835625	-0.196875	-0.984375
25.132000	-13.298000	1004.975037	0.844375	-0.135625	-0.980000
27.084000	-16.104000	1006.012024	0.704375	-0.070000	-0.997500
23.424000	-13.786000	1000.643982	0.695625	-0.188125	-0.980000
34.892002	-13.176001	1008.635010	0.800625	-0.196875	-1.028125
23.607000	-17.080000	996.434998	1.076250	-0.236250	-1.028125
22.448000	-16.836000	1006.377991	0.975625	-0.013125	-1.001875
23.302000	-12.017000	1004.548035	0.796250	0.078750	-1.106875
21.594000	-19.459000	1006.012024	0.783125	-0.192500	-0.945000
21.106001	-12.261000	1002.230042	0.857500	-0.175000	-0.940625
23.729000	-14.152000	1001.132019	0.958125	-0.035000	-0.997500
24.034000	-5.795000	1005.096985	0.888125	-0.070000	-0.984375
25.986000	-15.799000	1006.866028	0.966875	-0.188125	-1.080625
19.337000	-11.773000	1005.158020	0.756875	-0.105000	-1.058750
23.363001	-15.128000	1004.426025	0.857500	-0.153125	-0.896875
19.153999	-14.884000	998.265015	0.901250	-0.205625	-0.901250
23.851000	-15.982000	1007.658997	0.966875	0.004375	-0.993125
21.837999	-13.603000	1000.583008	0.892500	-0.113750	-1.050000
27.023001	-13.054000	1004.975037	0.896875	-0.052500	-0.975625
24.400000	-19.703001	1001.986023	1.093750	-0.118125	-0.888125
26.718000	-16.409000	1001.132019	0.848750	-0.074375	-0.901250
28.670000	-17.568001	1003.205994	0.914375	-0.223125	-0.971250
23.912001	-21.106001	1006.439026	0.936250	-0.140000	-0.953750
27.877001	-17.629000	1004.548035	0.971250	-0.262500	-0.962500
22.448000	-15.738000	1000.400024	0.835625	-0.070000	-0.910000
20.374001	-15.616000	1001.619995	0.840000	-0.065625	-0.975625
24.461000	-9.943000	1001.010010	1.076250	-0.183750	-1.067500
18.605000	-19.580999	1005.707031	1.015000	-0.166250	-1.028125
24.948999	-14.335000	1002.351990	0.717500	-0.179375	-0.870625
23.424000	-18.422001	1001.132019	0.805000	-0.249375	-0.980000
30.073000	-13.359000	1008.025024	0.923125	-0.231875	-1.071875
24.948999	-16.958000	1002.291016	0.861875	-0.065625	-1.080625
26.474001	-17.446001	997.228027	0.800625	-0.065625	-0.945000
26.352001	-17.446001	1003.267029	1.001875	-0.091875	-0.936250
22.326000	-13.847000	1006.012024	0.984375	-0.170625	-0.848750
28.609001	-14.396000	1004.304016	0.988750	-0.083125	-0.888125
23.790001	-14.884000	1003.816040	0.590625	0.135625	-0.984375
24.034000	-19.886000	1004.548035	0.901250	0.000000	-1.067500
24.278000	-15.311000	1005.280029	0.787500	0.175000	-0.918750
22.082001	-9.699000	1004.304016	0.892500	-0.105000	-0.883750
20.740000	-7.442000	1011.319031	0.656250	-0.065625	-0.962500
27.755001	-16.775000	1003.632996	0.848750	0.113750	-0.984375
21.899000	-21.594000	999.546021	1.133125	-0.004375	-1.041250
27.999001	-18.117001	1004.731018	0.861875	-0.205625	-1.063125
22.326000	-15.738000	1002.962036	0.660625	-0.109375	-0.997500
24.521999	-17.812000	1000.888000	0.621250	0.061250	-1.063125
24.278000	-14.457000	1003.877014	0.800625	-0.026250	-0.949375
27.084000	-16.469999	1003.205994	0.927500	-0.236250	-0.966875
24.034000	-15.494000	1006.927002	0.918750	-0.336875	-1.010625
27.389000	-13.420000	1005.036011	0.980000	-0.175000	-1.080625
24.278000	-15.982000	1001.619995	0.835625	-0.148750	-1.050000
24.888000	-13.603000	1003.816040	0.765625	-0.074375	-0.993125
25.864000	-11.224000	1001.742004	0.901250	-0.017500	-0.997500
28.853001	-5.429000	999.546021	0.936250	-0.236250	-1.015000
30.378000	-10.126000	1009.244995	1.225000	-0.525000	-0.949375
23.363001	-8.296000	1003.999023	0.936250	-0.354375	-1.023750
30.073000	-15.799000	1006.134033	0.818125	-0.140000	-0.993125
25.986000	-21.410999	998.509033	1.106875	-0.341250	-0.945000
28.121000	-13.359000	1004.609009	1.050000	-0.223125	-0.896875
26.108000	-12.688000	1003.205994	0.721875	-0.048125	-0.988750
24.400000	-16.958000	1002.596008	0.450625	-0.030625	-1.163750
22.326000	-13.481000	999.424011	0.848750	-0.205625	-1.058750
20.496000	-12.444000	1004.487000	0.870625	-0.231875	-0.966875
20.130001	-19.947001	1001.132019	1.085000	-0.183750	-1.089375
25.559000	-19.398001	1005.829041	0.949375	-0.262500	-0.988750
24.521999	-12.505000	1011.075012	0.835625	-0.196
22.204000	-20.130001	1003.328003	0.739375	-0.070000	-0.945000
21.960001	-11.895000	1000.765991	0.800625	-0.153125	-1.028125
28.365000	-16.226000	1005.585022	0.826875	-0.030625	-0.993125
21.655001	-12.383000	1001.986023	0.721875	0.000000	-0.980000
21.716000	-13.298000	1004.182007	0.796250	-0.240625	-0.927500
25.802999	-16.714001	1002.718018	1.019375	-0.214375	-0.931875
27.694000	-21.472000	1001.986023	1.032500	-0.161875	-0.997500
26.474001	-18.239000	1002.596008	0.953750	-0.183750	-0.940625
22.814001	-18.788000	1003.937988	0.678125	-0.026250	-0.975625
27.389000	-12.871000	1001.742004	0.673750	0.083125	-0.988750
26.840000	-17.202000	1005.096985	0.800625	-0.061250	-0.984375
24.034000	-18.177999	1006.622009	0.918750	-0.109375	-0.905625
25.864000	-15.433001	1001.619995	0.813750	-0.122500	-1.006250
23.912001	-15.616000	1005.585022	0.748125	-0.100625	-0.923125
