A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
0.061000	-14.823000	985.333008	5.320000	-5.258750	-4.458125
16.592001	6.405000	999.302002	5.320000	-5.258750	0.000000
2.928000	0.793000	1004.121033	0.577500	-0.065625	11.060000
-7.015000	-43.249001	941.473999	3.486875	-1.102500	15.220625
-2.257000	-34.709000	982.648987	0.997500	-0.087500	3.316250
9.028000	-32.939999	999.546021	1.133125	0.280000	-1.421875
-19.520000	-66.246002	976.304993	-0.415625	-1.732500	-12.691875
-16.896999	77.409004	1157.536011	0.748125	0.735000	-23.275000
-11.163000	-48.068001	987.590027	1.093750	0.568750	-7.122500
-22.509001	-50.630001	1027.057007	0.398125	0.008750	-2.751875
6.344000	-14.579000	1010.403992	1.023750	-0.205625	-1.566250
-134.199997	839.665039	-1338.889038	-11.331250	-9.222500	3.456250
135.115005	-155.061996	1515.179077	-2.380000	-8.308125	1.382500
-33.306000	-20.007999	187.574997	1.596875	-2.003750	-0.840000
-11.773000	-25.010000	871.202026	1.246875	-0.004375	-1.618750
-13.664001	-17.873001	1023.335999	0.669375	-0.048125	-7.004375
83.997002	-15.982000	1058.289062	0.428750	0.122500	-7.857500
-0.183000	-1.586000	1028.459961	2.660000	-1.045625	-2.756250
2.989000	-4.514000	1016.442993	0.389375	-0.131250	-0.988750
-0.976000	-13.115000	1009.001038	0.389375	-0.131250	-0.861875
-0.976000	-13.115000	1746.979004	0.105000	0.035000	-0.861875
17.995001	-88.023003	1746.979004	8.058750	-0.253750	1.220625
3.782000	-37.514999	1135.880981	4.676875	-0.599375	-0.301875
-5.917000	-24.766001	990.091003	1.106875	-0.205625	-0.866250
0.427000	-23.668001	1004.059998	0.398125	-0.100625	-0.892500
1.220000	-15.189000	1005.158020	0.643125	-0.231875	-0.971250
0.976000	-14.152000	1007.293030	0.857500	-0.227500	-1.001875
9.089000	-13.420000	1006.377991	0.835625	-0.227500	-0.940625
0.183000	-16.104000	1004.548035	0.778750	-0.126875	-0.896875
-6.283000	-23.851000	1002.840027	0.472500	-0.161875	-1.001875
0.915000	-17.995001	1001.986023	0.428750	-0.175000	-0.988750
