A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-0.061000	-44.713001	987.773010	5.289375	-5.228125	-4.453750
-12.688000	-16.958000	998.692017	5.289375	-5.228125	0.000000
-3.477000	-57.401001	1006.072998	2.025625	0.227500	-15.019375
11.956000	-84.240997	997.411011	2.620625	0.774375	-24.780001
3.843000	-90.341003	953.979004	0.634375	0.341250	-26.600000
35.257999	-57.157001	995.885986	1.509375	0.043750	-14.017500
0.122000	-58.194000	1007.354004	1.207500	-0.122500	-3.281250
0.122000	-62.952000	1000.827026	0.783125	-0.135625	-1.032500
-4.392000	-57.645000	1003.999023	1.050000	-0.236250	-0.962500
1.403000	-61.366001	1001.619995	1.023750	-0.223125	-0.945000
3.294000	-55.205002	1002.230042	1.089375	-0.218750	-0.975625
5.734000	-59.170002	1001.986023	0.713125	-0.078750	-1.001875
2.196000	-59.414001	1000.400024	0.695625	-0.056875	-0.993125
0.488000	-61.976002	1001.132019	0.822500	-0.122500	-0.901250
-1.098000	-61.976002	1001.986023	0.931875	-0.157500	-0.984375
0.610000	-59.170002	1005.463013	0.848750	-0.131250	-0.980000
-2.074000	-60.389999	998.020996	0.813750	-0.280000	-0.945000
0.793000	-58.681999	1003.755005	0.971250	-0.188125	-0.980000
-0.122000	-60.024002	1000.522034	0.809375	-0.052500	-0.993125
0.000000	-58.926003	1003.877014	0.875000	-0.297500	-0.988750
0.610000	-61.122002	1007.293030	0.875000	-0.336875	-1.010625
2.074000	-67.161003	997.777039	0.918750	-0.332500	-0.931875
0.976000	-59.719002	1001.803040	0.971250	-0.105000	-0.896875
0.366000	-64.293999	1002.718018	0.818125	-0.262500	-0.936250
-6.283000	-58.987000	1004.669983	0.905625	-0.446250	-0.927500
-1.403000	-55.937000	1000.522034	0.905625	-0.266875	-0.923125
-1.403000	-57.950001	1004.975037	0.988750	-0.266875	-0.923125
0.366000	-57.950001	1004.975037	1.001875	-0.166250	-0.918750
2.196000	-63.257000	999.790039	0.853125	0.008750	-0.962500
1.830000	-64.903999	1000.765991	0.953750	-0.100625	-0.984375
1.708000	-56.791000	1005.463013	0.936250	-0.144375	-0.971250
1.220000	-60.878002	1002.718018	1.076250	-0.140000	-0.993125
0.122000	-60.389999	1000.765991	0.844375	-0.065625	-0.901250
4.331000	-63.684002	999.179993	0.914375	-0.113750	-0.927500
3.294000	-60.207001	1002.778992	0.783125	-0.056875	-0.949375
3.660000	-58.011002	1001.497986	1.120000	-0.078750	-0.993125
0.000000	-65.819000	1000.522034	0.905625	-0.122500	-0.993125
3.477000	-59.597000	999.790039	0.708750	0.135625	-0.844375
0.976000	-61.000000	1002.778992	0.901250	-0.214375	-0.822500
3.172000	-59.292000	998.692017	0.730625	-0.135625	-0.940625
-0.244000	-63.195999	1001.010010	0.791875	-0.161875	-0.896875
2.135000	-59.841000	1002.351990	0.958125	-0.118125	-0.905625
-3.843000	-60.268002	999.302002	0.896875	-0.214375	-1.001875
