A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
8.662000	-21.106001	957.273010	5.280625	-5.219375	-4.453750
21.106001	-18.788000	1005.158020	5.280625	-5.219375	0.000000
44.469002	-27.267000	1079.578003	10.040625	-2.603125	-1.028125
17.629000	-20.923000	1005.950989	4.895625	-1.176875	-0.927500
18.544001	-32.269001	1002.230042	-0.332500	0.153125	-0.791875
21.533001	-29.707001	1003.816040	-1.518125	0.503125	-0.831250
21.228001	-34.160000	1006.439026	-3.364375	0.835625	-0.936250
-29.889999	-18.300001	1342.182983	-5.565000	-0.371875	-1.999375
25.315001	-27.877001	1065.974976	-12.162500	5.328750	-1.268750
35.319000	-2.501000	975.023987	4.235000	-1.837500	-1.190000
28.121000	-4.392000	1017.723999	11.580625	-6.090000	-1.137500
22.875000	-24.156000	1008.390991	6.750625	-3.460625	-1.102500
20.740000	-20.313000	1011.684998	0.805000	0.000000	-0.988750
20.496000	-19.520000	1008.452026	-1.846250	1.430625	-0.787500
23.729000	-11.529000	1002.656982	-1.343125	1.023750	-0.813750
26.901001	-12.322001	1001.619995	-0.201250	0.411250	-0.879375
25.010000	-10.126000	1002.230042	0.822500	-0.245000	-0.993125
24.644001	-13.176001	1002.351990	1.461250	-0.564375	-1.093750
25.132000	-17.080000	1006.195007	1.194375	-0.446250	-1.071875
25.498001	-16.958000	1002.718018	0.809375	-0.157500	-0.997500
23.058001	-17.812000	1003.816040	0.835625	-0.236250	-0.940625
25.132000	-10.675000	1004.791992	0.748125	-0.096250	-1.001875
23.912001	-14.274000	1006.988037	0.608125	-0.026250	-0.931875
24.644001	-13.298000	1003.937988	0.783125	-0.179375	-0.962500
27.145000	-12.322001	1002.351990	0.918750	-0.201250	-1.111250
25.864000	-15.128000	1004.426025	0.805000	-0.218750	-1.006250
22.814001	-14.762000	1004.669983	0.805000	-0.218750	-1.006250
22.814001	-14.762000	1005.402039	0.993125	-0.192500	-0.931875
20.496000	-18.300001	1005.402039	0.953750	-0.218750	-0.949375
22.814001	-16.348000	1006.500000	0.546875	-0.262500	-1.019375
22.448000	-14.640000	1005.768005	0.608125	-0.043750	-1.036875
18.544001	-13.664001	1003.083984	0.756875	-0.056875	-1.093750
20.130001	-12.932000	1004.059998	1.006250	-0.157500	-1.015000
18.910000	-16.104000	1004.304016	0.831250	-0.083125	-0.966875
21.655001	-15.860001	1003.937988	0.980000	-0.135625	-1.010625
21.472000	-19.642000	1004.426025	0.927500	-0.341250	-1.058750
21.594000	-18.056000	1006.134033	0.958125	-0.175000	-0.993125
24.217001	-11.163000	1002.351990	0.826875	-0.052500	-0.910000
22.204000	-13.298000	1000.643982	1.076250	-0.201250	-0.875000
27.389000	-14.762000	1000.888000	0.945000	-0.113750	-1.006250
25.742001	-16.469999	1006.072998	0.870625	-0.231875	-1.006250
23.180000	-12.505000	1000.765991	0.800625	-0.004375	-0.910000
24.034000	-17.995001	1002.840027	0.984375	-0.205625	-1.063125
25.498001	-13.725000	1004.059998	0.761250	-0.161875	-0.931875
24.156000	-13.664001	1004.059998	0.914375	-0.166250	-0.888125
25.742001	-14.030000	1003.816040	0.923125	-0.166250	-0.892500
22.204000	-12.444000	1007.049011	0.809375	-0.175000	-1.023750
25.193001	-14.640000	1004.059998	1.150625	-0.315000	-1.032500
