A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-11.163000	-30.561001	956.785034	5.306875	-5.241250	-4.458125
-17.141001	-24.827000	1025.471069	5.306875	-5.241250	0.000000
-6.893000	-30.927000	984.601013	0.301875	-0.061250	4.628750
0.183000	-24.095001	999.424011	0.196875	0.035000	2.996875
-2.440000	2.318000	1001.010010	0.612500	-0.087500	1.010625
0.305000	-1.220000	1001.132019	0.695625	-0.096250	4.436250
-6.405000	-4.514000	1008.147034	0.616875	-0.008750	8.802500
-6.710000	-20.007999	987.833984	1.211875	-0.258125	7.879375
-8.418000	-26.291000	987.346008	0.870625	-0.039375	4.480000
-2.013000	-24.644001	1001.986023	0.529375	0.070000	1.225000
-5.856000	-11.834001	1001.497986	0.748125	-0.113750	-0.393750
-6.466000	-10.248000	1002.840027	0.822500	-0.166250	-0.196875
-3.477000	-6.039000	1005.036011	0.861875	-0.253750	0.008750
-5.734000	-11.224000	1003.205994	0.730625	-0.214375	0.056875
-9.638000	-7.381000	999.179993	0.966875	-0.161875	-0.043750
-9.760000	-13.725000	1000.765991	1.054375	-0.214375	-0.350000
-11.102000	-17.446001	1004.609009	0.761250	-0.240625	-0.765625
-4.575000	-11.163000	1005.402039	0.853125	-0.231875	-1.006250
-5.856000	-13.664001	1002.718018	1.120000	-0.179375	-0.936250
-6.222000	-12.810000	1001.742004	0.993125	-0.096250	-0.875000
-5.978000	-12.078000	998.692017	0.931875	-0.231875	-1.006250
-5.734000	-8.967000	1004.121033	1.163750	-0.223125	-0.940625
-8.174000	-10.614000	1001.497986	1.163750	-0.223125	-0.940625
-8.174000	-10.614000	998.692017	1.041250	-0.091875	-0.949375
-8.662000	-11.346000	998.692017	0.927500	-0.140000	-0.927500
-8.906000	-12.688000	997.716003	0.739375	-0.210000	-1.010625
-6.649000	-12.932000	1011.746033	1.045625	-0.161875	-1.019375
-7.686000	-10.858000	1001.924988	0.949375	-0.245000	-0.936250
-9.882000	-7.869000	1000.522034	0.875000	-0.310625	-0.993125
-22.753000	37.453999	1139.846069	-1.841875	4.834375	-1.653750
-40.138000	16.958000	709.856995	-0.573125	0.931875	-1.592500
207.643997	-60.268002	1998.604004	1.098125	-5.985000	-7.490000
-5.551000	46.116001	424.377014	-0.608125	-2.279375	-5.486250
-23.546000	20.069000	-266.020996	-2.607500	-0.179375	-2.594375
-3.599000	7.747000	1018.944031	0.402500	-0.258125	-1.347500
-7.320000	-20.496000	997.289001	0.783125	0.271250	-0.966875
-7.076000	-2.867000	1008.208008	1.771875	-0.590625	-0.953750
-5.734000	-9.089000	1002.413025	0.962500	-0.581875	-0.883750
-9.028000	-10.980000	1002.718018	1.675625	-0.870625	-1.080625
-5.185000	-8.906000	1004.914001	1.496250	-0.078750	-1.045625
-5.246000	-13.664001	1003.328003	1.741250	-0.608125	-1.102500
-8.784000	-8.845000	1000.765991	1.583750	-1.128750	-0.975625
-8.418000	-8.052000	1002.351990	0.573125	-0.280000	-0.984375
-7.808000	-10.126000	1005.829041	1.058750	0.249375	-0.918750
-4.331000	-8.174000	1004.304016	1.155000	-0.669375	-0.883750
-4.758000	-13.542000	1000.278015	1.596875	-0.511875	-0.975625
-3.660000	-10.065001	1002.413025	1.369375	-0.630000	-1.001875
-6.954000	-8.296000	1007.171021	1.321250	-0.778750	-1.032500
-9.882000	-17.750999	1002.291016	0.844375	-0.240625	-0.984375
-6.893000	-11.651000	1001.254028	0.717500	0.013125	-1.023750
-6.100000	-6.649000	1003.205994	0.599375	0.030625	-0.980000
-8.296000	-12.749001	1001.742004	0.700000	-0.275625	-0.975625
-8.052000	-13.786000	1003.450012	0.796250	-0.297500	-0.844375
-5.978000	-10.919000	1004.304016	1.050000	-0.271250	-0.805000
-9.516000	-9.760000	1003.572021	1.085000	-0.258125	-0.962500
-5.307000	-8.784000	1001.619995	0.673750	-0.249375	-0.971250
-4.270000	-6.649000	1002.351990	0.612500	-0.196875	-0.997500
-11.529000	-11.773000	1004.304016	0.678125	-0.214375	-0.980000
-6.283000	-7.015000	1001.010010	0.796250	-0.052500	-0.844375
-3.721000	-15.311000	1002.473999	0.988750	-0.135625	-0.971250
-9.821000	-13.298000	1004.182007	0.721875	-0.074375	-0.870625
-9.760000	-9.333000	1002.718018	0.813750	-0.161875	-0.892500
-8.296000	-12.200000	1002.718018	0.748125	-0.070000	-0.993125
-6.954000	-12.932000	999.302002	1.124375	-0.354375	-0.945000
-6.100000	-10.736000	1001.254028	1.268750	-0.293125	-1.001875
-8.296000	-10.004000	1003.999023	1.098125	-0.118125	-0.953750
-3.477000	-13.908000	1004.304016	0.896875	-0.170625	-1.001875
-12.627000	-11.285000	1003.572021	1.063125	-0.223125	-1.001875
-8.845000	-9.760000	1006.134033	0.761250	-0.179375	-0.962500
-7.442000	-8.906000	1003.328003	0.336875	-0.039375	-0.840000
-5.246000	-10.858000	1002.351990	0.730625	-0.100625	-0.958125
-9.516000	-8.113000	1003.083984	0.748125	-0.126875	-1.032500
-5.795000	-11.102000	1005.036011	0.861875	-0.240625	-0.901250
-9.150001	-11.712000	1008.147034	0.726250	-0.161875	-0.975625
-9.272000	-12.688000	1004.914001	0.857500	-0.275625	-0.962500
-12.322001	-9.943000	1001.376038	0.949375	-0.236250	-0.958125
-5.673000	-12.566000	1002.596008	0.612500	-0.070000	-0.945000
-10.248000	-11.590000	1000.522034	0.555625	-0.109375	-0.883750
-4.209000	-16.775000	996.739990	0.651875	-0.074375	-0.831250
-7.686000	-11.163000	1001.559021	0.962500	-0.087500	-0.927500
-9.516000	-12.200000	1004.487000	1.006250	-0.135625	-0.905625
-5.185000	-12.322001	999.911987	0.840000	-0.100625	-1.001875
-9.638000	-11.956000	1002.230042	0.901250	-0.227500	-0.962500
-8.662000	-11.590000	1002.840027	0.770000	-0.043750	-1.019375
-4.575000	-12.078000	1006.682983	1.058750	-0.170625	-0.997500
-6.710000	-4.331000	998.265015	1.176875	-0.214375	-0.988750
-7.564000	-5.368000	1007.171021	0.949375	-0.061250	-0.901250
-3.721000	-9.272000	1000.949036	1.281875	-0.017500	-0.993125
-10.553000	-8.296000	1002.718018	0.896875	-0.087500	-1.019375
-10.370000	-10.126000	1004.914001	0.783125	-0.240625	-1.036875
-14.640000	-15.372000	981.794983	0.691250	-0.328125	-0.875000
-4.026000	-5.307000	1106.661987	17.303125	-8.596875	0.481250
-3.904000	-7.076000	1004.121033	2.699375	-0.962500	0.113750
-14.823000	16.042999	1014.674011	-3.123750	1.986250	-0.441875
0.122000	-9.455000	978.440002	2.419375	-0.503125	3.346875
9.699000	-67.771004	996.679016	2.419375	-0.503125	5.193125
9.699000	-67.771004	996.496033	1.955625	-0.284375	5.193125
-2.135000	-10.919000	996.496033	0.988750	-0.140000	6.265000
129.014999	38.125000	872.299988	0.608125	-1.067500	6.601875
-67.527000	2.318000	971.791016	0.341250	-1.172500	17.031876
-52.704002	-38.979000	1010.708984	0.910000	-0.783125	9.940000
-158.966003	-39.771999	985.210999	1.085000	0.236250	4.471250
64.965004	-33.123001	1239.214966	3.574375	-2.765000	-5.166875
346.358002	84.607002	1006.134033	3.635625	-4.090625	-29.281876
166.225006	25.193001	1082.628052	-1.461250	0.013125	-1.067500
82.899002	-97.234001	1025.837036	-1.951250	2.900625	38.211250
-663.557983	-12.749001	1018.395020	0.708750	0.083125	56.590626
-368.928009	-128.770996	1177.117065	1.680000	-0.726250	9.594375
-66.917000	165.432007	1119.532959	1.977500	0.551250	-1.855000
435.845001	-79.605003	995.520020	-0.166250	4.011875	-26.298124
60.024002	9.516000	932.202026	1.356250	-0.538125	-11.208750
-219.477997	-10.126000	939.338989	0.126875	-0.301875	-23.388750
-7.686000	-6.893000	1017.114014	0.682500	0.052500	-8.461250
-1.647000	-11.224000	1003.937988	0.883750	-0.109375	-1.106875
-0.366000	-6.771000	1001.254028	0.870625	-0.135625	-1.028125
-6.405000	-5.490000	1002.473999	1.001875	0.087500	-1.102500
-14.091001	-8.906000	1005.463013	0.625625	-0.056875	-0.984375
-6.893000	-9.150001	1003.694031	0.940625	-0.083125	-0.809375
-5.368000	-8.174000	1003.816040	0.892500	-0.328125	-0.993125
-8.540000	-13.725000	998.692017	1.225000	-0.446250	-1.137500
-5.429000	-8.845000	997.471985	1.041250	-0.354375	-0.945000
-15.311000	-4.209000	1001.803040	0.577500	-0.078750	-0.870625
-8.723001	-10.065001	1001.132019	0.555625	0.087500	-0.923125
-2.745000	-10.736000	1005.950989	1.001875	-0.214375	-0.791875
-1.098000	-4.331000	1006.255981	0.927500	-0.157500	-0.962500
-10.675000	-15.067000	1009.733032	0.647500	-0.188125	-1.006250
-17.750999	-13.298000	1001.559021	1.023750	-0.188125	-0.892500
-4.514000	-4.575000	1005.950989	1.067500	-0.196875	-0.822500
-0.183000	-7.198000	1003.694031	1.001875	-0.266875	-0.966875
-8.967000	-14.823000	1002.718018	0.883750	-0.100625	-0.940625
-11.468000	-5.429000	1004.426025	0.297500	-0.070000	-0.953750
-2.379000	-10.248000	1005.645996	0.538125	-0.192500	-1.036875
-4.270000	-8.540000	1003.083984	0.625625	-0.170625	-0.901250
-3.660000	-11.712000	1000.033997	0.805000	-0.109375	-1.023750
-2.928000	-8.723001	1004.975037	0.783125	-0.087500	-1.045625
-12.749001	-5.673000	1003.816040	0.756875	-0.183750	-0.962500
-6.649000	-9.150001	1004.182007	0.700000	-0.153125	-0.896875
-2.379000	-6.832000	1008.513000	0.923125	-0.166250	-0.888125
-8.601000	-6.832000	1004.426025	1.058750	-0.100625	-0.931875
-7.808000	-6.344000	1001.619995	1.137500	-0.118125	-0.931875
-5.673000	-11.102000	997.228027	1.155000	-0.223125	-1.006250
-7.686000	-16.226000	1004.975037	0.940625	-0.214375	-0.971250
-0.549000	-0.488000	1006.622009	0.651875	-0.245000	-0.971250
-10.431000	-13.237000	1001.376038	0.717500	-0.048125	-1.028125
-4.941000	-10.675000	1004.364990	0.896875	-0.122500	-0.984375
-8.296000	-7.015000	1000.765991	0.673750	-0.262500	-0.931875
-11.712000	-11.834001	1002.108032	0.533750	-0.288750	-0.936250
-9.577000	-17.202000	1003.816040	0.905625	-0.249375	-0.958125
-11.712000	-8.845000	1000.400024	0.861875	-0.148750	-0.879375
-8.967000	-10.004000	1003.999023	1.006250	-0.109375	-0.831250
-6.832000	-8.296000	1000.888000	0.875000	-0.310625	-1.001875
-4.819000	-11.102000	1000.765991	0.783125	-0.231875	-0.883750
-10.919000	-13.420000	1007.658997	0.800625	-0.218750	-0.918750
-8.784000	-10.736000	1001.803040	0.949375	-0.140000	-0.905625
-8.296000	-12.200000	1001.619995	0.848750	-0.214375	-0.918750
-1.281000	-8.845000	1000.765991	0.879375	-0.043750	-0.945000
-7.137000	-6.771000	1002.473999	0.840000	-0.061250	-1.019375
-6.222000	-11.651000	1003.205994	0.726250	-0.170625	-0.958125
-9.882000	-10.980000	1006.561035	0.529375	-0.231875	-1.067500
-1.037000	-11.346000	1000.949036	0.975625	-0.188125	-1.006250
-6.466000	-12.810000	1006.317017	0.958125	-0.175000	-0.905625
