A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-6.527000	11.102000	1013.088013	-0.376250	0.612500	-0.249375
2.074000	6.771000	1011.867981	-0.293125	0.638750	-0.350000
5.246000	5.002000	1012.356018	-0.275625	0.595000	-0.183750
13.847000	10.126000	1013.454041	-0.161875	0.599375	-0.249375
5.307000	2.745000	1014.307983	-0.170625	0.424375	-0.310625
8.967000	8.235000	1014.796021	-0.144375	0.498750	-0.258125
10.004000	7.076000	1014.674011	-0.275625	0.608125	-0.306250
7.564000	5.490000	1014.186035	-0.424375	0.713125	-0.437500
4.270000	4.636000	1010.281982	-0.376250	0.612500	-0.301875
4.880000	6.100000	1014.491028	-0.231875	0.402500	-0.315000
5.856000	8.174000	1012.600037	-0.157500	0.468125	-0.271250
6.588000	9.638000	1016.565002	-0.236250	0.511875	-0.306250
6.954000	4.209000	1017.785034	-0.415625	0.428750	-0.284375
3.294000	3.904000	1013.332031	-0.214375	0.446250	-0.336875
8.845000	9.699000	1016.931030	-0.323750	0.525000	-0.306250
4.026000	2.501000	1015.283997	-0.354375	0.581875	-0.205625
4.514000	4.148000	1012.600037	-0.179375	0.446250	-0.306250
12.993000	5.856000	1010.892029	-0.275625	0.507500	-0.280000
7.930000	8.052000	1013.880981	-0.210000	0.476875	-0.323750
1.403000	5.002000	1013.820007	-0.301875	0.616875	-0.297500
11.590000	9.333000	1012.966003	-0.446250	0.866250	-0.319375
9.638000	-0.061000	1012.356018	-0.319375	0.643125	-0.297500
10.065001	14.457000	1018.395020	-0.503125	0.756875	-0.332500
9.150001	8.235000	1016.992004	-0.345625	0.577500	-0.310625
10.858000	2.013000	1013.210022	-0.350000	0.551250	-0.245000
7.686000	7.991000	1015.040039	-0.271250	0.455000	-0.293125
2.074000	9.882000	1017.906982	-0.231875	0.511875	-0.175000
7.747000	12.200000	1012.783020	-0.280000	0.656250	-0.227500
7.198000	1.647000	1015.101013	-0.332500	0.643125	-0.253750
0.305000	5.917000	1013.697998	-0.258125	0.411250	-0.245000
3.477000	11.041000	1014.918030	-0.126875	0.328125	-0.227500
10.126000	7.442000	1014.918030	-0.218750	0.516250	-0.315000
5.124000	7.320000	1012.234009	-0.236250	0.507500	-0.332500
7.686000	3.782000	1014.307983	-0.166250	0.428750	-0.153125
13.481000	8.235000	1014.429993	-0.188125	0.293125	-0.227500
3.965000	13.847000	1012.721985	-0.166250	0.441875	-0.406875
6.588000	3.477000	1013.332031	-0.188125	0.498750	-0.406875
1.098000	10.309000	1012.843994	-0.332500	0.739375	-0.262500
8.357000	10.248000	1012.966003	-0.354375	0.546875	-0.196875
12.383000	10.858000	1015.161987	-0.288750	0.546875	-0.179375
3.111000	7.442000	1015.650024	-0.131250	0.520625	-0.258125
5.978000	6.527000	1010.281982	-0.363125	0.542500	-0.271250
7.930000	6.100000	1013.027039	-0.144375	0.367500	-0.201250
5.246000	8.662000	1017.785034	-0.323750	0.630000	-0.214375
7.198000	8.174000	1012.966003	-0.376250	0.774375	-0.258125
1.647000	7.198000	1013.088013	-0.350000	0.568750	-0.328125
