A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
227.042007	79.178001	1038.219971	-25.471251	-27.825001	-29.093750
232.776001	80.153999	1042.916992	-26.061874	-27.772499	-29.181250
236.070007	78.933998	1042.612061	-25.895624	-27.684999	-29.137501
230.275009	82.289001	1040.660034	-25.615625	-27.842501	-29.159374
235.277008	84.912003	1039.806030	-25.331249	-27.741875	-29.233749
235.947998	80.641998	1035.657959	-25.676874	-27.698126	-29.163750
233.874008	79.178001	1046.271973	-25.991875	-27.719999	-29.106874
234.362000	76.006004	1042.245972	-25.873751	-27.803125	-29.246876
236.923996	81.679001	1042.855957	-25.921875	-27.575624	-29.168125
231.128998	81.008003	1040.781982	-25.410000	-27.514376	-29.111250
231.556000	83.204002	1038.463989	-25.768749	-27.825001	-29.181250
239.791000	88.023003	1039.196045	-25.996250	-27.803125	-29.141874
232.837006	82.349998	1041.880005	-25.663750	-27.715626	-29.150625
223.443008	77.835999	1041.026001	-25.375000	-27.763750	-29.176874
238.143997	83.752998	1044.015015	-25.620001	-27.724375	-29.089375
245.037003	83.082001	1040.171997	-26.267500	-27.790001	-29.203125
235.764999	76.432999	1044.747070	-25.768749	-27.610624	-29.106874
226.005005	78.385002	1043.953979	-25.716249	-27.798750	-28.966875
228.018005	86.315002	1046.942993	-25.891251	-27.676250	-29.128750
237.473007	87.718002	1047.248047	-25.532499	-27.671875	-29.211876
237.778000	84.424004	1044.807983	-25.641874	-27.768126	-29.334375
231.494995	73.504997	1043.588013	-25.733749	-27.855625	-29.334375
233.141998	78.507004	1039.927979	-25.768749	-27.741875	-29.080626
236.009003	83.387001	1042.428955	-25.926250	-27.536249	-29.054375
234.606003	78.812004	1036.207031	-25.641874	-27.746250	-29.028126
230.701996	84.485001	1039.073975	-25.729376	-27.868750	-29.176874
226.798004	75.701004	1042.307007	-25.440624	-27.671875	-29.045626
231.983002	74.907997	1038.098022	-25.729376	-27.492500	-28.980000
236.009003	80.825005	1046.942993	-25.646250	-27.575624	-28.875000
236.192001	86.681000	1042.001953	-25.549999	-27.693750	-28.993126
230.275009	79.238998	1041.026001	-25.991875	-27.562500	-28.993126
232.166000	75.274002	1040.171997	-25.856251	-27.711250	-29.049999
234.423004	84.119003	1040.904053	-25.615625	-27.623751	-29.028126
237.229004	82.106003	1045.113037	-25.532499	-27.654375	-29.014999
228.079010	81.862000	1041.880005	-25.729376	-27.580000	-29.080626
229.725998	84.180000	1045.479004	-25.917500	-27.580000	-29.098125
225.212006	61.183002	1027.605957	-42.853127	-10.858750	-29.028126
220.454010	51.056999	1067.072998	-35.525002	-16.668751	-29.014999
207.033997	47.824001	1036.024048	-30.135000	-21.713125	-29.413124
282.795990	-70.943001	1131.977051	-22.561874	-28.962500	-28.599375
273.829010	24.156000	1080.920044	-27.531876	-31.110624	-43.487499
216.977005	145.057999	1043.282959	-29.067499	-29.855000	-64.693123
24.217001	154.513000	1054.079956	-27.496876	-29.894375	-60.917500
122.792999	291.946014	1048.956055	-22.356251	-30.117500	-31.128124
38.857002	49.105000	1095.560059	-14.358750	-26.976250	27.776875
372.404999	-225.882996	1023.031006	-23.743126	-21.629999	38.031876
344.345001	-18.726999	976.976013	-20.982500	-27.107500	9.625000
514.596008	-81.008003	1069.329956	-25.930626	-28.021875	-39.742500
325.496002	158.294998	1183.461060	-28.240625	-37.869999	-99.811249
9.943000	157.014008	986.796997	-20.632500	-35.275623	-101.377502
106.811005	66.001999	1060.911987	-40.573750	-16.905001	-45.526249
-3.416000	174.826004	1036.572998	-22.763124	-27.076876	0.905625
277.183990	-150.304001	1059.020996	-19.302500	-22.365000	51.904999
404.856995	191.296005	1096.109009	-21.214375	-29.610001	34.151249
351.908997	37.209999	1054.750977	-22.999374	-31.342501	-15.190000
346.662994	-65.331001	1047.187012	-28.861876	-35.323750	-98.301872
-19.215000	306.463989	974.109009	-45.023125	-30.848125	-112.708748
183.488007	10.248000	1079.333984	-29.347500	-24.276875	-48.934376
7.381000	103.821999	1037.549072	-14.196875	-28.608126	-25.532499
169.153000	91.317001	1079.943970	-26.166876	-19.499374	26.836250
349.774017	11.956000	1020.164001	-24.850000	-24.679375	18.851875
251.259003	46.542999	1037.854004	-24.333750	-29.715000	-19.722500
507.825012	-122.000000	1029.863037	-29.513750	-31.994375	-70.315002
109.495003	182.085007	977.403015	-34.299999	-35.017502	-112.310623
159.759003	70.760002	1084.458008	-25.580626	-25.878124	-50.465626
-73.321999	113.338005	1081.774048	-10.815000	-22.758751	-11.191250
395.584991	-43.554001	1049.566040	-18.033751	-23.743126	23.760626
400.587006	35.746002	1010.221008	2.310000	-32.882500	1.745625
294.812988	-35.685001	1037.609985	-20.645624	-31.828125	-38.731876
252.113007	-6.954000	1013.880981	-41.693748	-32.970001	-97.890625
-17.019001	128.953995	1018.882996	-27.641251	-24.784374	-48.081249
24.521999	71.796997	1043.893066	-27.641251	-22.058750	9.419375
291.885010	85.155998	1026.141968	-21.883751	-22.058750	9.419375
291.885010	68.807999	1065.609009	-1.802500	-28.910000	23.988125
270.778992	68.807999	1065.609009	-16.721251	-32.300625	-20.965000
232.104996	-15.433001	1304.363037	-43.750000	-33.363750	-96.066254
-148.412994	243.878006	995.398010	-53.838749	-21.875000	-56.402500
119.499001	54.656002	1044.990967	-21.070000	-23.257500	-22.036875
307.562012	-38.186001	1077.504028	-16.432501	-25.278749	-7.476875
214.232010	71.492004	1043.343994	-20.908125	-27.768126	-23.340626
196.542007	62.037003	1043.832031	-25.733749	-27.921249	-29.601250
192.516006	62.464001	1046.211060	-25.808125	-27.488125	-28.879375
204.106003	70.210999	1043.466064	-24.902500	-27.654375	-28.945000
210.632996	71.980003	1051.701050	-25.094999	-28.013124	-29.098125
176.046005	51.362000	1075.490967	-27.864374	-27.873125	-29.518126
226.737000	56.547001	1034.743042	-20.291250	-30.170000	-29.413124
202.824997	68.807999	1053.286987	-21.826876	-29.395624	-29.286249
220.880997	69.174004	1056.824951	-23.489374	-28.594999	-29.701876
209.779007	71.003998	1045.479004	-24.145624	-27.916876	-29.596874
272.548004	110.105003	1077.625977	-22.666876	-29.846251	-35.393749
268.278015	67.282997	1057.495972	-20.291250	-23.646875	-35.791874
96.501999	59.597000	1011.624023	-13.352500	-23.082500	-20.807501
207.583008	112.544998	1061.217041	-19.267500	-22.373751	-21.061251
162.259995	129.442001	1237.994995	-5.998125	-37.134998	-28.411249
357.032990	306.281006	1243.363037	5.136250	-41.488125	-36.115623
235.643005	85.522003	1130.696045	17.438749	-60.248123	-30.410625
