A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
20.496000	-62.464001	1002.718018	0.853125	-0.192500	-0.940625
-120.658005	-49.348999	987.223999	0.708750	-0.800625	-1.295000
-101.931000	-58.499001	981.429016	-1.610000	-1.535625	-1.045625
-135.419998	-53.985001	984.723022	-1.999375	-4.160625	0.004375
-131.089005	-46.421001	1018.028992	0.993125	-3.395000	-1.745625
-151.035995	-78.812004	1013.575989	-1.898750	-2.515625	-1.820000
-225.029007	-65.270004	1023.397034	-1.898750	-2.515625	-0.455000
-225.029007	-65.270004	1024.921997	8.850625	-4.309375	-0.455000
-268.095001	-70.150002	1024.921997	20.956249	4.410000	-4.313750
-316.101990	-57.950001	1043.770996	14.354375	6.711250	-4.882500
-361.608002	-85.827003	1034.255005	-0.183750	0.301875	-4.344375
-392.473999	-97.783005	1043.039062	-9.686250	-19.560625	1.986250
-269.864014	-77.042999	1006.317017	1.203125	-1.631875	0.258125
-253.638000	-7.747000	938.119019	7.984375	-5.394375	-0.056875
-29.829000	-56.486000	1022.543030	5.289375	-17.355625	-3.465000
-99.979004	-11.224000	935.069031	26.459999	-4.904375	-1.203125
4.270000	47.214001	1060.302002	19.070625	-12.954375	1.920625
66.856003	10.309000	990.945007	9.205000	-21.608126	6.422500
8.723001	30.073000	1019.309998	-3.631250	-9.585625	6.663125
35.624001	-1.342000	866.749023	-9.555000	4.073125	3.027500
0.854000	12.078000	938.729004	2.314375	3.443125	9.638125
47.458000	1.159000	1056.824951	7.214375	-30.555000	-4.943750
180.011002	-38.491001	910.303040	16.703751	-22.929375	-12.477500
75.822998	119.499001	974.718994	18.458124	2.471875	-18.007500
288.895996	105.042000	994.117004	0.428750	-25.939375	-21.892500
410.041992	10.004000	946.231995	-18.615625	-24.412500	-11.309375
386.557007	60.329002	1085.433960	-29.592501	10.618125	-7.669375
247.904007	38.247002	1055.666016	-40.442501	4.151875	8.846250
173.240005	-45.445000	1009.794006	-41.391876	18.830000	15.535625
293.044006	-86.681000	1017.663025	-25.707500	-10.220000	19.963125
5.917000	-77.042999	977.158997	-11.318125	-2.073750	14.721875
198.311005	-9.333000	1034.437988	0.371875	7.857500	2.301250
-85.034004	-128.893005	847.900024	9.493750	-11.515000	8.789375
