A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
195.199997	78.812004	1048.895020	-25.746876	-27.772499	-29.093750
194.223999	81.008003	1040.843018	-25.965626	-27.895000	-29.028126
196.969009	82.472000	1044.503052	-25.926250	-27.825001	-29.006250
197.395996	76.799004	1045.417969	-25.764376	-27.846874	-29.163750
196.054001	75.884003	1044.563965	-25.676874	-27.610624	-29.067499
193.736008	79.726997	1041.880005	-25.725000	-27.829374	-28.971251
195.444000	82.106003	1050.359009	-25.930626	-27.842501	-28.971251
199.287003	78.933998	1044.380981	-25.847500	-27.816250	-29.093750
199.835999	77.835999	1045.906006	-25.685625	-27.728750	-29.268749
195.078003	76.250000	1044.197998	-25.891251	-27.890625	-29.049999
195.809998	78.080002	1050.114990	-25.589375	-27.623751	-29.045626
195.809998	79.422005	1045.417969	-25.738125	-27.676250	-29.080626
199.775009	76.737999	1043.343994	-25.913124	-27.728750	-28.975624
195.444000	78.202003	1042.368042	-25.690001	-27.615000	-29.028126
200.263000	75.762001	1043.588013	-25.694374	-27.855625	-29.102501
199.104004	79.848999	1044.442017	-25.773125	-27.689375	-29.172501
197.152008	73.383003	1045.784058	-25.698750	-27.811874	-29.028126
195.809998	78.750999	1043.709961	-25.869375	-27.715626	-28.997499
195.322006	82.654999	1042.489990	-25.716249	-27.650000	-28.936251
194.956009	77.165001	1040.904053	-25.812500	-27.676250	-28.940624
193.003998	78.690002	1042.978027	-25.703125	-27.733126	-29.071875
198.311005	77.592003	1042.368042	-25.803749	-27.794374	-29.102501
195.444000	74.786003	1049.383057	-25.462500	-27.689375	-29.019375
196.175995	79.483002	1045.784058	-25.593750	-27.663124	-29.089375
197.639999	78.690002	1042.124023	-25.611250	-27.794374	-29.133125
195.078003	76.737999	1044.197998	-25.847500	-27.842501	-29.080626
203.069000	74.298004	1044.197998	-25.755625	-27.921249	-29.045626
201.178009	76.555000	1046.271973	-25.838751	-27.829374	-29.001875
197.395996	81.069000	1047.004028	-25.746876	-27.702499	-29.001875
195.566010	81.008003	1045.052002	-25.843124	-27.811874	-29.049999
201.604996	76.860001	1042.124023	-25.746876	-27.864374	-28.936251
194.285004	76.494003	1045.967041	-25.720625	-27.636875	-29.028126
190.930008	79.605003	1043.709961	-25.816875	-27.676250	-29.076250
195.871002	78.812004	1041.880005	-25.917500	-27.943125	-29.115625
199.897003	76.006004	1043.588013	-25.598125	-27.663124	-29.001875
199.348007	75.396004	1049.383057	-25.768749	-27.846874	-28.953751
197.762009	77.348000	1047.492065	-25.908751	-27.750626	-29.063126
193.613998	81.191002	1046.271973	-25.733749	-27.746250	-29.093750
197.212997	80.398003	1043.343994	-25.764376	-27.702499	-29.054375
196.664001	77.470001	1046.211060	-25.869375	-27.877501	-29.194374
201.848999	77.592003	1043.832031	-25.969999	-28.039375	-29.163750
199.591995	77.470001	1046.454956	-25.830000	-27.741875	-28.971251
189.893005	73.321999	1046.027954	-25.738125	-27.523125	-28.940624
197.212997	78.750999	1046.881958	-25.939375	-27.969376	-29.093750
