A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-3.599000	-25.925001	1002.230042	0.966875	-0.196875	-0.953750
-213.561005	-43.249001	983.747009	8.452500	12.123125	2.415000
-181.414001	55.815002	945.804993	15.566250	-10.329375	8.653750
-185.195999	-42.882999	1049.687988	8.540000	-0.603750	13.925625
-194.041000	7.137000	1007.903015	-1.115625	3.351250	5.079375
-163.723999	-5.978000	954.710999	-0.266875	-1.955625	-2.121875
-200.994995	100.650002	994.726990	-8.133125	-9.069375	-6.610625
-180.132996	1.891000	1002.046997	-9.625000	-3.390625	-2.983750
-186.233002	-24.217001	944.218994	-17.373125	1.395625	-11.375000
-196.725006	83.204002	869.127991	3.539375	-14.350000	-3.867500
-184.098007	-32.390999	1050.664062	11.725000	-0.643125	13.269375
-147.925003	-26.169001	1016.504028	-4.987500	-5.455625	16.183125
-145.119003	-38.247002	1014.186035	4.816875	6.671875	14.883750
-179.462006	-27.938000	987.895020	6.693750	1.365000	8.824375
-179.462006	3.416000	1017.968018	-4.392500	6.243125	2.681875
-151.645996	-26.840000	941.718018	-14.774375	5.044375	3.495625
-182.634003	-27.938000	986.492004	-11.515000	6.636875	-1.605625
-206.119003	-25.193001	960.322998	-5.464375	2.506875	-5.460000
-185.501007	-32.513000	977.708008	3.014375	-4.637500	-8.159375
-176.960999	1.159000	977.585999	9.603125	-7.791875	-7.975625
-172.081009	-7.869000	972.583984	7.809375	-9.800000	-2.931250
-147.193008	-1.891000	1012.173035	6.903750	-7.000000	-0.380625
-169.031006	-2.684000	976.976013	6.339375	-1.246875	1.216250
-166.469009	-0.244000	999.729004	-0.385000	-14.450625	1.802500
-152.865997	-6.527000	1004.975037	-0.975625	-9.668750	0.157500
-138.104004	-9.028000	1019.309998	-5.958750	-4.851875	-1.518125
-146.339005	-28.426001	998.387024	-5.993750	-5.661250	-1.505000
-140.238998	-12.566000	995.642029	-5.075000	-4.624375	-1.041250
-129.990997	-32.939999	983.991028	0.643125	-7.332500	-0.752500
-126.453003	-19.642000	987.163025	8.653750	-6.278125	-0.778750
-125.050003	-5.002000	1011.929016	11.396875	-6.400625	0.275625
-120.474998	-12.383000	999.729004	11.541250	-3.342500	0.157500
-119.804001	47.580002	960.567017	15.054375	-5.145000	4.725000
-104.188004	4.941000	1007.720032	17.119375	-14.350000	3.556875
-85.827003	45.567001	972.096008	20.746250	-17.460625	-1.045625
-68.442001	27.938000	1012.051025	10.955000	-9.804375	-3.937500
-55.998001	54.046001	1015.223022	11.523750	-12.980625	-6.444375
-76.127998	39.528000	1002.108032	4.742500	-7.800625	-4.847500
-63.440002	47.885002	1012.112000	0.651875	-1.452500	-6.160000
-66.489998	39.101002	1022.177002	-2.716875	-2.463125	-8.063125
-56.913002	27.632999	998.143005	-7.240625	-2.633750	-14.809375
-72.711998	65.941002	995.153992	-7.931875	-5.285000	-9.651250
-74.419998	27.023001	975.268005	-5.823125	0.179375	-3.513125
-92.232002	47.275002	1005.036011	-6.549375	0.945000	-1.863750
-69.235001	18.300001	1024.494995	-2.913750	3.609375	0.638750
-62.525002	8.967000	989.541992	-5.083750	-0.017500	-0.844375
-74.847000	23.424000	998.020996	-3.972500	-11.335625	2.712500
-50.202999	3.904000	958.005005	-4.095000	-9.690625	0.914375
-28.609001	0.122000	1039.744995	-5.775000	-8.649375	2.371250
-41.723999	19.337000	1016.931030	2.673125	-7.595000	3.784375
-44.896000	13.725000	1032.485962	13.645625	-8.684375	5.901875
-45.993999	10.004000	993.507019	27.527500	2.839375	3.386250
-42.517002	77.775002	1009.549988	27.527500	-5.525625	3.469375
-26.108000	65.331001	1061.217041	28.236250	-5.525625	3.469375
-26.108000	78.323997	920.978027	22.850624	-4.073125	4.882500
22.936001	78.323997	920.978027	-6.702500	-28.310625	7.595000
39.040001	91.865997	1037.182983	-15.106875	-10.456250	6.825000
-20.862000	59.902000	992.958008	-29.715000	-9.423750	7.021875
-18.544001	-8.723001	985.699036	-25.746876	2.016875	6.549375
-32.208000	23.790001	1005.218994	-26.551874	2.485000	6.549375
-46.726002	-40.015999	955.626038	-27.650000	-4.169375	9.716875
25.132000	-28.426001	1016.138000	-27.238750	-19.473125	6.370000
3.111000	-113.277000	1092.388062	-32.431873	-10.740625	6.234375
16.348000	-78.018997	959.957031	-13.724375	7.376250	1.758750
-1.098000	-79.788002	997.044983	0.656250	14.503125	0.245000
6.527000	-56.913002	1030.167969	0.879375	7.463750	4.865000
-5.551000	-57.950001	1004.609009	3.438750	2.804375	5.149375
8.174000	-59.292000	991.616028	17.500000	-0.875000	4.606875
-6.588000	-36.417000	990.640015	10.618125	-20.116249	7.323750
35.380001	-85.888000	981.916992	-2.874375	-33.709373	10.920000
-7.747000	-52.033001	984.601013	-11.501875	12.241250	3.587500
38.674000	-122.792999	1071.464966	-5.665625	13.531875	-5.928125
24.156000	-69.357002	958.676025	0.411250	-4.256875	-13.851250
-6.588000	174.216003	960.262024	8.570625	9.555000	-0.551250
-35.990002	28.975000	948.244995	12.315625	43.373749	31.447500
-81.739998	-182.085007	1013.027039	8.150625	46.462502	36.645000
-37.820000	-31.598000	985.455017	-0.595000	29.610001	15.535625
-23.912001	-77.835999	984.906006	-7.420000	46.711876	6.553750
-135.298004	-76.494003	1083.786987	-9.856875	13.593125	-0.590625
-147.193008	-56.669003	977.342041	-12.127500	-7.993125	-9.349375
-120.779999	-36.173000	965.080994	-6.041875	-3.443125	-11.151875
-112.423004	-106.932999	988.505005	-9.721250	0.087500	-7.310625
-105.712997	-62.708000	987.223999	-3.189375	4.125625	-0.791875
-97.173004	-175.923996	993.629028	-7.179375	22.631874	-3.106250
-115.534004	-15.433001	965.691040	-4.235000	0.590625	-11.528125
-101.260002	-115.107002	964.776001	3.325000	2.200625	-9.870000
-146.643997	-51.484001	939.583008	-10.605000	15.868125	-9.506875
-133.834000	-81.129997	1044.686035	-2.261875	24.959375	-0.621250
-195.688004	-70.638000	1132.648071	20.978125	-18.545626	1.478750
-85.278000	-117.120003	1007.963989	33.433750	-58.699375	0.630000
-67.771004	-69.540001	1068.475952	20.409374	-50.308125	-4.445000
-14.213000	-31.659000	970.327026	13.348125	-40.534374	-6.221250
-21.045000	-10.675000	929.213013	10.937500	-32.173752	-1.198750
-8.784000	-44.774002	1030.229004	-1.456875	-5.530000	1.933750
18.300001	-41.541000	970.265991	-10.377500	-8.106875	2.327500
-12.566000	-38.735001	1035.109009	-4.991875	-10.548125	1.820000
-1.830000	-45.688999	1003.937988	-0.538125	-13.199375	2.305625
31.354000	-41.297001	989.908020	-7.529375	-17.631250	3.863125
7.869000	-56.242001	962.397034	-7.805000	-13.068125	4.580625
28.731001	-82.044998	1011.929016	1.509375	-17.010000	3.928750
104.798004	-44.225002	941.535034	2.113125	-2.038750	1.019375
-20.252001	-60.268002	1035.657959	8.421875	-5.096875	3.749375
48.983002	-61.732002	1030.350952	0.415625	-1.286250	2.423750
50.142002	-45.993999	1019.614990	12.910625	9.275000	4.165000
18.666000	-70.698997	1028.399048	13.453125	6.628125	1.627500
28.365000	-21.594000	969.717041	10.434375	9.458750	-3.062500
3.843000	-38.674000	1014.918030	11.834375	8.338750	-2.463125
2.440000	-7.076000	940.803040	10.941875	9.765000	-9.821875
55.693001	-35.319000	1003.937988	5.678750	1.106875	-0.472500
-23.424000	5.551000	998.447998	4.593750	5.315625	-4.773125
64.416000	-21.289000	1040.171997	1.470000	-2.961875	-7.914375
8.967000	3.355000	990.640015	-4.751250	-5.696250	-4.414375
10.492001	-17.323999	1028.032959	2.642500	-0.122500	-4.353125
21.716000	-31.964001	998.570007	-1.098125	7.879375	-2.069375
24.948999	-9.089000	1007.781006	2.034375	9.485000	-3.123750
31.293001	-31.049000	970.937012	0.721875	6.024375	-1.045625
10.736000	-28.609001	934.458984	-10.180625	8.299375	-1.343125
-23.668001	-9.821000	1049.383057	-9.725625	6.317500	-0.511875
-2.867000	-48.617001	999.911987	-8.067500	1.601250	-0.328125
-16.958000	-66.978004	993.507019	-4.410000	6.566875	-1.347500
-23.363001	-41.602001	1036.390015	-0.113750	8.903125	-2.760625
-38.063999	-45.262001	1003.205994	8.054375	5.709375	-1.964375
-29.829000	-38.125000	1024.494995	8.146250	4.707500	-0.656250
-22.509001	-35.196999	978.684021	11.996250	7.271250	-1.023750
-12.749001	-10.797000	995.276001	15.386875	6.361250	-1.680000
-46.604000	5.978000	1035.718994	14.621250	5.460000	0.363125
-37.027000	-6.039000	984.661987	3.215625	0.218750	0.455000
-49.959000	-13.481000	991.189026	-0.297500	-0.590625	-1.360625
-28.365000	-11.590000	989.541992	-2.292500	-0.472500	-2.913750
-43.310001	-7.015000	1010.708984	-0.848750	-1.911875	-2.524375
-45.383999	-18.971001	991.616028	0.293125	0.673750	-1.811250
-38.612999	-11.041000	1021.384033	2.686250	-0.214375	-1.535625
-38.063999	-2.867000	1016.992004	-1.837500	0.621250	-0.962500
-32.146999	-10.309000	1007.293030	-5.639375	3.416875	-1.561875
-47.702000	-24.400000	993.080017	-1.929375	6.094375	-1.220625
-53.862999	-25.742001	999.484985	1.662500	8.386875	-0.717500
-46.542999	-16.653000	980.270020	7.511875	-0.962500	-0.476875
-43.737000	-16.714001	994.056030	9.922500	2.506875	-0.581875
-50.325001	0.122000	995.031982	6.160000	0.481250	-0.533750
-59.109001	0.488000	983.015015	0.945000	-0.485625	-0.665000
-57.340000	0.122000	1007.903015	-1.863750	2.856875	-2.047500
-67.282997	8.967000	1014.856995	-3.202500	1.176875	-2.187500
-53.558002	-4.026000	1000.278015	-0.643125	0.468125	-2.471875
-56.852001	2.623000	981.612000	0.354375	1.833125	-2.257500
