A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
85.155998	40.138000	998.447998	0.966875	-0.065625	-0.870625
82.959999	41.846001	1002.291016	1.032500	-0.192500	-1.041250
77.592003	42.944000	1000.705017	1.181250	-0.231875	-0.936250
81.069000	46.177002	1002.108032	0.638750	-0.214375	-1.028125
84.485001	38.857002	990.335022	0.879375	-0.004375	-0.870625
80.153999	40.625999	1003.328003	0.765625	-0.140000	-0.923125
78.445999	47.640999	997.898987	0.546875	-0.227500	-0.988750
82.899002	44.652000	1000.583008	0.831250	-0.166250	-0.997500
82.106003	37.881001	1000.400024	0.975625	0.008750	-0.918750
86.193001	42.517002	992.165039	0.573125	0.083125	-0.980000
79.971001	42.944000	1001.437012	1.141875	-0.205625	-0.949375
78.323997	45.383999	997.106018	0.993125	-0.161875	-0.993125
84.850998	40.260002	1002.169006	0.586250	-0.118125	-1.032500
84.667999	47.396999	999.057983	0.875000	-0.113750	-0.844375
85.278000	39.223000	1000.278015	0.914375	-0.039375	-0.818125
78.873001	40.748001	1003.267029	0.888125	-0.096250	-0.923125
75.762001	40.748001	1001.497986	0.910000	-0.126875	-1.015000
83.752998	45.079002	998.570007	0.853125	-0.065625	-0.975625
85.155998	43.431999	996.130005	0.945000	-0.105000	-0.931875
75.701004	46.542999	1000.460999	0.840000	-0.083125	-0.971250
76.860001	42.700001	996.007996	1.001875	-0.004375	-0.988750
86.315002	40.869999	1002.046997	1.176875	-0.118125	-1.015000
82.716003	42.821999	1002.351990	0.857500	-0.192500	-0.984375
78.568001	43.310001	996.679016	0.665000	-0.188125	-1.036875
80.276001	42.212002	997.106018	0.673750	-0.096250	-1.058750
75.639999	42.334000	1002.046997	0.975625	-0.065625	-0.892500
84.973000	47.885002	1004.364990	1.176875	-0.065625	-0.910000
79.543999	42.821999	1001.742004	0.796250	-0.100625	-0.813750
80.764000	42.212002	994.483032	0.883750	-0.236250	-0.800625
80.764000	44.957001	994.056030	1.045625	-0.118125	-0.918750
85.339005	45.750000	1001.681030	1.155000	-0.118125	-0.949375
87.108002	43.920002	999.668030	0.861875	-0.096250	-0.975625
80.215004	41.114002	995.642029	1.036875	-0.013125	-1.001875
78.812004	41.602001	1001.924988	0.713125	-0.043750	-1.036875
82.654999	41.114002	1001.376038	0.888125	0.013125	-0.980000
88.511002	41.602001	1000.400024	0.507500	-0.170625	-0.966875
85.034004	44.591000	996.862000	0.791875	-0.223125	-0.940625
79.422005	39.589001	1000.705017	1.102500	-0.161875	-0.927500
79.910004	41.907001	999.911987	0.603750	-0.144375	-0.953750
79.666000	46.665001	996.496033	0.848750	-0.140000	-0.993125
81.984001	41.053001	999.363037	0.857500	0.004375	-0.896875
81.862000	42.821999	1000.156006	0.931875	-0.131250	-0.923125
76.067001	45.018002	999.546021	0.883750	-0.253750	-1.067500
78.385002	43.188000	1001.497986	0.638750	-0.306250	-0.980000
85.827003	44.774002	997.838013	0.398125	-0.157500	-1.015000
85.522003	39.466999	995.276001	0.953750	-0.153125	-0.953750
83.692001	44.957001	994.666016	0.910000	-0.109375	-0.923125
76.189003	43.798000	996.130005	0.966875	-0.122500	-0.936250
81.679001	47.885002	999.606995	1.233750	0.008750	-0.971250
87.413002	43.554001	996.739990	1.041250	-0.113750	-0.962500
84.180000	40.015999	1001.070984	1.098125	-0.135625	-0.892500
82.349998	41.846001	1000.522034	1.098125	-0.135625	-0.892500
82.349998	41.846001	1000.522034	1.071875	-0.035000	-0.840000
82.959999	43.310001	1003.267029	0.717500	-0.301875	-0.997500
84.057999	44.652000	997.044983	0.783125	-0.406875	-0.966875
87.656998	43.188000	997.228027	0.778750	-0.310625	-0.892500
81.556999	47.885002	1000.338989	0.936250	-0.428750	-0.971250
78.812004	44.408001	999.057983	0.918750	-0.188125	-0.940625
73.016998	39.284000	1000.765991	0.450625	-0.201250	-1.010625
84.057999	43.126999	995.885986	0.363125	-0.385000	-1.001875
87.778999	43.310001	1005.218994	1.115625	-0.105000	-0.923125
78.263000	41.236000	995.337036	0.888125	-0.021875	-0.818125
75.517998	42.456001	997.777039	0.875000	-0.043750	-0.844375
79.605003	41.968002	998.325989	0.542500	0.039375	-1.010625
85.583000	42.212002	999.790039	0.455000	-0.367500	-1.041250
86.010002	43.066002	1002.535034	0.945000	-0.148750	-0.949375
76.067001	46.786999	1000.522034	0.678125	-0.157500	-1.023750
85.827003	45.993999	1001.376038	0.590625	-0.328125	-1.093750
79.605003	42.700001	993.140991	0.713125	-0.188125	-0.984375
80.276001	44.774002	995.398010	0.424375	-0.131250	-0.962500
84.119003	46.970001	990.518005	0.455000	-0.126875	-1.015000
78.445999	38.368999	1009.489014	0.717500	0.052500	-0.980000
94.428001	42.272999	982.405029	1.063125	-0.415625	-0.730625
90.402000	29.341000	983.320007	0.752500	-0.568750	-0.949375
94.367004	61.487999	994.421997	0.376250	-1.023750	-1.435000
81.801003	40.869999	801.601013	8.566250	-11.051250	-9.830625
69.235001	-7.320000	1047.369995	-0.490000	4.064375	-3.749375
33.549999	45.932999	1010.830994	-0.367500	0.988750	0.280000
-60.756001	125.416000	1320.894043	5.648125	-1.133125	23.187500
320.677002	-2.440000	1038.952026	10.495625	-1.216250	43.824375
313.356995	-32.330002	1056.276001	11.917500	4.200000	9.931250
92.110001	51.056999	1006.744019	1.553125	0.809375	-2.629375
136.639999	56.303001	1015.101013	0.918750	-0.971250	-2.751875
260.470001	45.932999	989.481018	0.350000	-2.887500	-8.500625
-81.129997	-12.505000	1059.509033	1.841875	-2.725625	-7.695625
-4.148000	81.862000	967.947998	0.551250	-2.310000	-18.536875
95.343002	57.522999	935.252014	3.430000	-3.294375	-6.628125
39.466999	2.135000	988.749023	0.844375	-1.115625	-0.826875
97.234001	49.166000	990.884033	0.638750	-0.253750	-0.813750
91.439003	52.521000	997.655029	1.036875	0.039375	-0.857500
91.622002	51.605999	1000.460999	1.120000	-0.065625	-0.901250
91.500000	51.118000	1000.278015	0.813750	-0.148750	-0.975625
94.245003	48.434002	994.544006	0.695625	-0.118125	-0.949375
92.232002	56.791000	1000.827026	0.730625	-0.245000	-0.953750
91.134003	50.202999	999.546021	0.866250	-0.328125	-0.940625
89.059998	51.605999	996.130005	0.354375	-0.148750	-1.041250
92.049004	51.118000	1001.559021	0.616875	-0.091875	-1.045625
96.806999	55.083000	999.302002	1.260000	-0.078750	-0.997500
94.550003	52.338001	995.153992	0.730625	-0.043750	-0.988750
89.059998	49.776001	997.106018	0.910000	-0.035000	-0.971250
92.049004	51.728001	1000.460999	0.616875	-0.087500	-0.840000
93.573997	56.547001	995.764038	1.137500	-0.166250	-1.076250
97.539001	55.144001	997.350037	0.573125	-0.354375	-1.111250
90.584999	48.250999	997.838013	1.015000	-0.026250	-0.923125
90.524002	50.447002	994.178040	0.945000	-0.078750	-0.866250
92.110001	53.862999	995.764038	0.752500	-0.192500	-0.949375
93.452003	53.802002	995.642029	0.910000	-0.183750	-0.966875
92.354004	49.776001	996.374023	0.997500	-0.096250	-1.010625
86.070999	50.751999	995.276001	0.892500	-0.231875	-1.050000
93.269005	54.473000	996.130005	0.857500	-0.183750	-1.001875
90.767998	55.021999	996.739990	0.984375	-0.179375	-0.923125
89.669998	54.900002	996.252014	1.093750	-0.175000	-0.949375
