A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
49.715000	12.078000	1000.400024	0.656250	-0.214375	-0.936250
46.237999	10.126000	1000.888000	0.743750	-0.144375	-0.953750
47.824001	13.359000	999.911987	0.717500	-0.201250	-0.905625
46.116001	11.834001	1004.731018	0.770000	-0.105000	-0.923125
49.227001	14.396000	1000.888000	0.866250	-0.122500	-0.997500
47.945999	8.235000	1003.083984	0.787500	-0.100625	-0.984375
45.262001	12.017000	1000.278015	0.546875	-0.078750	-0.927500
49.105000	9.760000	1000.522034	0.573125	-0.061250	-0.993125
44.408001	14.457000	999.668030	0.665000	-0.048125	-1.054375
48.861000	10.370000	998.325989	0.748125	0.000000	-1.080625
48.434002	14.823000	1001.559021	0.682500	-0.144375	-1.098125
45.506001	12.200000	1001.986023	0.560000	-0.271250	-1.063125
45.872002	12.200000	1001.986023	0.713125	-0.083125	-0.953750
49.348999	13.786000	1002.230042	0.787500	-0.070000	-0.966875
45.628002	11.834001	1001.742004	0.844375	-0.210000	-0.783125
42.577999	19.337000	999.546021	0.875000	-0.328125	-0.879375
46.542999	10.065001	998.447998	0.704375	-0.266875	-0.945000
44.408001	10.614000	998.936035	0.931875	-0.223125	-1.010625
46.237999	12.322001	1000.156006	0.761250	-0.144375	-0.993125
45.628002	15.555000	1001.132019	1.006250	-0.280000	-1.076250
46.482002	12.810000	1001.986023	0.752500	-0.188125	-0.953750
47.945999	14.518001	1000.033997	0.988750	-0.161875	-0.984375
46.116001	12.810000	1000.278015	1.058750	-0.253750	-0.853125
43.798000	15.372000	1003.389038	0.984375	-0.161875	-1.019375
47.275002	14.396000	1000.643982	0.568750	-0.205625	-0.927500
46.970001	11.834001	1003.205994	0.879375	-0.262500	-0.953750
43.310001	11.590000	998.814026	0.958125	-0.367500	-1.076250
48.250999	11.834001	1001.924988	0.809375	-0.253750	-1.089375
51.789001	15.921000	1001.864014	0.796250	-0.140000	-0.931875
45.445000	14.884000	1002.596008	0.765625	-0.183750	-0.936250
41.968002	10.126000	1000.400024	0.765625	-0.043750	-0.927500
46.665001	13.115000	1002.596008	0.450625	-0.043750	-0.927500
46.665001	13.115000	1002.596008	0.621250	-0.109375	-1.041250
49.593002	10.492001	997.716003	0.896875	-0.188125	-0.975625
45.750000	12.566000	1001.070984	0.840000	-0.175000	-1.019375
46.360001	12.078000	999.546021	0.800625	-0.175000	-1.041250
44.774002	12.078000	1000.400024	0.796250	-0.341250	-0.975625
48.617001	16.409000	999.790039	1.071875	-0.301875	-1.028125
45.993999	10.675000	999.668030	0.984375	-0.153125	-1.067500
47.458000	13.420000	1001.497986	0.844375	-0.166250	-0.980000
50.691002	13.542000	1004.364990	0.752500	-0.118125	-0.831250
48.556000	8.662000	1003.205994	0.822500	-0.201250	-0.910000
43.493000	10.492001	1001.132019	0.673750	-0.153125	-1.076250
46.177002	14.457000	1000.033997	0.791875	-0.249375	-1.019375
47.580002	12.444000	1002.230042	0.612500	0.030625	-0.936250
49.653999	8.784000	1000.643982	0.962500	-0.148750	-0.883750
46.848000	12.871000	1000.156006	0.730625	-0.205625	-1.010625
46.726002	15.921000	1001.132019	0.844375	-0.109375	-0.997500
42.944000	17.812000	1001.742004	0.896875	-0.030625	-1.050000
50.691002	12.566000	1001.497986	0.783125	-0.131250	-0.997500
45.506001	12.322001	1001.619995	0.831250	-0.245000	-1.023750
45.506001	12.566000	1003.205994	0.822500	-0.192500	-0.984375
45.506001	15.006001	1002.840027	0.826875	-0.157500	-0.861875
48.861000	12.200000	999.057983	1.054375	-0.161875	-0.822500
41.418999	14.579000	1000.765991	0.896875	-0.336875	-0.940625
44.469002	12.932000	999.790039	0.818125	-0.227500	-0.993125
45.872002	10.492001	1000.033997	0.800625	-0.188125	-0.980000
44.774002	11.346000	1001.986023	0.905625	-0.122500	-0.892500
48.861000	14.213000	1004.059998	0.975625	-0.144375	-0.888125
46.970001	13.420000	1001.376038	0.603750	-0.061250	-0.918750
45.383999	12.322001	1003.694031	0.879375	-0.144375	-0.896875
44.042000	7.930000	1000.522034	0.993125	-0.192500	-0.918750
42.212002	13.237000	997.350037	0.870625	-0.310625	-0.931875
48.983002	13.664001	1001.070984	0.761250	-0.109375	-0.931875
51.667000	10.980000	998.936035	0.888125	-0.091875	-1.006250
45.445000	15.189000	1001.559021	0.490000	-0.078750	-0.997500
45.018002	11.712000	1000.156006	0.853125	-0.310625	-0.993125
46.482002	13.298000	1002.413025	0.704375	-0.175000	-0.975625
46.237999	16.042999	999.424011	0.665000	-0.052500	-0.988750
50.569000	12.200000	1002.230042	0.901250	-0.140000	-1.006250
48.068001	14.030000	997.593994	0.971250	-0.201250	-1.036875
47.824001	13.786000	999.302002	0.791875	-0.052500	-0.980000
45.506001	13.298000	1002.413025	0.682500	-0.100625	-1.006250
46.482002	13.664001	1003.450012	0.665000	-0.039375	-0.962500
52.399002	15.372000	999.546021	0.984375	-0.288750	-1.093750
42.882999	12.566000	1001.132019	1.010625	-0.253750	-1.045625
48.617001	10.614000	1003.083984	0.914375	-0.258125	-0.971250
42.272999	12.322001	998.692017	0.949375	-0.253750	-1.001875
45.079002	15.921000	999.668030	0.984375	-0.275625	-0.993125
46.970001	10.736000	1000.278015	0.853125	-0.258125	-1.028125
46.482002	15.921000	1001.132019	0.774375	-0.188125	-1.006250
46.970001	14.152000	1000.156006	0.958125	-0.210000	-0.945000
44.529999	10.248000	1004.731018	0.949375	-0.293125	-0.848750
42.944000	11.712000	999.546021	1.041250	-0.192500	-0.931875
44.529999	16.653000	1000.643982	1.023750	-0.262500	-0.892500
44.774002	13.786000	997.593994	0.669375	-0.065625	-0.949375
44.042000	10.248000	1000.278015	0.770000	-0.293125	-0.940625
45.993999	13.359000	1003.999023	0.953750	-0.363125	-1.050000
47.214001	10.736000	1000.400024	0.778750	-0.280000	-1.023750
46.970001	19.459000	1003.205994	0.739375	-0.166250	-0.993125
50.935001	12.261000	1003.816040	0.826875	-0.122500	-0.962500
45.506001	14.274000	1001.619995	0.796250	-0.227500	-0.993125
47.336002	13.420000	998.570007	0.813750	-0.170625	-0.927500
48.434002	14.274000	1000.522034	0.739375	-0.166250	-1.054375
46.604000	13.176001	1002.473999	0.621250	-0.140000	-0.971250
49.288002	11.346000	1003.450012	0.765625	-0.236250	-0.980000
44.285999	15.921000	1001.986023	0.783125	-0.074375	-0.966875
41.236000	13.542000	1003.083984	0.831250	-0.052500	-0.875000
46.909000	9.028000	1001.497986	0.818125	-0.227500	-0.971250
41.846001	12.505000	999.668030	0.918750	-0.183750	-1.093750
45.688999	12.322001	1006.439026	0.879375	-0.140000	-1.001875
43.188000	16.531000	1003.816040	0.857500	-0.275625	-0.892500
43.554001	11.163000	1004.669983	1.028125	-0.406875	-0.918750
46.116001	16.531000	1000.278015	0.875000	-0.323750	-0.918750
45.872002	9.821000	1004.731018	0.993125	-0.336875	-0.993125
43.920002	14.823000	1002.596008	0.756875	-0.310625	-1.085000
48.007000	15.250000	996.923035	0.656250	-0.148750	-1.041250
43.798000	11.102000	999.363037	0.726250	0.000000	-0.940625
47.031002	15.067000	995.885986	0.743750	-0.183750	-0.975625
46.482002	12.932000	1000.095032	0.778750	-0.231875	-0.927500
49.166000	12.444000	1002.778992	0.643125	-0.201250	-1.054375
48.190002	15.311000	1000.400024	0.625625	-0.161875	-0.988750
48.434002	16.592001	1003.877014	0.962500	-0.153125	-1.023750
42.272999	14.152000	1006.561035	0.861875	-0.227500	-1.010625
48.861000	16.896999	998.752991	0.691250	-0.175000	-0.892500
53.008999	14.030000	1002.291016	0.892500	-0.280000	-0.905625
48.799999	13.908000	1002.840027	0.630000	-0.100625	-0.953750
45.872002	12.200000	999.302002	0.603750	-0.140000	-1.041250
48.373001	11.346000	1002.169006	0.770000	-0.161875	-0.984375
48.678001	11.224000	997.960022	0.962500	-0.258125	-0.910000
45.872002	15.433001	1007.293030	0.896875	-0.227500	-0.918750
46.482002	13.298000	1002.718018	0.682500	-0.170625	-0.949375
