A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
138.958008	39.406002	1047.979980	-25.773125	-27.597500	-28.949375
134.932007	43.126999	1047.492065	-25.961250	-27.641251	-29.049999
141.459000	45.383999	1048.346069	-26.009375	-27.663124	-29.159374
138.835999	36.783001	1045.174072	-25.961250	-27.763750	-29.190001
141.824997	38.430000	1044.197998	-25.974375	-27.768126	-29.093750
138.470001	40.625999	1048.285034	-25.991875	-27.754999	-29.163750
137.981995	42.212002	1049.443970	-25.904375	-27.750626	-29.150625
140.971008	47.885002	1051.822998	-25.536875	-27.838125	-28.984375
140.178009	39.955002	1052.615967	-25.847500	-27.811874	-29.032499
142.007996	35.501999	1057.435059	-26.018126	-27.816250	-29.120001
138.225998	36.722000	1051.213013	-25.668125	-27.763750	-29.010626
140.300003	38.307999	1054.994995	-25.821251	-27.715626	-28.988750
136.884003	46.421001	1044.503052	-25.738125	-27.803125	-29.084999
136.884003	36.904999	1042.124023	-25.891251	-27.654375	-29.211876
137.128006	36.600002	1042.368042	-25.825624	-27.741875	-29.128750
140.971008	41.785000	1044.320068	-26.110001	-27.689375	-29.084999
137.005997	43.310001	1049.749023	-25.851875	-27.719999	-28.975624
140.848999	44.164001	1048.712036	-25.720625	-27.855625	-29.098125
140.178009	38.612999	1050.053955	-25.698750	-27.737499	-29.190001
142.130005	36.355999	1049.199951	-25.633125	-27.890625	-29.264376
133.406998	38.979000	1047.248047	-25.528126	-27.750626	-29.006250
138.775009	40.504002	1052.432983	-25.672501	-27.763750	-28.888124
144.630997	44.469002	1050.297974	-25.510626	-27.671875	-28.966875
143.960007	43.675999	1047.735962	-25.580626	-27.549376	-29.098125
137.677002	38.125000	1047.979980	-25.598125	-27.588751	-29.211876
136.152008	37.820000	1047.858032	-25.506250	-27.698126	-29.093750
143.410995	37.698002	1050.053955	-25.746876	-27.575624	-28.953751
137.555008	44.957001	1049.078003	-25.694374	-27.676250	-29.032499
141.824997	41.114002	1050.420044	-25.611250	-27.719999	-28.940624
141.520004	43.554001	1052.494019	-25.948126	-27.772499	-29.128750
