AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-11.773000	-13.359000	1006.866028	0.883750	-2.205000	-3.093125
-8.967000	0.732000	1014.796021	-0.253750	0.511875	-0.301875
-9.760000	4.819000	1014.186035	-0.175000	0.656250	-0.275625
-15.372000	4.758000	1017.053040	-0.231875	0.630000	-0.284375
-9.577000	6.893000	1017.846008	-0.293125	0.608125	-0.393750
-11.590000	8.357000	1016.626038	-0.087500	0.634375	-0.157500
-13.908000	6.710000	1011.989990	-0.402500	0.756875	-0.280000
-9.699000	3.538000	1013.454041	-0.214375	0.778750	-0.310625
-6.771000	7.259000	1013.942017	-0.402500	0.586250	-0.494375
-5.124000	8.296000	1015.650024	-0.551250	0.673750	-0.573125
-3.782000	8.540000	1019.737000	-1.312500	0.748125	-0.332500
-2.684000	8.540000	1014.002991	-0.630000	0.533750	0.271250
143.410995	91.682999	973.621033	0.013125	1.010625	-1.487500
10.187000	32.025002	905.666992	-0.783125	0.778750	-17.797501
-6.100000	-13.481000	1017.114014	-0.490000	0.280000	-7.266875
-335.622009	-382.042999	1006.072998	-2.065000	0.179375	-9.808750
39.955002	4.758000	1203.164062	-7.700000	1.907500	17.981251
310.673004	323.483002	995.947021	1.636250	1.207500	12.866875
33.549999	49.959000	1017.296997	4.672500	0.875000	3.198125
51.240002	37.758999	1015.893982	0.997500	0.503125	-11.305000
37.698002	47.275002	1065.974976	-0.424375	-0.787500	-19.665625
-113.521004	-122.732002	1050.907959	-0.336875	0.468125	-22.540001
-312.747009	-103.639000	1015.772034	-0.700000	0.437500	-14.131250
-180.499008	-114.252998	1118.495972	-7.179375	0.980000	9.441250
162.320999	246.135010	1015.345032	6.059375	1.881250	6.899375
175.436005	111.569000	1023.031006	1.785000	0.800625	-2.773750
8.723001	16.592001	1047.796997	-0.341250	0.078750	-17.653126
-141.947006	-124.928001	1064.693970	0.262500	0.161875	-24.434376
-108.580002	-33.306000	1021.567017	-0.923125	0.660625	-4.987500
-300.425018	-356.727997	1077.808960	-18.755625	-0.065625	25.602501
230.641006	355.019989	1027.605957	-0.962500	1.277500	7.875000
35.806999	226.432007	955.199036	47.315624	3.316250	11.396875
338.489014	260.531006	1041.818970	13.711250	1.491875	-0.004375
-193.675003	-222.283997	1018.273010	-1.155000	1.168125	-30.791250
-48.250999	-40.382000	997.716003	-0.494375	0.450625	-12.341875
-239.913010	-200.080002	990.091003	-1.421875	0.564375	8.929375
350.506012	335.195007	1029.740967	2.563750	0.148750	1.981875
23.668001	40.260002	1026.020020	0.630000	0.376250	-0.179375
-20.618000	2.135000	905.666992	0.341250	1.513750	-18.541250
-82.349998	-66.063004	999.179993	-0.971250	1.185625	-24.403749
-272.548004	-178.363998	1055.360962	-0.761250	0.765625	-6.483750
-314.576996	-255.346008	1045.600952	-0.371875	0.542500	9.327500
41.114002	44.225002	1158.938965	-1.693125	1.343125	16.135000
361.303009	329.949005	972.828003	-0.192500	0.153125	-1.553125
-84.362999	-41.236000	1080.920044	-1.098125	0.253750	-21.735001
-227.164001	-188.673004	1050.786011	-0.805000	-0.113750	-7.100625
-58.194000	-36.600002	1012.661011	-1.697500	0.358750	-0.761250
-53.741001	3.111000	989.603027	-0.656250	0.630000	14.004375
299.753998	124.074005	1045.600952	0.800625	0.564375	-5.976250
6.344000	-6.893000	986.919006	-0.420000	0.428750	-3.018750
-11.712000	-5.734000	1018.090027	-0.380625	0.564375	0.148750
-14.030000	4.880000	1015.161987	-0.306250	0.525000	-0.315000
-5.978000	7.930000	1015.161987	-0.367500	0.476875	-0.275625
-6.466000	5.368000	1017.601990	-0.345625	0.831250	-0.227500
-13.115000	3.050000	1016.260010	-0.411250	0.682500	-0.310625
-10.736000	4.758000	1016.015991	-0.310625	0.507500	-0.253750
-9.272000	5.368000	1020.468994	-0.253750	0.406875	-0.249375
-12.810000	0.976000	1019.309998	-0.218750	0.529375	-0.192500
-6.161000	3.294000	1009.855042	-0.345625	0.555625	-0.258125
-14.579000	1.464000	1014.247009	-0.266875	0.507500	-0.323750
-17.323999	4.209000	1012.721985	-0.315000	0.805000	-0.280000
-10.675000	4.758000	1017.541016	-0.253750	0.485625	-0.288750
-9.028000	3.538000	1017.296997	-0.310625	0.577500	-0.223125
-11.224000	6.283000	1017.723999	-0.310625	0.595000	-0.245000
-11.834001	6.100000	1014.674011	-0.258125	0.262500	-0.288750
-3.599000	4.026000	1013.210022	-0.100625	0.503125	-0.284375
-11.651000	1.708000	1017.663025	-0.284375	0.533750	-0.170625
-13.420000	-2.196000	1016.626038	-0.201250	0.656250	-0.310625
-8.113000	4.331000	1016.992004	-0.288750	0.525000	-0.415625
-8.174000	8.113000	1016.015991	-0.450625	0.765625	-0.380625
-11.590000	5.490000	1016.138000	-0.223125	0.586250	-0.328125
-11.102000	0.976000	1017.053040	-0.385000	0.809375	-0.245000
-2.989000	3.416000	1015.772034	-0.266875	0.713125	-0.367500
-14.091001	7.747000	1015.528015	-0.201250	0.485625	-0.253750
-14.640000	3.050000	1019.614990	-0.415625	0.568750	-0.280000
-10.919000	1.220000	1011.197021	-0.595000	0.669375	-0.297500
-6.649000	3.294000	1016.442993	-0.201250	0.643125	-0.310625
-5.734000	3.904000	1015.161987	-0.310625	0.393750	-0.297500
-8.174000	0.854000	1014.307983	-0.249375	0.542500	-0.271250
-10.614000	-2.440000	1015.283997	-0.249375	0.533750	-0.310625
-9.882000	4.209000	1016.138000	-0.157500	0.568750	-0.367500
-7.320000	8.174000	1011.257996	-0.284375	0.345625	-0.205625
-12.200000	3.050000	1016.320984	-0.175000	0.468125	-0.196875
-10.492001	-1.830000	1014.307983	-0.310625	0.533750	-0.323750
-6.771000	5.063000	1016.626038	-0.306250	0.665000	-0.441875
