AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-4.209000	-1-6.039000	-1.098000	1016.809021	-0.336875	0.446250	-0.249375
-5.124000	2.013000	1017.968018	-0.262500	0.503125	-0.301875
-6.466000	-1.342000	1013.210022	-0.140000	0.363125	-0.288750
-11.956000	4.575000	1015.283997	-0.393750	0.476875	-0.363125
-6.893000	2.074000	1020.468994	-0.411250	0.485625	-0.301875
-10.614000	-0.366000	1017.236023	-0.385000	0.498750	-0.262500
-12.749001	-3.233000	1014.064026	-0.446250	0.288750	-0.280000
-8.357000	-4.514000	1012.478027	-0.28-11.224000	0.061000	1014.307983	-0.441875	0.800625	-0.293125
-5.185000	0.244000	1015.893982	-0.236250	0.555625	-0.253750
-8.174000	2.318000	1017.358032	-0.275625	0.310625	-0.231875
-14.152000	2.501000	1015.650024	-0.175000	0.713125	-0.350000
-10.309000	1.952000	1016.869995	-0.336875	0.686875	-0.288750
-4.941000	2.196000	1014.674011	-0.280000	0.634375	-0.301875
-7.930000	3.050000	1015.283997	-0.039375	0.616875	-0.218750
-5.795000	-7-7.686000	-5.490000	1015.406006	-0.341250	0.494375	-0.245000
-7.808000	0.061000	1015.161987	-0.188125	0.634375	-0.328125
-9.638000	1.708000	1013.942017	-0.153125	0.490000	-0.358750
-10.614000	-2.928000	1013.697998	-0.297500	0.551250	-0.293125
-9.-6.161000	1.830000	1010.038025	-0.258125	0.651875	-0.306250
-7.686000	-2.562000	1016.077026	-0.192500	0.529375	-0.161875
-3.355000	-3.782000	1013.088013	-0.358750	0.406875	-0.240625
-10.065001	-3.904000	1016.565002	-0.214375	0.551250	-0.310625
-12.566000	5.185000	1015.283997	-0.271250	0.608125	-0.336875
-11.346000	4.392000	1013.088013	-0.210000	0.415625	-0.275625
-10.736000	0.366000	1016.809021	-0.288750	0.630000	-0.214375
-7.137000	-3.538000	1015.772034	-0.218750	0.634375	-0.363125
-12.078000	-5.368000	1016.747986	-0.227500	0.376250	-0.297500
-3.843000	5.795000	-5.246000	5.124000	1017.541016	-0.161875	0.468125	-0.253750
-9.516000	-7.381000	1015.283997	-0.315000	0.446250	-0.205625
-11.590000	0.061000	1019.492981	-0.472500	0.599375	-0.253750
-4.087000	3.843000	1018.090027	-0.188125	0.476875	-0.350000
-8.418000	7.503000	1012.173035	-0.017500	0.380625	-0.354375
-9.638000	2.196000	1018.028992	-0.048125	0.310625	-0.258125
-10.492001	-1.342000	1012.173035	-8.418000	-2.928000	1013.697998	-0.140000	0.586250	-0.262500
-7.747000	2.318000	1017.174988	-0.328125	0.402500	-0.306250
-8.174000	-3.233000	1019.066040	-0.271250	0.595000	-0.245000
-10.492001	-7.320000	1014.674011	-0.144375	0.385000	-0.227500
-8.662-8.296000	3.782000	1013.942017	-0.393750	0.809375	-0.301875
-6.588000	-0.854000	1017.296997	-0.126875	0.678125	-0.271250
-11.590000	2.745000	1013.332031	-0.056875	0.284375	-0.319375
-4.697000	-1.586000	1019.859009	-0.087500	0.345625	-0.258125
-14.823000	-0.488000	1017.358032	-0.122500	0.560000	-0.258125
--9.882000	-5.612000	1015.040039	-0.568750	0.586250	-0.319375
-6.771000	-0.671000	1015.406006	-0.468125	0.603750	-0.293125
-5.368000	5.429000	1015.406006	-0.328125	0.695625	-0.446250
-5.734000	3.050000	1019.492981	-0.175000	0.581875	-0.166250
-10.126000	-4.087000	1014.918030	-0.336875	0.363125	-0.131250
-10.85-8.479000	6.649000	1017.174988	-0.196875	0.581875	-0.280000
-10.736000	4.270000	1012.356018	-0.236250	0.586250	-0.271250
-1.403000	21.106001	994.544006	-0.183750	0.428750	-0.669375
-6.405000	2.013000	1012.539001	-0.393750	0.581875	-0.345625
-5.978000	0.488000	1015.223022	-0.275625	0.542500	-0.297500
-8.418000	-0.366000	1015.161987	-0.275625	0.463750	-0.301875
-11.834001	-1-10.614000	-1.220000	1021.811035	-0.179375	0.380625	-0.319375
-9.394000	-5.246000	1013.393005	-0.240625	0.498750	-0.271250
-10.614000	-3.660000	1015.528015	-0.140000	0.813750	-0.393750
-12.078000	2.867000	1018.273010	-0.196875	0.551250	-0.341250
-8.235000	-0.610000	1019.066040	-0.275625	0.341250	-0.166250
-5.978000	-5.368000	1018.578003	-0.472500	0.656250	-0.179375
-5.490000	6.893000	1015.833008	0.236250	0.568750	-0.109375
-8.296000	3.538000	1015.650024	0.131250	0.297500	-0.157500
-8.296000	5.246000	1005.463013	2.003750	0.560000	0.161875
-53.924000	-210.206009	1000.522034	-0.586250	0.826875	11.93062-13.054000	23.058001	1039.927979	-0.389375	0.721875	-4.869375
7.3819.642000	38.491001	1008.879028	0.008750	0.525000	12.320000
42.639000	226.981003	983.625000	-0.555625	0.713125	25.615625
-28.548000	-84.729004	1092.448975	1.233750	1.509375	29.728125
-7-15.189000	-302.011017	997.716003	-6.370000	0.245000	24.04500067.039001	159.514999	982.527039	6.728750	0.455000	-6.282500
-11.712000	184.951996	991.189026	2.874375	0.586250	-7.560000
12.383000	28.182001	1015.345032	0.253750	0.529375	2.751875
-16.592001	17.141001	1052.799072	-0.096250	1.102500	14.748125
3.-9.516000	-0.122000	1010.587036	-0.485625	0.476875	2.563750
-7.320000	5.124000	1010.281982	-0.485625	0.433125	-0.236250
-10.004000	-2.989000	1014.491028	-0.183750	0.630000	-0.131250
-7.381000	-3.843000	1020.346985	-0.227500	0.389375	-0.275625
-9.882000	0.061000	1015.283997	-0.507500	0.586250	-0.315000
-9.272000	1.830000	1019.249023	-0.455000	0.778750	-0.328125
-12.932000	0.244000	1018.090027	-0.350000	0.406875	-0.319375
-5.917000	5.795000	1018.212036	-0.284375	0.297500	-0.328125
-7.686000	6.588000	1013.942017	-0.271250	0.336875	-0-7.015000	-5.490000	1017.358032	-0.371875	0.638750	-0.253750
-13.115000	0.793000	1013.454041	-0.481250	0.761250	-0.345625
-13.664001	4.453000	1016.077026	-0.406875	0.437500	-0.415625
-13.176001	3.538000	1014.552002	-0.411250	0.328125	-0.310625
-5.673000	-5.795000	1019.859009	-0.459375	0.437500	-0.253750
-4.392000	-4.758000	1016.015991	-0.406875	0.520625	-0.323750
-12.993000	4.819000	1019.492981	-0.1793-10.309000	5.734000	1013.148987	-0.118125	0.643125	-0.170625
-7.381000	1.586000	1017.541016	-0.188125	0.538125	-0.183750
-10.492001	-5.612000	1013.697998	-0.275625	0.288750	-0.288750
-13.786000	3.599000	1016.320984	-0.389375	0.704375	-0.210000
-10.431000	-1.830000	1015.283997	-0.367500	0.805000	-0.358750
-9.394000	-2.440000	1015.528015	-0.433125	0.389375	-0.223125
-9.272000	3.111000	1016.382019	-0.323750	0.673750	-0.306250
-8.906000	-2.867000	1017.114014	-0.096250	0.616875	-0.258125
-9.272000	3.721000	1015.283997	-0.271250	0.463750	-0.271250
-3.111000	-1.098000	1019.737000	-0.704375	0.599375	-0.205625
-4.026000	4.209000	1012.905029	-0.529375	0.8750-9.882000	2.562000	1016.504028	-0.336875	0.638750	-0.218750
-8.296000	-1.220000	1014.064026	-0.253750	0.673750	-0.271250
-10.126000	-3.538000	1017.541016	-0.253750	0.595000	-0.236250
-10.614000	4.636000	1011.257996	-0.328125	0.507500	-0.293125
-9.272000	-7.015000	1009.916016	-0.380625	0.319375	-0.411250
-7.564000	-0.427000	1010.038025	-0.297500	0.538125	-0.389375
-14.701000	-3.538000	1011.867981	-0.231875	0.542500	-0.350000
-11.-6.405000	2.867000	1018.333984	-0.188125	0.507500	-0.315000
-2.989000	-4.819000	1017.723999	-0.293125	0.498750	-0.319375
-10.919000	1.159000	1016.747986	-0.249375	0.503125	-0.310625
-9.028000	2.196000	1017.723999	-0.297500	0.608125	-0.297500
-4.209000	1.830000	1016.138000	-0.406875	0.415625	-0.231875
-11.773000	1.586000	1013.697998	-0.376250	0.739375	-0.280000
-14.152000	-0.122000	1010.038-8.723001	-3.538000	1019.981018	-0.389375	0.393750	-0.319375
-4.697000	5.307000	1010.587036	-0.175000	0.345625	-0.306250
-10.797000	-2.867000	1017.785034	-0.415625	0.507500	-0.236250
-8.4-14.457000	2.623000	1010.343018	-0.367500	0.656250	-0.205625
-1.708000	-0.854000	1014.734985	-0.236250	0.380625	-0.275625
-8.601000	2.257000	1015.040039	-0.166250	0.656250	-0.288750
-6.954000	0.610000	1010.892029	-0.227500	0.481250	-0.367500
-11.102000	2.989000	1014.979004	-0.218750	0.756875	-0.319375
-6.893000	3.782000	1010.403992	-0.315000	0.638750	-0.288750
-10.492001	2.318000	1014.-10.370000	0.976000	1016.260010	-0.210000	0.437500	-0.271250
-9.516000	0.244000	1015.040039	-0.166250	0.560000	-0.288750
-10.736000	-2.562000	1017.723999	-0.288750	0.441875	-0.240625
-4.392000	-1.281000	1014.552002	-0.126875	0.525000	-0.236250
-12.261000	-1.220000	1018.151001	-0.196875	0.568750	-0.179375
-1-10.309000	-3.355000	1019.492981	-0.035000	0.490000	-0.293125
-6.832000	-0.732000	1016.504028	-0.511875	0.590625	-0.258125
-4.575000	-3.050000	1018.090027	-0.332500	0.590625	-0.236250
-2.623000	3.477000	1016.320984	-0.315000	0.656250	-0.310625
-6.832000	-1.464000	1016.382019	-0.157500	0.608125	-0.271250
-2.867000	1.769000	1015.650024	0.056875	0.791875	-0.214375
-9.089000	-2.196000	1014.429993	-0.196875	0.463750	-0.345625
-7-13.603000	6.649000	1016.626038	-0.315000	0.726250	-0.297500
-10.065001	0.671000	1019.249023	-0.411250	0.660625	-0.214375
-7.808000	-5.673000	1016.504028	-0.161875	0.800625	-0.266875
-5.063000	-3.416000	1015.406006	-0.196875	0.656250	-0.389375
-11.468000	8.235000	1012.721985	-0.249375	0.503125	-0.315000
-6.161000	-1.403000	1018.028992	-0.529375	0.529375	-0.-14.579000	4.636000	1017.846008	-0.411250	0.393750	-0.358750
-6.405000	9.821000	1011.807007	-0.297500	0.507500	-0.323750
-3.904000	6.954000	1014.247009	-0.297500	0.704375	-0.293125
-10.065001	1.769000	1013.820007	-0.113750	0.590625	-0.157500
-11.102000	-5.185000	1016.565002	-0.240625	0.756875	-0.188125
-14.-10.065001	4.087000	1017.236023	0.087500	0.695625	-0.301875
-8.418000	0.244000	1020.225037	-0.481250	0.560000	-0.227500
-9.272000	-7.381000	1015.283997	-0.402500	0.809375	-0.275625
-10.980000	-5.490000	1030.167969	-0.153125	0.695625	-0.336875
-6-11.773000	5.124000	1008.268982	-0.293125	0.306250	-0.376250
-6.283000	4.758000	1015.710999	-0.315000	0.446250	-0.231875
-10.492001	-3.233000	1015.040039	-0.437500	0.612500	-0.354375
-6.6-10.126000	5.795000	1016.869995	-0.297500	0.822500	-0.288750
-3.721000	-2.318000	1014.796021	-0.223125	0.485625	-0.385000
-7.686000	0.061000	1018.395020	-0.350000	0.341250	-0.376250
-9.516000	3.721000	1015.772034	-0.214375	0.284375	-0.271250
-9.516000	3.660000	1015.772034	-0.485625	0.555625	-0.166250
-7.930000	-0.244000	1015.040039	-0.476875	0.770000	-0.183750
-13.298000	3.843000	1011.380005	--14.274000	-1.037000	1016.565002	-0.175000	0.511875	-0.253750
-7.869000	-1.952000	1015.650024	-0.468125	0.660625	-0.332500
-7.686000	0.610000	1017.236023	-0.306250	0.595000	-0.301875
-7.930000	3.477000	1016.747986	-0.280000	0.494375	-0.288750
-11.224000	-0.793000	1017.601990	-0.223125	0.630000	-0.227500
-8.296000	3.416000	1006.377991	-0.148750	0.595000	-0.245000
-8.540000	9.455000	1008.330017	-0.354375	0.721875	-0.293125
-12.078000	1.281000	1016.687012	-0.494375	0.573125	-0.319375
-6.771000	-1.098000	1018.578003	-0.284375	0.783125	-0.275625
-11.224000	-0.244000	1013.942017	-0.389375	0.586250	-0.297500
-11-6.405000	4.087000	1013.697998	-0.293125	0.608125	-0.371875
-6.466000	5.246000	1012.234009	-0.433125	0.743750	-0.306250
-10.248000	-4.209000	1014.918030	-0.271250	0.573125	-0.363125
-8.906-8.296000	-2.135000	1014.307983	-0.564375	0.568750	-0.323750
