AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-5.246000	-1.098000	1015.955017	-0.297500	0.595000	-0.301875
000:00:36:348 [INFO] [main-2.867000	2.074000	1014.674011	-0.315000	0.380625	-0.323750
-11.712000	-2.684000	1012.234009	-0.350000	0.406875	-0.315000
-5-0.305000	1.281000	1017.174988	-0.096250	0.520625	-0.240625
-8.357000	1.342000	1018.700012	-0.210000	0.336875	-0.341250
-7.686000	-3.538000	1018.822021	-0.406875	0.402500	-0.371875
-11.956000	-4.514000	1016.382019	-0.183750	0.634375	-0.345625
-9.882000	8.784000	1016.382019	-0.205625	0.822500	-0.245000
-7.137000	1.769000	1015.406006	-0.091875	0.546875	-0.201250
-9.272000	-0.610000	1014.918030	-0.284375	0.498750	-0.293125
-9.028000	3.233000	1011.624023	-0.175000	0.389375	-0.376250
-3.843000	6.649000	1018.760986	-0.284375	0.424375	-0.354375
-11.529000	3.416000	1012.539001	-0.520625	0.586250	-0.398125
-9.150001	-4.209000	1017.296997	-0.498750-9.272000	-3.660000	1018.333984	-0.310625	0.568750	-0.341250
-4.453000	-1.037000	1015.893982	-0.253750	0.507500	-0.341250
-7.808000	6.405000	1015.283997	-0.262500	0.415625	-0.363125
-11.468000	2.074000	1017.601990	-0.048125	0.332500	-0.323750
-7.747000	-2.562000	1019.676025	-0.078750	0.393750	-0.231875
-2.501000	-5.978000	1019.309998	-0.424375	0.608125	-0.210000
-10.614000	-1.647000	1014.796021	-0.118125	0.446250	-0.306250
-9.76-9.150001	1.342000	1013.332031	-0.376250	0.433125	-0.131250
-10.126000	-1.464000	1014.064026	-0.201250	0.393750	-0.214375
-10.126000	4.087000	1015.283997	-0.301875	0.665000	-0.297500
-5.917000	1.220000	1017.906982	-0.315000	0.603750	-0.345625
-6.588000	1.464000	1013.210022	-0.332500	0.590625	-0.245000
-6.954000	-4.575000	1016.199036	-0.288750	0.437500	-0.262500
-12.444000	1.037000	1016.015991	-0.389375	0.533750	-0.293125
-4.575000	0.793000	1017.723999	-0.494375	0.551250	-0.245000
-11.773000	-7.259000	-1.098000	1014.918030	-0.437500	0.533750	-0.262500
-6.588000	-4.270000	1015.528015	-0.385000	0.520625	-0.245000
-5.002000	-0.671000	1014.796021	-0.424375	0.564375	-0.293125
-5.978000	1.891000	1015.283997	-0.345625	0.621250	-0.350000
-8.052000	0.610000	1012.966003	-0.218750	0.682500	-0.389375
-6.100000	-4.636000	1018.151001	-0.293125	0.599375	-0.323750
-7.808000	2.501000	1014.552002	-0.428-10.126000	0.488000	1017.419006	-0.463750	0.581875	-0.161875
-3.782000	1.098000	1017.968018	-0.323750	0.673750	-0.196875
-9.089000	0.244000	1018.700012	-0.490000	0.630000	-0.258125
-5.551000	0.366000	1009.733032	-0.301875	0.770000	-0.266875
-5.978000	4.209000	1017.174988	-0.297500	0.599375	-0.341250
-9.150001	-0.488000	1014.796021	-0.358750	0.590625	-0.262500
-9.638000	-3.660000	1014.674011	-0.284375	0.441875	--7.015000	2.135000	1020.103027	-0.503125	0.546875	-0.236250
-9.638000	1.952000	1021.384033	-0.336875	0.721875	-0.218750
-10.980000	1.830000	1004.182007	-0.240625	0.761250	-0.227500
-7.137000	-3.660000	1015.040039	-0.271250	0.660625	-0.245000
-3.721000	4.453000	1018.273010	-0.253750	0.490000	-0.306250
-8.967000	-0.976000	1019.919983	-0.380625	0.455000	-0.2887-10.980000	-0.732000	1018.944031	-0.328125	0.446250	-0.315000
-5.978000	2.867000	1012.051025	-0.166250	0.713125	-0.301875
-7.930000	0.610000	1014.064026	-0.070000	0.546875	-0.275625
-4.575000	-4.758000	1013.697998	-0.284375	0.341250	-0.192500
-8.418000	-0.366000	1016.260010	-0.266875	0.280000	-0.192500
-8.174000	0.366000	1016.260010	-0.336875	0.490000	-0.271250
-6.954000	-2.318000	1014.064026	-0.192500	0.393750	-0.323750
-6.710000	3.-7.808000	-1.708000	1015.772034	-0.249375	0.363125	-0.275625
-9.760000	-1.952000	1017.480042	-0.415625	0.525000	-0.323750
-11.468000	3.843000	1012.843994	-0.402500	0.630000	-0.319375
-9.272000	5.490000	1015.955017	-0.332500	0.520625	-0.336875
-5.551000	-0.183000	1018.090027	-0.262500	0.507500	-0.350000
-12.261000	-1.586000	1015.650024	-0.170625	0.332500	-0.262500
-9.333000	-0.244000	1016.869995	-0.476875	0.595000	-0.249375
-13.664001	-1.342000	1016.504028	-0.455000	0.542500	-0.227500
-10.675000	-1.342000	1017.114014	-0.297500	0.761250	-0.358750
-7.259000	4.209000	1013.820007	-0.021875	0.529375	-0.332500
-10.614000	2.318000	1015.650024	0.039375	0.494375	-0.297500
-17.507000	-1.586000	1023.640991	-0.210000	0.385000	-0.240625
-9.333000	-1.281000	1018.760986	-0.455000	0.669375	-0.328125
-10.980000	-1.220000	1014.186035	-0.157500	0.647500	-0.319375
-9.3-6.954000	-0.610000	1019.371033	-0.157500	0.411250	-0.380625
-6.344000	-1.708000	1021.384033	-0.301875	0.595000	-0.363125
-4.758000	-1.586000	1014.979004	-0.389375	0.761250	-0.332500
-9.699000	-0.122000	1017.601990	-0.424375	0.651875	-0.271250
-12.322001	0.610000	1016.626038	-0.363125	0.660625	-0.328125
-7.015000	1.342000	1017.846008	-0.476875	0.787500	-0.328125
-6.710000	-0.854000	1013.697998	-0.18-6.954000	1.464000	1018.882996	-0.148750	0.520625	-0.293125
-8.174000	-0.732000	1015.772034	-0.437500	0.568750	-0.240625
-5.795000	-0.610000	1012.112000	-0.551250	0.511875	-0.319375
-8.540000	-2.928000	1020.225037	-0.385000	0.595000	-0.323750
-9.516000	3.965000	1014.247009	-0.166250	0.643125	-0.371875
-10.858000	-1.281000	1012.966003	-0.043750	0.612500	-0.301875
-7.86900-10.248000	0.000000	1016.869995	-0.293125	0.402500	-0.354375
-11.224000	-0.610000	1015.283997	-0.148750	0.315000	-0.415625
-8.784-8.906000	-5.734000	1013.942017	-0.218750	0.459375	-0.371875
-8.845000	-3.172000	1012.966003	-0.406875	0.433125	-0.393750
-8.418000	-4.270000	1016.199036	-0.542500	0.393750	-0.297500
-6.344000	5.429000	1015.893982	-0.455000	0.459375	-0.332500
-11.346000	4.880000	1016.504028	-0.350000	0.525000	-0.315000
-12.200000	0.488000	1014.307983	-0.328125	0.371875	-0.258125
