AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-8.113000	4.941000	1014.307983	-0.345625	0.595000	-0.205625
-10.797000	-0.610000	1013.820007	-0.253750	0.581875	-0.271250
-10.126000	3.721000	1016.077026	-0.131250	0.608125	-0.297500
-5.185000	-1.220000	1016.747986	-0.175000	0.406875	-0.332500
-11.651000	-6.832000	1012.721985	-0.214375	0.402500	-0.358750
-8.723001	-4.392000	1014.979004	-0.183750	0.240625	-0.332500
-12.566000	6.466000	1017.480042	-0.144375	0.568750	-0.406875
-11.224000	1.342000	1011.562988	-0.161875	0.468125	-0.371875
-4.453000	-4.514000	1015.528015	-0.354375	0.595000	-0.210000
-11.773000	-5.978000	1009.855042	-0.371875	0.568750	-0.345625
-15.616000	3.843000	1015.101013	-0.210000	0.647500	-0.315000
-7.259000	2.806000	1015.893982	-0.231875	0.678125	-0.406875
-7.564000	-0.366000	1014.674011	-0.306250	0.573125	-0.306250
-10.980000	0.000000	1018.517029	-0.179375	0.525000	-0.262500
-10.858000	-4.148000	1014.064026	-0.376250	0.774375	-0.293125
-9.760000	0.671000	1019.737000	-0.205625	0.796250	-0.288750
-3.111000	3.965000	1018.212036	-0.367500	0.743750	-0.328125
-3.599000	5.429000	1013.210022	-0.236250	0.411250	-0.179375
-6.344000	-0.183000	1015.161987	-0.293125	0.520625	-0.201250
-6.588000	0.122000	1018.151001	-0.293125	0.634375	-0.301875
-5.734000	-0.732000	1016.504028	-0.428750	0.665000	-0.271250
-8.540000	3.111000	1016.626038	-0.301875	0.678125	-0.350000
-8.784000	1.830000	1013.697998	-0.153125	0.686875	-0.323750
-14.030000	0.244000	1014.064026	-0.402500	0.643125	-0.231875
-5.795000	-6.039000	1015.040039	-0.350000	0.350000	-0.280000
-7.686000	-1.037000	1016.747986	-0.262500	0.665000	-0.380625
-8.174000	4.209000	1012.600037	-0.214375	0.695625	-0.301875
-4.575000	-4.453000	1015.772034	-0.341250	0.546875	-0.367500
-5.002000	-4.392000	1017.358032	-0.389375	0.389375	-0.293125
-9.760000	2.379000	1017.358032	-0.284375	0.310625	-0.258125
-5.185000	4.514000	1020.225037	-0.210000	0.398125	-0.258125
-9.394000	6.222000	1013.759033	-0.253750	0.616875	-0.328125
-6.649000	-3.721000	1013.942017	-0.520625	0.818125	-0.258125
-15.067000	-0.915000	1016.504028	-0.380625	0.507500	-0.310625
-9.821000	-0.122000	1014.796021	-0.240625	0.599375	-0.288750
-10.614000	-3.294000	1016.809021	-0.376250	0.686875	-0.336875
-8.906000	-1.830000	1017.358032	-0.358750	0.651875	-0.297500
-9.760000	-2.562000	1014.064026	-0.319375	0.546875	-0.266875
-10.126000	-2.074000	1015.650024	-0.420000	0.507500	-0.231875
-8.784000	1.281000	1014.429993	-0.249375	0.686875	-0.205625
-8.296000	1.464000	1016.931030	-0.310625	0.682500	-0.301875
-12.810000	2.196000	1016.869995	-0.455000	0.498750	-0.205625
-14.884000	-2.928000	1015.528015	-0.450625	0.533750	-0.192500
-4.514000	-1.586000	1017.480042	-0.280000	0.424375	-0.284375
-7.564000	2.013000	1017.236023	-0.345625	0.385000	-0.358750
-7.808000	1.464000	1016.626038	-0.201250	0.853125	-0.280000
-11.834001	-3.904000	1010.281982	-0.231875	0.586250	-0.240625
-7.137000	0.427000	1011.257996	-0.306250	0.420000	-0.336875
-5.734000	0.366000	1016.931030	-0.253750	0.424375	-0.262500
-18.361000	32.939999	1017.846008	-4.204375	1.150625	-2.226875
-5.368000	-8.601000	1016.992004	-1.242500	0.896875	-0.901250
-19.520000	-39.894001	1012.234009	-0.363125	0.170625	-4.099375
2.623000	-15.555000	1077.565063	-0.288750	0.201250	-4.904375
-7.137000	-62.586002	1028.216064	-0.708750	0.201250	-1.408750
29.707001	136.152008	1061.277954	-0.455000	1.006250	1.010625
-5.856000	63.257000	929.457031	-0.385000	0.651875	0.236250
32.269001	86.315002	1056.824951	0.787500	0.678125	3.447500
-0.366000	27.999001	1045.600952	0.245000	0.853125	1.496250
-68.014999	-147.253998	1101.964966	0.021875	0.516250	11.948125
-10.614000	-17.995001	1019.919983	-1.281875	0.328125	3.386250
-16.775000	-72.651001	1011.929016	-0.048125	0.245000	-3.045000
-28.853001	-90.402000	907.130981	-1.032500	0.000000	7.354375
18.300001	181.475006	1012.600037	-0.800625	0.630000	3.583125
6.771000	36.050999	1011.624023	0.341250	0.581875	-1.846250
1.403000	39.833000	1021.994019	0.183750	0.481250	3.548125
-29.646000	-62.586002	1012.600037	0.630000	0.140000	36.430626
-1.586000	-3.660000	1017.053040	-0.577500	0.424375	9.423750
-29.829000	-43.005001	1018.333984	-0.651875	0.695625	-5.565000
-18.544001	-114.009003	1022.299011	-0.835625	0.546875	-10.543750
-16.714001	48.861000	899.262024	-2.471875	0.393750	1.452500
23.851000	136.518005	977.708008	-0.459375	0.389375	-2.051875
-3.355000	25.498001	1024.556030	-0.310625	0.507500	-0.949375
-2.074000	12.566000	1015.710999	-0.555625	0.590625	2.515625
-12.993000	-24.827000	1014.429993	-0.393750	0.730625	1.168125
-6.893000	-4.819000	1016.809021	-0.420000	0.577500	-0.017500
-14.274000	6.527000	1015.040039	-0.332500	0.564375	-0.323750
-7.747000	7.930000	1015.528015	-0.223125	0.660625	-0.284375
-9.882000	-5.368000	1014.429993	-0.315000	0.783125	-0.253750
-16.896999	-7.076000	1016.260010	-0.525000	0.678125	-0.271250
-13.603000	-0.427000	1015.650024	-0.437500	0.560000	-0.310625
-8.723001	5.307000	1013.332031	-0.175000	0.608125	-0.319375
-4.331000	1.098000	1015.650024	-0.201250	0.568750	-0.310625
-11.529000	-0.732000	1017.358032	-0.402500	0.468125	-0.301875
-12.322001	-3.050000	1015.406006	-0.402500	0.446250	-0.301875
-2.013000	3.172000	1015.650024	-0.074375	0.713125	-0.341250
-3.782000	6.405000	1016.015991	-0.363125	0.441875	-0.341250
-4.270000	-2.989000	1017.114014	-0.253750	0.402500	-0.345625
-9.272000	-10.309000	1017.114014	-0.183750	0.441875	-0.341250
-8.052000	-0.793000	1014.307983	-0.310625	0.682500	-0.310625
-6.344000	0.976000	1017.419006	-0.354375	0.669375	-0.323750
-11.102000	0.122000	1016.504028	-0.301875	0.520625	-0.301875
-7.991000	-2.440000	1015.040039	-0.468125	0.577500	-0.227500
-8.540000	2.257000	1014.796021	-0.306250	0.525000	-0.323750
-9.028000	-12.688000	1037.061035	-0.161875	0.560000	-0.288750
-12.810000	3.233000	1022.421021	-0.218750	0.573125	-0.363125
-6.527000	0.610000	1016.320984	-0.350000	0.542500	-0.332500
-9.760000	5.429000	1013.820007	-0.249375	0.490000	-0.363125
-3.599000	-1.769000	1013.575989	-0.126875	0.603750	-0.437500
-5.734000	1.647000	1018.517029	-0.258125	0.551250	-0.433125
-13.115000	1.098000	1019.554016	-0.494375	0.507500	-0.393750
-5.917000	1.464000	1017.601990	-0.310625	0.363125	-0.293125
-7.686000	0.366000	1015.406006	-0.271250	0.713125	-0.258125
-9.516000	2.440000	1016.869995	-0.358750	0.822500	-0.210000
