AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-13.969000	10.858000	989.237000	0.883750	-2.209375	-3.093125
-9.821000	-1.769000	1009.244995	0.883750	-2.209375	0.000000
-10.004000	6.039000	1010.892029	-0.240625	0.800625	-0.196875
-5.795000	-2.257000	1015.223022	-0.210000	0.507500	-0.096250
-13.603000	-0.366000	1019.127014	-0.249375	0.656250	0.472500
-10.187000	-24.583000	1020.408020	-0.354375	0.625625	3.228750
-1.891000	-4.209000	1013.637024	-0.367500	0.551250	0.770000
-10.736000	0.122000	1014.064026	-0.424375	0.603750	-0.175000
-13.664001	-1.830000	1016.382019	-0.319375	0.411250	-0.231875
-5.307000	1.281000	1013.820007	-0.262500	0.560000	-0.367500
-2.867000	4.819000	1013.697998	-0.306250	0.503125	-0.297500
-8.357000	1.586000	1008.452026	-0.450625	0.424375	-0.122500
-13.176001	-0.122000	1014.856995	-0.192500	0.371875	-0.183750
-8.723001	-0.488000	1013.210022	-0.188125	0.551250	-0.406875
-5.673000	0.488000	1013.210022	-0.411250	0.406875	-0.332500
-5.856000	3.477000	1019.859009	-0.323750	0.721875	-0.358750
-8.418000	5.795000	1013.637024	-0.275625	0.555625	-0.284375
-10.370000	-1.220000	1014.429993	-0.446250	0.507500	-0.310625
-9.516000	7.991000	1013.820007	-0.288750	0.511875	-0.332500
-8.662000	4.880000	1015.161987	-0.008750	0.424375	-0.253750
-5.978000	7.198000	1013.697998	-0.113750	0.472500	-0.201250
-8.906000	-3.477000	1015.955017	-0.249375	0.525000	-0.323750
-8.174000	0.915000	1017.846008	-0.371875	0.870625	-0.450625
-6.344000	0.732000	1017.358032	-0.218750	0.774375	-0.385000
-5.490000	-1.952000	1016.747986	-0.280000	0.367500	-0.262500
-14.213000	2.623000	1011.867981	-0.376250	0.446250	-0.371875
-3.233000	1.952000	1019.127014	-0.188125	0.411250	-0.284375
-7.808000	2.318000	1016.869995	-0.616875	0.560000	-0.411250
-10.248000	-0.854000	1012.843994	-0.406875	0.437500	-0.358750
-8.540000	3.233000	1016.199036	-0.363125	0.656250	-0.236250
-4.697000	-8.601000	1008.268982	-1.312500	0.638750	-0.481250
-3.538000	19.764000	1010.038025	-0.109375	0.726250	1.951250
-2.684000	5.246000	1009.916016	0.511875	0.599375	1.990625
-8.113000	24.705000	1019.798035	0.153125	0.551250	2.804375
-13.603000	-0.427000	1016.869995	-0.105000	0.498750	0.564375
-11.346000	1.830000	1017.663025	-0.468125	0.490000	-1.570625
-7.503000	0.000000	1016.747986	-0.608125	0.818125	-0.301875
-30.195000	-29.280001	1016.015991	-1.723750	0.660625	-10.128125
-1.708000	-2.074000	1002.108032	-2.432500	0.008750	-10.797500
4.697000	-61.061001	1060.667969	-3.937500	0.634375	-9.235625
-29.402000	42.395000	1086.471069	-4.016250	0.980000	-9.576875
-13.298000	5.673000	1010.526001	-2.397500	0.446250	-3.587500
-9.089000	-16.896999	1013.270996	-0.879375	0.472500	-0.345625
-1.281000	-5.002000	1013.942017	-2.371250	0.376250	-0.455000
-9.333000	-6.710000	1016.382019	1.198750	0.420000	0.266875
24.948999	38.674000	1000.400024	6.094375	1.023750	-0.420000
-86.253998	18.788000	855.890991	0.752500	0.332500	9.603125
21.716000	-79.726997	1118.130005	-0.056875	1.058750	10.303125
-20.069000	-7.442000	1027.545044	-3.110625	0.621250	3.368750
-22.204000	-29.951000	1014.979004	-3.451875	0.385000	1.614375
-15.067000	18.300001	1019.614990	-1.535625	0.450625	3.430000
3.599000	9.455000	1014.186035	-0.424375	0.756875	2.301250
-2.501000	12.627000	1018.639038	-0.463750	0.520625	3.241875
27.938000	191.235001	979.355042	2.016875	0.411250	13.667500
-11.712000	-17.323999	1017.236023	0.901250	1.885625	27.496876
-16.104000	-22.204000	1017.968018	-1.006250	0.367500	-3.696875
-13.908000	-40.869999	1013.697998	-7.940625	0.048125	-3.924375
-12.322001	8.235000	1011.746033	-6.960625	0.441875	-3.154375
17.202000	32.635002	1012.234009	-4.200000	0.533750	-2.275000
-4.087000	-8.967000	1020.225037	-2.310000	0.280000	-1.089375
-4.636000	-27.328001	1013.759033	-1.321250	0.538125	-0.258125
-8.540000	-9.577000	1015.283997	-0.708750	0.748125	0.074375
-13.420000	-16.896999	1018.882996	-0.280000	0.796250	-0.153125
-5.551000	-15.372000	1014.796021	0.043750	0.546875	-0.411250
-11.773000	-12.078000	1015.406006	-0.630000	0.468125	-0.284375
-11.468000	-29.524000	1002.413025	-0.026250	0.402500	-0.035000
-5.917000	-18.788000	1016.992004	-0.472500	0.481250	-0.153125
-10.004000	-19.642000	1012.112000	-0.844375	0.328125	-0.192500
-8.906000	-7.808000	1014.674011	-0.179375	0.656250	-0.210000
-10.248000	-12.566000	1011.257996	-3.443125	0.126875	-0.367500
-2.623000	-15.494000	1012.600037	-0.236250	0.542500	-0.402500
-6.588000	-13.908000	1016.565002	0.380625	0.529375	-0.306250
-11.895000	-9.455000	1014.064026	-1.942500	0.468125	-0.293125
-11.224000	-13.786000	1011.502014	-0.065625	0.472500	-0.345625
-11.102000	-7.381000	1015.040039	-0.135625	0.402500	-0.227500
-6.649000	-11.712000	1016.626038	0.713125	0.682500	0.008750
-5.978000	-10.858000	1015.893982	-0.144375	0.713125	0.013125
-8.418000	-11.468000	1014.796021	-0.297500	0.498750	0.231875
-7.320000	-16.469999	1021.200989	-0.415625	0.555625	0.026250
-10.126000	-12.993000	1016.869995	-1.220625	0.546875	-0.109375
-4.697000	-9.577000	1015.893982	-0.494375	0.498750	-0.328125
-11.407001	-18.726999	1012.721985	-0.153125	0.713125	-0.603750
-8.357000	-11.163000	1014.064026	-0.656250	0.468125	-1.150625
-6.161000	-14.152000	1016.869995	-0.774375	0.787500	-1.946875
-5.856000	-11.651000	1013.942017	-0.743750	0.538125	-1.150625
-7.686000	-13.054000	1019.614990	-1.273125	0.853125	-0.516250
-6.222000	-17.446001	1017.601990	-1.036875	0.503125	-0.280000
-11.773000	-16.592001	1013.210022	-1.373750	0.249375	-0.800625
-10.126000	-13.237000	1015.650024	-1.045625	0.385000	-0.651875
-5.795000	-15.372000	1014.552002	-0.647500	0.678125	-0.301875
-9.394000	-14.030000	1014.674011	-0.345625	0.560000	-0.323750
-6.283000	-15.616000	1011.502014	0.380625	0.301875	-0.179375
-12.505000	-19.398001	1021.200989	1.050000	0.551250	-0.052500
14.274000	-29.585001	1015.467041	4.886875	1.058750	-5.770625
-24.827000	-2.806000	1019.371033	2.747500	0.984375	-7.949375
18.544001	-12.139000	1005.280029	6.820625	1.373750	-10.591875
-23.363001	-4.819000	1033.583984	3.701250	0.376250	-1.907500
-5.063000	21.837999	1007.415039	-1.203125	0.586250	6.864375
-15.433001	2.562000	1022.726013	-2.695000	0.818125	5.263125
7.137000	17.202000	1010.038025	-5.530000	0.227500	1.155000
13.603000	37.149002	1008.940002	0.822500	0.809375	1.745625
-17.568001	-47.396999	1067.865967	3.066875	0.691250	6.055000
-62.220001	-48.983002	1011.807007	-0.135625	0.603750	-4.983125
-25.193001	-14.457000	1014.247009	-0.796250	0.647500	-0.315000
-4.819000	-5.673000	1016.260010	-10.010000	-0.306250	3.736250
6.954000	24.644001	1002.840027	-5.600000	0.052500	1.505000
-8.784000	32.513000	1006.072998	3.014375	0.923125	2.415000
-56.242001	58.011002	892.552002	12.486250	0.748125	12.556250
18.666000	9.760000	1013.210022	3.753750	0.612500	2.428125
-27.694000	-15.921000	1014.064026	0.805000	0.581875	-2.913750
-12.078000	-15.616000	1004.121033	-1.360625	0.227500	-1.080625
-24.339001	-6.771000	1015.893982	-10.132500	-0.603750	-0.682500
-8.601000	-14.091001	1017.663025	-0.052500	0.472500	-0.638750
-6.832000	-12.688000	1022.543030	2.966250	0.949375	-0.835625
-9.028000	22.509001	1019.919983	10.198125	2.082500	1.640625
-16.775000	-30.561001	1019.066040	3.123750	0.988750	1.863750
-5.856000	1.708000	1024.739014	-0.262500	0.398125	0.175000
-13.237000	2.928000	1019.371033	-0.568750	0.656250	-0.280000
-10.553000	-0.366000	1011.319031	-0.266875	0.686875	-0.166250
-15.677000	-4.270000	1016.077026	-0.253750	0.459375	-0.332500
-3.172000	-0.793000	1011.746033	-0.315000	0.739375	-0.450625
-7.198000	2.501000	1016.565002	-0.122500	0.516250	-0.306250
-9.272000	0.122000	1019.676025	-0.240625	0.446250	-0.297500
-10.004000	0.732000	1017.723999	-0.253750	0.490000	-0.332500
-6.771000	3.721000	1016.260010	-0.192500	0.665000	-0.293125
-8.784000	2.928000	1016.869995	-0.280000	0.590625	-0.205625
-10.492001	-3.599000	1009.855042	-0.371875	0.590625	-0.258125
-9.272000	-2.562000	1015.710999	-0.240625	0.507500	-0.258125
-8.052000	3.965000	1017.114014	-0.284375	0.485625	-0.332500
0.549000	4.514000	1017.114014	-0.437500	0.726250	-0.271250
-4.636000	-0.488000	1017.968018	-0.288750	0.770000	-0.319375
-4.880000	0.366000	1016.565002	-0.126875	0.288750	-0.358750
-5.612000	3.355000	1016.260010	-0.402500	0.568750	-0.323750
-13.847000	-1.586000	1016.504028	-0.398125	0.700000	-0.332500
-9.455000	1.769000	1016.992004	-0.371875	0.595000	-0.376250
-11.956000	-0.122000	1015.650024	-0.350000	0.826875	-0.306250
-12.322001	1.220000	1018.273010	-0.297500	0.380625	-0.380625
-9.577000	-2.806000	1015.650024	-0.315000	0.516250	-0.341250
-5.673000	2.013000	1017.785034	0.013125	0.533750	-0.319375
-13.481000	0.854000	1014.674011	-0.315000	0.507500	-0.341250
-15.250000	-1.464000	1018.882996	-0.441875	0.490000	-0.450625
-5.917000	-0.976000	1015.528015	-0.393750	0.713125	-0.363125
-12.749001	0.122000	1016.747986	-0.144375	0.616875	-0.389375
-12.322001	-5.063000	1015.161987	-0.253750	0.468125	-0.315000
-7.625000	1.769000	1012.721985	-0.323750	0.638750	-0.415625
-8.662000	0.244000	1016.809021	-0.100625	0.463750	-0.328125
-7.198000	2.562000	1017.723999	-0.328125	0.476875	-0.280000
-11.102000	-2.684000	1017.236023	-0.109375	0.765625	-0.280000
33.916000	-94.306000	1007.171021	-4.274375	0.315000	-1.793750
0.488000	-71.431000	846.009033	-37.205002	-10.421250	-0.608125
118.035004	-176.473007	1110.016968	35.074375	11.935000	5.320000
-98.576004	106.567001	1050.664062	2.957500	0.433125	22.448126
-79.361000	150.548004	1090.619019	9.397500	1.496250	3.749375
-5.612000	6.832000	1027.239990	3.679375	0.940625	-0.953750
6.466000	41.663002	1001.924988	-3.583125	0.498750	7.113750
-38.063999	-20.984001	1003.572021	5.831875	1.242500	5.958750
-18.117001	-30.683001	1007.293030	-0.074375	1.198750	3.075625
-9.699000	0.732000	1019.066040	-0.415625	0.896875	0.822500
-8.174000	2.318000	1017.480042	0.455000	0.507500	-0.021875
-12.200000	0.732000	1013.820007	-0.223125	0.433125	-0.293125
-5.734000	-1.708000	1017.541016	-0.341250	0.494375	-0.398125
-4.636000	-1.464000	1019.187988	-0.231875	0.573125	-0.227500
-8.540000	-2.196000	1018.333984	-0.468125	0.455000	-0.236250
-11.956000	1.647000	1019.919983	-0.538125	0.704375	-0.306250
-13.542000	5.795000	1013.637024	-0.253750	0.538125	-0.301875
-10.858000	-5.673000	1018.639038	-0.310625	0.393750	-0.332500
-14.396000	-0.427000	1013.575989	-0.406875	0.468125	-0.205625
-7.137000	2.623000	1014.674011	-0.236250	0.774375	-0.306250
-10.370000	2.440000	1017.541016	-0.179375	0.568750	-0.380625
-8.174000	5.917000	1018.455994	-0.319375	0.354375	-0.315000
-8.296000	0.610000	1014.307983	-0.258125	0.450625	-0.350000
-9.760000	2.867000	1014.918030	-0.087500	0.630000	-0.288750
-5.063000	-0.732000	1018.639038	-0.323750	0.507500	-0.319375
-11.651000	-1.464000	1015.772034	-0.297500	0.507500	-0.306250
-7.625000	4.697000	1010.648010	-0.288750	0.761250	-0.284375
-8.906000	0.000000	1014.979004	-0.341250	0.542500	-0.271250
-8.784000	-0.122000	1019.737000	-0.345625	0.638750	-0.214375
-9.272000	1.098000	1017.114014	-0.188125	0.516250	-0.227500
-7.564000	2.196000	1019.859009	-0.271250	0.643125	-0.157500
-12.078000	4.331000	1015.283997	-0.336875	0.560000	-0.240625
-11.102000	2.440000	1016.260010	-0.367500	0.546875	-0.192500
-15.738000	-0.854000	1010.343018	-0.240625	0.787500	-0.196875
-14.396000	-6.161000	1014.369019	-0.223125	0.542500	-0.341250
-8.845000	-3.355000	1017.296997	-0.437500	0.638750	-0.371875
-5.795000	2.989000	1015.772034	-0.411250	0.695625	-0.437500
-7.198000	3.294000	1017.906982	-0.385000	0.665000	-0.411250
-8.540000	-0.976000	1015.772034	-0.630000	0.656250	-0.420000
-7.930000	5.429000	1013.575989	-0.288750	0.555625	-0.341250
-7.076000	-2.989000	1019.371033	-0.113750	0.455000	-0.437500
-8.540000	-4.331000	1015.283997	-0.196875	0.406875	-0.227500
-10.004000	-0.427000	1013.942017	-0.214375	0.643125	-0.310625
-10.492001	-1.464000	1012.600037	-0.109375	0.761250	-0.406875
-11.346000	6.161000	1009.916016	-0.135625	0.345625	-0.275625
-12.078000	0.305000	1009.549988	-0.415625	0.441875	-0.271250
