AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
0.427000	5.368000	1010.953003	-0.118125	0.498750	-0.262500
-9.455000	12.871000	1003.023010	-0.245000	0.476875	-0.144375
-8.906000	-12.749001	1008.147034	-0.288750	0.665000	-0.026250
-9.760000	-6.527000	1009.549988	-0.310625	0.542500	-0.437500
-8.540000	10.614000	1012.661011	-0.367500	0.376250	-0.533750
-12.810000	4.575000	1017.541016	-0.406875	0.546875	-0.236250
-7.747000	-1.525000	1013.454041	-0.376250	0.616875	-0.179375
-6.405000	-4.636000	1015.710999	-0.398125	0.616875	-0.398125
-13.847000	3.599000	1019.981018	-0.315000	0.463750	-0.323750
-10.309000	4.514000	1018.455994	-0.253750	0.752500	-0.420000
-5.795000	-0.244000	1020.835022	-0.223125	0.573125	-0.214375
-3.050000	-9.577000	1015.223022	-0.113750	0.380625	-0.153125
-14.823000	-4.575000	1014.307983	-0.297500	0.367500	-0.420000
-11.529000	7.808000	1012.721985	-0.420000	0.446250	-0.411250
-7.747000	6.954000	1014.979004	-0.428750	0.564375	-0.245000
-4.819000	-1.891000	1016.138000	-0.345625	0.848750	-0.245000
-10.919000	-1.464000	1020.225037	-0.363125	0.630000	-0.284375
-4.270000	-2.562000	1016.504028	-0.332500	0.411250	-0.288750
-1.403000	2.379000	1014.552002	-0.170625	0.511875	-0.424375
-10.065001	5.429000	1013.210022	-0.245000	0.791875	-0.301875
-13.298000	-1.403000	1012.843994	-0.323750	0.590625	-0.196875
-10.553000	-3.050000	1018.151001	-0.437500	0.555625	-0.363125
-6.527000	3.965000	1017.114014	-0.441875	0.520625	-0.424375
-7.686000	6.771000	1017.968018	-0.415625	0.730625	-0.258125
-15.311000	1.525000	1016.626038	-0.210000	0.485625	-0.205625
-13.908000	1.464000	1013.575989	-0.140000	0.481250	-0.236250
-8.052000	-1.464000	1019.127014	-0.214375	0.406875	-0.315000
-8.906000	4.575000	1013.759033	-0.196875	0.301875	-0.402500
-11.712000	7.137000	1016.077026	-0.161875	0.315000	-0.341250
-8.235000	1.769000	1012.112000	-0.315000	0.367500	-0.280000
-10.614000	-1.708000	1013.942017	-0.428750	0.647500	-0.363125
-10.858000	-1.098000	1012.966003	-0.236250	0.704375	-0.336875
-8.235000	4.453000	1016.199036	-0.140000	0.577500	-0.293125
-5.673000	4.270000	1016.260010	-0.196875	0.485625	-0.350000
-3.294000	-2.745000	1017.846008	-0.323750	0.411250	-0.170625
-5.551000	4.941000	1017.541016	-0.284375	0.761250	-0.323750
-7.198000	1.830000	1017.846008	-0.284375	0.713125	-0.288750
-6.954000	1.830000	1016.747986	-0.319375	0.735000	-0.205625
-9.028000	1.464000	1015.406006	-0.393750	0.634375	-0.253750
-13.542000	2.684000	1016.992004	-0.450625	0.595000	-0.336875
-10.187000	-1.220000	1016.260010	-0.336875	0.577500	-0.240625
-10.614000	-1.220000	1012.600037	-0.354375	0.647500	-0.306250
-7.503000	2.257000	1013.210022	-0.358750	0.638750	-0.345625
-11.956000	0.854000	1013.454041	-0.170625	0.555625	-0.196875
-6.161000	2.196000	1019.981018	-0.070000	0.568750	-0.288750
-8.174000	1.586000	1014.125000	-0.236250	0.546875	-0.271250
-3.599000	7.625000	1017.906982	-0.218750	0.520625	-0.245000
-10.675000	1.647000	1014.796021	-0.385000	0.787500	-0.240625
-5.307000	-3.904000	1014.918030	-0.345625	0.638750	-0.288750
-11.041000	3.965000	1015.893982	-0.341250	0.481250	-0.341250
-9.028000	-2.501000	1016.138000	-0.332500	0.433125	-0.350000
-6.954000	-2.196000	1016.504028	-0.266875	0.503125	-0.271250
-6.466000	-0.854000	1015.528015	-0.319375	0.673750	-0.218750
-11.224000	-4.392000	1017.358032	-0.332500	0.721875	-0.297500
