AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
0.671000	11.651000-3.904000	-29.829000	1010.830994	-0.231875	0.485625	1.601250
-4.758000	3.538000	1012.478027	-0.035000	0.551250	-0.175000
-7.808000	8.54-8.052000	-0.915000	1012.112000	-0.476875	0.455000	-0.271250
-6.710000	2.379000	1015.101013	-0.205625	0.603750	-0.258125
-2.623000	-3.965000	1015.893982	-0.284375	0.393750	-0.328125
-6.710000	2.013000	1013.820007	-0.345-9.028000	-5.795000	1013.210022	-0.433125	0.328125	-0.328125
-12.566000	1.891000	1014.064026	-0.231875	0.389375	-0.262500
-7.381000	3.782000	1017.663025	-0.135625	0.507500	-0.188125
-13.237000	-2.623000	1013.088013	-0.363125	0.385000	-0.275625
-9.821000	-2.318000	1015.528015	-0.420000	0.608125	-0.385000
-3.111000	7.076000	1014.429993	-0.297500	0.525000	-0.258125
-5.978000	2.440000	1015.528015	-0.341250	0.306250	-0.293125
-12.871000	-2.928000	1016.382019	-0.310625	0.218750	-0.245000
-7.869000	0.183000	1011.989990	-0.253750	0.520625	-0.297500
-5.795000	-3.294000	1017.174988	-0.183750	0.625625	-0.398125
-5.856000	2.379000	1015.650024	-0.301875	0.590625	-0.236250
-4.636000	-0.488000	1014.307983	-0.271250	0.389375	-0.249375
-5.856000	-4.880000	1014.552002	-0.463750	0.708750	-0.175000
-4.392000	-1.525000	1017.663025	-0.568750	0.691250	-0.376250
-6.344000	6.771000	1016.504028	-0.188125	0.450625	-0.406875
-14.457000	2.806000	1015.406006	-0.258125	0.450625	-0.367500
-13.664001	3.538000	1013.820007	-0.367500	0.511875	-0.218750
-1.586000	-1.830000	1014.796021	-0.371875	0.778750	-0.183750
-4.758000	-4.636000	1014.552002	-0.188125	0.704375	-0.280000
-6.222000	5.856000	1017.906982	-0.192500	0.511875	-0.389375
-10.492001	0.915000	1016.747986	-0.214375	0.293125	-0.310625
-3.599000	0.366000	1014.918030	-0.328125	0.468125	-0.201250
-11.773000	-0.366000	1011.746033	-0.389375	0.446250	-0.179375
-7.015000	-2.196000	1014.429993	-0.275625	0.503125	-0.249375
-5.124000	0.793000	1018.639038	-0.393750	0.805000	-0.240625
-5.856000	-3.416000	1013.942017	-0.424375	0.450625	-0.371875
-7.320000	4.941000	1016.138000	-0.293125	0.415625	-0.258125
-12.566000	-0.305000	1011.502014	-0.310625	0.420000	-0.231875
-7.259000	-1.464000	1017.174988	-0.271250	0.577500	-0.428750
-6.222000	5.551000	1018.822021	-0.293125	0.770000	-0.341250
-9.150001	2.318000	1011.807007	-0.328125	0.752500	-0.258125
-9.272000	-2.989000	1012.600037	-0.157500	0.560000	-0.402500
-5.246000	0.366000	1014.979004	-0.280000	0.367500	-0.306250
-8.906000	1.342000	1017.114014	-0.371875	0.437500	-0.258125
-9.516000	3.416000	1015.528015	-0.367500	0.428750	-0.284375
-5.429000	0.976000	1011.746033	-0.385000	0.533750	-0.293125
-5.612000	0.610000	1016.199036	-0.481250	0.560000	-0.363125
-10.797000	-0.610000	1014.796021	-0.293125	0.481250	-0.310625
-7.869000	-0.244000	1016.747986	-0.245000	0.525000	-0.275625
-9.272000	0.854000	1015.161987	-0.288750	0.730625	-0.406875
-5.917000	-0.976000	1013.332031	-0.231875	0.608125	-0.363125
-4.636000	-1.464000	1013.210022	-0.070000	0.481250	-0.301875
-7.564000	-2.928000	1015.406006	-0.258125	0.437500	-0.179375
-7.808000	-4.270000	1017.906982	-0.402500	0.485625	-0.319375
-9.394000	-2.684000	1016.747986	-0.595000	0.542500	-0.293125
-10.370000	-2.318000	1016.260010	-0.494375	0.660625	-0.262500
-8.784000	-0.366000	1016.382019	-0.358750	0.564375	-0.297500
-8.296000	0.366000	1016.015991	-0.310625	0.533750	-0.288750
