AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-10.919000	14.701000	1005.463013	0.883750	-2.213750	-3.093125
-6.039000	2.867000	1013.759033	0.883750	-2.213750	0.000000
-10.736000	-0.854000	1013.088013	-0.144375	0.608125	-0.455000
-21.410999	-37.881001	1018.151001	-0.179375	0.564375	-3.539375
-47.519001	-46.421001	987.346008	-1.080625	0.485625	-18.558750
-21.472000	4.941000	1058.776978	-1.010625	-0.087500	-30.804375
3.843000	37.698002	963.678040	-0.739375	0.380625	-24.731874
-11.163000	3.416000	1003.694031	-0.656250	0.301875	0.603750
-8.906000	0.366000	1013.942017	-0.192500	0.616875	0.100625
-11.590000	-0.122000	1017.785034	-0.105000	0.673750	-0.223125
-11.224000	1.342000	1015.283997	-0.148750	0.411250	-0.371875
-1.281000	-0.244000	945.561035	-0.109375	0.621250	-0.297500
-5.246000	1.891000	1011.807007	-0.328125	0.673750	-0.249375
-13.725000	0.244000	1013.820007	-0.262500	0.560000	-0.258125
-8.967000	1.220000	1014.796021	-0.284375	0.721875	-0.411250
-11.712000	3.843000	1015.650024	-0.196875	0.612500	-0.301875
-13.298000	0.488000	1013.332031	-0.367500	0.573125	-0.214375
-13.420000	0.610000	1015.955017	-0.350000	0.376250	-0.345625
-4.697000	-1.830000	1019.737000	-0.061250	0.376250	-0.354375
-7.808000	0.854000	1015.893982	-0.249375	0.428750	-0.266875
-10.614000	2.074000	1016.015991	-0.196875	0.682500	-0.385000
-8.174000	-0.732000	1011.014038	-0.135625	0.634375	-0.336875
-6.588000	2.379000	1013.697998	-0.297500	0.446250	-0.393750
-6.710000	4.758000	1018.517029	-0.153125	0.398125	-0.306250
-7.930000	1.342000	1013.820007	-0.262500	0.656250	-0.227500
-13.420000	-0.732000	1014.064026	-0.485625	0.599375	-0.393750
-10.980000	0.488000	1014.796021	-0.293125	0.424375	-0.275625
-7.137000	2.806000	1012.478027	-0.227500	0.533750	-0.315000
-10.370000	4.636000	1015.955017	-0.091875	0.411250	-0.336875
-9.272000	1.464000	1014.918030	-0.061250	0.625625	-0.301875
-0.915000	1.830000	1015.406006	-0.319375	0.634375	-0.350000
-11.651000	0.854000	1014.064026	-0.306250	0.367500	-0.332500
-8.479000	-3.294000	1014.064026	-0.301875	0.507500	-0.310625
-7.564000	2.989000	1013.697998	-0.170625	0.774375	-0.288750
-11.102000	-0.610000	1017.906982	-0.306250	0.721875	-0.310625
-10.492001	-2.562000	1011.807007	-0.201250	0.678125	-0.301875
-18.239000	2.135000	1012.721985	-0.280000	0.713125	-0.253750
-12.017000	0.976000	1017.906982	-0.463750	0.577500	-0.271250
-8.845000	0.610000	1013.820007	-0.323750	0.385000	-0.266875
-8.906000	-5.063000	1018.882996	-0.100625	0.630000	-0.249375
-9.882000	0.305000	1013.880981	-0.236250	0.704375	-0.310625
-6.893000	4.209000	1018.028992	-0.350000	0.433125	-0.284375
-10.126000	0.122000	1016.747986	-0.249375	0.612500	-0.280000
-10.492001	0.244000	1015.893982	-0.253750	0.560000	-0.332500
