AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-7.076000	-3.721000	1016.747986	-0.105000	0.577500	-0.175000
-12.200000	-6.832000	1016.138000	-0.175000	0.551250	-0.214375
-15.128000	-6.466000	1015.893982	-0.262500	0.599375	-0.398125
-8.235000	2.867000	1017.846008	-0.166250	0.446250	-0.420000
-2.745000	2.074000	1014.674011	-0.315000	0.573125	-0.297500
-11.163000	3.904000	1016.138000	-0.288750	0.433125	-0.328125
-13.176001	5.368000	1016.138000	-0.301875	0.651875	-0.266875
-9.211000	-1.159000	1013.332031	-0.210000	0.485625	-0.336875
-4.819000	1.769000	1017.296997	-0.126875	0.595000	-0.288750
-5.612000	0.000000	1015.650024	-0.354375	0.345625	-0.258125
-7.198000	-0.854000	1016.382019	-0.358750	0.560000	-0.196875
-11.712000	3.599000	1014.307983	-0.280000	0.630000	-0.223125
-12.078000	-2.013000	1016.382019	-0.231875	0.638750	-0.258125
-8.845000	-6.832000	1016.869995	-0.170625	0.616875	-0.310625
-9.150001	1.159000	1014.186035	-0.258125	0.577500	-0.389375
-8.906000	4.697000	1014.674011	-0.301875	0.739375	-0.336875
-10.126000	0.976000	1016.809021	-0.389375	0.538125	-0.301875
-6.893000	-1.220000	1014.918030	-0.319375	0.678125	-0.293125
-9.272000	0.427000	1018.273010	-0.275625	0.525000	-0.179375
-7.808000	7.381000	1011.807007	-0.148750	0.739375	-0.205625
-6.710000	1.891000	1016.442993	-0.319375	0.503125	-0.201250
-4.392000	-0.732000	1017.601990	-0.249375	0.249375	-0.428750
-8.906000	2.989000	1017.601990	-0.328125	0.538125	-0.341250
-11.224000	9.089000	1018.944031	-0.468125	0.424375	-0.293125
-7.381000	0.671000	1013.880981	-0.240625	0.498750	-0.275625
-10.492001	-1.830000	1014.064026	-0.070000	0.455000	-0.192500
-12.444000	-2.806000	1010.160034	-0.258125	0.310625	-0.201250
-6.161000	1.403000	1012.478027	-0.148750	0.494375	-0.315000
-11.773000	3.294000	1017.296997	-0.354375	0.538125	-0.231875
-10.248000	6.405000	1016.504028	-0.218750	0.494375	-0.183750
-7.015000	0.793000	1015.528015	-0.227500	0.546875	-0.249375
-10.614000	-11.773000	1014.918030	-0.266875	0.551250	-0.371875
-12.444000	-2.867000	1011.257996	-0.205625	0.748125	-0.542500
-6.161000	10.126000	1014.247009	-0.293125	0.713125	-0.555625
-7.320000	10.736000	1016.626038	-0.328125	0.481250	-0.310625
-4.697000	-1.952000	1016.382019	-0.350000	0.551250	-0.266875
-8.784000	-0.610000	1015.283997	-0.135625	0.590625	-0.214375
-2.928000	2.806000	1017.846008	-0.284375	0.665000	-0.428750
-7.564000	10.187000	1014.307983	-0.258125	0.476875	-0.345625
-6.710000	5.490000	1014.186035	-0.245000	0.599375	-0.341250
-8.052000	4.636000	1015.283997	-0.109375	0.446250	-0.227500
-17.263000	-1.403000	1013.210022	-0.105000	0.599375	-0.157500
-13.359000	-1.220000	1013.697998	-0.301875	0.380625	-0.201250
-7.503000	3.843000	1016.442993	-0.350000	0.564375	-0.271250
-2.623000	-0.854000	1014.552002	-0.231875	0.271250	-0.328125
-16.226000	0.122000	1013.575989	-0.170625	0.581875	-0.275625
-6.649000	0.427000	1015.040039	-0.595000	0.756875	-0.511875
1.159000	7.137000	1015.893982	-0.402500	0.498750	-0.494375
-7.381000	11.163000	1014.674011	-0.332500	0.560000	-0.389375
-9.760000	6.710000	1011.867981	-0.446250	0.546875	-0.166250
-7.625000	-5.429000	1013.820007	-0.323750	0.783125	-0.144375
-10.370000	-5.368000	1016.565002	-0.231875	0.525000	-0.249375
-13.908000	-3.172000	1015.893982	-0.170625	0.538125	-0.341250
-4.209000	8.662000	1010.708984	-0.415625	0.529375	-0.393750
-1.403000	9.272000	1014.125000	-0.315000	0.686875	-0.275625
-6.100000	3.233000	1013.393005	-0.258125	0.459375	-0.105000
-12.810000	-4.514000	1015.283997	-0.332500	0.669375	-0.433125
-11.224000	4.453000	1019.614990	-0.490000	0.494375	-0.354375
-6.893000	10.431000	1017.601990	-0.227500	0.520625	-0.328125
-8.296000	10.004000	1015.528015	-0.393750	0.472500	-0.201250
-9.882000	-7.320000	1014.186035	-0.341250	0.511875	-0.043750
-10.736000	-11.224000	1013.697998	-0.201250	0.546875	-0.210000
-11.102000	-6.039000	1015.283997	-0.297500	0.450625	-0.446250
-6.039000	5.490000	1017.601990	-0.118125	0.310625	-0.490000
-4.636000	9.821000	1014.064026	-0.350000	0.468125	-0.297500
-11.468000	5.673000	1014.429993	-0.411250	0.756875	-0.227500
-12.322001	-2.257000	1014.674011	-0.345625	0.345625	-0.280000
-3.965000	-2.318000	1015.283997	-0.109375	0.376250	-0.262500
-4.880000	2.623000	1015.283997	-0.306250	0.481250	-0.284375
-11.895000	1.220000	1015.040039	-0.315000	0.354375	-0.358750
-10.736000	1.342000	1011.135986	-0.140000	0.542500	-0.371875
-12.810000	-4.331000	1012.721985	-0.271250	0.621250	-0.258125
-6.649000	-4.148000	1012.356018	-0.170625	0.586250	-0.363125
-9.272000	1.647000	1019.981018	-0.262500	0.542500	-0.367500
-8.235000	6.649000	1016.382019	-0.280000	0.472500	-0.332500
-9.394000	-3.965000	1019.371033	-0.170625	0.520625	-0.231875
-6.954000	3.721000	1015.406006	-0.301875	0.599375	-0.280000
-12.200000	-1.342000	1016.626038	-0.301875	0.463750	-0.231875
-12.444000	-0.610000	1014.429993	
-7.137000	1.464000	1014.186035	-0.350000	0.568750	-0.358750
-9.028000	-0.244000	1015.283997	-0.091875	0.625625	-0.275625
-5.429000	-0.854000	1017.480042	-0.161875	0.415625	-0.258125
-13.725000	-0.122000	1015.893982	-0.424375	0.485625	-0.245000
-12.200000	-0.366000	1016.382019	-0.385000	0.538125	-0.328125
-5.307000	-1.952000	1016.747986	-0.253750	0.538125	-0.328125
-14.091001	4.575000	1013.454041	-0.310625	0.586250	-0.385000
-14.518001	0.366000	1013.210022	-0.293125	0.402500	-0.310625
-6.405000	4.697000	1017.541016	-0.245000	0.595000	-0.293125
-7.930000	1.586000	1013.697998	-0.494375	0.612500	-0.218750
-4.697000	-2.440000	1015.040039	-0.205625	0.468125	-0.288750
-7.564000	4.697000	1015.650024	-0.284375	0.354375	-0.385000
-13.725000	-0.488000	1011.867981	-0.332500	0.393750	-0.310625
-6.893000	-0.244000	1014.125000	-0.341250	0.560000	-0.266875
-5.368000	-2.440000	1018.882996	-0.288750	0.380625	-0.358750
-5.124000	2.379000	1016.015991	-0.109375	0.691250	-0.214375
-9.272000	2.074000	1011.867981	-0.231875	0.625625	-0.175000
-12.444000	-0.366000	1014.856995	-0.175000	0.682500	-0.341250
-6.649000	0.610000	1016.626038	-0.367500	0.450625	-0.253750
-11.224000	1.098000	1017.601990	-0.319375	0.573125	-0.310625
-14.884000	-0.854000	1016.992004	-0.253750	0.595000	-0.266875
-12.261000	-2.684000	1017.723999	-0.332500	0.345625	-0.328125
-8.113000	0.183000	1013.088013	-0.336875	0.573125	-0.315000
-11.346000	3.477000	1014.552002	-0.126875	0.490000	-0.297500
-10.248000	1.586000	1015.161987	-0.363125	0.695625	-0.218750
-8.296000	3.538000	1014.674011	-0.424375	0.494375	-0.118125
-5.978000	0.122000	1016.931030	-0.126875	0.573125	-0.144375
-4.880000	-1.830000	1012.966003	-0.231875	0.481250	-0.223125
-14.152000	2.562000	1014.918030	-0.214375	0.485625	-0.310625
-6.039000	2.806000	1017.480042	-0.341250	0.643125	-0.306250
-5.124000	-0.366000	1016.992004	-0.201250	0.564375	-0.240625
-11.407001	-0.610000	1018.578003	-0.380625	0.564375	-0.284375
-14.762000	3.599000	1018.333984	-0.245000	0.494375	-0.411250
-11.041000	-0.610000	1015.283997	-0.240625	0.424375	-0.271250
-6.283000	-1.586000	1017.236023	-0.227500	0.371875	-0.297500
-9.516000	2.989000	1016.015991	-0.441875	0.630000	-0.306250
-9.882000	6.527000	1015.528015	-0.319375	0.603750	-0.301875
-7.259000	1.098000	1015.893982	-0.520625	0.402500	-0.315000
-7.808000	5.429000	1020.835022	-0.157500	0.459375	-0.424375
-10.126000	7.198000	1025.348999	-0.157500	0.393750	-0.415625
-13.420000	2.196000	1017.419006	-0.214375	0.713125	-0.262500
-8.357000	-3.477000	1019.066040	-0.262500	0.621250	-0.415625
-6.588000	-2.074000	1014.307983	-0.227500	0.551250	-0.520625
-8.662000	-3.660000	1012.843994	-0.144375	0.468125	-0.700000
-11.102000	5.917000	1015.223022	-0.398125	0.634375	-0.682500
-14.640000	4.880000	1017.906982	-0.262500	0.695625	-0.520625
-3.660000	3.660000	1018.090027	-0.363125	0.608125	-0.455000
-12.993000	-2.806000	1020.286011	-0.214375	0.568750	-0.380625
-10.675000	3.355000	1014.734985	-0.406875	0.568750	-0.192500
-9.516000	-2.501000	1011.380005	-0.406875	0.507500	-0.240625
-8.662000	1.037000	1012.600037	-0.542500	0.651875	-0.315000
-16.653000	6.649000	1014.307983	-0.218750	0.481250	-0.271250
-9.577000	-0.061000	1015.772034	-0.411250	0.564375	-0.275625
-10.614000	-6.283000	1013.454041	-0.385000	0.398125	-0.406875
-6.405000	6.222000	1020.713013	-0.398125	0.411250	-0.310625
-12.993000	7.320000	1014.369019	-0.332500	0.393750	-0.210000
-3.965000	0.061000	1019.371033	-0.341250	0.463750	-0.245000
-0.183000	5.185000	1014.064026	-0.210000	0.367500	-0.188125
-9.943000	-1.525000	1009.306030	-0.323750	0.415625	-0.332500
-15.921000	5.795000	1016.077026	-0.363125	0.323750	-0.074375
-11.407001	1.098000	1015.528015	-0.284375	0.455000	-0.166250
-8.723001	-3.416000	1013.942017	-0.192500	0.568750	-0.341250
-11.712000	1.403000	1016.931030	-0.345625	0.433125	-0.328125
-5.795000	2.440000	1014.429993	-0.201250	0.481250	-0.192500
-13.359000	-0.366000	1017.296997	-0.157500	0.533750	1.036875
-3.965000	6.405000	1018.212036	-0.450625	0.498750	1.089375
-24.827000	2.074000	1020.103027	-0.043750	0.603750	6.168750
-10.248000	-3.111000	1015.893982	-0.087500	0.573125	1.916250
-8.540000	5.551000	1015.772034	-0.087500	0.634375	-0.179375
-10.614000	0.244000	1022.786987	-0.306250	0.586250	-0.293125
-15.799000	-1.586000	1013.880981	-0.179375	0.406875	-0.288750
-10.553000	-4.636000	1016.320984	-0.218750	0.481250	-0.363125
-4.575000	3.965000	1017.846008	-0.262500	0.511875	-0.319375
-9.394000	4.758000	1014.064026	-0.315000	0.608125	-0.358750
-8.296000	0.976000	1015.772034	-0.420000	0.748125	-0.323750
-7.564000	0.244000	1018.944031	-0.227500	0.586250	-0.350000
-9.760000	5.063000	1013.027039	-0.345625	0.485625	-0.393750
-10.980000	3.782000	1014.429993	-0.275625	0.560000	-0.284375
-5.429000	3.660000	1016.809021	-0.306250	0.441875	-0.402500
-6.344000	2.318000	1011.989990	-0.266875	0.481250	-0.288750
-5.490000	8.113000	1013.210022	-0.297500	0.503125	-0.275625
-14.091001	0.549000	1014.186035	-0.275625	0.433125	-0.245000
-5.551000	-0.854000	1015.283997	-0.170625	0.455000	-0.223125
-7.930000	1.220000	1010.892029	-0.214375	0.595000	-0.323750
-10.858000	1.098000	1015.101013	-0.476875	0.783125	-0.218750
