AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
34.465000	-79.422005	1245.254028	0.883750	-2.226875	-3.088750
27.145000	-5.734000	996.496033	0.883750	-2.226875	0.000000
-29.463001	32.635002	761.523987	12.057500	8.071875	-22.868126
37.271000	86.070999	1064.145020	-10.600625	7.533750	-21.621250
27.145000	4.636000	990.457031	-21.931875	10.797500	-0.910000
-5.856000	12.383000	950.684998	-13.619375	45.053749	20.269375
-36.722000	-3.172000	968.497009	-9.406250	25.746876	33.691875
-49.227001	-19.093000	1019.432007	-2.590000	25.361876	38.718750
-53.924000	7.930000	951.661011	1.316875	20.702499	33.346249
-79.848999	6.100000	986.065002	9.835000	23.506874	29.754375
-96.989998	21.716000	1012.112000	20.895000	21.026251	16.051874
-103.883003	36.722000	1014.429993	28.853125	18.698750	-1.360625
-97.661003	69.723000	959.225037	28.209999	13.186250	-11.563125
-119.987000	30.195000	1014.002991	-8.719375	8.719375	-11.961250
-132.309006	20.679001	1018.882996	-16.406250	2.051875	-9.034375
-125.111000	16.836000	1006.927002	-5.665625	1.045625	-5.184375
-141.641998	39.161999	998.020996	15.780625	-1.946875	-0.013125
-117.425003	51.240002	997.716003	23.213751	-14.507500	-6.006875
-102.601997	55.449001	920.978027	-7.634375	-25.733749	-12.805625
-92.537003	41.723999	1023.763000	-6.881875	-26.705000	-16.327499
-67.161003	40.504002	1029.863037	9.104375	-19.648125	-15.264375
-50.874001	27.877001	1067.805054	-8.115625	-0.476875	-5.556250
-62.403000	36.539001	1026.447021	-1.850625	13.553750	1.890000
-89.731003	60.817001	983.869019	9.760625	18.160625	-0.616875
-124.195999	48.494999	1008.147034	0.376250	20.103125	-5.223750
-113.764999	49.105000	1008.635010	7.205625	20.558125	-5.232500
-145.180008	-47.214001	1000.949036	2.380000	18.453751	-4.335625
-125.111000	161.100998	996.984009	2.008125	16.743126	2.296875
-181.231003	112.606003	929.091003	-4.270000	15.203125	-12.341875
-195.566010	27.145000	998.509033	2.454375	6.545000	-8.006250
-140.117004	52.154999	1024.006958	5.442500	-6.527500	-6.724375
-153.048996	50.630001	984.113037	2.865625	-18.567499	-9.095625
-79.422005	59.475002	983.807983	-5.477500	-26.245625	-4.746875
-241.132996	95.831001	999.668030	-21.796249	-24.154375	8.443750
7.442000	60.389999	1056.214966	-32.768749	-17.933125	6.588750
-120.963005	6.344000	1046.333008	7.341250	-47.928123	-29.671249
-85.583000	21.960001	1249.036011	-17.570000	52.688126	5.066250
-140.727005	-21.899000	1117.214966	-28.971251	51.913750	-2.970625
-135.237000	-18.117001	1043.405029	-31.062500	15.688750	-9.410625
