AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-65.636002	-119.011002	992.958008	0.883750	-2.235625	-3.088750
-98.576004	-64.843002	961.238037	0.883750	-2.235625	0.000000
-52.582001	-79.422005	1006.255981	1.846250	-32.436249	-4.344375
-0.061000	-65.879997	1011.562988	10.198125	-73.849998	-20.689375
107.116005	-51.362000	1021.445007	-3.465000	-94.771248	-34.536251
122.244003	-63.623001	1007.598022	-6.960625	-53.926250	-31.543751
86.986000	-29.097000	1053.348022	-0.525000	50.999374	-0.490000
12.322001	-115.045998	1615.828979	10.858750	88.847504	12.092500
-43.249001	-65.879997	1186.389038	5.814375	-11.230625	-8.461250
-1.586000	-48.678001	1066.828979	-42.966873	-73.919998	-28.367500
-7.991000	-41.053001	1006.622009	9.121875	-70.253754	-26.411875
44.103001	-122.854004	1712.331055	-61.105625	-44.134998	-1.220625
143.044998	-186.050003	868.335022	-83.886253	-7.446250	55.873123
97.478004	-159.453995	1152.350952	87.211250	32.418751	66.403748
-29.889999	-141.641998	1998.604004	132.562500	7.739375	30.703751
60.389999	0.671000	505.628998	-69.982498	19.971874	-33.442501
170.068008	-2.318000	1998.604004	70.494377	29.754375	-60.549999
44.164001	-3.538000	1187.853027	77.520622	7.660625	-64.981873
-56.181000	-50.751999	1017.480042	-49.533749	-13.763750	-65.253128
263.214996	-204.837997	-269.010010	-60.200001	-28.896875	-42.455002
50.691002	-119.376999	1077.504028	16.021250	-63.831249	-32.803749
104.005005	-264.557007	969.900024	2.839375	2.773750	-83.238747
26.230000	107.725998	982.954041	-6.654375	101.031876	-25.926250
-203.191010	-274.561005	1013.210022	3.298750	34.439999	31.184999
28.792000	-19.093000	997.106018	12.801250	9.870000	26.162500
63.500999	74.419998	1276.425049	13.492500	-13.706875	25.628750
292.373016	-37.453999	1262.700073	44.708126	-122.298752	73.963753
342.759003	60.207001	1289.052002	50.544376	-126.271248	65.852501
298.899994	-29.463001	826.062012	26.950001	-58.174374	37.979374
567.239014	88.511002	1111.968994	61.766251	98.170624	32.506248
188.917007	208.132004	959.286011	42.105000	75.709373	-11.112500
290.665009	133.772995	634.156006	-1.058750	50.426250	-4.567500
143.167007	158.904999	970.997986	-11.532500	49.096249	0.315000
114.070000	281.332001	762.317017	-2.996875	50.448124	-10.132500
-5.795000	228.079010	920.794983	-18.514999	-28.350000	10.342500
-13.786000	95.221001	758.473999	-62.737499	29.736876	21.542500
-91.256004	5.673000	1008.940002	-55.496876	7.332500	23.161249
-163.541000	-101.992004	1052.250000	-61.556252	10.268125	-16.476250
134.992996	-83.875000	883.768005	-8.063125	-55.448750	-47.328751
-58.499001	-246.013000	1062.802979	61.363750	-41.308750	-37.366875
19.153999	-263.398010	1026.203003	33.678749	4.646250	-36.049999
114.375000	-248.880005	914.755981	-13.260625	22.316875	-37.445625
-110.959000	-215.818008	1042.795044	-3.670625	29.820000	-22.255625
14.762000	-270.291016	967.398987	4.935000	43.719376	-32.685623
40.015999	-117.913002	1023.031006	12.608750	44.830624	-20.426874
69.052002	-135.785995	864.858032	-23.450001	-16.270624	10.399375
-25.498001	-108.580002	1020.530029	-6.676250	-31.648750	19.582500
36.844002	-83.752998	1121.363037	27.190624	-14.529375	24.259375
-53.924000	-66.612000	1231.223999	30.834999	31.316250	11.186875
-103.090004	13.725000	1128.317017	31.626875	23.673124	2.918125
-114.497002	20.191000	1125.816040	34.658749	9.331875	-10.478125
-76.311005	48.068001	1126.060059	17.338125	-41.991249	-23.511250
139.934006	50.264000	909.143982	18.129999	-27.737499	-9.480625
133.895004	27.694000	934.580994	11.410000	-40.538750	1.404375
112.301003	54.046001	904.996033	-22.671249	-1.470000	-4.309375
6.039000	46.909000	998.936035	-16.716875	10.793125	7.555625
96.868004	31.842001	998.082031	-21.883751	-41.750626	2.992500
70.089005	50.202999	898.103027	-17.718750	-34.383125	5.346250
97.478004	-15.616000	1056.458984	-13.925625	24.906876	12.656875
16.469999	-53.253002	1103.124023	-16.257500	63.813751	1.583750
-27.816000	22.448000	1124.046997	8.286250	23.292500	-8.347500
38.368999	6.100000	1033.645020	23.366875	-7.748125	-6.807500
-105.652000	41.785000	1084.763062	8.916250	0.153125	0.288750
91.256004	-2.806000	946.842041	-2.222500	4.221875	23.725624
-83.692001	7.930000	1103.489990	4.589375	15.815625	-6.321875
46.055000	53.558002	1150.703979	1.601250	-1.120000	-18.011875
18.361000	94.367004	1048.895020	4.095000	-24.605000	0.984375
104.859001	57.157001	943.242981	4.593750	-10.491250	4.567500
188.307007	36.783001	1105.015015	-15.531250	6.085625	-16.441250
23.607000	41.418999	1048.041016	-21.144375	13.479375	-4.760000
-12.993000	31.415001	972.096008	-18.650625	1.163750	-3.753750
97.234001	58.072002	1134.416992	-17.285625	-17.819374	-10.648750
