AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
133.589996	-77.530998	1035.353027	0.883750	-2.226875	-3.088750
27.450001	-41.785000	977.647034	0.883750	-2.226875	0.000000
-35.868000	-16.348000	966.423035	7.096250	28.844376	57.391251
-2.806000	25.498001	1013.088013	34.803123	16.751875	62.028751
-83.447998	-6.588000	1046.515991	-0.070000	-5.446875	41.352501
-43.737000	91.072998	975.085022	-5.442500	-30.279375	25.112499
11.895000	52.033001	987.468018	33.958752	-80.893753	3.583125
74.847000	102.601997	1364.692017	-0.175000	18.134375	-28.857500
50.935001	50.874001	972.950012	-6.041875	10.325000	-36.395626
58.132999	47.702000	1032.364014	-3.272500	-5.993750	-37.939999
50.935001	-13.664001	1025.104980	-7.214375	2.423750	-30.126249
27.877001	55.570999	976.000000	-1.820000	-2.139375	-25.672501
20.434999	22.204000	1040.477051	-1.509375	-5.005000	-22.758751
22.936001	-11.102000	994.056030	-3.014375	-1.942500	-15.596875
56.669003	69.723000	993.690002	-1.785000	-1.566250	-16.205000
48.983002	90.097000	1000.705017	-1.933750	-0.424375	-17.955000
44.164001	31.232000	1017.053040	-0.035000	-1.203125	-3.403750
25.375999	-43.675999	964.715027	1.872500	0.420000	13.111875
53.192001	74.907997	995.276001	1.347500	2.200625	21.380625
87.901001	57.827999	1040.660034	1.828750	2.375625	31.902500
45.811001	22.448000	1036.511963	0.424375	0.835625	15.780625
21.533001	172.874008	1175.469971	-6.641250	4.681250	7.590625
34.526001	61.366001	1285.758057	-59.644375	18.383751	71.973122
112.849998	-35.868000	933.726990	-4.528125	6.116250	70.629997
29.707001	174.033005	948.549988	34.785625	-1.618750	54.503750
-44.957001	-34.587002	984.845032	20.881874	37.651249	25.191250
71.918999	53.741001	1009.733032	-44.117500	2.314375	-17.093124
112.056999	-88.328003	968.497009	-56.035000	3.342500	-29.693125
-101.565002	-116.327003	1478.274048	-9.310000	27.667500	6.247500
145.423996	-277.733002	1216.828003	-4.095000	103.630623	24.430000
-193.003998	-20.801001	900.177002	18.414375	48.055000	22.588125
-132.003998	100.772003	836.065979	29.938126	-35.419998	3.399375
-301.705994	108.519005	1055.056030	18.703125	-82.779373	-29.793751
-16.775000	-52.399002	971.424988	-0.266875	58.222500	-27.842501
-180.011002	107.787003	1241.289062	-3.386250	18.458124	-17.110624
57.706001	9.028000	920.856018	-12.884375	-14.914375	-94.889374
-709.613037	87.840004	1196.453979	4.515000	-42.341251	-38.136875
-110.715004	-13.359000	651.236023	-0.533750	44.900623	-8.710625
-182.572998	-71.918999	945.622009	-13.680625	2.266250	0.695625
21.899000	-63.500999	942.572021	-6.566875	-47.810001	-0.503125
-49.715000	-73.261002	1228.967041	-1.295000	-60.698750	0.306250
433.893005	-302.498993	1998.604004	-14.914375	-21.840000	-19.547501
179.766998	116.144005	848.815002	11.353125	-8.238125	13.846875
-61.792999	-135.542007	917.135010	7.210000	-24.158751	14.490000
-121.939003	116.327003	855.647034	-15.225000	-18.156250	-10.093125
158.844009	-75.457001	1126.364990	-4.580625	-30.572500	9.502500
228.567001	60.268002	1088.789062	-18.475624	-39.401249	22.023750
248.209000	-39.101002	914.877991	-19.809999	-21.490000	41.221249
392.046997	-159.880997	1098.000000	-12.136250	-0.831250	62.164375
68.747002	-3.904000	1061.765991	-32.357498	44.021252	52.779999
134.626999	-73.749001	934.764038	-19.897499	34.221249	52.097500
17.141001	-116.327003	990.579041	12.118750	33.560623	64.688751
62.220001	-101.138000	891.027039	26.547501	34.426876	50.675625
18.483000	-141.093002	985.515991	11.011875	18.274376	28.367500
14.823000	-43.310001	1046.394043	80.600624	-13.536250	61.468750
176.839005	-69.723000	911.523010	38.508751	-33.376877	38.171875
24.034000	-47.031002	1289.479004	35.818127	-61.031250	21.039375
158.112000	-34.770000	968.497009	66.364372	42.595001	65.756248
80.520004	-72.406998	946.536987	24.972500	43.636250	28.796249
-13.420000	127.489998	1016.687012	10.963750	11.029375	-17.268126
39.345001	65.514000	1094.828003	23.764999	40.827499	6.995625
-28.121000	89.853004	847.656006	10.714375	56.752499	4.550000
-89.792000	121.877998	1033.828003	-10.237500	12.197500	9.883125
-27.999001	100.162003	938.057983	3.876250	-5.280625	10.508750
-14.884000	226.432007	1045.052002	0.389375	-3.036250	3.587500
-11.407001	149.328003	958.859009	-2.021250	-1.820000	12.582500
-77.714005	-2.135000	1040.598999	-10.718750	3.666250	16.594376
-25.559000	95.343002	1007.231995	-8.168125	6.833750	-2.870000
-9.394000	45.139999	952.270996	26.893126	-5.355000	-12.582500
-22.570000	74.664001	1013.575989	26.831875	-12.595625	-18.611250
30.561001	50.935001	1026.508057	7.498750	-6.466250	-26.626249
16.714001	60.207001	918.294006	-21.936251	-22.098125	-16.922501
-16.592001	18.483000	951.843994	-43.461250	-33.779373	-27.155624
-7.137000	41.418999	1007.109985	-27.868750	28.603750	-18.606874
-66.794998	86.375999	1160.098022	-13.610625	49.805000	-23.515625
-23.302000	69.784004	1140.089966	4.068750	70.463753	-15.710625
-108.763000	105.347000	1123.131958	12.289375	30.834999	-17.478125
