AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-4.514000	-20.313000	1020.103027	-4.690000	-2.384375	-4.563125
2.013000	-2.318000	1016.138000	4.471250	-4.471250	-5.665625
17.446001	6.161000	1011.624023	4.746875	-5.683125	-4.287500
22.875000	3.172000	1015.345032	-4.348750	-1.015000	0.573125
22.448000	-7.015000	1020.103027	-6.514375	3.670625	4.602500
8.052000	-15.067000	1018.455994	0.043750	10.316250	8.802500
-4.819000	-7.015000	1015.650024	1.583750	9.511250	8.378125
6.100000	-3.477000	1011.502014	-2.393125	2.655625	4.917500
4.148000	-6.588000	1018.517029	-2.025625	3.311875	5.831875
-2.379000	-10.492001	1017.358032	1.343125	4.838750	6.247500
-12.139000	-10.126000	1011.929016	-0.586250	0.148750	0.266875
-0.244000	-9.028000	1015.345032	0.026250	1.653750	-1.281875
3.477000	-0.915000	1010.038025	0.056875	5.293750	-0.774375
-14.030000	0.366000	1014.369019	-1.128750	4.221875	-1.610000
-14.762000	-7.137000	1015.893982	-1.001875	-0.739375	-4.160625
-12.932000	-12.078000	1021.811035	0.525000	-0.131250	-3.228750
-9.943000	-4.209000	1015.223022	0.345625	2.183125	-0.962500
-10.980000	-2.806000	1017.601990	-1.111250	4.309375	1.592500
-16.531000	-4.758000	1014.674011	-0.923125	6.855625	5.083750
-14.579000	-13.542000	1017.053040	1.474375	-5.197500	0.231875
-11.407001	-1.708000	1015.406006	2.161250	-1.872500	1.019375
-12.200000	-2.806000	1016.869995	-0.752500	2.655625	0.883750
-11.224000	-3.172000	1010.708984	-2.603125	3.045000	-1.452500
-15.006001	-8.418000	1013.637024	0.997500	3.150000	-2.616250
-26.413000	-3.965000	1016.809021	1.981875	-4.939375	-7.533750
-1.647000	0.793000	1013.697998	0.380625	-12.460000	-11.130000
2.379000	-6.405000	1004.609009	4.042500	1.338750	-5.381250
-3.233000	3.477000	1013.393005	0.468125	16.515625	0.595000
-46.177002	-14.396000	1008.879028	-2.830625	13.405000	0.945000
-41.418999	-0.488000	1017.174988	5.661250	-5.005000	1.706250
-13.664001	1.220000	1015.040039	3.167500	-10.893750	2.078125
-19.153999	-3.965000	1015.406006	-3.605000	-7.669375	2.191875
-19.032000	9.394000	1015.528015	-2.905000	-1.955625	1.618750
-22.448000	0.061000	1016.504028	2.091250	1.973125	0.205625
-23.424000	0.488000	1014.552002	2.305625	3.049375	-1.894375
-12.322001	11.712000	1043.343994	-1.229375	4.038125	-2.935625
-30.378000	9.760000	1016.687012	-3.696875	4.086250	-3.058125
-34.952999	-2.440000	1018.882996	2.174375	2.782500	-1.500625
-29.951000	3.965000	1011.684998	3.381875	2.782500	-1.041250
-12.078000	16.958000	1005.585022	2.423750	1.308125	-1.960000
-29.524000	11.712000	1015.893982	-0.546875	-1.001875	-2.813125
36.904999	145.606995	998.936035	4.178125	-6.623750	-30.940001
-34.952999	-158.660995	1002.413025	-10.390625	6.396250	-31.084375
-36.844002	51.789001	1066.890015	69.264999	8.286250	-59.005627
