AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
183.000000	-58.376999	936.777039	0.883750	-2.235625	-3.088750
186.598999	-35.563000	983.564026	0.883750	-2.235625	0.000000
203.251999	-36.600002	1001.254028	-0.188125	-15.837500	-26.254375
228.079010	-29.097000	979.843018	-5.293750	-33.171249	-32.733749
227.895996	-25.559000	973.377014	-9.187500	-19.923750	-14.100625
230.518997	-90.889999	960.932983	-7.000000	-8.605625	10.688125
243.512009	-41.418999	996.557007	10.123750	24.885000	28.131250
243.938995	-47.458000	973.682007	-5.394375	35.581875	9.550625
196.664001	-40.809002	991.005981	-0.971250	17.968124	-5.210625
161.650009	-33.977001	1001.376038	-0.682500	3.784375	-12.516875
180.621002	-36.966000	1000.522034	-0.293125	-4.081875	-11.816875
276.147003	-362.096008	919.880005	-22.876875	-3.010000	-8.876875
205.753006	-384.726990	914.512024	-32.208752	13.138125	20.636875
148.656998	109.556000	789.462036	71.172501	33.569374	43.439377
188.429001	267.240997	381.554993	92.548752	72.471878	22.163750
8.845000	-35.685001	379.175995	-29.356251	49.520626	-3.377500
157.136002	11.651000	1001.864014	-51.673126	-36.421875	-10.723125
183.365997	-100.894005	595.359985	-14.840000	-14.971250	4.029375
242.779999	-198.128006	993.080017	0.599375	56.017502	-45.351250
28.853001	170.800003	950.562988	14.004375	72.253128	-74.654999
82.899002	-81.496002	1015.467041	35.630001	126.056877	-51.983749
-71.125999	55.265999	1162.354980	20.545000	39.466873	-75.473122
-366.000000	197.578995	893.223022	30.550625	-6.453125	-71.767502
-39.406002	65.819000	991.067017	-1.277500	-17.355625	-19.670000
147.376007	69.845001	910.729980	-32.847500	-59.946251	-2.205000
24.034000	79.605003	1279.170044	-7.498750	-89.070625	-0.686875
125.538002	113.459999	1037.182983	28.424376	34.256248	-25.869375
-69.112999	77.470001	945.866028	-8.933750	35.021873	-11.300625
-25.498001	90.279999	1536.833984	8.960000	77.450623	-2.576875
23.241001	237.716995	1141.005005	-0.778750	8.286250	9.821875
17.019001	29.829000	1060.911987	-28.280001	-95.160622	33.416248
10.675000	32.146999	1185.352051	-21.883751	-41.369999	33.363750
206.240997	58.804001	1172.847046	-8.929375	13.181875	19.976250
80.641998	95.343002	1038.890991	-1.356250	4.799375	18.016251
231.921997	187.514008	1046.577026	56.244999	-50.811249	20.610624
283.772003	154.695999	534.726013	-30.808750	38.136875	-3.631250
250.466003	153.598007	959.346985	13.300000	3.263750	5.818750
106.017998	195.932007	758.108032	5.827500	10.972500	22.850624
80.093002	144.020996	801.418030	5.508125	9.165625	25.173750
-59.414001	58.011002	932.140991	7.275625	39.134377	26.862499
-97.294998	92.170998	709.369019	7.065625	-42.192501	6.571250
-23.180000	71.065002	1046.638062	29.859375	-59.863125	-14.048125
-91.439003	5.002000	966.239990	6.934375	3.906875	4.440625
-177.205002	-12.688000	1012.721985	-16.314375	14.122500	-4.803750
-89.364998	-115.960999	1147.287964	-10.880625	-44.572498	-6.860000
51.605999	-109.128998	1105.747070	-26.245625	20.724375	-46.506248
-71.980003	-129.686005	1061.583008	-15.242500	38.023125	-39.318127
-68.259003	-215.268997	1094.096069	16.747499	-4.886875	-33.451248
-86.986000	-104.493004	1251.171021	-0.249375	-25.698750	-20.326250
-32.390999	-113.764999	1013.942017	-40.954376	13.352500	-24.202499
4.697000	-205.692001	952.575989	-34.829376	-3.386250	-21.568750
58.621002	-82.594002	1030.167969	-20.151251	-28.437500	-13.580000
99.125000	-90.219002	982.710022	-7.284375	-37.992500	-6.335000
159.942001	-103.151001	1120.447998	14.980000	-16.034374	0.166250
161.283997	-64.903999	922.015015	0.533750	-10.784375	2.441250
135.725006	23.180000	1049.870972	3.058125	21.476875	-1.334375
121.267998	-24.888000	1072.197021	-11.816875	-14.730625	6.370000
130.723007	-32.025002	1075.613037	-5.328750	10.425625	17.246250
39.650002	-6.832000	1045.661987	-8.382500	34.321877	31.272499
51.118000	-33.244999	981.489990	-3.333750	4.440625	49.074375
66.978004	-44.591000	1019.859009	7.345625	9.957500	51.695000
205.692001	-42.456001	1127.645996	3.355625	-9.878750	43.986252
209.779007	-23.851000	1012.783020	4.746875	-5.950000	28.826876
174.094009	21.594000	1039.744995	-0.966875	-9.725625	6.510000
108.702003	16.409000	1023.092041	-15.426250	25.278749	18.090626
99.979004	-39.101002	1008.085999	-3.740625	43.351875	29.347500
80.641998	-26.108000	1034.560059	9.550625	65.804375	33.529999
36.478001	-9.516000	1023.763000	8.898750	52.469376	27.278126
-18.726999	1.708000	1026.264038	-5.613125	62.470627	12.573750
-103.028999	27.023001	970.083008	-8.356250	19.403126	-2.786875
-58.560001	-74.359001	928.725037	-28.848749	-15.225000	-22.990625
7.991000	-34.221001	981.184998	-25.191250	-11.926250	-14.087500
-64.111000	-62.037003	963.921997	-9.008125	13.234375	1.561875
-40.260002	-94.672005	1030.229004	7.813750	-21.555626	-9.848125
-27.205999	-111.630005	994.544006	8.120000	6.523125	0.883750
-116.693001	-69.905998	996.739990	13.930000	-2.170000	-12.547500
-82.654999	-49.471001	1028.216064	18.357500	-22.076250	-30.091249
-23.668001	-61.549000	990.945007	17.841249	-25.663750	-44.953125
123.037003	-63.806000	1160.829956	9.301250	-18.808125	-36.452499
95.343002	-43.859001	1029.497070	1.640625	0.564375	-13.488125
84.119003	-25.193001	996.496033	1.920625	22.548750	7.713125
31.415001	-42.821999	946.963989	3.123750	42.017502	22.977501
-60.878002	-15.433001	1008.513000	1.955625	21.673750	15.299375
-108.335999	-34.526001	976.609985	-0.485625	-36.356251	6.361250
-75.762001	-35.990002	1082.261963	9.174375	-48.505627	6.286875
-19.032000	-37.088001	1027.057007	11.418750	-6.785625	-2.275000
-47.153000	-73.321999	984.479004	3.351250	15.159375	-13.759375
-12.749001	-23.607000	930.067017	0.866250	-4.445000	-25.112499
-37.881001	-39.894001	975.877991	0.210000	-24.819374	-30.463125
7.930000	-26.474001	964.348999	-4.086250	-22.448126	-33.044376
-11.834001	-6.527000	964.531982	1.868125	-27.492500	-41.334999
35.990002	-21.472000	1046.454956	20.496876	-20.444374	-51.458752
47.275002	22.570000	1153.265991	-8.102500	-48.912498	-11.130000
295.850006	-225.822006	137.067001	-26.928125	-107.795624	4.830000
99.247002	-4.819000	1032.729980	-34.864376	-33.166874	12.796875
199.897003	-72.773003	929.700989	-32.703125	-1.465625	7.332500
196.419998	-61.732002	1069.573975	-21.503124	17.696875	0.735000
247.843002	-153.110001	981.673035	-19.530001	38.823750	13.177500
171.044006	-154.208008	1090.557983	-17.955000	52.136875	39.488750
-4.636000	-67.649002	1035.963013	-19.158125	5.285000	27.015625
71.858002	-85.643997	1000.156006	-7.590625	17.871876	7.061250
122.244003	-150.975006	974.231018	-2.016875	21.336876	12.446875
259.981995	-154.818008	760.731018	20.860001	44.476250	27.120625
-202.459000	-76.127998	1061.094971	12.149375	35.621250	19.661249
-33.062000	-67.282997	894.565002	11.230625	35.783127	-14.021875
-35.746002	-151.707001	587.369019	20.798750	38.670624	-35.376251
-27.755001	14.884000	942.450012	24.863125	-4.186875	-31.968124
138.835999	8.479000	1034.560059	19.083750	-21.245001	-9.305625
180.011002	17.507000	1022.421021	6.348125	14.717500	9.537500
-128.587997	48.190002	952.880981	6.011250	-23.524376	-3.600625
112.789001	66.063004	1011.867981	8.168125	-34.553749	-13.855625
15.982000	76.737999	1008.757019	8.820000	-0.113750	-13.313125
44.529999	37.271000	976.000000	22.889999	-0.888125	-19.486250
-16.836000	55.449001	1052.005981	31.998751	-4.414375	-35.879375
77.348000	63.379002	1045.479004	19.053125	12.285000	-32.313751
-14.884000	-15.738000	1030.534058	14.765625	8.933750	-29.330000
33.549999	-28.365000	1094.218018	13.890625	-6.899375	-33.210625
12.688000	-43.675999	1064.083984	9.305625	7.035000	-29.216249
-43.980999	-24.705000	937.814026	17.399376	2.511250	-42.774376
34.403999	8.662000	1042.612061	5.560625	-3.920000	-32.418751
23.485001	-19.764000	1002.351990	5.748750	6.107500	-19.363750
4.636000	-9.272000	1034.316040	2.493750	21.043751	-10.723125
3.416000	28.121000	1041.818970	9.261875	8.194375	-11.011875
34.526001	71.125999	1042.734009	-0.350000	10.823750	-0.052500
-45.262001	67.587997	976.244019	-7.962500	16.611876	9.126250
-65.879997	92.903000	986.065002	-6.846875	7.240625	11.738125
-54.778000	90.402000	997.716003	-10.644375	2.870000	16.690624
-42.212002	62.159000	1013.332031	-0.214375	0.087500	9.760625
-25.010000	73.688004	1018.028992	4.554375	-2.200625	1.487500
-1.281000	36.904999	1045.174072	7.433125	-5.171250	-8.365000
11.590000	78.873001	991.311035	-7.284375	-7.595000	-2.546250
16.775000	51.910999	1037.122070	-10.963750	-3.898125	6.536250
-16.469999	53.313999	987.223999	-13.597500	16.979376	17.198126
-74.724998	23.912001	968.436035	-8.658125	17.198126	17.360001
-65.209000	10.370000	1017.236023	-5.018125	9.025625	15.421875
-79.422005	21.106001	985.882019	-10.053750	12.005000	14.590625
-103.395004	19.642000	975.572998	-6.531875	3.644375	8.001875
-78.507004	7.015000	1019.676025	-9.038750	-4.628750	1.938125
-116.083000	44.713001	976.793030	-7.433125	-9.699375	-4.130000
-76.311005	45.201000	997.655029	6.776875	-1.763125	-5.140625
-47.945999	53.131001	1033.156982	8.544375	-10.508750	-6.960625
-21.837999	58.255001	1027.728027	3.653125	-3.377500	-3.333750
-17.507000	45.139999	950.014038	-6.448750	6.724375	3.368750
-48.434002	7.991000	943.121033	-10.320625	1.732500	10.745000
-38.247002	11.285000	983.137024	-1.190000	4.939375	10.893750
-102.601997	49.959000	954.040039	5.626250	5.696250	14.616875
-71.858002	12.749001	989.237000	8.968750	-1.894375	10.670625
-37.027000	35.806999	1015.772034	6.899375	-26.521250	7.271250
0.610000	64.660004	1055.848999	7.301875	-27.934376	2.371250
-6.405000	111.751999	1059.997070	11.615625	-44.747501	-1.942500
60.938999	108.335999	1009.184021	9.314375	-35.240623	-0.612500
74.419998	73.931999	1052.494019	5.936875	-19.403126	-4.405625
115.778000	87.230003	1039.500977	7.183750	-18.694374	-6.168750
138.897003	52.338001	1020.286011	8.855000	-7.450625	-4.501875
163.175003	104.981003	1042.916992	5.853750	22.618750	-3.263750
91.195000	107.237999	965.752014	6.702500	14.288750	-2.909375
158.050995	139.811996	1051.945068	10.526250	8.890000	-6.702500
90.829002	157.380005	1060.607056	4.226250	17.613750	-10.031875
137.738007	185.928009	1079.089966	4.786250	-13.457500	-16.078125
110.471001	154.574005	1126.426025	1.859375	8.688750	-10.215625
93.330002	58.072002	987.712036	2.791250	-8.185625	-8.960000
65.696999	30.439001	959.103027	-4.165000	-33.691875	-6.663125
154.208008	112.544998	937.387024	-3.565625	-35.940624	-6.864375
159.149002	85.339005	986.674988	-5.149375	-9.336250	-2.747500
143.227997	40.504002	987.955994	-14.301875	22.238125	3.500000
104.493004	32.025002	938.302002	-10.504375	11.720625	3.058125
140.848999	22.387001	967.338013	-0.056875	5.709375	0.161875
86.498001	96.501999	1006.439026	-0.603750	5.862500	-9.638125
91.195000	82.106003	1043.282959	-5.127500	6.553750	-12.573750
