AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-73.383003	-56.791000	973.377014	0.883750	-2.222500	-3.093125
-31.964001	-40.869999	977.525024	0.883750	-2.222500	0.000000
-41.907001	-33.367001	981.307007	-9.419375	22.251249	-7.997500
-51.056999	-27.145000	982.832031	7.494375	19.289375	-26.276251
-164.089996	-15.006001	1147.471069	10.298750	-1.395625	-20.846874
-54.411999	-41.785000	1044.869019	3.885000	-33.075001	-18.322500
19.032000	8.113000	1039.073975	-1.290625	-36.588123	4.541250
-18.239000	-128.343994	1033.523071	-15.763125	-13.300000	-4.116875
-55.815002	-123.647003	1038.159058	-8.588125	-6.798750	-12.136250
-57.584000	-108.823997	1039.683960	-8.640625	-17.246250	-12.333125
52.459999	-105.957001	976.854004	-9.489375	-28.949375	-13.160000
63.684002	-119.438004	992.592041	-1.128750	-15.181250	-15.036875
51.910999	-133.223999	991.616028	-8.728125	-4.606875	-22.859375
112.972000	-104.676003	956.358032	-3.141250	1.990625	-29.238125
149.876999	-85.095001	1021.200989	7.520625	7.078750	-25.948126
109.373001	-113.947998	952.148987	10.145625	16.432501	-15.675625
72.773003	-80.459000	1036.451050	21.411249	28.511875	4.716250
-12.383000	-117.668999	1009.489014	-48.238750	28.555626	14.787500
10.187000	-140.361008	943.059998	-17.745001	0.936250	5.578125
5.002000	-74.969002	1001.742004	-7.214375	15.706250	1.806875
-2.379000	-98.514999	998.325989	2.463125	25.900000	0.205625
-50.020000	-69.174004	1034.743042	-1.456875	27.273750	1.395625
-40.687000	-67.344002	1011.319031	-5.219375	14.000000	3.473750
-51.545002	-105.469002	984.234985	1.933750	16.550625	3.438750
-83.326004	-113.277000	1017.236023	-1.330000	23.415001	9.401875
-60.329002	-149.876999	1011.684998	-9.664375	19.149376	12.473125
-88.571999	-174.764999	969.717041	-8.898750	-6.037500	8.268750
-51.667000	-159.820007	1002.351990	3.276875	-23.191875	3.246250
-66.612000	-142.069000	1012.051025	1.833125	-19.844999	4.882500
-64.781998	-140.421997	984.967041	-0.980000	-6.510000	5.678750
-77.592003	-119.376999	1022.665039	6.020000	4.974375	0.914375
-89.487000	-117.058998	1018.822021	5.508125	3.841250	2.948750
-87.351997	-141.093002	1049.199951	-0.756875	-2.292500	3.255000
-98.149002	-106.322998	1029.802002	0.730625	-8.290625	0.463750
-66.489998	-122.854004	1012.234009	-5.446875	-8.351875	7.621250
-68.014999	-112.544998	1005.585022	15.855000	-17.005625	2.961875
-0.793000	-101.748001	997.166992	13.584375	-16.021250	6.339375
-17.934000	-124.257004	997.106018	9.104375	-1.557500	3.163125
-43.371002	-89.487000	1023.824036	7.000000	9.353750	-0.328125
-44.529999	-66.429001	1010.892029	6.702500	6.584375	2.257500
-64.293999	-54.411999	988.017029	5.433750	-4.580625	-7.196875
-30.073000	-63.500999	1009.733032	8.588125	-3.386250	-6.304375
-14.396000	-60.573002	1030.229004	3.364375	0.630000	7.004375
-46.604000	-127.734001	998.447998	6.951875	-4.764375	10.793125
-37.027000	-75.579002	1034.743042	-6.903750	7.218750	2.016875
-14.457000	-64.293999	986.492004	0.297500	-11.414375	0.988750
-15.372000	-53.680000	1023.640991	-4.073125	-1.141875	1.456875
-25.802999	-53.436001	1015.345032	-10.941875	7.223125	4.322500
-40.992001	-74.724998	990.700989	-5.250000	-2.393125	1.242500
-47.275002	-82.167000	1010.708984	-8.465625	8.728125	0.962500
-40.199001	-86.742004	986.919006	-5.429375	4.891250	-1.225000
-34.098999	-94.488998	1037.671021	-5.381250	-0.966875	-1.588125
-33.062000	-89.974998	992.226013	-9.992500	-3.801875	-2.113125
-21.837999	-111.813004	1008.574036	0.538125	-7.402500	-6.391875
-26.596001	-87.413002	1024.556030	3.399375	19.162500	-3.189375
-57.218002	-108.092003	998.387024	5.053125	12.757500	-3.740625
-61.854000	-94.306000	996.739990	0.048125	14.332500	-1.058750
-90.767998	-109.068001	1010.526001	-2.616250	14.748125	-0.253750
-71.553001	-89.121002	1006.377991	-7.398125	18.672501	0.586250
-84.912003	-109.861000	986.004028	1.273125	4.615625	2.244375
-83.447998	-84.362999	1022.665039	3.705625	3.570000	1.872500
-102.113998	-84.545998	1010.098999	-2.401875	5.573750	-0.918750
-93.757004	-90.036003	990.395996	0.577500	1.653750	-0.105000
-102.663002	-93.208000	995.642029	0.253750	-13.308750	1.636250
-86.620003	-93.695999	1006.134033	-1.303750	-8.347500	1.596875
-79.238998	-92.842003	1005.890015	0.350000	-7.008750	1.636250
-75.701004	-91.987999	1021.140015	0.135625	-6.895000	1.181250
-66.551003	-98.637001	1008.879028	-3.088750	-2.511250	3.683750
-68.685997	-121.695000	998.387024	-4.886875	-0.393750	2.401875
-59.963001	-100.589005	1025.044067	-6.759375	5.888750	0.511875
-74.054001	-123.037003	1010.281982	-11.379375	13.575625	2.003750
-94.550003	-106.750000	980.757996	-6.518750	6.195000	2.200625
-79.117004	-101.931000	1001.497986	-1.526875	-2.988125	0.455000
-95.403999	-106.627998	1006.439026	-5.486250	-3.386250	4.851875
-88.145004	-127.001999	1001.315002	-6.846875	-0.245000	0.791875
-72.711998	-122.915001	1009.489014	-2.874375	-6.768125	-2.572500
-52.764999	-141.154007	997.777039	-4.248125	-6.943125	-1.041250
-57.584000	-136.335007	1005.218994	-1.496250	-4.523750	-1.557500
-64.965004	-139.080002	1015.588989	-0.166250	-3.158750	-1.369375
-87.047005	-143.350006	995.153992	3.233125	-0.511875	-3.635625
-59.048000	-122.427002	987.528992	4.878125	6.251875	-4.239375
-73.078003	-118.766998	998.447998	9.638125	6.278125	-2.489375
-76.432999	-127.246002	988.505005	4.913125	0.507500	1.824375
-73.016998	-111.141998	1011.929016	1.811250	-3.202500	1.229375
-47.458000	-120.474998	1013.332031	1.452500	-8.194375	-1.146250
-45.628002	-101.443001	1029.313965	-0.590625	-0.756875	-0.835625
-46.604000	-114.009003	1015.955017	1.115625	-3.045000	-0.188125
-46.360001	-102.846001	1008.879028	0.297500	-3.521875	1.321250
-67.892998	-112.056999	1001.437012	-0.030625	2.336250	1.299375
-44.225002	-94.550003	1034.803955	1.907500	2.646875	0.280000
-49.043999	-98.697998	1022.054993	0.791875	-1.001875	1.531250
-49.532001	-93.757004	1009.916016	-0.783125	0.691250	-0.577500
-56.547001	-93.940002	1005.402039	-0.721875	-1.719375	-0.017500
-67.649002	-106.872002	997.655029	-0.975625	-2.257500	-0.931875
-50.996002	-88.876999	1016.077026	-2.686250	1.452500	-2.275000
-48.129002	-105.164001	1012.966003	-3.412500	-4.121250	-2.043125
-43.980999	-109.068001	997.471985	-4.252500	-2.485000	-1.557500
-46.237999	-109.922005	1019.371033	-4.007500	4.970000	-1.220625
-45.506001	-110.653999	1012.661011	-1.268750	-2.270625	-1.260000
-54.229000	-120.597000	1011.014038	0.774375	5.376875	0.122500
-48.129002	-107.848000	1018.273010	2.988125	9.480625	-0.258125
-64.293999	-99.979004	1010.770020	5.188750	12.617500	-0.240625
-76.432999	-101.748001	1013.270996	8.373750	9.686250	-0.240625
-68.259003	-84.912003	1007.781006	6.593125	10.915625	0.546875
-89.487000	-82.594002	983.869019	8.911875	6.733125	1.356250
-80.459000	-85.034004	1017.419006	13.470625	3.631250	1.470000
-95.038002	-66.794998	1015.040039	11.151875	5.254375	2.498125
-91.072998	-62.769001	991.554993	10.850000	1.028125	2.913750
-79.422005	-39.711002	1027.301025	8.470000	-7.883750	2.734375
-86.681000	-21.167000	1009.916016	-2.345000	-7.678125	2.012500
-74.664001	-56.852001	984.418030	-13.129375	-8.106875	1.500625
-90.158005	-73.078003	1016.504028	-13.475000	-1.133125	-0.411250
-65.453003	-82.777000	1004.975037	-12.429375	-8.872500	-1.120000
-47.580002	-96.746002	1007.658997	-11.305000	-4.624375	0.236250
-67.832001	-105.103004	1027.545044	-5.910625	-0.494375	-0.840000
-34.038002	-83.997002	1027.239990	-0.761250	-7.122500	-1.907500
-50.264000	-105.347000	1015.223022	-1.706250	3.657500	1.203125
-47.519001	-99.125000	1017.358032	1.045625	-1.671250	0.288750
-69.845001	-117.852005	994.361023	-4.528125	3.530625	0.892500
-63.013000	-97.844002	1010.281982	-5.420625	4.519375	1.483125
-74.724998	-77.775002	990.762024	-5.617500	-19.311251	7.004375
-39.345001	-125.172005	970.632019	-5.473125	-18.401251	1.102500
-37.332001	-102.297005	974.963013	-2.524375	-16.546249	-1.338750
3.904000	-119.681999	1007.963989	-0.231875	-16.191875	-2.695000
12.871000	-123.830002	1040.050049	2.419375	-8.190000	-2.699375
-3.660000	-114.375000	1033.156982	-1.837500	-15.592500	-0.188125
30.195000	-133.102005	1024.373047	-1.566250	-15.351875	-0.476875
49.837002	-125.843002	1008.085999	1.505000	-8.203125	0.708750
-4.697000	-78.080002	1060.363037	-1.076250	-0.144375	2.401875
20.252001	-119.133003	976.182983	1.006250	-4.816875	7.914375
23.485001	-136.152008	1003.205994	8.308125	4.256875	2.883125
62.890999	-113.033005	999.057983	9.983750	4.523750	-1.330000
53.375000	-112.972000	1007.536987	11.340000	2.275000	1.089375
59.841000	-106.689003	1014.369019	8.631875	4.698750	0.078750
53.253002	-87.901001	1042.734009	8.128750	2.471875	1.159375
42.882999	-88.816002	992.592041	2.835000	-3.425625	2.296875
63.744999	-83.387001	1006.988037	9.275000	2.047500	-1.146250
30.134001	-42.577999	1034.682007	16.073750	5.853750	1.255625
3.843000	-73.504997	997.166992	-14.420000	20.098749	4.060000
-3.233000	-101.992004	941.901001	-5.341875	-2.940000	4.742500
11.346000	-117.486000	971.364014	6.273750	-2.030000	-0.638750
51.179001	-61.061001	1068.171021	13.011250	5.670000	-7.424375
45.201000	-21.045000	1040.050049	7.748125	5.311250	-4.948125
-20.007999	-41.663002	1040.416016	5.586875	10.622500	2.668750
-5.612000	-43.798000	992.226013	4.016250	8.645000	3.640000
-22.814001	-29.036001	1005.036011	15.566250	9.655625	1.211875
-80.825005	-0.244000	1054.506958	9.170000	12.228125	-1.386875
-41.480000	-42.272999	1008.817993	4.939375	3.307500	-1.583750
-45.628002	-22.997000	991.738037	8.255625	18.261250	-0.179375
-37.881001	-29.951000	1022.116028	15.238125	27.523125	-4.134375
-50.813000	18.544001	1001.192993	11.060000	26.674376	-1.789375
-89.974998	10.309000	976.671021	11.252500	21.883751	5.118750
-127.429001	40.625999	1010.587036	11.165000	15.771875	9.541875
-134.016998	31.903000	1023.213989	5.516875	3.408125	9.953125
-121.267998	33.977001	1023.824036	4.497500	1.732500	3.657500
-115.595001	56.547001	1018.822021	-0.105000	-3.797500	2.261875
-103.211998	27.572001	1012.416992	-3.823750	-7.875000	3.675000
-92.537003	28.059999	1004.853027	-8.995000	-19.048750	2.362500
-73.139000	33.123001	1003.083984	-8.570625	-23.432501	0.013125
-43.431999	9.211000	1033.828003	-11.716250	-32.497501	5.630625
-6.649000	-29.219000	1006.927002	-14.866250	-31.998751	10.010000
-47.153000	-22.021000	1006.622009	-9.940000	-18.077499	7.984375
-11.163000	-19.337000	983.502991	-10.093125	-12.166875	-1.063125
3.172000	1.891000	1019.005005	-1.347500	-9.165625	-5.582500
-10.126000	14.884000	1058.289062	-0.739375	-7.577500	-7.953750
18.422001	-8.845000	1034.010986	-8.876875	-12.709375	-4.396875
42.761002	-42.639000	1008.268982	-6.877500	-7.800625	-6.291250
49.348999	-35.075001	1003.023010	-5.665625	-5.639375	-6.693750
46.848000	-53.924000	990.579041	-4.856250	-7.840000	-2.712500
79.178001	-66.856003	991.005981	0.420000	-5.368125	-2.773750
55.815002	-43.126999	1048.833984	0.673750	0.280000	-3.272500
44.103001	-37.637001	1033.462036	-4.729375	-6.776875	-0.616875
72.711998	-58.132999	986.492004	-2.625000	-1.264375	-0.113750
29.036001	-39.466999	1043.832031	2.918125	11.396875	-0.940625
40.138000	-42.334000	1048.529053	2.012500	8.246875	-1.076250
41.723999	-44.774002	1024.250977	2.463125	14.616875	-0.472500
34.892002	-57.278999	1003.510986	6.715625	19.162500	-1.058750
7.015000	-40.382000	1020.773987	8.238125	26.753124	0.682500
4.636000	-13.542000	1009.367004	7.494375	21.774376	3.438750
-46.726002	-26.474001	1024.433960	6.190625	29.141874	4.488750
-54.961002	-22.143000	1023.092041	7.179375	19.123125	3.626875
-43.310001	-15.189000	1010.343018	3.071250	10.556875	4.007500
-54.107002	-6.771000	1005.096985	-1.080625	6.715625	6.291250
-63.013000	-26.962000	1004.791992	-2.568125	3.740625	6.654375
-56.181000	-15.250000	979.355042	-1.806875	1.675625	6.033125
-87.108002	-11.895000	991.799011	-4.528125	1.115625	7.446250
-59.597000	-13.054000	991.738037	-8.876875	-14.166250	4.860625
-81.434998	-28.792000	991.859985	-12.026875	-14.402500	4.834375
-59.475002	-13.420000	1010.343018	-9.909375	-27.072500	4.160625
-36.539001	-25.681000	1017.906982	-11.217500	-20.461876	2.397500
