A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
8.784000	-5.368000	1007.658997	0.704375	-0.096250	-0.813750
17.263000	-9.516000	1003.694031	0.805000	-0.052500	-0.770000
9.943000	-5.795000	1002.351990	0.918750	-0.144375	-0.818125
12.871000	-3.538000	1006.317017	0.905625	-0.131250	-0.840000
8.174000	-3.050000	1001.315002	0.752500	-0.122500	-1.001875
9.638000	-0.549000	1004.853027	0.595000	-0.017500	-0.958125
7.930000	-5.856000	1000.278015	0.809375	-0.091875	-0.971250
14.457000	-4.392000	1000.888000	0.669375	0.039375	-0.997500
9.150001	-5.490000	1000.765991	0.805000	-0.008750	-0.962500
7.320000	-9.760000	998.936035	0.901250	-0.052500	-0.905625
5.246000	-8.052000	1002.535034	0.787500	-0.043750	-0.875000
12.261000	-2.623000	1001.254028	0.853125	-0.105000	-0.940625
8.174000	-7.442000	1001.376038	0.927500	-0.065625	-0.905625
15.189000	-6.100000	1003.572021	0.958125	-0.078750	-0.826875
15.494000	-5.734000	1004.791992	0.870625	-0.175000	-1.058750
6.527000	-2.257000	1001.619995	1.010625	-0.074375	-0.883750
13.115000	-8.113000	1001.376038	0.796250	-0.091875	-0.875000
15.250000	-6.466000	1001.254028	1.028125	-0.004375	-0.879375
9.455000	-2.501000	1002.718018	0.901250	0.039375	-0.883750
13.115000	-5.490000	1005.829041	0.857500	0.004375	-1.006250
13.542000	-5.612000	1000.888000	0.918750	-0.083125	-1.019375
6.161000	-2.013000	1002.473999	0.866250	-0.052500	-0.958125
10.919000	-9.333000	1003.450012	0.787500	-0.100625	-0.953750
17.019001	-6.039000	999.790039	0.695625	-0.065625	-0.927500
10.675000	-6.344000	1003.877014	0.927500	-0.100625	-0.831250
11.224000	-7.198000	1006.134033	0.910000	-0.096250	-0.905625
3.355000	-3.843000	1007.109985	0.883750	0.074375	-0.993125
9.699000	0.549000	1002.230042	0.787500	0.030625	-0.892500
13.359000	-2.196000	1001.254028	0.805000	-0.039375	-0.875000
9.394000	-3.904000	1002.596008	0.778750	-0.065625	-0.888125
16.042999	-9.455000	1004.182007	0.800625	-0.056875	-1.023750
10.614000	-7.686000	1002.351990	0.730625	-0.052500	-0.966875
8.296000	-3.965000	1004.059998	0.840000	-0.035000	-0.848750
9.760000	-7.564000	998.387024	0.805000	-0.148750	-0.861875
7.686000	-3.355000	999.911987	0.778750	-0.021875	-0.945000
10.309000	-6.954000	1001.742004	1.015000	-0.021875	-0.918750
7.808000	-5.612000	1003.083984	0.861875	0.008750	-0.931875
13.481000	-7.564000	1000.522034	0.796250	-0.183750	-0.997500
8.052000	-3.965000	1008.390991	0.918750	-0.096250	-0.931875
12.017000	-2.318000	1001.192993	0.704375	-0.078750	-0.988750
13.054000	-8.845000	1004.487000	0.835625	-0.083125	-1.045625
8.296000	-5.795000	1002.840027	1.001875	-0.039375	-0.918750
12.383000	-10.675000	998.570007	0.927500	-0.091875	-0.818125
13.542000	-1.037000	997.960022	0.608125	0.100625	-1.006250
8.784000	-5.856000	999.546021	0.870625	-0.074375	-0.918750
10.248000	-4.514000	1002.901001	0.945000	-0.179375	-0.910000
14.091001	-7.808000	1002.718018	0.826875	0.096250	-0.879375
5.429000	-3.599000	1000.888000	0.835625	0.105000	-0.914375
11.407001	-5.368000	1001.376038	0.853125	0.035000	-0.879375
13.176001	-6.344000	1004.731018	0.853125	0.035000	-0.879375
13.176001	-6.344000	1003.572021	0.796250	-0.113750	-0.905625
8.296000	-2.135000	1003.572021	0.888125	-0.039375	-0.936250
12.139000	-8.357000	1003.572021	0.875000	-0.035000	-0.984375
15.433001	-5.551000	1001.132019	0.879375	0.008750	-0.940625
10.309000	-4.758000	1003.205994	0.861875	-0.043750	-0.861875
16.409000	-4.514000	1000.278015	0.813750	0.021875	-0.879375
16.348000	-2.074000	998.936035	0.735000	0.052500	-0.945000
9.089000	-10.553000	1000.278015	0.853125	-0.100625	-0.945000
9.028000	-6.649000	1001.864014	0.765625	-0.096250	-0.962500
13.725000	-7.198000	1000.033997	0.888125	-0.070000	-0.931875
16.348000	-8.784000	1002.291016	0.918750	-0.170625	-0.905625
6.161000	-4.697000	1005.829041	0.918750	-0.210000	-0.870625
14.945000	-3.538000	1003.450012	0.888125	0.013125	-0.879375
10.980000	-4.880000	1005.402039	0.748125	-0.017500	-0.971250
9.272000	-5.002000	1001.986023	0.853125	-0.004375	-0.923125
9.394000	-9.882000	1000.765991	0.958125	-0.083125	-0.910000
13.603000	-1.159000	1003.205994	0.940625	0.078750	-0.936250
8.784000	-4.880000	1003.816040	0.857500	0.017500	-0.940625
11.773000	-6.710000	1003.694031	0.857500	-0.008750	-0.826875
13.908000	-8.906000	1000.643982	0.848750	-0.043750	-0.910000
14.640000	-3.477000	1003.205994	0.984375	-0.157500	-0.861875
10.248000	-5.124000	1005.036011	1.023750	-0.175000	-0.892500
9.272000	-9.150001	1002.596008	0.822500	-0.253750	-0.901250
10.492001	-6.832000	1005.950989	0.673750	-0.043750	-0.905625
12.200000	-6.588000	999.851013	0.595000	0.074375	-0.901250
11.834001	-4.148000	1003.267029	0.800625	-0.070000	-0.831250
15.921000	-3.050000	1003.937988	0.835625	0.000000	-0.918750
13.908000	-10.919000	1000.888000	0.730625	-0.043750	-0.844375
11.224000	-3.355000	1005.218994	0.879375	-0.035000	-0.866250
8.784000	-7.381000	1003.632996	0.700000	-0.026250	-0.988750
7.198000	-3.233000	1003.937988	0.853125	0.008750	-0.953750
11.529000	-8.296000	1004.426025	1.015000	-0.035000	-0.809375
10.370000	-8.784000	1002.230042	0.673750	-0.122500	-0.888125
18.117001	-9.028000	1006.072998	0.682500	-0.039375	-0.927500
13.786000	-12.322001	1002.108032	0.831250	0.017500	-0.901250
11.224000	-6.893000	998.692017	0.901250	-0.030625	-0.883750
7.930000	-2.867000	1004.121033	0.783125	-0.056875	-0.875000
11.651000	-3.172000	999.546021	0.853125	-0.105000	-0.936250
14.945000	-2.562000	1001.132019	0.980000	-0.030625	-0.875000
10.980000	-2.806000	998.204041	0.752500	-0.105000	-0.962500
9.150001	-5.612000	1001.681030	0.818125	-0.100625	-0.958125
6.466000	-7.198000	997.960022	0.883750	0.061250	-0.927500
9.577000	-3.477000	1002.901001	0.752500	-0.008750	-1.001875
11.773000	-10.309000	1001.376038	0.805000	-0.113750	-0.958125
11.346000	-6.283000	1003.328003	0.787500	-0.048125	-0.875000
16.775000	-4.148000	1005.280029	0.883750	0.026250	-0.945000
8.235000	-7.930000	1005.645996	0.796250	-0.056875	-0.949375
9.272000	-8.418000	1001.254028	0.848750	-0.122500	-0.892500
6.466000	-3.355000	1001.986023	0.770000	-0.083125	-0.901250
12.505000	-1.952000	1003.328003	0.791875	-0.017500	-0.866250
11.712000	-6.893000	1003.328003	0.835625	-0.078750	-0.936250
7.564000	-2.989000	998.447998	0.809375	0.061250	-0.853125
9.943000	-5.368000	1004.121033	0.888125	-0.004375	-0.888125
12.749001	-7.076000	1002.351990	0.901250	0.052500	-0.905625
15.433001	-6.832000	998.936035	1.111250	-0.323750	-0.931875
13.908000	0.305000	1001.803040	0.988750	-0.175000	-0.927500
6.771000	-8.723001	1003.205994	0.848750	-0.008750	-0.975625
12.749001	-6.710000	1003.083984	0.936250	-0.078750	-0.866250
12.932000	-4.026000	1002.718018	0.936250	-0.048125	-0.857500
12.688000	-5.856000	1004.791992	0.888125	-0.105000	-0.958125
13.054000	2.745000	1006.134033	0.888125	-0.105000	-0.958125
13.054000	2.745000	1006.134033	0.857500	-0.017500	-0.927500
9.516000	-6.527000	999.119019	0.691250	-0.048125	-0.962500
11.346000	-3.477000	997.960022	0.905625	-0.188125	-0.896875
13.298000	-3.416000	999.302002	0.695625	-0.087500	-0.918750
14.274000	-5.734000	1000.033997	0.800625	-0.008750	-0.914375
12.078000	-7.442000	1001.010010	0.840000	-0.013125	-0.923125
10.370000	-4.087000	1002.351990	0.800625	-0.052500	-0.875000
13.847000	-5.002000	1001.376038	0.971250	-0.144375	-0.910000
9.028000	-5.490000	1000.765991	0.892500	-0.043750	-0.993125
11.590000	-4.514000	1003.877014	0.940625	-0.100625	-0.835625
11.590000	-8.662000	1002.840027	0.770000	0.035000	-0.953750
10.004000	-1.769000	1001.864014	0.783125	0.096250	-0.888125
10.614000	-8.113000	1001.986023	0.883750	-0.021875	-0.853125
7.808000	-7.076000	1005.829041	0.848750	-0.039375	-0.896875
8.662000	-5.856000	1001.986023	0.945000	-0.056875	-0.892500
13.237000	-5.490000	999.302002	0.931875	-0.043750	-0.997500
13.786000	-3.660000	1001.559021	0.826875	-0.035000	-0.923125
9.638000	-5.612000	1002.962036	0.800625	0.004375	-0.879375
13.969000	-5.124000	1002.596008	0.818125	-0.113750	-0.888125
11.712000	-12.383000	1001.742004	0.927500	-0.214375	-0.910000
7.320000	-5.795000	1002.108032	0.813750	-0.157500	-0.905625
7.930000	-3.416000	1005.585022	0.643125	0.078750	-0.927500
14.823000	-6.588000	1002.108032	0.756875	-0.131250	-0.840000
12.200000	-4.270000	1001.376038	0.840000	0.000000	-0.875000
9.150001	-9.394000	1002.718018	0.730625	-0.118125	-0.861875
9.516000	-6.771000	1001.742004	0.770000	-0.083125	-0.888125
14.335000	-6.222000	1003.205994	0.770000	-0.118125	-0.923125
11.834001	-6.710000	999.790039	0.721875	0.026250	-0.901250
5.673000	-5.856000	1003.632996	0.962500	-0.100625	-0.848750
10.065001	-6.100000	1001.864014	0.988750	-0.070000	-0.826875
16.775000	-1.281000	1006.072998	0.818125	-0.118125	-0.861875
12.810000	-6.710000	998.020996	0.923125	-0.021875	-0.892500
9.272000	-5.368000	1001.803040	0.870625	-0.113750	-0.945000
15.311000	-2.379000	1001.986023	0.682500	0.013125	-0.914375
9.638000	-3.294000	999.424011	0.975625	-0.017500	-0.918750
13.359000	-4.148000	1003.632996	0.883750	0.100625	-0.914375
9.394000	-3.172000	1001.986023	0.840000	0.135625	-1.001875
10.004000	-6.588000	1003.328003	0.840000	0.140000	-0.910000
12.627000	-6.100000	999.302002	0.980000	0.035000	-0.818125
10.004000	-4.514000	1001.924988	0.988750	-0.004375	-0.896875
12.627000	-5.978000	1002.473999	0.743750	0.039375	-0.770000
