AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-14.25	-71.0	996.0	5.6	-9.08687475	-1.0357812499999997
-16.25	-51.25	1014.5	2.471875	-9.66218725	-1.6723437499999998
-5.5	-47.0	1013.5	-0.7710937499999999	-7.6387497500000014	-4.0971874999999995
18.5	-38.25	1017.0	-1.6734375	-0.949375	-1.91296875
-8.75	-34.25	1013.75	-4.3203125	1.1112499999999998	0.23953124999999997
-7.0	-35.25	1014.25	-3.6301562499999998	0.33796874999999993	0.07656249999999998
-15.25	-29.0	1012.25	-1.7095312500000004	-0.48671875000000003	-0.18265624999999996
-16.25	-32.75	1016.75	1.98625	-1.67671875	-1.59140625
-17.0	-39.0	1012.5	3.89265625	-3.364375	-3.24953125
-6.25	-53.0	1013.5	3.40265625	-4.46796875	-3.605
-2.75	-63.75	987.75	1.5739062500000003	-4.24046875	-1.3256249999999998
-1.25	-63.0	990.0	-0.6595312499999999	-5.0367187499999995	-0.40031249999999985
-3.25	-51.5	997.5	-2.5364062499999998	-2.79453125	1.61765625
-2.0	-39.25	1006.5	-2.48828125	-2.74421875	2.44671875
-0.75	-33.0	1039.0	-1.8003125	-1.8954687499999996	1.62203125
-0.5	-36.5	1033.25	-1.40328125	-0.11265624999999999	2.6490625000000003
-6.5	-39.25	1020.75	-0.92640625	-0.06999999999999998	2.36359375
-22.75	-36.25	1012.0	-0.9854687500000001	-0.72953125	1.4371875
-50.25	-45.25	1015.5	-3.618125	-3.416875	0.78421875
-72.25	-45.75	1023.75	-5.0509375	-3.4124999999999996	-0.18156250000000002
-104.0	-41.75	1044.75	-2.12625	-2.0442187499999998	0.39593750000000005
-138.0	-36.5	1036.0	0.5753125000000001	2.48828125	0.6321875
-149.0	-26.75	1028.25	6.61171875	7.9865625	-0.33359375
-169.5	-15.75	1017.0	6.245312500000001	13.0921875	-1.09375
-173.5	-8.5	990.25	2.8459375	19.49937525	-4.6878125
-131.25	-16.5	986.75	-0.5020312500000002	17.36218775	-8.851719
-83.0	-16.0	980.0	-2.0135937500000005	16.023437750000003	-12.75750025
-47.25	2.75	984.0	-1.94796875	6.560312999999999	-13.493594
25.5	-13.75	999.5	-0.5698437500000002	0.18265649999999978	-14.005468999999998
64.5	-2.75	1020.0	3.7220312499999997	-4.53468725	-10.73625
100.75	-0.75	1015.75	6.360156249999999	-8.24249975	-6.2059375
155.25	-17.0	1008.5	10.64328125	-9.722344	-4.31921875
168.5	-1.0	1011.0	10.602812499999999	-14.9920315	-1.88125
177.25	-1.5	987.25	5.24453125	-10.610468999999998	-1.8921875000000001
175.75	-6.0	1001.25	-0.90234375	-9.012500249999999	-2.4095312499999997
178.25	-16.5	1019.25	-5.03015625	-2.2553125	-3.22875
188.25	-31.75	1026.25	-2.80765625	2.996875	-4.047968750000001
197.0	-36.75	1050.25	1.2282812499999995	6.400625	-5.464375
197.5	-44.25	1029.25	1.7434374999999998	10.64	-7.00765625
189.75	-42.0	1026.0	1.0674999999999997	13.27921875	-6.58109375
170.75	-32.25	1000.5	-4.13328125	16.4948435	-6.85890625
134.25	-42.0	977.5	-8.8440625	15.605624749999999	-0.2428127499999997
116.5	-37.25	992.25	-6.370000000000001	8.08718725	3.2670310000000002
104.75	-20.5	998.0	-6.279218749999999	-2.56703175	5.71374975
81.5	-26.5	995.5	-8.849531249999998	-8.88125025	6.1873435
70.0	-11.5	1004.75	-10.5951565	-17.462812749999998	2.40734375
42.0	-12.0	1008.25	-14.061250249999999	-17.013281499999998	-0.993125
-3.75	-31.75	978.75	-14.436406499999999	-13.83812475	-2.77921875
-54.5	-41.5	996.75	-15.58703175	-15.954531	-2.51453125
-74.75	-71.0	1015.25	-12.918281499999999	-13.858906000000001	-3.6290625
-99.5	-86.5	1017.0	-21.552343999999998	-11.14531225	-2.66546875
-123.75	-117.25	1019.0	-28.640938	-1.81562525	-1.3278125
-148.25	-146.25	1007.25	-25.83218775	4.03156225	3.3512500000000003
-173.0	-143.75	982.0	-21.14875025	7.835624750000001	2.690625
-180.5	-152.5	967.75	-5.219374999999999	16.05734375	4.75671875
-155.75	-148.75	998.5	7.17062525	11.33562525	2.99140625
-104.5	-135.5	1029.25	12.2095315	10.42781275	0.9056249999999999
-68.25	-143.5	1049.25	10.977969	10.977969	3.63890625
-36.0	-142.25	1061.75	9.342812499999999	4.318125	4.91421875
-25.25	-140.75	1042.25	8.850625	3.3928125	7.301874999999999
-19.0	-137.5	1014.75	9.64140625	1.8998437500000005	6.547187500000001
-18.75	-132.0	996.75	11.139843749999999	1.0740625	5.407500000000001
-18.5	-122.25	995.5	10.3140625	-1.2140624999999998	3.4376562499999994
-16.5	-111.25	1002.75	8.67015625	-1.29171875	1.0696875000000001
-10.75	-101.5	1002.0	6.1140625	-0.3467187500000001	0.062343749999999976
-13.25	-94.25	1010.0	4.344374999999999	-0.022968749999999982	0.47468750000000004
-11.75	-91.5	1014.5	3.0745312499999997	0.17609375000000005	0.47796875
-6.75	-88.75	1003.25	2.253125	0.5709375	0.371875
-2.0	-89.75	1011.75	0.3259375	-0.47359375	1.24359375
3.25	-91.5	1009.0	-1.8484375	0.28328125000000015	1.4853125
2.75	-89.25	1006.0	-2.401875	1.2753125	1.94140625
-1.5	-89.25	1017.75	-2.1382812500000004	0.47796875000000005	2.19515625
-6.25	-85.25	1018.0	0.564375	1.2184375	0.66609375
-3.75	-82.25	1022.5	2.05625	-2.28703125	-1.02921875
2.25	-82.25	1026.5	2.3340625	-4.45921875	-1.7675
0.25	-80.5	1012.5	2.625	-0.975625	-1.0959375000000002
-7.0	-80.75	1010.25	3.3184375	-1.1659375	-0.05140624999999999
-12.25	-78.25	1005.0	5.33640625	2.20609375	-0.7284375000000001
-17.5	-78.25	1001.25	5.36265625	4.6703125	-1.6067187500000002
-13.5	-76.25	1012.5	5.8559375	2.39203125	-1.8801562500000002
-3.0	-70.0	1011.0	6.893906250000001	2.9924999999999997	-1.3978125000000006
3.0	-66.0	1017.25	6.92015625	0.8039062500000003	1.0959375
-1.25	-57.5	1016.75	6.31421875	-2.1525	3.9035937499999998
-34.0	-64.25	1022.0	2.42921875	-8.96765625	5.9828125
-99.5	-82.75	1052.0	-1.6493749999999998	-19.53765675	5.866874999999999
-170.5	-84.5	1069.0	-2.26953125	-22.28953175	4.04578125
-230.75	-78.75	1079.25	-1.8856249999999997	-18.884688	-0.37296875000000007
-254.0	-67.5	1066.75	-1.91953125	-3.179532	-5.0115625
-229.0	-47.0	1028.75	-0.031718750000000184	10.498906	-8.26984375
-165.5	-32.5	997.25	3.664062499999999	24.377499999999998	-10.07890625
-104.0	-21.75	977.5	15.619844	28.72843725	-9.674218749999998
-29.75	18.0	945.5	28.42875025	21.0175	-9.9728125
22.5	62.75	949.75	38.1729695	12.462187749999998	-9.09125
76.5	89.0	931.5	31.852188249999998	1.1528124999999998	-9.480625
173.75	93.75	954.75	20.314219249999997	-9.79015575	-9.830625000000001
265.0	91.0	1016.75	10.03953175	-12.29703075	-4.485468750000001
318.75	88.25	1068.75	-5.7432815	-11.83874975	-2.19515625
336.75	73.0	1127.0	-9.530937999999999	-11.463593499999998	-0.56
305.75	69.25	1127.25	-12.574844249999998	-2.5495312500000002	0.2198437499999999
268.5	47.0	1098.5	-14.091875499999999	6.08125	-3.4792187500000002
265.25	18.25	1052.5	-6.904844000000001	15.23265625	-2.5101562500000005
258.75	-2.5	1027.0	-7.0842185	23.607499750000002	-1.7226562500000002
251.25	-22.0	1025.25	-12.86578075	20.80531225	-1.07515625
