AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]
-33	-110	944	8.5575	5.80125	4.580625
-41	-57	1007	8.028125	-5.495	7.18375
-104	-54	990	-2.078125	-26.298124	-8.789375
121	-63	1043	7.8925	-10.355625	-7.118125
-41	-31	1018	-3.955	3.5	2.034375
2	-40	1003	-4.94375	2.59875	-2.515625
-8	-19	1004	-5.6875	0.459375	-0.0525
12	-47	1030	-2.695	-2.113125	1.491875
-34	-35	1020	-1.194375	0.406875	1.3825
-31	-15	995	2.73875	-0.7	-3.5525
-12	-34	1022	9.095625	-4.300625	-5.6875
9	-72	1013	4.930625	-8.86375	-5.140625
9	-91	1024	-3.154375	-4.0075	-0.039375
-17	-58	892	-4.57625	0.21	5.565
-6	-31	1031	0.161875	-7.485625	-1.98625
1	-26	1043	-2.576875	0.105	2.93125
14	-42	1060	-2.961875	-3.80625	3.276875
-12	-33	1022	-1.824375	3.605	2.26625
-5	-45	1008	1.75	-0.354375	2.121875
-23	-37	993	-0.669375	0.275625	1.789375
-51	-30	1025	-3.198125	-6.444375	-0.42875
-122	-69	1036	-12.355	-7.144375	-0.345625
-93	-47	1041	-3.98125	-0.336875	-1.74125
-150	-21	1077	11.029375	5.74875	4.099375
-187	-9	990	7.608125	11.685625	0.51625
-166	-30	1005	11.790625	14.84875	-4.20875
-175	-3	996	-5.446875	20.085625	-4.781875
-166	8	970	-2.568125	31.377501	-10.276875
-18	-41	976	-5.78375	3.136875	-16.139376
27	-28	978	5.744375	9.49375	-19.831875
-32	72	1012	-5.184375	-17.766874	-7.72625
125	-58	1032	2.944375	5.866875	-12.324375
138	3	1058	11.38375	-15.7325	-3.0625
172	-20	961	16.296875	-5.3375	-1.710625
186	7	983	11.948125	-23.686251	-0.179375
178	6	1042	2.7825	-15.211875	-2.5725
173	1	963	-10.049375	1.79375	-3.10625
166	-38	1017	-8.290625	1.054375	-3.78
196	-35	1055	-4.563125	3.3425	-3.45625
218	-55	1070	11.6725	5.796875	-5.849375
208	-19	1059	6.094375	15.40875	-8.771875
168	-68	933	-6.23	18.011875	-9.953125
165	-26	1042	-7.266875	13.899375	-1.75
142	-16	968	-9.130625	18.659374	-6.960625
62	-58	967	-12.74875	11.851875	17.692499
97	-49	992	3.66625	-12.061875	4.08625
118	41	1065	-6.90375	-28.717501	8.036875
49	-40	958	-19.411875	-6.5975	-5.06625
16	2	1004	-19.731251	-22.474375	2.5725
-15	-51	1006	-10.198125	-10.26375	-9.515625
-65	-38	947	-8.404375	-16.016874	0.8925
-154	-79	1030	-24.014376	-15.063125	-4.0075
-65	-116	1078	-9.05625	-14.091875	-1.885625
-114	-113	1013	-44.734375	0.590625	-5.66125
-162	-161	955	-36.758751	21.301874	6.243125
-252	-195	983	-12.779375	8.325625	14.70875
-164	-106	977	9.6775	1.124375	-4.528125
-144	-148	956	18.983126	33.477501	2.603125
-63	-146	1078	12.80125	2.415	-0.818125
-47	-142	1106	7.37625	4.694375	6.365625
-19	-138	1057	4.75125	3.325	6.405
-15	-143	1006	12.4425	6.838125	7.704375
-20	-140	1000	10.8325	-1.28625	8.7325
-22	-129	996	10.539375	-1.2775	3.346875
-18	-116	985	10.745	0.021875	1.84625
-14	-104	1001	9.139375	-2.314375	-0.175
-12	-96	1029	4.256875	-1.596875	-0.739375
1	-90	993	0.315	2.5025	-0.6825
-28	-87	1017	3.66625	1.316875	3.495625
-8	-93	1019	4.06	-1.518125	-0.161875
