A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-33.367001	-109.738998	944.402039	8.557500	5.801250	4.580625
-40.504002	-57.401001	1006.622009	8.028125	-5.495000	7.183750
-104.431999	-54.107002	989.541992	-2.078125	-26.298124	-8.789375
121.024002	-62.708000	1043.039062	7.892500	-10.355625	-7.118125
-40.625999	-31.171000	1017.663025	-3.955000	3.500000	2.034375
2.440000	-40.138000	1003.023010	-4.943750	2.598750	-2.515625
-8.174000	-18.849001	1004.242981	-5.687500	0.459375	-0.052500
11.712000	-47.031002	1030.411987	-2.695000	-2.113125	1.491875
-33.549999	-35.075001	1019.676025	-1.194375	0.406875	1.382500
-30.866001	-14.762000	994.788025	2.738750	-0.700000	-3.552500
-12.139000	-33.611000	1021.872009	9.095625	-4.300625	-5.687500
9.455000	-72.406998	1012.661011	4.930625	-8.863750	-5.140625
8.845000	-90.767998	1024.433960	-3.154375	-4.007500	-0.039375
-16.775000	-58.194000	892.002991	-4.576250	0.210000	5.565000
-5.612000	-31.171000	1031.265991	0.161875	-7.485625	-1.986250
0.610000	-26.169001	1043.222046	-2.576875	0.105000	2.931250
13.969000	-42.212002	1059.813965	-2.961875	-3.806250	3.276875
-12.200000	-32.939999	1021.750000	-1.824375	3.605000	2.266250
-4.941000	-45.079002	1007.903015	1.750000	-0.354375	2.121875
-23.180000	-36.600002	992.653015	-0.669375	0.275625	1.789375
-51.300999	-30.012001	1024.860962	-3.198125	-6.444375	-0.428750
-122.244003	-68.930000	1035.536011	-12.355000	-7.144375	-0.345625
-93.330002	-46.604000	1041.391968	-3.981250	-0.336875	-1.741250
-149.938004	-20.862000	1077.077026	11.029375	5.748750	4.099375
-186.598999	-9.089000	989.786011	7.608125	11.685625	0.516250
-166.469009	-29.646000	1004.731018	11.790625	14.848750	-4.208750
-175.253006	-2.928000	996.191040	-5.446875	20.085625	-4.781875
-165.554001	7.808000	970.265991	-2.568125	31.377501	-10.276875
-17.507000	-41.114002	975.817017	-5.783750	3.136875	-16.139376
26.840000	-28.365000	978.135010	5.744375	9.493750	-19.831875
-31.842001	72.406998	1011.624023	-5.184375	-17.766874	-7.726250
125.111000	-58.072002	1032.181030	2.944375	5.866875	-12.324375
138.104004	3.477000	1057.678955	11.383750	-15.732500	-3.062500
172.020004	-20.069000	960.994019	16.296875	-5.337500	-1.710625
185.867004	7.259000	983.320007	11.948125	-23.686251	-0.179375
178.181000	6.222000	1042.428955	2.782500	-15.211875	-2.572500
172.934998	0.610000	963.129028	-10.049375	1.793750	-3.106250
165.554001	-38.430000	1017.480042	-8.290625	1.054375	-3.780000
196.481003	-34.647999	1055.360962	-4.563125	3.342500	-3.456250
217.647995	-54.595001	1070.244995	11.672500	5.796875	-5.849375
208.436996	-19.337000	1058.776978	6.094375	15.408750	-8.771875
168.481995	-67.892998	932.507019	-6.230000	18.011875	-9.953125
165.432007	-25.742001	1042.001953	-7.266875	13.899375	-1.750000
141.886002	-16.104000	968.436035	-9.130625	18.659374	-6.960625
61.854000	-57.950001	966.606018	-12.748750	11.851875	17.692499
96.746002	-48.556000	992.165039	3.666250	-12.061875	4.086250
117.913002	40.809002	1064.693970	-6.903750	-28.717501	8.036875
48.983002	-40.260002	958.187988	-19.411875	-6.597500	-5.066250
15.799000	1.525000	1003.877014	-19.731251	-22.474375	2.572500
-15.189000	-50.507999	1005.707031	-10.198125	-10.263750	-9.515625
-65.453003	-38.307999	946.842041	-8.404375	-16.016874	0.892500
-154.085999	-79.483002	1030.046021	-24.014376	-15.063125	-4.007500
-65.391998	-116.265999	1077.687012	-9.056250	-14.091875	-1.885625
-114.375000	-113.216003	1013.210022	-44.734375	0.590625	-5.661250
-162.259995	-160.613007	955.077026	-36.758751	21.301874	6.243125
-252.479004	-194.834000	983.015015	-12.779375	8.325625	14.708750
-164.089996	-106.139999	977.098022	9.677500	1.124375	-4.528125
-144.203995	-148.229996	955.809021	18.983126	33.477501	2.603125
-62.525002	-146.095001	1077.808960	12.801250	2.415000	-0.818125
-46.604000	-142.007996	1106.357056	7.376250	4.694375	6.365625
-19.398001	-138.470001	1056.824951	4.751250	3.325000	6.405000
-15.189000	-142.617996	1005.829041	12.442500	6.838125	7.704375
-19.703001	-140.361008	999.546021	10.832500	-1.286250	8.732500
-21.655001	-128.587997	996.374023	10.539375	-1.277500	3.346875
-18.300001	-116.205002	985.028015	10.745000	0.021875	1.846250
-14.213000	-104.066002	1000.522034	9.139375	-2.314375	-0.175000
-11.529000	-95.831001	1029.375000	4.256875	-1.596875	-0.739375
1.281000	-90.219002	992.897034	0.315000	2.502500	-0.682500
-28.426001	-86.925003	1016.992004	3.666250	1.316875	3.495625
-8.296000	-92.537003	1019.066040	4.060000	-1.518125	-0.161875
7.625000	-85.400002	984.174011	0.971250	-0.017500	-1.163750
19.642000	-93.757004	1026.812988	-7.393750	-1.675625	2.804375
-6.527000	-94.123001	1006.377991	-5.031250	4.344375	4.462500
-10.492001	-83.692001	1006.682983	1.846250	2.450000	1.662500
-9.333000	-84.973000	1031.021973	2.025625	-3.206875	-0.148750
0.549000	-77.530998	1027.545044	3.416875	1.286250	-3.311875
3.477000	-82.289001	1024.494995	0.936250	-9.677500	-2.318750
13.908000	-83.875000	1022.665039	2.957500	-6.238750	-1.290625
-16.958000	-77.775002	975.085022	3.189375	10.727500	2.537500
-28.365000	-78.873001	1019.492981	6.190625	0.525000	0.866250
-17.873001	-72.406998	1003.328003	9.008125	3.810625	-5.026875
-7.381000	-83.936005	1008.085999	3.062500	3.618125	-4.803750
-1.220000	-70.089005	1019.981018	5.162500	1.614375	1.443750
13.664001	-53.618999	1012.661011	10.342500	2.926875	2.795625
6.283000	-55.693001	1027.972046	9.113125	-4.943750	4.948125
-24.156000	-50.081001	1005.890015	0.638750	-8.207500	6.426875
-131.699005	-97.417000	1041.208984	-10.377500	-25.646250	9.760625
-247.721008	-128.283005	1132.953003	-5.971875	-39.353127	2.331875
-278.403992	-63.195999	1095.682007	6.632500	-15.951250	-2.336250
-265.166992	-26.657000	1046.821045	2.174375	5.411875	-11.248125
-225.272995	-51.605999	990.822998	-10.513125	37.174374	-8.793750
-148.291000	-46.482002	980.697021	1.579375	15.360625	-10.701250
-23.790001	-4.880000	970.205017	21.415625	39.563126	-9.572500
-19.032000	16.348000	967.765015	49.997501	22.815624	-9.629375
72.101997	106.567001	863.210999	40.722500	6.330625	-9.988125
61.000000	132.553009	997.960022	40.556252	-18.860624	-7.175000
192.150009	100.284004	897.249023	-3.867500	-5.674375	-11.130000
370.026001	34.831001	1061.338989	3.845625	-20.956249	-11.029375
