A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-35.746002	1.647000	960.994019	4.830000	-0.673750	-15.448125
4.209000	-4.453000	983.564026	-5.827500	-18.410000	-6.461875
-14.579000	-12.871000	1007.476013	-0.695625	-2.353750	-5.293750
29.341000	0.854000	1014.064026	-8.806875	-8.115625	0.196875
16.104000	-27.145000	1049.810059	2.288125	1.181250	-3.329375
12.810000	6.222000	1056.031982	0.485625	-1.876875	-0.608125
14.213000	-13.481000	1036.572998	3.364375	0.529375	2.069375
18.971001	-2.928000	1053.042969	-4.068750	-1.233750	3.421250
8.967000	-28.487000	1013.270996	-7.748125	5.429375	3.521875
8.662000	-27.816000	994.848999	-0.271250	2.410625	4.493125
8.418000	-19.580999	1043.709961	-3.132500	-2.143750	2.441250
18.910000	-39.589001	1016.931030	2.196250	1.522500	2.270625
29.889999	-21.472000	1041.635986	1.806875	4.948125	0.516250
6.222000	-13.542000	1000.095032	-1.351875	-3.994375	1.176875
14.152000	-37.332001	1003.694031	-0.630000	5.153750	0.564375
13.298000	-6.771000	1017.968018	1.312500	-4.427500	-0.945000
18.483000	-24.461000	1017.358032	1.754375	0.503125	2.108750
11.224000	-36.660999	993.812012	-1.697500	-8.452500	2.135000
22.814001	-49.837002	1045.600952	1.211875	2.835000	0.017500
21.837999	-36.417000	996.434998	-2.419375	-0.905625	-0.148750
15.067000	-18.300001	1020.652039	-0.673750	-0.358750	-1.373750
30.743999	-17.629000	1042.489990	-2.463125	0.857500	1.518125
25.132000	-19.520000	1053.713989	-5.560625	-0.301875	2.918125
15.372000	-38.247002	1066.218994	5.486250	6.138125	-0.581875
8.174000	-5.856000	998.936035	-0.148750	2.165625	1.596875
-6.283000	-24.400000	921.527039	-1.736875	8.531250	2.423750
7.869000	-17.019001	871.140991	-2.493750	1.763125	-1.141875
7.015000	-45.445000	801.052002	-0.651875	6.706875	-3.500000
-17.323999	-40.687000	651.846008	10.381875	0.638750	-11.659375
-1.342000	1.708000	681.919006	-1.207500	-3.215625	-16.690624
-27.267000	16.531000	591.333984	-10.898125	-16.493750	-18.283125
