A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-3.660000	11.895000	1018.090027	-0.227500	0.577500	-0.231875
-0.793000	10.248000	1022.177002	-0.402500	0.682500	-0.380625
-11.102000	4.087000	1017.723999	-0.389375	0.673750	-0.345625
-2.013000	8.784000	1016.138000	-0.293125	0.450625	-0.275625
-5.368000	8.296000	1019.859009	-0.525000	0.638750	-0.310625
-3.721000	8.906000	1018.882996	-0.315000	0.647500	-0.280000
-1.708000	7.686000	1017.236023	-0.266875	0.319375	-0.262500
-2.867000	11.102000	1017.541016	-0.043750	0.490000	-0.297500
-1.891000	10.248000	1016.869995	-0.100625	0.293125	-0.240625
-5.856000	11.102000	1015.833008	-0.288750	0.345625	-0.192500
-5.246000	7.198000	1015.893982	-0.367500	0.678125	-0.284375
-8.113000	10.492001	1016.869995	-0.288750	0.498750	-0.271250
-3.172000	8.174000	1019.249023	-0.446250	0.656250	-0.385000
-6.588000	8.967000	1019.798035	-0.109375	0.643125	-0.205625
-5.368000	10.065001	1017.723999	-0.035000	0.406875	-0.315000
4.819000	6.588000	1017.236023	-0.363125	0.538125	-0.280000
-6.954000	11.895000	1018.090027	-0.271250	0.577500	-0.341250
-2.989000	6.954000	1019.981018	-0.083125	0.468125	-0.266875
-1.647000	6.344000	1017.601990	-0.065625	0.358750	-0.280000
-1.098000	13.603000	1019.066040	-0.441875	0.590625	-0.240625
-6.100000	13.054000	1017.174988	-0.096250	0.608125	-0.363125
-3.111000	7.564000	1014.552002	-0.100625	0.376250	-0.354375
0.061000	5.246000	1017.723999	-0.258125	0.568750	-0.288750
-5.490000	11.224000	1016.747986	-0.188125	0.315000	-0.214375
-5.490000	8.662000	1015.650024	-0.258125	0.608125	-0.258125
-0.366000	1.037000	1016.869995	-0.179375	0.498750	-0.266875
-3.782000	8.296000	1014.796021	-0.415625	0.625625	-0.236250
-2.257000	11.407001	1013.820007	-0.210000	0.708750	-0.240625
-7.686000	6.100000	1015.161987	-0.210000	0.433125	-0.293125
-0.610000	6.954000	1014.552002	-0.336875	0.595000	-0.280000
-3.904000	9.394000	1019.492981	-0.218750	0.525000	-0.210000
-1.403000	6.771000	1015.406006	-0.468125	0.686875	-0.223125
-4.148000	10.248000	1018.212036	-0.363125	0.726250	-0.262500
-2.745000	9.394000	1016.747986	-0.284375	0.577500	-0.240625
-2.318000	8.601000	1018.090027	-0.118125	0.271250	-0.280000
-5.856000	14.030000	1017.601990	-0.455000	0.625625	-0.393750
-6.161000	9.150001	1017.601990	-0.406875	0.665000	-0.358750
-3.904000	10.675000	1015.528015	-0.288750	0.441875	-0.341250
-3.172000	3.721000	1015.040039	-0.494375	0.721875	-0.266875
-6.588000	15.433001	1019.249023	-0.109375	0.590625	-0.319375
-2.257000	9.272000	1020.164001	-0.275625	0.415625	-0.301875
-3.172000	5.612000	1016.138000	-0.258125	0.748125	-0.336875
-6.832000	7.320000	1019.249023	-0.035000	0.354375	-0.170625
-0.244000	8.906000	1018.700012	-0.293125	0.485625	-0.280000
-6.588000	8.479000	1016.869995	-0.144375	0.608125	-0.249375
-10.858000	3.416000	1019.554016	-0.398125	0.608125	-0.253750
1.281000	9.882000	1016.992004	-0.078750	0.590625	-0.179375
0.366000	12.078000	1019.005005	-0.288750	0.573125	-0.323750
-6.954000	7.686000	1013.942017	-0.262500	0.525000	-0.406875
-5.673000	-1.952000	1016.138000	-0.310625	0.433125	-0.297500
0.305000	3.660000	1019.554016	-0.332500	0.643125	-0.210000
3.416000	14.030000	1015.650024	-0.288750	0.634375	-0.201250
4.697000	8.662000	1018.517029	-0.179375	0.450625	-0.341250
-12.688000	2.928000	1016.869995	-0.135625	0.564375	-0.393750
-13.786000	10.797000	1017.236023	-0.336875	0.564375	-0.140000
-7.625000	18.422001	1018.822021	-0.297500	0.507500	-0.052500
5.185000	15.006001	1018.333984	-0.520625	0.721875	-0.336875
-2.074000	0.854000	1014.734985	-0.280000	0.393750	-0.433125
-8.723001	6.283000	1019.554016	-0.367500	0.459375	-0.218750
-1.830000	9.455000	1019.737000	-0.236250	0.433125	-0.214375
-2.318000	12.810000	1019.859009	-0.428750	0.367500	-0.389375
-1.403000	8.723001	1017.846008	-0.533750	0.656250	-0.385000
-11.712000	6.100000	1019.432007	-0.183750	0.595000	-0.262500
-8.235000	9.760000	1015.772034	-0.341250	0.485625	-0.179375
-2.501000	6.954000	1017.723999	-0.358750	0.634375	-0.249375
-0.854000	7.076000	1015.283997	-0.052500	0.472500	-0.214375
-11.773000	10.187000	1017.601990	-0.332500	0.538125	-0.253750
-9.638000	7.503000	1021.200989	-0.350000	0.577500	-0.262500
-1.586000	6.649000	1018.028992	-0.196875	0.385000	-0.201250
-1.586000	8.845000	1011.380005	-0.424375	0.573125	-0.358750
-5.124000	3.843000	1011.684998	-0.341250	0.726250	-0.376250
-8.052000	10.248000	1010.526001	-0.525000	0.586250	-0.240625
-5.307000	10.736000	1018.395020	-0.271250	0.586250	-0.323750
0.671000	7.930000	1013.880981	-0.253750	0.398125	-0.223125
-4.026000	6.771000	1017.601990	-0.336875	0.721875	-0.266875
-11.834001	9.699000	1016.015991	-0.319375	0.756875	-0.201250
-2.440000	2.135000	1016.138000	-0.398125	0.616875	-0.288750
-5.551000	8.784000	1016.747986	-0.433125	0.691250	-0.275625
-9.211000	12.017000	1017.480042	-0.275625	0.420000	-0.236250
-7.625000	9.028000	1018.273010	-0.135625	0.577500	-0.271250
1.037000	7.320000	1018.639038	-0.406875	0.450625	-0.188125
2.013000	14.823000	1015.283997	-0.227500	0.603750	-0.266875
-7.015000	12.200000	1015.772034	-0.188125	0.472500	-0.341250
-10.004000	12.139000	1018.090027	-0.249375	0.424375	-0.415625
-5.246000	9.089000	1015.650024	-0.345625	0.560000	-0.345625
0.305000	8.784000	1015.040039	-0.328125	0.678125	-0.249375
0.915000	9.760000	1019.309998	-0.240625	0.420000	-0.385000
-10.553000	6.100000	1016.260010	-0.402500	0.608125	-0.455000
-2.257000	3.599000	1018.822021	-0.271250	0.463750	-0.183750
-0.671000	10.309000	1014.307983	-0.135625	0.328125	-0.293125
-3.172000	13.908000	1018.578003	-0.266875	0.647500	-0.328125
-0.915000	8.540000	1017.601990	-0.083125	0.490000	-0.472500
-7.808000	4.880000	1018.944031	-0.188125	0.380625	-0.406875
-2.013000	8.845000	1018.517029	-0.253750	0.638750	-0.223125
-8.967000	11.041000	1018.455994	-0.323750	0.708750	-0.074375
-6.954000	16.042999	1018.090027	-0.293125	0.542500	-0.323750
-7.442000	5.734000	1017.601990	-0.148750	0.533750	-0.371875
-6.954000	12.627000	1017.663025	-0.087500	0.393750	-0.271250
-1.586000	10.492001	1015.650024	-0.398125	0.625625	-0.249375
-1.403000	13.176001	1016.809021	-0.214375	0.695625	-0.306250
-1.708000	6.954000	1017.785034	-0.166250	0.433125	-0.266875
-8.418000	3.233000	1018.333984	-0.192500	0.306250	-0.105000
-7.869000	8.784000	1019.676025	-0.048125	0.437500	-0.192500
-5.002000	11.102000	1017.601990	-0.253750	0.459375	-0.332500
-5.551000	8.052000	1015.040039	-0.385000	0.721875	-0.236250
-4.270000	5.368000	1015.528015	-0.126875	0.472500	-0.371875
-1.342000	4.880000	1017.236023	-0.196875	0.371875	-0.205625
-5.429000	6.710000	1014.796021	-0.385000	0.542500	-0.039375
-0.671000	19.276001	1016.869995	-0.293125	0.450625	-0.170625
-1.098000	12.932000	1015.528015	-0.306250	0.498750	-0.424375
-1.403000	2.318000	1016.504028	-0.284375	0.612500	-0.358750
-9.272000	3.355000	1015.040039	-0.424375	0.529375	-0.157500
-2.562000	13.237000	1016.382019	-0.389375	0.612500	-0.297500
-2.196000	18.177999	1016.869995	-0.214375	0.643125	-0.332500
0.915000	4.880000	1017.236023	-0.376250	0.616875	-0.262500
