A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-10.980000	21.837999	993.812012	2.826250	11.567500	-5.573750
-58.987000	28.365000	977.952026	5.171250	9.966250	1.973125
-38.491001	37.758999	990.030029	2.073750	-2.808750	2.533125
-49.837002	53.070000	992.165039	0.870625	-2.957500	2.638125
-47.519001	34.952999	1000.765991	-8.238125	2.283750	3.246250
-77.104004	4.575000	982.100037	-9.388750	-0.389375	2.664375
-63.562000	-8.174000	1015.040039	-3.937500	-13.619375	-0.258125
-58.316002	1.586000	992.348022	5.075000	1.382500	-0.135625
-52.094002	8.479000	989.968994	4.606875	-10.583125	-1.137500
-46.299000	18.239000	1019.614990	-1.461250	-5.779375	0.730625
-47.214001	25.132000	1024.800049	-5.814375	-0.463750	1.933750
-46.604000	-1.464000	1037.427002	-10.027500	-3.342500	1.596875
-35.441002	2.013000	1057.312988	-6.431250	-2.576875	-1.785000
-41.968002	-1.891000	1013.088013	-1.207500	3.211250	-2.712500
-28.426001	-9.638000	1008.879028	-1.006250	-0.975625	-1.277500
-20.984001	-5.002000	1006.377991	-1.334375	3.871875	-1.378125
-41.723999	-32.085999	1022.481995	-6.562500	7.883750	-1.058750
-50.447002	-39.711002	1024.433960	-0.870625	2.940000	-5.547500
-30.805000	14.335000	1011.135986	-3.876250	0.892500	-3.902500
-41.968002	-7.137000	1025.714966	-5.215000	-1.456875	-1.417500
-48.434002	-18.422001	1027.911011	-0.380625	-1.198750	0.236250
-52.094002	-9.821000	1005.890015	2.743125	2.283750	1.719375
-39.040001	-14.640000	1032.912964	-1.203125	0.170625	2.253125
-45.993999	-4.087000	1008.330017	-0.389375	2.393125	2.213750
-40.138000	-12.688000	1006.134033	-0.883750	0.000000	2.800000
-41.418999	-19.276001	1030.594971	0.861875	-5.442500	0.323750
-36.112000	-16.104000	1024.006958	-4.042500	-3.110625	1.675625
-40.809002	-16.714001	1020.713013	-3.766875	-1.566250	0.625625
-39.589001	-8.540000	1001.497986	-2.056250	-1.063125	-1.198750
-28.914000	-13.847000	1021.018005	-2.450000	-3.233125	-0.437500
-17.323999	-11.712000	1018.395020	-0.210000	1.050000	0.481250
-30.866001	-11.834001	1009.549988	1.645000	0.647500	2.091250
-25.254000	-16.896999	1018.090027	1.203125	-1.286250	0.651875
-26.962000	-17.812000	1006.804993	0.310625	-1.260000	-0.437500
-19.642000	-26.779001	1005.036011	-4.370625	-0.971250	-0.358750
-21.716000	-20.923000	1021.689026	-1.540000	-4.340000	-1.155000
-19.276001	-26.840000	1023.580017	-1.120000	0.901250	0.065625
-17.507000	-34.342999	1028.886963	-2.883125	-2.835000	1.798125
-18.300001	-30.256001	1032.181030	1.898750	-1.561875	1.181250
-21.594000	-22.264999	1006.682983	2.607500	1.614375	0.678125
-9.455000	-7.381000	1024.433960	4.108125	-1.273125	0.214375
-22.691999	-3.050000	1018.822021	1.338750	1.141875	0.879375
-14.884000	7.198000	1018.273010	0.245000	-0.520625	1.225000
-12.688000	-14.701000	1015.893982	-4.217500	-0.538125	2.445625
-14.640000	-10.980000	1023.580017	-0.026250	-3.010000	-0.218750
-15.128000	-14.640000	1005.280029	0.774375	1.238125	-0.157500
-6.405000	-11.834001	1012.051025	2.327500	-2.568125	1.128750
-11.163000	8.357000	1024.860962	0.883750	-3.084375	2.813125
-0.610000	-24.583000	1017.053040	-1.732500	-7.039375	2.051875
-5.734000	-28.304001	1018.822021	-3.189375	3.185000	2.870000
-11.163000	-38.491001	1013.575989	-3.648750	3.290000	2.786875
-3.843000	-27.328001	1017.419006	-1.841875	-1.168125	1.505000
-5.307000	-25.193001	1020.713013	0.918750	0.258125	-0.625625
-5.734000	-13.725000	1016.199036	2.760625	0.529375	-1.220625
0.183000	-10.431000	1030.656006	0.542500	2.187500	-1.190000
-12.810000	-13.664001	1021.322998	4.843125	2.751875	-1.321250
-13.908000	-11.773000	1009.916016	1.802500	2.401875	0.083125
-8.906000	-22.814001	1005.890015	2.436875	2.266250	-0.275625
-1.647000	-10.004000	1028.826050	1.907500	-0.595000	-0.463750
-7.320000	-16.775000	1011.807007	-0.284375	0.214375	-1.649375
-8.723001	-14.335000	1016.138000	-0.980000	-2.222500	-2.576875
-11.956000	-9.699000	1011.075012	-0.262500	-0.761250	-2.415000
-1.525000	3.294000	1017.785034	-0.774375	-2.091250	-2.677500
1.037000	2.013000	1013.332031	-0.266875	-0.910000	-2.616250
-2.440000	-4.697000	1020.591003	-1.054375	-2.174375	-1.452500
0.366000	-0.427000	1027.789062	0.358750	-1.483125	-1.736875
-2.196000	-4.636000	1042.062988	0.708750	0.310625	-2.550625
1.464000	-6.649000	1019.309998	-1.242500	0.621250	-2.646875
-2.501000	-18.422001	1008.452026	-2.266250	2.183125	-1.588125
-0.244000	-13.115000	1012.173035	-1.671250	0.091875	-1.106875
-3.294000	-19.215000	997.044983	-1.041250	0.345625	0.328125
