A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-85.034004	-13.847000	1016.992004	2.253125	3.631250	1.618750
-92.232002	-27.694000	1000.400024	5.166875	7.586250	2.463125
-94.428001	-22.691999	973.621033	9.826250	1.518125	5.884375
-85.339005	16.958000	974.902039	-0.227500	-1.802500	6.510000
-86.986000	6.039000	997.411011	-5.166875	-5.744375	0.166250
-106.506004	-37.088001	1044.747070	-11.991875	-3.228750	-3.959375
-119.071999	-44.896000	1086.898071	-14.245000	-5.648125	0.975625
-74.969002	-25.193001	1070.977051	-1.347500	0.980000	13.304375
-53.070000	14.579000	1004.731018	26.595625	12.175625	14.210000
-43.431999	68.990997	938.668030	21.227501	10.386250	6.899375
-59.170002	53.558002	955.077026	-8.465625	-1.141875	-10.963750
-94.183998	-15.555000	1031.510010	-26.726875	-6.085625	-19.153749
-124.074005	-76.189003	1111.237061	-26.289375	-3.097500	-10.491250
-123.098000	-86.253998	1123.437012	-0.888125	-2.191875	4.983125
-107.848000	-29.036001	1042.672974	30.060625	3.644375	15.706250
-101.015999	21.228001	979.843018	31.784374	-1.758750	14.087500
-62.464001	42.700001	970.754028	3.132500	-9.213750	10.075625
-26.962000	18.666000	1031.571045	-29.176874	-13.680625	-0.910000
-27.084000	-17.263000	1041.148071	-24.254999	-13.820625	-3.066875
-45.139999	-25.559000	1022.359985	-10.325000	-19.048750	-4.663750
-39.955002	-11.590000	1005.218994	-2.161250	-9.240000	6.068125
-20.923000	-27.389000	982.039001	-0.135625	-17.373125	5.683125
-29.036001	-28.121000	986.126038	-6.689375	-12.993750	-1.715000
-32.025002	-40.138000	970.876038	-12.066250	-11.296250	-3.399375
-109.800003	-104.798004	1093.852051	0.446250	7.017500	15.898750
58.499001	-41.785000	975.390015	20.475000	12.337500	10.128125
21.594000	9.760000	951.294983	12.700625	15.019375	-11.703125
-38.917999	-15.921000	1008.268982	2.804375	11.011875	-13.269375
-46.542999	13.237000	1017.419006	8.723750	18.147499	-10.871875
-61.976002	6.588000	995.276001	2.891875	14.393750	-7.323750
-69.905998	-11.468000	1019.492981	-0.236250	5.105625	-7.529375
-92.049004	-28.548000	1017.480042	-2.100000	13.960625	-5.635000
-71.736000	-16.409000	1018.273010	-6.864375	13.225625	-5.604375
-87.047005	-31.781000	1001.010010	-7.870625	8.220625	-2.668750
-97.661003	-23.302000	1005.890015	-4.186875	-12.853750	0.345625
-60.573002	-17.263000	1012.600037	-1.850625	0.931875	5.333125
-91.256004	-29.646000	997.289001	3.539375	12.709375	9.699375
-83.387001	-30.683001	1010.587036	3.215625	-10.508750	8.268750
-63.074001	-31.293001	1031.998047	1.802500	-20.028749	4.204375
-75.945000	-16.531000	1016.442993	-1.176875	3.101875	3.351250
-77.775002	-22.814001	1010.038025	-3.858750	-13.208125	-0.056875
-30.195000	-14.579000	995.764038	-1.859375	-29.395624	-3.040625
-4.331000	-6.405000	1005.829041	4.046875	-16.764999	0.026250
-8.296000	-31.232000	1030.534058	6.041875	-8.570625	-2.419375
-4.636000	-2.074000	1010.770020	4.326875	5.538750	-0.542500
2.074000	-16.287001	1003.328003	3.648750	-2.883125	0.616875
-19.398001	-0.183000	1015.893982	1.032500	13.868750	0.923125
-7.930000	-12.139000	1020.164001	-6.216875	-10.198125	-1.325625
-3.538000	-12.688000	989.968994	-4.116875	-6.706875	-1.413125
3.294000	-19.703001	998.875000	-4.375000	-4.843125	-2.541875
6.771000	-34.647999	1023.092041	-7.573125	-8.544375	-4.313750
13.420000	-25.315001	1021.322998	-3.736250	-2.603125	-3.027500
4.697000	-26.108000	1022.665039	1.465625	6.072500	-1.010625
-5.124000	-32.208000	1016.687012	5.433750	4.873750	1.360625
2.562000	-20.252001	1028.459961	4.830000	5.066250	1.662500
-5.246000	-11.407001	1027.118042	5.346250	10.539375	1.417500
-1.586000	-20.618000	1024.983032	0.389375	9.327500	-0.406875
-12.810000	-27.816000	1004.669983	-3.075625	10.093125	-1.491875
-22.814001	-26.230000	1019.127014	-0.227500	14.236250	-2.292500
-26.474001	-25.375999	1011.319031	-1.001875	6.107500	-2.983750
-27.328001	-17.873001	1015.893982	-0.542500	0.310625	-2.423750
-30.256001	-13.237000	1021.994019	-0.166250	1.128750	-1.837500
-31.110001	-20.862000	1024.250977	-0.669375	1.439375	-1.330000
-35.014000	-31.354000	1028.399048	-0.568750	-0.669375	-2.751875
-30.927000	-133.712006	1024.250977	-5.490625	3.136875	-8.719375
-22.753000	-176.900009	1041.087036	-7.328125	-15.242500	-17.062500
0.488000	-181.109009	1028.216064	-7.717500	-3.552500	-24.303125
-11.773000	-150.852997	1037.305054	-0.341250	-9.922500	-27.238750
-9.577000	-127.612000	1037.365967	-7.844375	-18.563126	-23.248751
-43.005001	-127.306999	1015.893982	-13.632500	6.951875	-17.320625
-50.569000	-102.785004	991.189026	-12.451250	12.713750	-7.612500
-43.249001	-113.704002	1038.463989	-4.987500	10.920000	0.573125
-39.771999	-23.851000	989.846985	-2.030000	26.368126	2.874375
-54.473000	-69.600998	1034.193970	0.498750	15.456875	6.903750
-19.153999	-49.532001	956.906982	-1.592500	12.053125	-7.144375
-20.618000	-65.026001	995.093018	-1.229375	13.741875	-15.023750
-76.250000	-32.635002	995.276001	9.480625	7.437500	-22.526875
-65.331001	-27.938000	975.939026	-2.581250	1.824375	-7.306250
-47.945999	-116.388000	1067.317017	8.408750	20.243126	-0.258125
-46.909000	-38.612999	1009.855042	21.166250	16.725624	4.103750
-44.652000	25.681000	1018.333984	9.095625	-3.500000	5.993750
-105.286003	95.403999	980.757996	-3.110625	-1.316875	5.215000
-97.539001	149.755005	1003.328003	-23.961876	-8.561875	14.555625
-126.453003	149.328003	1000.827026	-19.530001	-2.756250	17.338125
-127.489998	200.934006	1040.110962	-17.998751	-9.607500	17.587500
