A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-51.484001	0.427000	989.481018	-2.301250	10.211250	-0.332500
-94.488998	12.627000	912.316040	-21.472500	5.516875	1.763125
-92.964005	-28.059999	833.809021	-14.682500	25.173750	1.128750
-90.889999	-15.555000	866.566040	-1.671250	8.531250	-1.150625
-63.989002	-43.066002	998.630981	18.108126	-6.562500	-1.255625
-39.223000	-15.067000	1199.931030	3.850000	-16.611876	-0.328125
-19.093000	-14.884000	1253.062012	-0.608125	0.516250	-0.021875
-32.513000	-18.726999	1254.891968	3.587500	-3.482500	2.270625
-29.463001	-31.293001	1085.250977	13.960625	17.801874	5.302500
-45.262001	-13.847000	1029.984985	15.019375	-3.578750	4.991875
-39.894001	-2.318000	977.708008	0.091875	-6.776875	0.363125
-47.396999	12.749001	947.330017	-8.386875	-4.865000	-3.430000
-47.031002	0.427000	967.765015	-9.821875	-10.771250	-4.130000
-45.079002	0.244000	989.786011	-5.595625	-4.221875	-4.046875
-46.116001	2.806000	1031.692993	-4.886875	-10.959375	-2.852500
-40.015999	-0.488000	1059.020996	-3.198125	-10.075625	-1.806875
-39.284000	-8.296000	1042.001953	-5.521250	-3.780000	0.218750
-33.489002	-5.429000	1023.031006	-3.438750	3.132500	0.914375
-19.337000	-10.736000	1010.403992	-3.583125	-2.410625	0.463750
-22.814001	-36.173000	1014.734985	-3.885000	-3.027500	-0.175000
-23.668001	-28.304001	986.980042	-1.526875	-2.765000	-1.946875
-14.762000	-30.805000	992.775024	-2.423750	-4.830000	-2.401875
-4.148000	-19.153999	1013.515015	-0.157500	-4.908750	-1.286250
-10.736000	-32.757000	1217.682007	-0.056875	-19.643749	-0.997500
-17.202000	-48.922001	1296.859985	8.054375	-29.610001	-0.818125
44.285999	-10.736000	1310.218994	11.252500	-22.373751	5.005000
30.012001	5.307000	1334.375000	-3.705625	-25.375000	6.965000
44.529999	-13.115000	1339.987061	-17.425625	-9.725625	5.849375
51.423000	-35.075001	1249.218994	-29.071875	-16.327499	2.340625
19.642000	-34.038002	1167.540039	-27.908125	14.188125	2.668750
39.101002	-76.006004	1064.510986	-16.200624	13.846875	3.600625
47.396999	-70.882004	1011.807007	-9.773750	22.631874	4.462500
54.411999	-69.295998	1057.191040	-11.256875	23.703751	4.913125
36.539001	-100.710999	1016.442993	-17.084375	50.443748	4.961250
30.195000	-111.508003	1085.739014	-0.713125	40.836250	4.790625
-10.370000	-84.729004	904.691040	16.725624	46.200001	-0.861875
-31.171000	-116.510002	975.572998	18.628750	46.619999	-1.960000
-36.112000	-83.264999	825.817993	32.882500	18.239374	-5.000625
-78.202003	-71.065002	733.952026	26.630625	45.465000	4.948125
-87.351997	-67.344002	601.093994	18.886875	37.161251	4.068750
-227.408005	-24.400000	518.072998	-4.571875	36.281876	16.935625
-162.931000	-66.551003	559.858032	-13.623750	24.670626	9.419375
-108.763000	-83.631004	633.424011	-16.279375	12.840625	-4.738125
-136.701004	-13.420000	630.374023	-6.002500	7.350000	-11.361875
-115.473000	-28.487000	698.877014	-10.482500	2.576875	-7.455000
-141.214996	-50.264000	707.721985	2.060625	6.286875	2.340625
-141.703003	-52.033001	729.621033	-3.854375	0.052500	3.745000
-169.091995	-19.520000	723.093994	-2.397500	-8.557500	7.183750
-150.548004	-96.929001	764.452026	-0.844375	-20.768126	-5.446875
-119.133003	-60.146000	747.738037	9.318750	-16.069374	-15.159375
-155.854996	-27.023001	867.846985	22.028126	-54.613125	-3.941875
-48.922001	-56.973999	912.194031	-9.065000	-51.222500	-6.479375
-25.620001	-63.806000	1095.316040	9.533125	-18.033751	-14.686875
-3.233000	-88.694000	1271.911011	-0.476875	-60.996250	-21.179375
4.026000	5.307000	1284.781982	18.930626	-47.236874	-31.609375
