A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
102.906998	-255.589996	968.679993	0.940625	-0.026250	-0.875000
162.809006	-9.699000	1010.648010	2.800000	0.231875	0.581875
156.709000	5.612000	987.895020	-1.102500	-5.705000	2.261875
146.339005	-0.427000	1038.036987	-11.125625	-7.043750	2.734375
130.173996	-7.991000	980.575012	-3.985625	-2.345000	1.260000
149.145004	-13.054000	989.481018	0.949375	5.941250	-0.673750
158.660995	-33.428001	995.093018	0.319375	3.246250	-1.216250
149.389008	-28.365000	970.205017	3.596250	-2.275000	-1.592500
149.084000	-22.264999	958.371033	-3.058125	2.550625	-1.351875
142.190994	-22.448000	953.918030	0.940625	1.290625	-2.117500
116.327003	-30.561001	994.117004	4.681250	-0.866250	-4.296250
138.775009	-21.045000	1100.562012	10.871875	-0.748125	-4.974375
62.220001	-1.159000	1330.287964	9.730000	-4.755625	-5.127500
58.072002	15.128000	1653.953979	3.136875	8.163750	-0.266875
61.427002	-19.520000	1613.877075	-1.789375	22.207500	2.625000
117.181000	-60.573002	1500.355957	-42.752499	43.850624	0.459375
136.335007	-135.359009	1477.724976	-82.223747	55.536251	0.966875
201.727005	-157.929001	1350.296021	-77.783127	75.831879	-2.808750
172.507996	-150.852997	1272.093994	-49.450626	97.619377	2.651250
61.854000	-132.858002	977.708008	3.298750	92.356247	1.229375
5.429000	-118.096001	790.315979	45.145626	114.839378	-1.649375
-62.037003	-64.721001	533.322998	33.271873	85.942497	-4.466875
-149.145004	-63.074001	607.559998	6.960625	34.899376	-8.706250
-150.914001	-59.353001	461.343018	14.441875	57.137501	2.288125
-119.071999	-45.628002	366.854004	15.041250	38.596249	2.765000
-181.658005	-72.895004	518.377991	12.630625	-4.532500	1.824375
-282.856995	-24.766001	421.388000	11.458125	11.536875	0.752500
-261.140991	-39.406002	482.876007	12.153750	7.643125	-5.241250
-279.989990	-31.781000	438.101990	10.578750	-19.424999	-8.400000
-194.895004	-37.637001	547.901978	-4.143125	-28.831249	-0.831250
-161.345001	-82.349998	634.095032	-6.352500	-43.671249	9.870000
-172.081009	-49.532001	669.963013	-11.213125	-62.033127	7.424375
-50.630001	-121.695000	904.385986	-13.615000	-44.856876	0.096250
-145.667999	-74.907997	788.424988	-13.343750	-54.210625	0.319375
-126.331001	-6.039000	992.653015	4.974375	-45.736252	-15.045625
-74.724998	-179.706009	894.199036	20.667500	-71.443748	-6.230000
-121.512001	99.674004	1042.795044	18.073126	-70.441872	-11.803750
31.720001	-169.884995	1044.076050	18.348749	-68.293747	-18.449375
229.482010	-127.734001	1121.424072	-28.616875	-82.486252	-8.487500
43.798000	-95.403999	1272.947998	-38.211250	-56.354374	-3.316250
170.373001	-202.641998	1270.874023	10.447500	-37.743126	-7.752500
187.147995	-107.420998	1347.734009	26.433750	-25.847500	-2.471875
96.806999	-81.434998	1358.348022	29.443750	-24.250626	-3.727500
147.925003	-83.570000	1125.816040	17.705626	-22.365000	-3.027500
179.706009	-111.325005	1117.093018	9.918125	-1.168125	1.715000
177.266006	-72.163002	1033.645020	13.199375	3.876250	-1.583750
182.817001	-58.681999	1036.145996	4.891250	-6.041875	-0.288750
133.712006	-33.123001	1007.293030	6.072500	1.850625	2.371250
191.052002	-65.026001	994.421997	2.961875	-12.884375	-2.069375
219.477997	-49.166000	997.411011	-7.564375	-11.484375	1.693125
145.363007	-74.847000	941.656982	-6.965000	0.420000	5.223750
157.867996	-61.854000	856.013000	-14.192500	-3.010000	1.518125
150.609009	-80.398003	950.014038	-14.192500	9.546250	-0.446250
198.860001	-103.761002	899.505981	-19.748751	9.546250	-0.446250
198.860001	-103.761002	899.505981	-17.618126	5.823125	-2.633750
169.824005	-91.134003	901.885010	-5.770625	-0.179375	-8.238125
188.063004	-90.767998	1045.844971	8.343125	20.125000	-8.312500
229.725998	-94.916000	1053.896973	29.942499	11.116875	-6.396250
124.378998	-70.820999	1043.649048	38.272499	2.161250	-0.100625
169.214005	-5.917000	1043.832031	36.470001	11.659375	-3.889375
137.981995	-27.877001	1253.977051	20.133751	19.245625	-4.466875
114.131004	-19.825001	1389.213989	-7.328125	3.526250	-3.071250
93.818001	9.272000	1362.557007	-25.418751	2.279375	-2.034375
11.468000	-43.615002	1507.370972	-13.291250	15.610000	1.649375
40.869999	-43.798000	1421.239014	-8.067500	13.028750	3.246250
-3.416000	-30.743999	1391.287964	-3.018750	28.083124	1.561875
20.069000	-89.487000	1428.192993	-20.978125	61.455624	-3.915625
100.223000	-97.539001	1157.109009	-35.730625	65.546249	-11.799375
137.188995	-104.981003	1072.074951	-26.705000	57.098125	-12.696250
107.482002	-97.661003	1001.803040	-21.581875	51.275002	-10.679375
110.959000	-117.730003	954.650024	-8.303750	50.417500	-12.919375
58.255001	-131.759995	985.028015	11.825625	63.091873	-5.608750
-43.371002	-75.274002	748.348022	21.245001	58.918125	-5.915000
-20.191000	-110.653999	793.976013	-17.486876	18.685625	-7.883750
-225.334000	-89.731003	983.502991	-16.581249	-28.678125	-21.214375
-160.369003	-135.664001	763.598022	-14.984375	34.842499	14.240625
-29.585001	-26.596001	430.110992	-3.622500	63.739376	11.046875
-181.719009	-42.334000	322.324005	-28.271250	-30.051874	7.892500
-362.523010	-124.074005	747.189026	-7.770000	3.425625	5.705000
-141.214996	-76.860001	417.850006	26.245625	30.896250	-4.221875
-169.824005	-115.473000	566.385010	25.978750	2.331875	-5.302500
-147.925003	-66.794998	665.327026	37.305626	-9.913750	-0.560000
-100.040001	-61.427002	652.090027	52.215626	-15.019375	2.432500
-54.534000	18.300001	744.444031	55.689377	-27.881874	4.532500
