A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
86.070999	-36.478001	1017.114014	4.208750	7.284375	2.856875
35.624001	11.956000	1004.609009	8.246875	25.781876	2.078125
26.230000	9.394000	1014.613037	-2.375625	4.746875	-2.922500
32.390999	2.745000	1008.757019	-1.216250	-2.975000	-2.979375
40.564999	1.037000	1013.637024	3.263750	-2.992500	-0.704375
39.101002	1.281000	1011.989990	3.180625	-4.375000	0.437500
40.931000	3.660000	1019.249023	2.716875	-5.661250	0.459375
50.325001	13.664001	1020.041992	0.271250	-2.056250	-0.363125
49.043999	7.686000	1016.747986	-1.977500	-0.818125	-1.295000
46.665001	10.797000	1021.811035	-2.038750	1.763125	-1.811250
40.992001	16.348000	1035.536011	-3.228750	-0.420000	-1.281875
39.589001	6.893000	1043.526978	-9.458750	-2.209375	2.428125
22.204000	24.583000	1001.192993	-8.575000	-12.171250	4.510625
104.614998	-38.307999	1023.335999	-7.021875	-26.123125	6.545000
92.170998	-30.316999	1034.803955	10.758125	-10.465000	8.299375
97.478004	-19.459000	1002.413025	16.961876	3.845625	5.884375
88.633003	23.912001	999.424011	17.071251	1.216250	3.368750
87.718002	53.070000	1024.677979	3.023125	-3.758125	3.745000
97.051003	24.156000	1007.231995	-10.355625	-8.382500	1.159375
104.554001	20.191000	999.424011	-8.168125	-0.472500	0.157500
108.092003	15.799000	1009.062012	-4.095000	-6.365625	-1.697500
120.474998	2.562000	990.091003	-4.138750	4.795000	-0.013125
111.569000	-8.906000	992.408997	-7.481250	0.275625	1.671250
97.599998	-1.403000	1009.733032	-8.693125	1.281875	1.404375
91.500000	-31.293001	1001.619995	-6.422500	0.743750	-0.875000
66.184998	-9.211000	1012.783020	-4.143125	-1.767500	-4.519375
51.850002	-8.174000	1025.654053	-5.757500	-5.337500	-4.025000
59.719002	-38.003002	996.984009	-7.393750	-21.945000	-1.089375
74.237000	-15.006001	1053.225952	-2.703750	-6.947500	-1.911875
115.290001	-29.036001	1057.130005	-12.543125	4.379375	-2.686250
119.011002	-48.494999	1005.463013	-2.266250	8.089375	-1.526875
126.758003	-15.494000	998.204041	2.795625	12.184375	2.187500
140.300003	-40.564999	1003.450012	0.879375	10.316250	0.971250
133.589996	-42.577999	1025.898071	4.042500	8.172500	-0.686875
131.759995	-40.015999	992.653015	0.507500	7.678125	0.118125
119.987000	-50.569000	1002.962036	4.016250	6.995625	-1.268750
115.290001	-41.907001	994.056030	1.019375	14.043750	-0.927500
86.925003	-44.834999	993.018982	-0.844375	14.345625	-1.041250
73.016998	-49.532001	993.324036	0.875000	9.043125	-1.946875
66.368004	-40.564999	1009.671997	6.186250	14.835625	0.008750
43.066002	-20.740000	1010.770020	7.310625	20.400625	0.634375
40.931000	-29.036001	1019.676025	10.101875	28.288750	1.032500
-0.122000	-7.137000	1027.849976	8.968750	32.235001	0.266875
-6.527000	9.455000	1019.249023	2.200625	11.624375	-0.288750
-5.917000	18.788000	1036.511963	-1.601250	2.375625	0.494375
1.281000	4.392000	1026.630005	-8.071875	1.137500	-0.350000
-8.052000	-8.174000	1032.119995	-7.686875	6.457500	-2.642500
-10.248000	-12.444000	1023.640991	-7.616875	1.806875	-7.826875
-32.939999	-12.932000	1005.218994	-2.874375	6.295625	-8.260000
-22.326000	-11.834001	1009.916016	2.922500	2.288125	-5.061875
-24.156000	-9.882000	1017.723999	0.822500	3.425625	-2.253125
-33.672001	-27.084000	1027.789062	5.923750	0.945000	-0.052500
-33.428001	-28.304001	1021.505981	9.918125	6.308750	-0.787500
-32.452000	-26.352001	994.483032	6.339375	4.418750	-3.801875
-44.713001	-14.518001	1004.121033	4.370625	8.776250	-7.118125
