A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
35.380001	-40.687000	936.898987	-1.308125	-35.406876	10.482500
29.402000	-39.406002	968.863037	13.028750	-33.494999	9.305625
100.284004	-15.921000	1017.723999	23.082500	-7.739375	5.127500
114.375000	-22.814001	1060.667969	16.922501	-13.361250	9.940000
76.494003	0.305000	1021.994019	1.093750	0.765625	11.628750
83.021004	-17.385000	1009.244995	1.491875	-0.577500	8.951250
61.671001	1.342000	1012.966003	0.608125	1.487500	6.400625
79.543999	0.549000	1025.227051	4.051250	3.771250	0.000000
52.459999	26.047001	1021.750000	10.815000	9.948750	-2.616250
95.953003	25.437000	1034.376953	2.301250	6.431250	-3.539375
73.016998	32.513000	1028.826050	-3.548125	7.398125	-0.573125
60.389999	20.862000	1012.112000	-5.468750	9.533125	-1.137500
68.685997	12.505000	1012.356018	-4.869375	2.878750	-0.835625
53.924000	9.211000	1013.027039	-1.715000	4.799375	-1.640625
60.817001	4.453000	1014.369019	-2.708125	0.818125	-1.553125
51.423000	-0.366000	1017.419006	-6.085625	4.816875	-0.765625
51.850002	-20.801001	1136.674072	-7.035000	0.997500	-0.980000
39.955002	-11.712000	1258.674072	-15.566250	-6.116250	-1.513750
70.150002	-47.885002	1285.758057	-13.505625	-1.999375	-4.016250
32.513000	-32.452000	1314.183960	-15.531250	3.298750	-5.000625
37.332001	-27.267000	1224.453003	-9.791250	-0.083125	-3.906875
27.023001	-46.970001	1208.958984	9.410625	4.099375	-5.460000
28.121000	-17.507000	1170.589966	13.483750	15.496250	-8.868125
-33.428001	9.211000	1087.995972	16.821875	27.623751	-11.060000
46.970001	-33.367001	1039.989014	12.376875	-13.597500	-5.328750
42.456001	-19.153999	1069.573975	-15.268750	0.546875	1.767500
60.389999	-54.290001	1045.844971	-17.395000	39.020626	6.759375
-3.294000	-20.740000	946.842041	-16.830626	24.648750	8.295000
-23.790001	-59.292000	1007.293030	-18.283125	24.631250	15.225000
-38.186001	-73.139000	942.450012	-19.569374	20.886250	10.780000
-16.653000	-76.494003	894.687012	14.376250	33.805626	-0.166250
-26.230000	-96.380005	839.908997	15.334375	38.937500	0.586250
-52.338001	-52.216000	792.145996	-0.450625	28.026251	12.499375
-74.237000	-55.510002	788.181030	3.408125	38.202499	23.686251
-94.245003	-40.382000	765.916016	7.083125	24.443125	11.633125
-114.497002	-25.132000	727.729980	16.415001	30.187500	0.756875
-131.516006	-9.455000	664.778015	4.843125	19.123125	0.420000
-142.862000	-20.923000	651.296997	-18.173750	12.123125	6.260625
-119.071999	-24.644001	698.389038	-25.160625	-3.084375	1.238125
-117.242004	-58.438000	800.564026	-20.251875	-16.384375	-2.043125
-135.419998	-81.801003	803.369995	-16.218124	5.451250	-5.919375
-121.024002	-93.085999	815.692017	-12.114375	-17.495625	-11.480000
-104.249001	-107.116005	827.770020	-12.560625	-12.368125	-7.520625
-110.166000	-125.111000	796.721008	4.672500	8.767500	-10.119375
-136.701004	-78.263000	823.195007	16.799999	-29.496250	-17.731874
-136.152008	-20.374001	766.830994	25.528126	0.599375	-8.400000
-102.785004	-39.406002	773.479980	35.695625	-44.738750	-15.115625
-109.007004	-8.235000	932.934021	26.586876	-13.820625	0.188125
-95.526001	-22.264999	1381.650024	-16.988125	-94.303123	-6.601875
-69.662003	12.261000	1642.791016	3.613750	-42.349998	4.598125
-56.973999	-68.990997	1621.929077	-17.023125	20.396250	-2.996875
-65.941002	-63.440002	1512.373047	33.398750	4.138750	-8.890000
-99.307999	-20.434999	1420.323975	35.914375	28.026251	-7.918750
-65.209000	33.123001	1270.203003	23.069374	-2.358125	-1.903125
-62.769001	33.428001	1107.942993	1.286250	25.068750	4.283125
-64.171997	16.104000	985.455017	-7.625625	8.570625	4.134375
-74.176003	4.209000	962.945984	-9.813125	8.500625	5.950000
-74.114998	2.745000	980.330994	-9.747500	-2.817500	1.557500
-54.046001	-16.896999	996.252014	-9.686250	-3.561250	0.940625
-56.913002	-1.159000	991.189026	-1.395625	-1.728125	-0.039375
-53.070000	2.318000	980.208984	2.773750	1.666875	0.030625
-70.820999	7.137000	1011.929016	-4.449375	-5.363750	-2.183125
-68.320000	0.610000	1006.988037	-4.270000	-2.030000	-2.948750
-58.316002	7.442000	1017.236023	-3.972500	-3.189375	-2.835000
-54.229000	-5.063000	1034.926025	-5.070625	-3.718750	-2.113125
