@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_VAR_on_ACC_X numeric
@attribute F3_PeakToPeak_on_ACC_X numeric
@attribute F4_MIN_on_ACC_X numeric
@attribute F5_MAX_on_ACC_X numeric
@attribute F6_MEAN_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Y numeric
@attribute F8_PeakToPeak_on_ACC_Y numeric
@attribute F9_MIN_on_ACC_Y numeric
@attribute F10_MAX_on_ACC_Y numeric
@attribute F11_MEAN_on_ACC_Z numeric
@attribute F12_VAR_on_ACC_Z numeric
@attribute F13_PeakToPeak_on_ACC_Z numeric
@attribute F14_MIN_on_ACC_Z numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MEAN_on_GY_X numeric
@attribute F17_VAR_on_GY_X numeric
@attribute F18_PeakToPeak_on_GY_X numeric
@attribute F19_MIN_on_GY_X numeric
@attribute F20_MAX_on_GY_X numeric
@attribute F21_MEAN_on_GY_Y numeric
@attribute F22_VAR_on_GY_Y numeric
@attribute F23_PeakToPeak_on_GY_Y numeric
@attribute F24_MIN_on_GY_Y numeric
@attribute F25_MAX_on_GY_Y numeric
@attribute F26_MEAN_on_GY_Z numeric
@attribute F27_VAR_on_GY_Z numeric
@attribute F28_PeakToPeak_on_GY_Z numeric
@attribute F29_MIN_on_GY_Z numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Forward_Backward, Idle, Lateral, Up_Down}

@data
-0.0120087, 0.023407, 0.676758, -0.331543, 0.344971, -0.0173187, 0.00271606, 0.307129, -0.157959, 0.149048, 1.01953, 0.00292969, 0.412598, 0.841309, 1.25391, -0.010376, 0.067627, 1.57813, -0.914551, 0.663574, 0.00268745, 0.0409546, 1.09961, -0.499512, 0.599609, -0.00863647, 0.0259857, 0.864258, -0.363281, 0.500977, Forward_Backward
-0.0136795, 0.0218964, 0.657715, -0.337402, 0.320068, -0.0454712, 0.00323105, 0.336426, -0.224976, 0.111267, 1.02148, 0, 0.364258, 0.871094, 1.23535, 0.0128021, 0.097229, 1.80762, -0.689941, 1.11719, 0.00817871, 0.0713501, 1.55664, -0.831055, 0.725098, 0.00216675, 0.0353088, 1.13086, -0.541016, 0.589844, Forward_Backward
-0.0507202, 0.0179901, 0.5625, -0.318115, 0.244141, 0.00171089, 0.00286865, 0.285156, -0.18811, 0.0969849, 1.02539, 0, 0.290039, 0.859375, 1.14941, 0.00125217, 0.0802002, 1.56836, -0.767578, 0.800781, 0.0223389, 0.0874634, 1.94824, -0.924805, 1.02344, -0.00553131, 0.0740967, 1.49609, -0.776855, 0.719238, Forward_Backward
-0.00947571, 0.0193787, 0.609375, -0.329102, 0.280273, -0.0185242, 0.00299263, 0.288086, -0.128296, 0.15979, 1.02051, 0, 0.296875, 0.875977, 1.17285, -0.000753403, 0.147827, 2.07227, -0.984375, 1.08789, 0.00761414, 0.0560913, 1.24902, -0.661133, 0.587402, -0.0343628, 0.0460815, 1.17871, -0.592773, 0.585938, Forward_Backward
-0.0325012, 0.0149689, 0.500488, -0.301514, 0.198975, -0.0265656, 0.00344849, 0.452637, -0.384277, 0.0684204, 1.02637, 0.00195313, 0.34668, 0.866211, 1.21289, -0.000867367, 0.0532227, 1.15723, -0.590332, 0.566895, 0.0304718, 0.113953, 1.73145, -0.73877, 0.992188, 0.0245972, 0.0337524, 1.04297, -0.374756, 0.667969, Forward_Backward
0.0289764, 0.0131378, 0.572754, -0.302002, 0.270752, -0.00811005, 0.00148773, 0.237061, -0.134277, 0.102783, 1.03223, 0, 0.240723, 0.931152, 1.17188, 0.0113525, 0.0366516, 1.125, -0.541016, 0.583984, 0.00384521, 0.0866699, 1.52246, -0.759277, 0.763184, 0.00375557, 0.0213013, 0.794922, -0.375732, 0.418945, Forward_Backward
0.0133972, 0.0164032, 0.588379, -0.257568, 0.330566, -0.0167084, 0.00127888, 0.263672, -0.173706, 0.0897827, 1.02148, 0, 0.253906, 0.921875, 1.17578, -0.00970459, 0.0535583, 1.38867, -0.708496, 0.680176, 0.0120697, 0.0440369, 1.16309, -0.451172, 0.711426, -0.0302582, 0.0188141, 0.804688, -0.423096, 0.381348, Forward_Backward
-0.00843811, 0.0259247, 0.706543, -0.325439, 0.380859, -0.0284729, 0.0025959, 0.235596, -0.152588, 0.0830078, 1.01758, 0.00585938, 0.31543, 0.854492, 1.16992, -0.0091095, 0.0414429, 0.878418, -0.499023, 0.379395, 0.0102234, 0.0428467, 1.06738, -0.645508, 0.421631, 0.005867, 0.0339661, 1.28906, -0.799316, 0.489746, Forward_Backward
-0.0124283, 0.0279541, 0.749023, -0.340088, 0.408691, 0.0182343, 0.00190449, 0.21167, -0.0605469, 0.151123, 1.01465, 0.000976563, 0.352051, 0.850098, 1.20215, -0.0208588, 0.0593567, 1.57617, -1.11426, 0.461426, 0.0164642, 0.0663452, 1.67871, -0.648926, 1.0293, -0.00714111, 0.0333557, 0.994629, -0.605469, 0.38916, Forward_Backward
-0.0154037, 0.0301208, 0.664063, -0.244873, 0.418945, 0.00789642, 0.00314713, 0.273682, -0.105164, 0.168457, 1.01758, 0.00390625, 0.458496, 0.760254, 1.21875, 0.0023365, 0.108521, 1.74707, -0.793457, 0.953613, 0.00215721, 0.0718994, 1.38672, -0.831055, 0.555176, 0.00553894, 0.0490723, 1.10645, -0.629395, 0.476807, Forward_Backward
